,Distance_X_LOGO_MainBoard_Corner1,Distance_X_LOGO_MainBoard_Corner2,Distance_X_LOGO_MainBoard_Corner3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_Corner1,Distance_Y_LOGO_MainBoard_Corner2,Distance_Y_LOGO_MainBoard_Corner3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_Corner1,Angle_MainBoard_Corner2,Angle_MainBoard_Corner3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-50.4185892945,-50.4505934772,-50.485598052,-50.4845979213,-50.4555941307,-50.5546070709,-50.3075747858,-50.3805843275,-50.3115753086,-50.5506065481,-50.4845979213,-50.4525937386,-50.2365655055,-50.4865981827,-50.4155889024,-50.2715700803,-50.3795841968,-50.3495802756,-50.344579622,-50.4525937386,-50.3155758315,-50.3845848504,-50.4175891638,-50.4185892945,-50.2745704724,-50.4145887716,-50.1635559637,-50.4825976599,-50.4505934772,-50.4595946535,-50.3785840661,-50.3525806677,130.023596799,129.949566853,129.950567258,129.918554308,129.982580207,130.095625936,130.02159599,130.092624722,130.022596395,129.98958304,130.024597204,129.985581421,130.017594371,129.954568876,129.951567662,130.010591538,130.058610963,130.126638481,130.091624318,130.056610154,130.057610558,130.159651836,129.985581421,130.091624318,129.990583445,130.163653455,130.195666404,130.104629578,130.157651027,129.883540144,130.089623508,130.197667214,111.305,111.328,111.341,111.346,111.325,111.346,111.263,111.28,111.264,111.361,111.33,111.323,111.236,111.341,111.314,111.25,111.285,111.263,111.266,111.313,111.26,111.271,111.31,111.295,111.255,111.282,111.182,111.317,111.297,111.341,111.28,111.254
FLQS30KBGRWV,-50.6032599147,-50.6372991043,-50.6773452097,-50.6733405991,-50.6413037148,-50.7083809413,-50.4881273617,-50.5281734671,-50.4610962406,-50.709382094,-50.6753429044,-50.6393014095,-50.4150432194,-50.676344057,-50.60526222,-50.449082409,-50.5682195725,-50.4941342775,-50.5351815355,-50.6403025622,-50.460095088,-50.5632138093,-50.6022587621,-50.5652161146,-50.4180466773,-50.6062633726,-50.3549740613,-50.6723394465,-50.6022587621,-50.6072645252,-50.5301757724,-50.531176925,129.938322625,129.86932617,129.866326325,129.83332802,129.866326325,129.972320878,129.947322162,130.010318925,129.937322676,129.900324577,129.937322676,129.903324423,129.948322111,129.866326325,129.867326273,129.943322368,129.975320724,130.046317075,130.006319131,129.974320775,129.973320826,130.080315328,129.906324269,130.011318874,129.914323858,130.078315431,130.111313735,130.045317127,130.077315482,129.79732987,130.010318925,130.085315071,111.271,111.294,111.31,111.314,111.296,111.306,111.226,111.232,111.217,111.317,111.299,111.29,111.198,111.309,111.282,111.211,111.252,111.213,111.235,111.28,111.211,111.235,111.275,111.246,111.204,111.251,111.15,111.281,111.25,111.293,111.232,111.222
FLQS30CWGRWV,-50.4767485293,-50.4787491535,-50.5477706879,-50.5127597646,-50.5177613251,-50.5797806749,-50.3637132628,-50.4057263707,-50.3357045242,-50.5737788023,-50.5457700637,-50.5127597646,-50.2916907921,-50.5467703758,-50.4787491535,-50.3257014032,-50.4387366698,-50.3747166958,-50.4107279312,-50.5147603888,-50.3367048363,-50.4427379181,-50.4767485293,-50.4427379181,-50.2946917284,-50.4797494656,-50.2296714423,-50.5467703758,-50.4777488414,-50.4807497777,-50.4047260586,-50.408727307,129.987220413,129.91620117,129.914200628,129.879191142,129.913200357,130.021229628,129.996222852,130.057239385,129.987220413,129.921202525,129.986220142,129.950210385,129.997223123,129.913200357,129.918201712,129.995222581,129.995222581,130.090248328,130.057239385,130.022229899,130.022229899,130.124257543,129.951210656,130.055238842,129.964214179,130.126258085,130.161267571,130.091248599,130.127258356,129.84818274,130.057239385,130.134260254,111.079,111.091,111.118,111.109,111.106,111.114,111.035,111.042,111.025,111.126,111.106,111.099,111.007,111.117,111.09,111.02,111.064,111.025,111.044,111.089,111.021,111.046,111.085,111.056,111.013,111.06,110.959,111.091,111.059,111.102,111.042,111.031
FLQS30C7GRWV,-50.5528032729,-50.5528032729,-50.6179124949,-50.5848570437,-50.5848570437,-50.650967946,-50.4416167555,-50.4806822886,-50.4115663453,-50.6519696263,-50.6159091342,-50.5888637651,-50.3694957712,-50.6199158555,-50.5507999122,-50.4035529026,-50.5147394201,-50.4496301982,-50.4786789279,-50.5848570437,-50.4145713863,-50.5207495021,-50.5528032729,-50.5197478218,-50.3755058532,-50.5467931909,-50.3003798279,-50.6129040932,-50.5467931909,-50.5608167156,-50.4806822886,-50.4866923706,129.91425012,129.844247291,129.845247331,129.810245917,129.84324725,129.954251736,129.916250201,129.98625303,129.91525016,129.878248665,129.916250201,129.878248665,129.91525016,129.845247331,129.845247331,129.908249877,129.951251615,130.020254404,129.98725307,129.950251575,129.950251575,130.053255737,129.879248705,129.983252908,129.881248786,130.056255858,130.087257111,130.025254606,130.051255656,129.777244583,129.984252949,130.05925598,111.15,111.16,111.185,111.177,111.173,111.181,111.107,111.111,111.096,111.193,111.174,111.169,111.08,111.186,111.159,111.094,111.13,111.095,111.111,111.157,111.091,111.117,111.155,111.127,111.087,111.126,111.027,111.157,111.127,111.173,111.112,111.103
FLQS29JFGRX5,-50.3575499951,-50.3925475974,-50.4235454738,-50.4225455423,-50.4245454053,-50.4895409524,-50.2775554756,-50.3215524613,-50.2505573252,-50.4865411579,-50.4205456793,-50.3935475289,-50.1695628742,-50.4215456108,-50.38754794,-50.2425578733,-50.3535502691,-50.2895546535,-50.3195525983,-50.3905477344,-50.2525571882,-50.3565500636,-50.3935475289,-50.3575499951,-50.1725626686,-50.3535502691,-50.1405648608,-50.4205456793,-50.3885478715,-50.3965473234,-50.3225523928,-50.3225523928,129.989894447,129.919889119,129.919889119,129.883886378,129.917888967,130.025897188,130.029897492,130.059899776,129.9918946,129.954891783,129.988894371,129.952891631,130.030897568,129.91688889,129.921889271,130.028897416,130.025897188,130.095902516,130.060899852,130.024897112,130.024897112,130.129905105,129.954891783,130.059899776,129.99689498,130.128905029,130.165907845,130.095902516,130.131905257,129.881886226,130.059899776,130.135905561,111.052,111.076,111.088,111.093,111.089,111.098,111.016,111.028,111.011,111.107,111.077,111.072,110.974,111.088,111.074,111.003,111.046,111.011,111.027,111.06,111.007,111.032,111.072,111.042,110.981,111.031,110.943,111.061,111.043,111.084,111.029,111.018
FLQS22XEGRX2,-50.4243460809,-50.4193463441,-50.5223409233,-50.4933424495,-50.4933424495,-50.5603389234,-50.3443502912,-50.3823482913,-50.3103520806,-50.5583390287,-50.5233408707,-50.4883427127,-50.2703541858,-50.524340818,-50.4553444494,-50.303352449,-50.4193463441,-50.3523498702,-50.381348344,-50.48934266,-50.3173517122,-50.4183463967,-50.4543445021,-50.4193463441,-50.2753539226,-50.4533445547,-50.2053576067,-50.5213409759,-50.4513446599,-50.4633440284,-50.381348344,-50.3883479756,129.911973675,129.841978538,129.842978468,129.840978607,129.870976523,129.983968672,129.950970965,129.985968533,129.915973397,129.876976106,129.947971173,129.877976037,129.913973536,129.841978538,129.844978329,129.946971243,129.951970896,130.020966102,129.987968394,129.948971104,129.947971173,130.05496374,129.877976037,129.985968533,129.88397562,130.053963809,130.085961586,130.021966032,130.052963878,129.8079809,129.983968672,130.087961447,111.062,111.071,111.11,111.1,111.095,111.104,111.026,111.036,111.018,111.119,111.095,111.092,111.003,111.112,111.084,111.011,111.055,111.019,111.035,111.082,111.016,111.039,111.079,111.05,111.01,111.053,110.953,111.083,111.052,111.093,111.035,111.023
FLQS22TQGRX2,-50.6557138892,-50.688725433,-50.7637516691,-50.726738726,-50.7277390758,-50.7917614639,-50.5746855542,-50.6146995468,-50.5416740104,-50.7907611141,-50.7217369769,-50.7247380264,-50.5036607174,-50.7597502698,-50.6537131895,-50.500659668,-50.6537131895,-50.5826883527,-50.5836887026,-50.7287394256,-50.5466757594,-50.6146995468,-50.6527128397,-50.6507121401,-50.5046610672,-50.6917264825,-50.3946225877,-50.7577495702,-50.6517124899,-50.656714239,-50.5766862539,-50.6156998966,129.887829739,129.817834681,129.817834681,129.783837082,129.815834822,129.925827057,129.894829245,129.960824586,129.889829598,129.854832069,129.889829598,129.850832352,129.891829457,129.81983454,129.817834681,129.883830022,129.926826986,129.995822115,129.957824798,129.925827057,129.927826916,130.028819785,129.85283221,129.958824727,129.862831504,130.031819574,130.061817456,129.997821974,130.023820138,129.749839482,129.958824727,130.036819221,111.158,111.182,111.21,111.201,111.197,111.205,111.126,111.132,111.114,111.215,111.183,111.19,111.099,111.209,111.168,111.099,111.152,111.114,111.12,111.181,111.111,111.122,111.162,111.146,111.104,111.151,111.033,111.181,111.136,111.179,111.117,111.121
FLQS21YXGRX2,-50.2187976604,-50.2157983294,-50.2817836101,-50.2467914158,-50.2507905237,-50.3127766964,-50.1048230848,-50.1458139409,-50.0738299984,-50.3107771425,-50.2797840561,-50.2517903007,-50.0338389193,-50.2817836101,-50.2127989985,-50.0308395883,-50.1788065812,-50.1158206315,-50.14281461,-50.2517903007,-50.0788288833,-50.1858050201,-50.2177978834,-50.1858050201,-50.0418371351,-50.2127989985,-49.9668538617,-50.2787842791,-50.2137987755,-50.2247963223,-50.14281461,-50.1498130488,130.025253985,129.954257668,129.955257616,129.920259432,129.952257772,130.062252065,130.03325357,130.095250353,130.028253829,129.989255852,130.026253933,129.988255904,130.032253622,129.954257668,129.957257513,130.024254037,130.062252065,130.130248537,130.098250198,130.091250561,130.061252117,130.164246773,129.989255852,130.094250405,129.998255386,130.167246618,130.231243298,130.133248382,130.16624667,129.919259484,130.096250301,130.201244854,111.255,111.265,111.29,111.282,111.278,111.286,111.21,111.217,111.199,111.296,111.278,111.273,111.183,111.29,111.263,111.183,111.234,111.2,111.216,111.258,111.196,111.222,111.26,111.232,111.192,111.232,111.128,111.262,111.233,111.273,111.216,111.203
FLQS2AVTGRX5,-50.4868843504,-50.482884518,-50.5868801601,-50.5518816267,-50.554881501,-50.6188788192,-50.3728891274,-50.451885817,-50.3408904683,-50.6128790706,-50.5838802858,-50.5198829676,-50.3038920187,-50.5518816267,-50.5178830514,-50.3338907616,-50.4478859846,-50.3808887921,-50.410887535,-50.5568814172,-50.3818887502,-50.451885817,-50.5178830514,-50.4508858589,-50.3058919349,-50.5168830933,-50.2338949519,-50.5518816267,-50.5178830514,-50.4888842666,-50.4498859008,-50.4548856913,129.915315356,129.845313031,129.847313097,129.811311901,129.844312998,129.953316618,129.924315655,129.984317648,129.917315422,129.883314293,129.918315456,129.878314127,129.951316552,129.846313064,129.84831313,129.916315389,129.953316618,130.02231891,129.988317781,129.952316585,129.953316618,130.05331994,129.880314193,129.983317615,129.922315589,130.058320106,130.089321136,130.021318877,130.055320006,129.774310672,129.985317681,130.095321335,111.152,111.161,111.2,111.192,111.189,111.197,111.107,111.128,111.095,111.205,111.189,111.17,111.077,111.187,111.174,111.093,111.131,111.095,111.112,111.173,111.106,111.118,111.169,111.128,111.081,111.142,111.029,111.161,111.143,111.174,111.127,111.113
FLQS3087GRWV,-50.7934248477,-50.7934248477,-50.8637981305,-50.8286114891,-50.8306221543,-50.8969741066,-50.6808275952,-50.7230515649,-50.6536836147,-50.8627927979,-50.8627927979,-50.8286114891,-50.5782836689,-50.8637981305,-50.7944301803,-50.606432982,-50.7572328737,-50.6888702561,-50.6868595909,-50.7954355129,-50.65569428,-50.7582382063,-50.7924195151,-50.7572328737,-50.6134703103,-50.7924195151,-50.5129370492,-50.8627927979,-50.7934248477,-50.7974461781,-50.7230515649,-50.7270728953,130.04022928,129.969228609,129.970228619,129.935228288,129.9682286,130.076229621,130.052229394,130.112229961,130.04122929,130.00422894,130.04022928,130.00522895,130.050229375,129.9682286,129.970228619,130.047229347,130.076229621,130.147230292,130.112229961,130.075229611,130.076229621,130.179230594,130.006228959,130.110229942,130.019229082,130.180230604,130.213230916,130.147230292,130.183230632,129.898227938,130.111229952,130.222231001,111.115,111.126,111.152,111.144,111.14,111.15,111.071,111.078,111.062,111.147,111.142,111.134,111.032,111.153,111.126,111.043,111.096,111.059,111.064,111.111,111.057,111.081,111.12,111.091,111.05,111.094,110.983,111.126,111.094,111.138,111.078,111.063
