,Distance_X_LOGO_Camera_LD1,Distance_X_LOGO_Camera_LD2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_LD1,Distance_Y_LOGO_Camera_LD2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_LD1,Angle_Camera_LD2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-55.8155404518,-55.9264977917,-55.7825531345,-55.8905116274,-55.9145024036,-55.9304962544,-55.8185392988,-55.9344947171,-55.8225377615,-55.8265362242,-55.7835527502,-55.9264977917,-55.8215381458,-55.8905116274,-55.8225377615,-55.7505654329,-55.8225377615,-55.8225377615,-55.7845523658,-55.7505654329,-55.8225377615,-55.8235373772,-55.7835527502,-55.8255366085,-55.8575243101,-55.7145792686,-55.682591567,-55.7835527502,-55.7175781156,-55.8275358399,-55.7825531345,-55.8275358399,141.140990851,141.211994871,141.033984793,141.146991191,141.064986548,141.133990455,141.172992663,141.110989153,141.210994815,141.169992493,141.203994418,141.215995098,141.212994928,141.177992946,141.210994815,141.209994758,141.210994815,141.210994815,141.211994871,141.137990681,141.236996287,141.240996513,141.203994418,141.283998948,141.210994815,141.291999401,141.10598887,141.203994418,141.177992946,141.2389964,141.251997136,141.2389964,111.721,111.75,111.724,111.746,111.766,111.762,111.717,111.766,111.713,111.72,111.701,111.749,111.713,111.742,111.713,111.688,111.713,111.713,111.7,111.698,111.71,111.71,111.701,111.704,111.726,111.664,111.679,111.701,111.681,111.711,111.694,111.711
FLQS312SGRWV,-55.5742550081,-55.7213086043,-55.5452444347,-55.6472816239,-55.6862958433,-55.6822943849,-55.5732546435,-55.6142695921,-55.5792568311,-55.5822579249,-55.5422433409,-55.6392787071,-55.6202717797,-55.6502827177,-55.5792568311,-55.5492458931,-55.5792568311,-55.5792568311,-55.5842586541,-55.509231309,-55.5802571957,-55.5382418825,-55.5422433409,-55.5842586541,-55.6032655815,-55.474218548,-55.4422068808,-55.5422433409,-55.4732181834,-55.5802571957,-55.5382418825,-55.5802571957,141.271255856,141.313253851,141.195259484,141.276255617,141.23325767,141.23325767,141.271255856,141.23325767,141.341252514,141.302254376,141.337252705,141.342252466,141.316253707,141.347252228,141.341252514,141.319253564,141.341252514,141.341252514,141.345252323,141.266256094,141.37025113,141.341252514,141.337252705,141.412249125,141.310253994,141.380250652,141.23325767,141.337252705,141.350252084,141.332252944,141.346252275,141.332252944,111.574,111.62,111.575,111.599,111.619,111.617,111.574,111.593,111.566,111.573,111.554,111.587,111.584,111.59,111.566,111.559,111.566,111.566,111.567,111.552,111.563,111.552,111.554,111.558,111.579,111.524,111.533,111.554,111.528,111.568,111.551,111.568
FLQS31J6GRWY,-55.7644438483,-55.8685697826,-55.725396623,-55.83252619,-55.8705722044,-55.8655661499,-55.7564341611,-55.7964825973,-55.7624414265,-55.7544317393,-55.7173869357,-55.8335274009,-55.8044922846,-55.8295225572,-55.7624414265,-55.6873506085,-55.7624414265,-55.7624414265,-55.7233942012,-55.6923566631,-55.7434184193,-55.7273990448,-55.7173869357,-55.7263978339,-55.7864704883,-55.6543106486,-55.6192682669,-55.7173869357,-55.6463009614,-55.7584365829,-55.7213917794,-55.7584365829,141.17629232,141.215295439,141.033280881,141.14829008,141.11028704,141.14428976,141.17829248,141.11028704,141.214295359,141.14528984,141.18429296,141.249298159,141.18529304,141.17929256,141.214295359,141.18029264,141.214295359,141.214295359,141.17829248,141.13828928,141.213295279,141.247297999,141.18429296,141.315303439,141.18029264,141.217295599,141.072284,141.18429296,141.1872932,141.211295119,141.216295519,141.211295119,111.615,111.646,111.621,111.643,111.661,111.655,111.612,111.636,111.609,111.616,111.597,111.629,111.628,111.637,111.609,111.588,111.609,111.609,111.6,111.595,111.603,111.592,111.597,111.583,111.622,111.571,111.578,111.597,111.572,111.608,111.595,111.608
FLQS31FWGRWY,-55.7563374765,-55.8643420044,-55.723336093,-55.8323406628,-55.8643420044,-55.8673421302,-55.7653378539,-55.7983392374,-55.7623377281,-55.7623377281,-55.7253361769,-55.830340579,-55.7593376023,-55.8333407047,-55.7623377281,-55.6913347514,-55.7623377281,-55.7623377281,-55.7273362607,-55.6903347095,-55.76333777,-55.7273362607,-55.7253361769,-55.7273362607,-55.7963391535,-55.6613334937,-55.6243319425,-55.7253361769,-55.6633335775,-55.7603376442,-55.7253361769,-55.7603376442,141.213337011,141.246339193,141.1103302,141.211336879,141.142332316,141.177334631,141.212336945,141.138332052,141.247339259,141.210336813,141.243338995,141.278341309,141.248339325,141.213337011,141.247339259,141.249339392,141.247339259,141.247339259,141.281341508,141.179334763,141.282341574,141.277341243,141.243338995,141.349346004,141.249339392,141.284341706,141.144332448,141.243338995,141.210336813,141.245339127,141.247339259,141.245339127,111.525,111.559,111.528,111.553,111.573,111.57,111.529,111.551,111.523,111.528,111.511,111.542,111.522,111.552,111.523,111.498,111.523,111.523,111.506,111.507,111.518,111.506,111.511,111.497,111.535,111.483,111.489,111.511,111.493,111.523,111.51,111.523
FLQS31CRGRWY,-56.149159339,-56.3422561789,-56.1101397703,-56.2231964693,-56.2602150345,-56.2582140309,-56.1471583354,-56.1841769006,-56.1521608443,-56.1541618478,-56.1121407738,-56.2221959675,-56.1501598407,-56.2221959675,-56.1521608443,-56.0781237139,-56.1521608443,-56.1521608443,-56.1151422791,-56.0801247174,-56.149159339,-56.1151422791,-56.1121407738,-56.1141417773,-56.1881789077,-56.044106654,-56.0090890924,-56.1121407738,-56.0421056505,-56.1501598407,-56.1501598407,-56.1501598407,141.001815527,141.052802081,140.866851119,140.968824227,140.929834509,140.966824754,141.00081579,140.899842419,141.035806563,141.00081579,141.034806826,141.070797335,141.039805508,141.002815263,141.035806563,141.039805508,141.035806563,141.035806563,141.036806299,140.969823963,141.067798126,141.068797862,141.034806826,141.138779407,141.035806563,141.07479628,140.936832664,141.034806826,141.006814208,141.031807617,141.010813154,141.031807617,111.706,111.767,111.712,111.737,111.756,111.749,111.706,111.733,111.703,111.708,111.689,111.722,111.702,111.732,111.703,111.676,111.703,111.703,111.69,111.687,111.697,111.685,111.689,111.675,111.716,111.659,111.666,111.689,111.668,111.702,111.706,111.702
FLQS319LGRWY,-55.961838283,-56.0619256299,-55.9328129524,-56.0318994258,-56.0699326176,-56.0308985523,-55.9608374095,-55.9998714748,-55.9638400299,-55.9668426503,-55.9258068381,-56.025894185,-55.9628391564,-56.0318994258,-55.9638400299,-55.8927780136,-55.9638400299,-55.9638400299,-55.927808585,-55.8937788871,-55.9638400299,-55.927808585,-55.9258068381,-55.9268077115,-55.9978697279,-55.8597491891,-55.8267203646,-55.9258068381,-55.8547448218,-55.9648409034,-55.9198015973,-55.9648409034,141.178159157,141.183159623,141.119153657,141.147156267,141.109152725,141.141155708,141.173158691,141.110152818,141.213162419,141.175158877,141.21016214,141.218162886,141.215162606,141.17915925,141.213162419,141.213162419,141.213162419,141.213162419,141.213162419,141.145156081,141.24116503,141.245165402,141.21016214,141.314171835,141.254166241,141.252166055,141.115153284,141.21016214,141.187159996,141.20716186,141.187159996,141.20716186,111.678,111.713,111.676,111.707,111.726,111.707,111.679,111.701,111.674,111.68,111.661,111.695,111.673,111.703,111.674,111.649,111.674,111.674,111.661,111.659,111.67,111.657,111.661,111.647,111.68,111.632,111.639,111.661,111.639,111.675,111.662,111.675
FLQS319HGRWY,-55.5504200542,-55.6584053194,-55.5154248294,-55.6274095489,-55.6684039551,-55.666404228,-55.5494201906,-55.5874150062,-55.5534196449,-55.5544195085,-55.5194242836,-55.6644045008,-55.5524197813,-55.6204105039,-55.5534196449,-55.479429741,-55.5534196449,-55.5534196449,-55.5154248294,-55.4784298774,-55.5464205999,-55.5204241472,-55.5194242836,-55.5194242836,-55.5884148698,-55.4454343797,-55.4094392913,-55.5194242836,-55.4394351983,-55.5594188263,-55.5184244201,-55.5594188263,141.203067765,141.234066244,141.09807292,141.199067962,141.160069876,141.195068158,141.198068011,141.125071595,141.235066195,141.198068011,141.261064918,141.273064329,141.238066047,141.201067864,141.235066195,141.240065949,141.235066195,141.235066195,141.238066047,141.168069484,141.265064722,141.298063102,141.261064918,141.342060942,141.234066244,141.275064231,141.134071153,141.261064918,141.206067618,141.258065065,141.266064673,141.258065065,111.386,111.419,111.388,111.413,111.433,111.428,111.386,111.41,111.382,111.388,111.367,111.416,111.382,111.411,111.382,111.356,111.382,111.382,111.369,111.365,111.376,111.362,111.367,111.356,111.395,111.339,111.346,111.367,111.346,111.381,111.366,111.381
FLQS317CGRWY,-55.6565507259,-55.7634787779,-55.6225735879,-55.7285023123,-55.7734720538,-55.7724727262,-55.6575500535,-55.6945251742,-55.6605480362,-55.6605480362,-55.6225735879,-55.7295016398,-55.6625466914,-55.7275029847,-55.6605480362,-55.5895957774,-55.6605480362,-55.6605480362,-55.6265708982,-55.5915944326,-55.6555513983,-55.624572243,-55.6225735879,-55.6265708982,-55.6945251742,-55.5546193118,-55.5146462083,-55.6225735879,-55.5526206566,-55.6545520707,-55.6225735879,-55.6545520707,141.112207273,141.144200972,141.009227555,141.074214756,141.068215937,141.103209045,141.106208454,141.037222042,141.145200775,141.108208061,141.144200972,141.178194276,141.177194473,141.112207273,141.145200775,141.177194473,141.145200775,141.145200775,141.174195064,141.108208061,141.172195458,141.178194276,141.144200972,141.252179705,141.146200578,141.212187581,141.046220269,141.144200972,141.143201168,141.139201956,141.142201365,141.139201956,111.533,111.566,111.535,111.564,111.58,111.575,111.534,111.557,111.53,111.535,111.517,111.549,111.526,111.558,111.53,111.5,111.53,111.53,111.514,111.51,111.524,111.513,111.517,111.503,111.542,111.483,111.492,111.517,111.492,111.528,111.517,111.528
FLQS3160GRWY,-55.9005889865,-56.0067116033,-55.8665496566,-56.0097150736,-56.0437544035,-56.0107162304,-55.9025913,-56.0117173871,-55.9416364138,-55.9426375705,-55.8675508133,-55.9726722734,-55.9015901433,-55.9736734302,-55.9416364138,-55.8305080131,-55.9416364138,-55.9416364138,-55.8655484998,-55.8305080131,-55.9035924568,-55.8645473431,-55.8675508133,-55.9035924568,-55.9416364138,-55.79746984,-55.7624293533,-55.8675508133,-55.7994721535,-55.9025913,-55.9025913,-55.9025913,141.101106479,141.099106449,140.960104374,141.033105464,140.997104926,141.028105389,141.062105897,140.967104478,141.101106479,141.064105926,141.095106389,141.132106942,141.102106494,141.067105971,141.101106479,141.101106479,141.101106479,141.101106479,141.100106464,141.030105419,141.128106882,141.169107494,141.095106389,141.199107942,141.136107001,141.139107046,140.996104911,141.095106389,141.066105956,141.091106329,141.107106568,141.091106329,111.447,111.485,111.455,111.495,111.512,111.496,111.453,111.505,111.461,111.467,111.436,111.468,111.447,111.478,111.461,111.422,111.461,111.461,111.435,111.432,111.444,111.425,111.436,111.434,111.457,111.406,111.413,111.436,111.417,111.449,111.447,111.449
FLQS3126GRWV,-55.8855213244,-55.9913273053,-55.8905121725,-56.0352467691,-55.9993126624,-56.0202742246,-55.8825268155,-55.9214554311,-55.9673712342,-55.9673712342,-55.8475908784,-55.992325475,-55.9254481096,-55.9843401179,-55.9673712342,-55.8555762354,-55.9673712342,-55.9673712342,-55.8915103422,-55.8535798962,-55.8815286459,-55.8505853873,-55.8475908784,-55.8885158333,-55.9224536008,-55.7787171738,-55.7437812367,-55.8475908784,-55.7737263257,-55.8815286459,-55.8455945391,-55.8815286459,141.181123438,141.258132233,141.082112131,141.161121154,141.152120126,141.154120355,141.189124352,141.114115786,141.232129264,141.197125266,141.222128121,141.227128692,141.22412835,141.191124581,141.232129264,141.257132119,141.232129264,141.232129264,141.256132005,141.154120355,141.257132119,141.254131776,141.222128121,141.327140114,141.256132005,141.256132005,141.113115672,141.222128121,141.193124809,141.221128007,141.220127893,141.221128007,111.829,111.856,111.844,111.884,111.873,111.88,111.827,111.851,111.851,111.856,111.81,111.86,111.837,111.862,111.851,111.808,111.851,111.851,111.821,111.822,111.817,111.807,111.81,111.81,111.832,111.781,111.789,111.81,111.788,111.822,111.81,111.822
