,Distance_X_LOGO_Camera_LD1,Distance_X_LOGO_Camera_LD2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_LD1,Distance_Y_LOGO_Camera_LD2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_LD1,Angle_Camera_LD2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-55.6239357926,-55.7299471054,-55.5839315236,-55.6929431566,-55.7309472121,-55.7279468919,-55.6049337648,-55.6599396347,-55.6239357926,-55.625936006,-55.57893099,-55.6939432633,-55.6239357926,-55.6879426229,-55.6239357926,-55.5479276815,-55.6239357926,-55.6239357926,-55.5879319505,-55.5519281084,-55.6199353657,-55.5879319505,-55.57893099,-55.5849316303,-55.6589395279,-55.5129239462,-55.4759199974,-55.57893099,-55.5069233058,-55.6209354724,-55.5849316303,-55.6209354724,141.367070682,141.404086935,141.232011381,141.337057504,141.296039494,141.32805355,141.339058382,141.296039494,141.404086935,141.366070242,141.372072878,141.439102309,141.405087374,141.370072,141.404086935,141.378075514,141.404086935,141.404086935,141.405087374,141.333055747,141.432099234,141.43710143,141.372072878,141.503130422,141.402086056,141.414091327,141.268027194,141.372072878,141.377075074,141.395082981,141.375074196,141.395082981,111.59,111.622,111.594,111.618,111.637,111.632,111.587,111.612,111.585,111.591,111.573,111.604,111.584,111.612,111.585,111.562,111.585,111.585,111.572,111.569,111.579,111.567,111.573,111.557,111.597,111.544,111.551,111.573,111.547,111.585,111.575,111.585
FLQS30KBGRWV,-55.8768726981,-55.9419470844,-55.8037891565,-55.9079081746,-55.9469528064,-55.9499562397,-55.8368269219,-55.8748704093,-55.8398303551,-55.8428337883,-55.8037891565,-55.9079081746,-55.8378280663,-55.908909319,-55.8398303551,-55.7667468135,-55.8398303551,-55.8398303551,-55.8017868677,-55.8057914453,-55.8378280663,-55.7997845789,-55.8037891565,-55.8027880121,-55.8748704093,-55.7337090481,-55.7006712827,-55.8037891565,-55.7347101925,-55.8368269219,-55.7987834345,-55.8368269219,141.183363333,141.215362056,141.074367685,141.148364731,141.106366407,141.186363213,141.178363533,141.106366407,141.213362136,141.173363732,141.208362335,141.247360778,141.215362056,141.183363333,141.213362136,141.215362056,141.213362136,141.213362136,141.216362016,141.121365808,141.241361018,141.206362415,141.208362335,141.313358143,141.213362136,141.256360419,141.113366128,141.208362335,141.227361577,141.203362535,141.219361896,141.203362535,111.585,111.604,111.575,111.601,111.62,111.611,111.572,111.595,111.568,111.575,111.556,111.587,111.567,111.597,111.568,111.542,111.568,111.568,111.555,111.569,111.564,111.555,111.556,111.541,111.581,111.525,111.533,111.556,111.53,111.569,111.553,111.569
FLQS30CWGRWV,-55.7157399347,-55.8207733774,-55.6847300611,-55.7857622298,-55.8077692369,-55.8227740144,-55.7127389792,-55.7517514008,-55.7177405717,-55.7217418457,-55.6797284686,-55.7857622298,-55.7177405717,-55.7847619113,-55.7177405717,-55.6457176395,-55.7177405717,-55.7177405717,-55.6817291056,-55.642716684,-55.7137392977,-55.6817291056,-55.6797284686,-55.7187408902,-55.7527517193,-55.6137074475,-55.5826975739,-55.6797284686,-55.608705855,-55.7147396162,-55.6767275131,-55.7147396162,141.22682069,141.264831946,141.121789587,141.199812692,141.121789587,141.192810618,141.224820097,141.157800251,141.263831649,141.222819505,141.259830465,141.297841721,141.265832242,141.231822171,141.263831649,141.304843794,141.263831649,141.263831649,141.264831946,141.164802325,141.288839055,141.293840536,141.259830465,141.335852977,141.262831353,141.303843498,141.161801436,141.259830465,141.279836389,141.251828095,141.271834019,141.251828095,111.387,111.419,111.391,111.416,111.434,111.43,111.387,111.41,111.383,111.39,111.37,111.402,111.383,111.411,111.383,111.352,111.383,111.383,111.37,111.371,111.378,111.366,111.37,111.374,111.396,111.341,111.35,111.37,111.343,111.384,111.368,111.384
FLQS30C7GRWV,-55.867233846,-56.0144954185,-55.8361786844,-55.9413655219,-55.9624028894,-55.9784313599,-55.9113121398,-55.9083068016,-55.9103103604,-55.8742463018,-55.8712409636,-55.9423673013,-55.9113121398,-55.9433690807,-55.9103103604,-55.840185802,-55.9103103604,-55.9103103604,-55.8762498606,-55.840185802,-55.872242743,-55.8742463018,-55.8712409636,-55.8742463018,-55.9083068016,-55.7680576849,-55.7339971851,-55.8712409636,-55.7700612437,-55.8712409636,-55.8732445224,-55.8712409636,141.197830345,141.237831714,141.092826753,141.159829045,141.094826822,141.164829216,141.19883038,141.125827882,141.234831611,141.194830243,141.232831543,141.265832672,141.234831611,141.197830345,141.234831611,141.234831611,141.234831611,141.234831611,141.233831577,141.168829353,141.264832637,141.26783274,141.232831543,141.332834964,141.230831474,141.26783274,141.127827951,141.232831543,141.197830345,141.230831474,141.233831577,141.230831474,111.472,111.518,111.476,111.504,111.52,111.516,111.487,111.497,111.482,111.475,111.469,111.489,111.482,111.499,111.482,111.458,111.482,111.482,111.47,111.467,111.465,111.465,111.469,111.456,111.482,111.428,111.435,111.469,111.438,111.469,111.469,111.469
FLQS29JFGRX5,-55.7011635871,-55.8101541237,-55.667166539,-55.7771569887,-55.8191533423,-55.8191533423,-55.7001636739,-55.7461596802,-55.7091628925,-55.7131625452,-55.6701662785,-55.7751571624,-55.7031634134,-55.7781569019,-55.7091628925,-55.6311696645,-55.7091628925,-55.7091628925,-55.667166539,-55.6361692304,-55.7001636739,-55.6711661917,-55.6701662785,-55.706163153,-55.7391602879,-55.5961727032,-55.5621756551,-55.6701662785,-55.6021721823,-55.7111627189,-55.6661666258,-55.7111627189,141.152606309,141.182608564,141.045598269,141.15460646,141.110603153,141.144605708,141.15460646,141.110603153,141.218611269,141.178608263,141.185608789,141.253613899,141.188609015,141.186608864,141.218611269,141.19160924,141.218611269,141.218611269,141.190609165,141.147605934,141.219611344,141.249613599,141.185608789,141.289616605,141.18960909,141.227611945,141.082601049,141.185608789,141.188609015,141.206610367,141.184608714,141.206610367,111.412,111.446,111.415,111.438,111.459,111.454,111.411,111.433,111.405,111.412,111.396,111.424,111.407,111.434,111.405,111.382,111.405,111.405,111.395,111.39,111.402,111.388,111.396,111.395,111.42,111.365,111.373,111.396,111.372,111.408,111.395,111.408
FLQS22XEGRX2,-55.7706233691,-55.9166119126,-55.7416256447,-55.8786148944,-55.9116123049,-55.9106123834,-55.7746230552,-55.8426177193,-55.8116201519,-55.8126200734,-55.7746230552,-55.8806147375,-55.8126200734,-55.8746152083,-55.8116201519,-55.7426255663,-55.8116201519,-55.8116201519,-55.7776228198,-55.7416256447,-55.7656237615,-55.7776228198,-55.7746230552,-55.7776228198,-55.8456174839,-55.6666315299,-55.6756308237,-55.7746230552,-55.7016287835,-55.7756229768,-55.7746230552,-55.7756229768,141.170253892,141.214251166,141.064260459,141.107257795,141.067260273,141.100258229,141.16125445,141.066260335,141.177253459,141.139255813,141.173253706,141.208251538,141.177253459,141.143255565,141.177253459,141.181253211,141.177253459,141.177253459,141.179253335,141.111257547,141.20225191,141.203251848,141.173253706,141.277247264,141.176253521,141.209251476,141.078259592,141.173253706,141.144255503,141.191252591,141.175253582,141.191252591,111.407,111.452,111.411,111.454,111.471,111.466,111.41,111.447,111.42,111.426,111.408,111.44,111.421,111.447,111.42,111.395,111.42,111.42,111.408,111.405,111.401,111.405,111.408,111.394,111.432,111.365,111.386,111.408,111.386,111.406,111.408,111.406
FLQS22TQGRX2,-55.9134608992,-55.9774843279,-55.8434352742,-55.9354689528,-55.9944905511,-55.9904890868,-55.8764473546,-55.9174623635,-55.9204634618,-55.8834499171,-55.8764473546,-55.9474733457,-55.8734462563,-55.9504744439,-55.9204634618,-55.8034206313,-55.9204634618,-55.9204634618,-55.8374330777,-55.799419167,-55.9134608992,-55.8394338099,-55.8764473546,-55.8804488189,-55.909459435,-55.7654067205,-55.7353957383,-55.8764473546,-55.7674074526,-55.8774477206,-55.8354323456,-55.8774477206,141.081577041,141.107575489,141.002581757,141.04557919,141.074577459,141.109575369,141.104575668,141.032579966,141.14357334,141.103575728,141.17657137,141.17657137,141.114575071,141.14457328,141.14357334,141.14357334,141.14357334,141.14357334,141.114575071,141.042579369,141.14557322,141.14357334,141.17657137,141.21256922,141.11157525,141.152572802,141.040579489,141.17657137,141.151572862,141.132573996,141.109575369,141.132573996,111.472,111.491,111.458,111.485,111.501,111.495,111.456,111.48,111.466,111.458,111.446,111.471,111.453,111.476,111.466,111.425,111.466,111.466,111.44,111.438,111.463,111.437,111.446,111.442,111.466,111.41,111.415,111.446,111.411,111.452,111.441,111.452
FLQS21YXGRX2,-55.5216642767,-55.6286385825,-55.5286625957,-55.6296383424,-55.6646299378,-55.6636301779,-55.5616546714,-55.5966462668,-55.564653951,-55.5656537109,-55.5286625957,-55.632637622,-55.564653951,-55.6276388227,-55.564653951,-55.49667028,-55.564653951,-55.564653951,-55.5306621155,-55.4946707602,-55.5616546714,-55.5296623556,-55.5286625957,-55.526663076,-55.5976460266,-55.4626784444,-55.4276868491,-55.5286625957,-55.4596791648,-55.5706525102,-55.5246635563,-55.5706525102,141.246784826,141.280783571,141.144788592,141.221785749,141.181787226,141.211786118,141.252784604,141.178787337,141.287783312,141.248784752,141.28378346,141.323781983,141.288783275,141.253784567,141.287783312,141.318782168,141.287783312,141.287783312,141.320782094,141.217785897,141.318782168,141.315782278,141.28378346,141.381779842,141.286783349,141.360780617,141.1797873,141.28378346,141.252784604,141.3097825,141.292783128,141.3097825,111.597,111.63,111.614,111.639,111.656,111.652,111.611,111.633,111.606,111.612,111.595,111.625,111.606,111.633,111.606,111.578,111.606,111.606,111.59,111.592,111.601,111.59,111.595,111.58,111.618,111.561,111.573,111.595,111.575,111.606,111.592,111.606
FLQS2AVTGRX5,-55.8311113428,-55.9391076895,-55.7981124591,-55.9051088396,-55.9401076556,-55.948107385,-55.8391110722,-55.8711099897,-55.8391110722,-55.8351112075,-55.7991124252,-55.9041088734,-55.838111106,-55.9091087043,-55.8391110722,-55.7621136768,-55.8391110722,-55.8391110722,-55.7991124252,-55.7621136768,-55.8411110045,-55.8011123576,-55.7991124252,-55.8001123914,-55.8761098206,-55.7301147593,-55.6931160109,-55.7991124252,-55.7271148608,-55.8291114104,-55.7981124591,-55.8291114104,141.139842787,141.173843713,141.038840037,141.104841834,141.067840827,141.134842651,141.163843441,141.064840745,141.205844584,141.139842787,141.17484374,141.207844639,141.21084472,141.170843631,141.205844584,141.178843849,141.205844584,141.205844584,141.175843767,141.107841916,141.230845265,141.207844639,141.17484374,141.279846599,141.204844557,141.211844747,141.072840963,141.17484374,141.143842896,141.172843686,141.17484374,141.172843686,111.497,111.53,111.5,111.528,111.545,111.539,111.497,111.522,111.491,111.499,111.481,111.513,111.49,111.52,111.491,111.468,111.491,111.491,111.481,111.477,111.488,111.477,111.481,111.467,111.504,111.452,111.458,111.481,111.46,111.492,111.481,111.492
FLQS3087GRWV,-56.0426943889,-56.1482437586,-56.0105269619,-56.1140658675,-56.1502542228,-56.1512594549,-56.0055008015,-56.0808932084,-56.0406839247,-56.0467153173,-56.0044955694,-56.0728513517,-56.043699621,-56.0778775121,-56.0406839247,-55.9743386066,-56.0406839247,-56.0406839247,-56.0085164978,-55.9743386066,-56.0346525322,-56.0075112657,-56.0044955694,-56.0075112657,-56.0738565838,-55.935134555,-55.9059828243,-56.0044955694,-55.9381502513,-56.0075112657,-56.0034903373,-56.0075112657,141.254360803,141.293360903,141.14736053,141.222360721,141.184360624,141.217360709,141.251360796,141.185360627,141.260360818,141.252360798,141.259360816,141.320360972,141.261360821,141.254360803,141.260360818,141.264360829,141.260360818,141.260360818,141.262360824,141.220360716,141.290360895,141.294360905,141.259360816,141.360361074,141.260360818,141.298360916,141.162360568,141.259360816,141.259360816,141.28036087,141.262360824,141.28036087,111.421,111.453,111.425,111.45,111.468,111.464,111.409,111.444,111.419,111.423,111.407,111.423,111.421,111.433,111.419,111.396,111.419,111.419,111.408,111.402,111.413,111.403,111.407,111.394,111.431,111.377,111.386,111.407,111.384,111.405,111.406,111.405
