SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS301EGRWQ____	-37.254	-37.109	-37.186	-37.186	-37.138	-37.171	-37.172	-37.172	-37.139	-37.256	-37.182	-37.186	-37.137	-37.142	-37.177	-37.186	-37.237	-37.174	-37.186	-37.177	-37.186	-37.206	-37.221	-37.187	-37.229	-37.171	-37.133	-37.223	-37.106	-37.138	-37.149	-37.133	-139.339	-139.340	-139.303	-139.303	-139.267	-139.300	-139.268	-139.268	-139.271	-139.235	-139.234	-139.303	-139.305	-139.271	-139.338	-139.303	-139.302	-139.304	-139.303	-139.267	-139.268	-139.235	-139.305	-139.303	-139.234	-139.300	-139.339	-139.339	-139.270	-139.267	-139.268	-139.339	254.835	254.891	254.858	254.858	254.872	254.863	254.859	254.859	254.873	254.824	254.852	254.858	254.877	254.871	254.865	254.858	254.838	254.862	254.858	254.857	254.854	254.843	254.845	254.858	254.834	254.863	254.882	254.847	254.885	254.872	254.869	254.882	2016_7_19_17_01_19
FLQS300VGRWQ____	-37.318	-37.174	-37.252	-37.252	-37.164	-37.246	-37.257	-37.257	-37.218	-37.279	-37.206	-37.252	-37.211	-37.248	-37.248	-37.252	-37.212	-37.254	-37.252	-37.244	-37.207	-37.277	-37.248	-37.252	-37.249	-37.246	-37.209	-37.250	-37.173	-37.164	-37.180	-37.209	-139.322	-139.323	-139.286	-139.286	-139.251	-139.285	-139.211	-139.211	-139.211	-139.219	-139.214	-139.286	-139.286	-139.252	-139.321	-139.286	-139.287	-139.245	-139.286	-139.252	-139.250	-139.217	-139.245	-139.287	-139.220	-139.285	-139.321	-139.323	-139.210	-139.251	-139.211	-139.321	254.696	254.751	254.718	254.718	254.747	254.720	254.708	254.708	254.723	254.700	254.728	254.718	254.733	254.715	254.723	254.718	254.733	254.712	254.718	254.717	254.731	254.701	254.715	254.717	254.712	254.720	254.738	254.722	254.740	254.747	254.737	254.738	2016_7_19_17_01_19
FLQS300RGRWY____	-36.923	-36.822	-36.860	-36.860	-36.807	-36.888	-36.890	-36.890	-36.853	-36.926	-36.847	-36.860	-36.852	-36.852	-36.889	-36.860	-36.861	-36.889	-36.860	-36.853	-36.855	-36.922	-36.889	-36.901	-36.891	-36.888	-36.850	-36.894	-36.814	-36.807	-36.856	-36.850	-139.461	-139.463	-139.381	-139.381	-139.388	-139.423	-139.393	-139.393	-139.393	-139.360	-139.356	-139.381	-139.427	-139.393	-139.460	-139.381	-139.427	-139.427	-139.381	-139.392	-139.389	-139.358	-139.429	-139.380	-139.356	-139.423	-139.461	-139.462	-139.391	-139.388	-139.392	-139.461	254.917	254.956	254.933	254.933	254.954	254.926	254.922	254.922	254.936	254.905	254.935	254.933	254.940	254.937	254.930	254.933	254.937	254.926	254.933	254.936	254.935	254.907	254.926	254.917	254.918	254.926	254.945	254.928	254.951	254.954	254.935	254.945	2016_7_19_17_01_19
FLQS300LGRWQ____	-37.112	-37.016	-37.048	-37.048	-37.004	-37.080	-37.088	-37.088	-37.052	-37.071	-37.043	-37.048	-37.009	-37.007	-37.042	-37.048	-37.050	-37.080	-37.048	-37.075	-37.040	-37.072	-37.042	-37.048	-37.045	-37.080	-37.045	-37.078	-37.008	-37.004	-36.968	-37.045	-139.392	-139.391	-139.354	-139.354	-139.319	-139.354	-139.281	-139.281	-139.280	-139.286	-139.284	-139.354	-139.315	-139.321	-139.388	-139.354	-139.355	-139.357	-139.354	-139.319	-139.319	-139.284	-139.316	-139.354	-139.287	-139.354	-139.390	-139.391	-139.321	-139.319	-139.280	-139.390	255.402	255.439	255.423	255.423	255.436	255.411	255.400	255.400	255.414	255.407	255.418	255.423	255.434	255.435	255.429	255.423	255.423	255.411	255.423	255.409	255.422	255.407	255.422	255.423	255.418	255.411	255.428	255.415	255.435	255.436	255.446	255.428	2016_7_19_17_01_19
FLQS300LGRWM____	-36.923	-36.822	-36.888	-36.888	-36.814	-36.888	-36.894	-36.894	-36.858	-36.927	-36.852	-36.888	-36.854	-36.855	-36.894	-36.888	-36.856	-36.895	-36.888	-36.891	-36.849	-36.926	-36.887	-36.890	-36.853	-36.888	-36.851	-36.889	-36.818	-36.814	-36.816	-36.851	-139.358	-139.357	-139.361	-139.361	-139.325	-139.359	-139.287	-139.287	-139.287	-139.253	-139.249	-139.361	-139.321	-139.288	-139.357	-139.361	-139.324	-139.322	-139.361	-139.287	-139.286	-139.252	-139.323	-139.361	-139.252	-139.359	-139.357	-139.358	-139.285	-139.325	-139.285	-139.357	254.967	255.006	254.981	254.981	255.006	254.981	254.971	254.971	254.985	254.955	254.983	254.981	254.990	254.986	254.978	254.981	254.989	254.974	254.981	254.972	254.988	254.955	254.977	254.980	254.983	254.981	254.995	254.980	255.000	255.006	255.001	254.995	2016_7_19_17_01_19
FLQS3009GRWQ____	-37.036	-36.939	-36.933	-36.933	-36.920	-36.998	-37.007	-37.007	-36.970	-36.998	-36.927	-36.933	-36.929	-36.971	-37.004	-36.933	-36.963	-37.005	-36.933	-36.995	-36.959	-37.034	-36.961	-36.971	-36.971	-36.998	-36.930	-36.966	-36.891	-36.920	-36.935	-36.930	-139.415	-139.417	-139.382	-139.382	-139.386	-139.420	-139.346	-139.346	-139.347	-139.311	-139.310	-139.382	-139.384	-139.348	-139.457	-139.382	-139.422	-139.381	-139.382	-139.387	-139.386	-139.310	-139.383	-139.382	-139.313	-139.420	-139.418	-139.418	-139.348	-139.386	-139.346	-139.418	254.844	254.882	254.880	254.880	254.885	254.859	254.848	254.848	254.862	254.848	254.875	254.880	254.882	254.862	254.861	254.880	254.873	254.852	254.880	254.857	254.871	254.834	254.870	254.865	254.858	254.859	254.885	254.871	254.893	254.885	254.876	254.885	2016_7_19_17_01_19
FLQS2F0LGRX5____	-37.204	-37.099	-37.134	-37.134	-37.091	-37.170	-37.170	-37.170	-37.133	-37.199	-37.127	-37.134	-37.128	-37.133	-37.172	-37.134	-37.138	-37.169	-37.134	-37.173	-37.136	-37.197	-37.165	-37.133	-37.130	-37.170	-37.129	-37.171	-37.092	-37.091	-37.095	-37.129	-139.341	-139.342	-139.307	-139.307	-139.269	-139.303	-139.272	-139.272	-139.273	-139.237	-139.234	-139.307	-139.304	-139.272	-139.340	-139.307	-139.308	-139.306	-139.307	-139.271	-139.271	-139.234	-139.307	-139.307	-139.235	-139.303	-139.341	-139.341	-139.270	-139.269	-139.271	-139.341	254.849	254.890	254.873	254.873	254.885	254.858	254.855	254.855	254.869	254.840	254.868	254.873	254.874	254.869	254.861	254.873	254.871	254.859	254.873	254.854	254.868	254.841	254.861	254.873	254.867	254.858	254.878	254.862	254.885	254.885	254.884	254.878	2016_7_19_17_01_19
FLQS2EQUGRX5____	-37.140	-37.036	-37.073	-37.073	-37.025	-37.113	-37.114	-37.114	-37.073	-37.144	-37.069	-37.073	-37.073	-37.073	-37.110	-37.073	-37.076	-37.111	-37.073	-37.111	-37.071	-37.143	-37.105	-37.073	-37.071	-37.113	-37.071	-37.112	-37.029	-37.025	-37.034	-37.071	-139.329	-139.330	-139.291	-139.291	-139.257	-139.291	-139.260	-139.260	-139.259	-139.225	-139.221	-139.291	-139.294	-139.260	-139.329	-139.291	-139.297	-139.295	-139.291	-139.258	-139.259	-139.224	-139.296	-139.293	-139.224	-139.291	-139.328	-139.330	-139.257	-139.257	-139.260	-139.328	255.383	255.423	255.405	255.405	255.419	255.389	255.386	255.386	255.401	255.370	255.399	255.405	255.405	255.402	255.394	255.405	255.404	255.390	255.405	255.386	255.402	255.371	255.393	255.405	255.398	255.389	255.409	255.394	255.418	255.419	255.416	255.409	2016_7_19_17_01_19
FLQS2DERGRX5____	-37.192	-37.088	-37.163	-37.163	-37.111	-37.155	-37.168	-37.168	-37.134	-37.192	-37.116	-37.163	-37.132	-37.120	-37.161	-37.163	-37.129	-37.123	-37.163	-37.159	-37.123	-37.187	-37.167	-37.160	-37.083	-37.155	-37.120	-37.158	-37.081	-37.111	-37.080	-37.120	-139.343	-139.346	-139.309	-139.309	-139.288	-139.306	-139.233	-139.233	-139.233	-139.240	-139.240	-139.309	-139.267	-139.276	-139.342	-139.309	-139.311	-139.269	-139.309	-139.273	-139.276	-139.238	-139.268	-139.310	-139.240	-139.306	-139.342	-139.344	-139.274	-139.288	-139.276	-139.342	254.938	254.978	254.946	254.946	254.964	254.948	254.936	254.936	254.949	254.928	254.957	254.946	254.953	254.959	254.950	254.946	254.959	254.957	254.946	254.944	254.958	254.929	254.940	254.947	254.969	254.948	254.966	254.951	254.974	254.964	254.974	254.966	2016_7_19_17_01_20
FLQS2CKUGRX5	-37.261	-37.156	-37.197	-37.197	-37.153	-37.232	-37.199	-37.199	-37.197	-37.262	-37.193	-37.197	-37.197	-37.193	-37.202	-37.197	-37.197	-37.235	-37.197	-37.195	-37.194	-37.261	-37.229	-37.194	-37.196	-37.232	-37.195	-37.229	-37.156	-37.153	-37.160	-37.195	-139.335	-139.334	-139.297	-139.297	-139.264	-139.298	-139.265	-139.265	-139.265	-139.230	-139.228	-139.297	-139.298	-139.265	-139.295	-139.297	-139.302	-139.300	-139.297	-139.267	-139.266	-139.228	-139.301	-139.298	-139.233	-139.298	-139.333	-139.333	-139.264	-139.264	-139.266	-139.333	254.770	254.810	254.791	254.791	254.804	254.777	254.787	254.787	254.787	254.759	254.785	254.791	254.791	254.789	254.788	254.791	254.791	254.776	254.791	254.788	254.789	254.759	254.779	254.792	254.785	254.777	254.795	254.782	254.803	254.804	254.802	254.795	2016_7_19_17_01_20
