,Distance_X_LOGO_Earphone_RU1,Distance_X_LOGO_Earphone_RU2,Distance_X_LOGO_Earphone_RU3,Distance_X_LOGO_Earphone_RU4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_RU1,Distance_Y_LOGO_Earphone_RU2,Distance_Y_LOGO_Earphone_RU3,Distance_Y_LOGO_Earphone_RU4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_RU1,Angle_Earphone_RU2,Angle_Earphone_RU3,Angle_Earphone_RU4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-35.8202945903,-35.717256348,-35.6812429817,-35.6812429817,-35.6812429817,-35.6802426105,-35.8282975606,-35.7252593183,-35.6042143928,-35.6812429817,-35.6782418679,-35.6812429817,-35.6052147641,-35.7622730558,-35.6422285016,-35.6052147641,-35.6412281304,-35.6482307293,-35.6432288729,-35.6432288729,-35.6812429817,-35.6052147641,-35.6772414966,-35.7272600608,-35.6812429817,-35.7232585757,-35.7262596896,-35.6442292442,-35.6812429817,-35.6832437243,-35.5982121651,-35.7142552341,140.075634121,140.090638581,140.128649879,140.128649879,140.128649879,140.163660285,140.078635013,140.16165969,140.093639473,140.128649879,140.058629067,140.128649879,140.167661474,140.16165969,140.165660879,140.163660285,140.10964423,140.169662069,140.203672177,140.203672177,140.089638284,140.163660285,140.168661771,140.05362758,140.089638284,140.052627283,140.12464869,140.215675745,140.089638284,140.093639473,140.093639473,140.165660879,104.317,104.276,104.258,104.258,104.258,104.255,104.32,104.272,104.232,104.258,104.264,104.258,104.225,104.286,104.24,104.226,104.245,104.242,104.237,104.237,104.262,104.226,104.253,104.283,104.262,104.282,104.276,104.236,104.262,104.262,104.23,104.268
FLQS310RGRWV,-36.4228922239,-36.3296877835,-36.2936086453,-36.2936086453,-36.2936086453,-36.2936086453,-36.2505141191,-36.3326943783,-36.2164393774,-36.2936086453,-36.2875954556,-36.2936086453,-36.2164393774,-36.3677713183,-36.2515163174,-36.2164393774,-36.2535207139,-36.2585317053,-36.2515163174,-36.2515163174,-36.2946108436,-36.2164393774,-36.2875954556,-36.2956130418,-36.2946108436,-36.2956130418,-36.3326943783,-36.2525185156,-36.2946108436,-36.2946108436,-36.204412998,-36.3296877835,139.977260436,140.018271353,140.052280406,140.052280406,140.052280406,140.087289725,140.01627082,140.051280139,140.017271086,140.052280406,139.981261501,140.052280406,140.056281471,140.087289725,140.053280672,140.052280406,139.946252182,140.053280672,140.085289192,140.085289192,140.01627082,140.052280406,140.051280139,139.981261501,140.01627082,139.982261767,140.015270554,140.052280406,140.01627082,140.018271353,140.017271086,140.057281737,104.485,104.445,104.428,104.428,104.428,104.425,104.415,104.443,104.402,104.428,104.433,104.428,104.398,104.453,104.412,104.399,104.423,104.414,104.409,104.409,104.432,104.399,104.426,104.436,104.432,104.436,104.447,104.412,104.432,104.432,104.398,104.441
FLQS3106GRWV,-36.2123526305,-36.1143300209,-36.079321946,-36.079321946,-36.079321946,-36.0803221768,-36.0333113334,-36.1203314052,-35.9983032585,-36.079321946,-36.0713201004,-36.079321946,-35.9983032585,-36.1543392493,-36.0343115641,-35.9983032585,-36.0373122562,-36.0913247146,-36.0353117948,-36.0353117948,-36.0813224075,-35.9983032585,-36.0723203311,-36.0813224075,-36.0813224075,-36.079321946,-36.1213316359,-36.0353117948,-36.0813224075,-36.0813224075,-35.9893011821,-36.1153302516,139.992717594,140.001722013,140.045743622,140.045743622,140.045743622,140.072756882,140.035738711,140.071756391,140.032737238,140.045743622,140.004723487,140.045743622,140.073757373,140.105773089,140.073757373,140.067754427,139.964703843,140.04374264,140.107774071,140.107774071,140.035738711,140.067754427,140.044743131,139.999721031,140.035738711,139.999721031,140.03473822,140.071756391,140.035738711,140.003722996,140.042742149,140.075758355,104.296,104.257,104.24,104.24,104.24,104.237,104.223,104.253,104.21,104.24,104.241,104.24,104.206,104.263,104.22,104.206,104.231,104.244,104.217,104.217,104.242,104.206,104.237,104.245,104.242,104.244,104.257,104.22,104.242,104.245,104.205,104.25
FLQS30ZQGRWV,-36.3134429499,-36.2154633401,-36.1794708303,-36.1794708303,-36.1794708303,-36.1404789448,-36.1404789448,-36.2234616755,-36.1034866431,-36.1794708303,-36.1794708303,-36.1794708303,-36.1024868512,-36.2604539772,-36.1404789448,-36.1034866431,-36.1434783206,-36.1444781125,-36.1384793609,-36.1384793609,-36.1804706223,-36.1034866431,-36.1764714545,-36.1814704142,-36.1804706223,-36.1804706223,-36.2234616755,-36.1404789448,-36.1804706223,-36.1804706223,-36.0944885157,-36.2154633401,139.985794748,140.025790975,140.024791069,140.024791069,140.024791069,140.096784278,140.028790692,140.059787768,140.027790786,140.024791069,139.994793899,140.024791069,140.062787485,140.095784372,140.06378739,140.061787579,139.958797294,140.059787768,140.094784466,140.094784466,140.023791163,140.061787579,140.028790692,139.987794559,140.023791163,139.98979437,140.023791163,140.06378739,140.023791163,139.988794465,140.028790692,140.061787579,104.477,104.436,104.422,104.422,104.422,104.4,104.406,104.435,104.392,104.422,104.425,104.422,104.388,104.446,104.403,104.389,104.414,104.405,104.399,104.399,104.422,104.389,104.42,104.426,104.422,104.426,104.439,104.403,104.422,104.426,104.389,104.432
FLQS30YUGRWV,-36.095070014,-35.9680979094,-35.9690976898,-35.9690976898,-35.9690976898,-35.9700974701,-35.9281066954,-36.0100886842,-35.8911148224,-35.9690976898,-35.9630990077,-35.9690976898,-35.890115042,-36.0450809965,-35.927106915,-35.8911148224,-35.9291064757,-35.9351051578,-35.9261071347,-35.9261071347,-35.9700974701,-35.8911148224,-35.9630990077,-35.9710972505,-35.9700974701,-35.9700974701,-36.0100886842,-35.927106915,-35.9700974701,-35.9700974701,-35.8771178975,-35.9680979094,140.024381083,140.066365007,140.097353141,140.097353141,140.097353141,140.133339361,140.068364241,140.097353141,140.067364624,140.097353141,140.031378404,140.097353141,140.103350844,140.134338978,140.103350844,140.099352375,140.004388739,140.099352375,140.135338595,140.135338595,140.064365772,140.099352375,140.102351227,140.028379552,140.064365772,140.027379935,140.063366155,140.103350844,140.064365772,140.063366155,140.069363858,140.101351609,104.347,104.294,104.291,104.291,104.291,104.288,104.278,104.307,104.264,104.291,104.295,104.291,104.26,104.317,104.275,104.261,104.285,104.278,104.271,104.271,104.295,104.261,104.288,104.299,104.295,104.298,104.311,104.275,104.295,104.295,104.259,104.29
FLQS30X6GRWY,-36.0166508671,-35.9247308749,-35.8467987075,-35.8467987075,-35.8467987075,-35.8477978379,-35.7978413204,-35.8877630519,-35.7618726278,-35.8467987075,-35.833810013,-35.8467987075,-35.7628717581,-35.9636969585,-35.7978413204,-35.7618726278,-35.7978413204,-35.8108300149,-35.7978413204,-35.7978413204,-35.8457995772,-35.7618726278,-35.8348091433,-35.8467987075,-35.8457995772,-35.8457995772,-35.8897613126,-35.7988404507,-35.8457995772,-35.8477978379,-35.7488839332,-35.8827674001,140.192774466,140.199775303,140.236779731,140.236779731,140.236779731,140.27178392,140.204775902,140.232779253,140.203775782,140.236779731,140.166771354,140.236779731,140.238779971,140.26978368,140.272784039,140.235779612,140.131767166,140.237779851,140.303787749,140.303787749,140.202775662,140.235779612,140.237779851,140.166771354,140.202775662,140.165771235,140.196774944,140.237779851,140.202775662,140.202775662,140.204775902,140.238779971,104.52,104.484,104.451,104.451,104.451,104.448,104.435,104.467,104.422,104.451,104.453,104.451,104.418,104.492,104.429,104.419,104.442,104.437,104.426,104.426,104.454,104.419,104.446,104.458,104.454,104.457,104.471,104.432,104.454,104.454,104.416,104.464
FLQS30X6GRWV,-36.3180659389,-36.2310418193,-36.1940315615,-36.1940315615,-36.1940315615,-36.1930312842,-36.1220116004,-36.2000332249,-36.0860016198,-36.1940315615,-36.1570213037,-36.1940315615,-36.0860016198,-36.234042651,-36.1210113231,-36.1190107687,-36.1220116004,-36.1580215809,-36.1560210265,-36.1560210265,-36.196032116,-36.1190107687,-36.1570213037,-36.1630229671,-36.196032116,-36.1620226899,-36.1990329477,-36.1230118776,-36.196032116,-36.196032116,-36.0779994019,-36.2310418193,140.069057047,140.112081024,140.147100539,140.147100539,140.147100539,140.181119497,140.112081024,140.145099424,140.113081581,140.147100539,140.076060951,140.147100539,140.148101097,140.181119497,140.146099982,140.147100539,140.042041993,140.148101097,140.182120055,140.182120055,140.113081581,140.147100539,140.146099982,140.076060951,140.113081581,140.076060951,140.109079351,140.146099982,140.113081581,140.111080466,140.114082139,140.150102212,104.686,104.648,104.631,104.631,104.631,104.627,104.607,104.633,104.593,104.631,104.624,104.631,104.589,104.643,104.603,104.602,104.614,104.617,104.613,104.613,104.635,104.602,104.617,104.626,104.635,104.625,104.636,104.604,104.635,104.635,104.59,104.645
FLQS30WFGRWV,-35.930685996,-35.8246485576,-35.7886358426,-35.7886358426,-35.7886358426,-35.7896361958,-35.7016051148,-35.8346520895,-35.6655923998,-35.7886358426,-35.7786323107,-35.7886358426,-35.6645920466,-35.8706648044,-35.7436199489,-35.6655923998,-35.7346167702,-35.7556241872,-35.7446203021,-35.7446203021,-35.7886358426,-35.6655923998,-35.8186464384,-35.7896361958,-35.7886358426,-35.7876354894,-35.8346520895,-35.7446203021,-35.7886358426,-35.7896361958,-35.6936022892,-35.8686640981,139.972338759,139.990338031,140.023336697,140.023336697,140.023336697,140.059335241,140.022336737,140.023336697,140.021336778,140.023336697,139.987338153,140.023336697,140.06133516,140.059335241,140.057335322,140.056335362,139.97033884,140.025336616,140.092333906,140.092333906,139.986338193,140.056335362,140.026336575,139.951339609,139.986338193,139.950339649,140.017336939,140.056335362,139.986338193,139.988338112,139.996337789,140.059335241,104.255,104.212,104.195,104.195,104.195,104.192,104.162,104.213,104.148,104.195,104.195,104.195,104.144,104.223,104.174,104.145,104.18,104.182,104.171,104.171,104.199,104.145,104.207,104.202,104.199,104.202,104.213,104.175,104.199,104.199,104.162,104.222
FLQS30VBGRWV,-36.4248984434,-36.2897689768,-36.2957747308,-36.2957747308,-36.2957747308,-36.2537344523,-36.2096922558,-36.2987776079,-36.1756596494,-36.2957747308,-36.2467277393,-36.2957747308,-36.1756596494,-36.3338111733,-36.2106932148,-36.1756596494,-36.2136960919,-36.220702805,-36.2096922558,-36.2096922558,-36.2547354114,-36.1756596494,-36.2467277393,-36.2557363704,-36.2547354114,-36.2547354114,-36.2977766489,-36.2116941738,-36.2547354114,-36.2947737718,-36.1646491003,-36.3308082963,139.996865042,140.037867053,140.077869014,140.077869014,140.077869014,140.109870584,140.039867151,140.07186872,140.038867102,140.077869014,140.004865435,140.077869014,140.076868965,140.107870486,140.075868916,140.072868769,139.969863718,140.073868818,140.108870535,140.108870535,140.037867053,140.072868769,140.073868818,140.002865336,140.037867053,140.002865336,140.035866955,140.074868867,140.037867053,140.037867053,140.039867151,140.079869113,104.652,104.597,104.595,104.595,104.595,104.576,104.566,104.597,104.553,104.595,104.583,104.595,104.549,104.607,104.563,104.549,104.574,104.566,104.559,104.559,104.583,104.549,104.576,104.587,104.583,104.587,104.6,104.563,104.583,104.598,104.549,104.608
FLQS30UFGRWV,-36.0709723084,-35.9731053293,-35.9381528368,-35.9381528368,-35.9381528368,-35.9381528368,-35.8492736414,-35.9770998999,-35.8143211489,-35.9381528368,-35.8852247766,-35.9381528368,-35.8123238636,-35.9721066867,-35.8492736414,-35.8133225062,-35.8522695694,-35.8652519237,-35.8492736414,-35.8492736414,-35.8992057736,-35.8133225062,-35.8852247766,-35.9002044163,-35.8992057736,-35.898207131,-35.9770998999,-35.8502722841,-35.8992057736,-35.9401501221,-35.8053333651,-35.9341582662,140.059943256,140.100959931,140.13497376,140.13497376,140.13497376,140.171988809,140.100959931,140.132972947,140.099959525,140.13497376,140.067946509,140.13497376,140.136974574,140.170988403,140.135974167,140.133973354,140.031931867,140.13797498,140.169987996,140.169987996,140.102960745,140.133973354,140.135974167,140.066946103,140.102960745,140.067946509,140.096958305,140.135974167,140.102960745,140.099959525,140.105961965,140.141976607,104.309,104.268,104.251,104.251,104.251,104.247,104.22,104.266,104.207,104.251,104.237,104.251,104.202,104.26,104.217,104.203,104.228,104.223,104.213,104.213,104.239,104.203,104.23,104.243,104.239,104.242,104.27,104.217,104.239,104.255,104.203,104.249
FLQS30TYGRWV,-36.1552381439,-36.0432126183,-36.0562155811,-36.0562155811,-36.0562155811,-36.0092048695,-35.9641946137,-36.0982251532,-35.9281864091,-36.0562155811,-35.9992025904,-36.0562155811,-35.9271861812,-36.0872226462,-35.9631943858,-35.9271861812,-35.9651948416,-35.9761973486,-36.0022032742,-36.0022032742,-36.0552153532,-35.9271861812,-35.9982023625,-36.0522146695,-36.0552153532,-36.0082046416,-36.0982251532,-35.9651948416,-36.0552153532,-36.0102050974,-35.91818413,-36.0432126183,139.989694054,140.032697339,140.027696957,140.027696957,140.027696957,140.10170261,140.027696957,140.02669688,140.02669688,140.027696957,139.964692144,140.027696957,140.064699783,140.099702457,140.064699783,140.060699478,139.928689393,140.066699936,140.098702381,140.098702381,139.992694283,140.060699478,140.034697491,139.993694359,139.992694283,139.994694436,139.99069413,140.063699707,139.992694283,140.032697339,140.00169497,140.069700165,104.486,104.439,104.444,104.444,104.444,104.419,104.408,104.46,104.395,104.444,104.428,104.444,104.391,104.449,104.405,104.391,104.419,104.409,104.416,104.416,104.447,104.391,104.421,104.446,104.447,104.429,104.464,104.406,104.447,104.426,104.393,104.435
FLQS30T7GRWV,-36.2624361125,-36.1715453042,-36.1355885009,-36.1355885009,-36.1355885009,-36.1355885009,-36.0936388971,-36.1385849012,-36.0197276903,-36.1355885009,-36.0886448966,-36.1355885009,-36.0576820938,-36.1735429044,-36.0956364973,-36.0586808939,-36.0546856935,-36.0986328975,-36.0946376972,-36.0946376972,-36.0976340975,-36.0586808939,-36.1305945005,-36.1355885009,-36.0976340975,-36.1355885009,-36.1395837013,-36.0946376972,-36.0976340975,-36.1355885009,-36.0077420892,-36.1715453042,140.045115752,140.087120286,140.121123956,140.121123956,140.121123956,140.15812795,140.123124172,140.120123848,140.093120934,140.121123956,140.05611694,140.121123956,140.160128166,140.188131189,140.15812795,140.157127842,140.053116616,140.120123848,140.154127518,140.154127518,140.092120826,140.157127842,140.121123956,140.052116508,140.092120826,140.053116616,140.117123524,140.15812795,140.092120826,140.08512007,140.121123956,140.12412428,104.424,104.385,104.368,104.368,104.368,104.364,104.352,104.369,104.326,104.368,104.356,104.368,104.334,104.376,104.349,104.335,104.344,104.354,104.349,104.349,104.356,104.335,104.366,104.375,104.356,104.375,104.37,104.349,104.356,104.372,104.319,104.381
FLQS30S7GRWV,-36.4317588585,-36.3327160167,-36.2967004378,-36.2967004378,-36.2967004378,-36.3337164494,-36.2936991396,-36.3407194786,-36.2166658182,-36.2967004378,-36.2876965431,-36.2967004378,-36.2156653855,-36.3767350575,-36.2536818298,-36.2166658182,-36.252681397,-36.2626857245,-36.2516809643,-36.2516809643,-36.2967004378,-36.2166658182,-36.2896974086,-36.2967004378,-36.2967004378,-36.2977008706,-36.3397190459,-36.2926987069,-36.2967004378,-36.2967004378,-36.2406762041,-36.3317155839,139.874853916,139.915844203,139.915844203,139.915844203,139.915844203,139.951835674,139.923842307,139.949836147,139.919843255,139.915844203,139.850859602,139.915844203,139.92484207,139.983828092,139.957834252,139.9538352,139.815867894,139.951835674,139.989826671,139.989826671,139.880852495,139.9538352,139.9538352,139.84386126,139.880852495,139.879852731,139.913844676,139.925841833,139.880852495,139.879852731,139.893849415,139.954834963,104.571,104.529,104.515,104.515,104.515,104.526,104.513,104.528,104.484,104.515,104.518,104.515,104.483,104.539,104.494,104.48,104.508,104.498,104.491,104.491,104.518,104.48,104.508,104.522,104.518,104.519,104.532,104.512,104.518,104.519,104.496,104.525
FLQS30RRGRWV,-36.128119326,-36.0211959215,-35.9852216919,-35.9852216919,-35.9852216919,-36.0281909105,-35.9382553366,-36.0731586975,-35.9012818229,-35.9852216919,-35.9762281345,-35.9852216919,-35.9002825387,-36.0641651401,-35.9372560525,-35.9012818229,-35.9422524732,-35.9522453148,-35.9372560525,-35.9372560525,-36.0291901947,-35.9012818229,-35.973230282,-36.0301894788,-36.0291901947,-36.0281909105,-36.0731586975,-35.9392546208,-36.0291901947,-35.986220976,-35.8902896972,-36.0201966373,139.945778295,139.987786633,140.024793979,140.024793979,140.024793979,140.059800928,139.988786832,140.022793582,139.986786435,140.024793979,139.954780082,140.024793979,140.024793979,140.055800134,140.023793781,140.021793383,139.920773332,140.023793781,140.057800531,140.057800531,139.986786435,140.021793383,140.022793582,139.951779486,139.986786435,139.951779486,139.985786236,140.023793781,139.986786435,139.988786832,139.991787427,140.023793781,104.408,104.363,104.345,104.345,104.345,104.358,104.331,104.379,104.317,104.345,104.349,104.345,104.313,104.373,104.327,104.313,104.339,104.333,104.323,104.323,104.366,104.313,104.341,104.37,104.366,104.369,104.383,104.328,104.366,104.349,104.312,104.359
FLQS30R2GRWV,-35.81568295,-35.7166229787,-35.6796005652,-35.6796005652,-35.6796005652,-35.6796005652,-35.6745975364,-35.7616502384,-35.5985514978,-35.6796005652,-35.671595719,-35.6796005652,-35.5985514978,-35.7576478153,-35.6355739113,-35.5985514978,-35.6765987479,-35.6465805748,-35.6355739113,-35.6355739113,-35.680601171,-35.5985514978,-35.6725963248,-35.719624796,-35.680601171,-35.719624796,-35.7616502384,-35.6365745171,-35.680601171,-35.680601171,-35.584543017,-35.7166229787,140.118962617,140.161962299,140.197962032,140.197962032,140.197962032,140.232961773,140.167962254,140.198962025,140.159962314,140.197962032,140.126962558,140.197962032,140.199962017,140.230961788,140.198962025,140.194962054,140.097962773,140.197962032,140.230961788,140.230961788,140.161962299,140.194962054,140.198962025,140.129962536,140.161962299,140.129962536,140.163962284,140.19696204,140.161962299,140.163962284,140.165962269,140.198962025,104.438,104.396,104.378,104.378,104.378,104.375,104.379,104.409,104.351,104.378,104.382,104.378,104.347,104.405,104.361,104.347,104.387,104.365,104.358,104.358,104.382,104.347,104.375,104.4,104.382,104.4,104.413,104.362,104.382,104.382,104.345,104.392
FLQS30QXGRWV,-36.3721083145,-36.2791387104,-36.2441501498,-36.2441501498,-36.2441501498,-36.2061625696,-36.1631766237,-36.2861364226,-36.1271883899,-36.2441501498,-36.2381521108,-36.2441501498,-36.1251890435,-36.3221246564,-36.1631766237,-36.1271883899,-36.1661756432,-36.2101612623,-36.1631766237,-36.1631766237,-36.2441501498,-36.1271883899,-36.239151784,-36.2441501498,-36.2441501498,-36.2441501498,-36.2861364226,-36.1641762968,-36.2441501498,-36.2451498229,-36.1561789116,-36.2801383836,139.985623901,140.026640493,140.063655465,140.063655465,140.063655465,140.101670842,140.026640493,140.061654656,140.025640088,140.063655465,139.993627139,140.063655465,140.063655465,140.097669224,140.061654656,140.060654251,139.957612571,140.063655465,140.096668819,140.096668819,140.027640897,140.060654251,140.063655465,139.992626734,140.027640897,139.990625925,140.026640493,140.06265506,140.027640897,140.027640897,140.030642111,140.06465587,104.422,104.382,104.365,104.365,104.365,104.347,104.338,104.381,104.324,104.365,104.37,104.365,104.319,104.391,104.334,104.32,104.346,104.352,104.331,104.331,104.369,104.32,104.363,104.372,104.369,104.372,104.385,104.335,104.369,104.369,104.335,104.379
FLQS30QPGRWV,-36.0845669772,-35.9885148926,-35.9504942758,-35.9504942758,-35.9504942758,-35.9534959034,-35.9114731164,-35.9935176053,-35.8784552124,-35.9504942758,-35.9474926481,-35.9504942758,-35.8784552124,-36.0305376796,-35.9144747441,-35.8784552124,-35.9134742015,-35.9174763717,-35.9134742015,-35.9134742015,-35.9514948183,-35.8784552124,-35.9474926481,-35.9514948183,-35.9514948183,-35.9534959034,-35.9945181479,-35.9134742015,-35.9514948183,-35.9514948183,-35.8614459891,-35.985513265,140.107470239,140.149483874,140.145482575,140.145482575,140.145482575,140.218506274,140.151484523,140.181494262,140.153485172,140.145482575,140.079461149,140.145482575,140.189496859,140.217505949,140.18749621,140.186495885,140.080461473,140.182494587,140.217505949,140.217505949,140.112471862,140.186495885,140.148483549,140.077460499,140.112471862,140.113472186,140.145482575,140.186495885,140.112471862,140.110471212,140.147483224,140.149483874,104.427,104.386,104.372,104.372,104.372,104.366,104.357,104.385,104.344,104.372,104.377,104.372,104.34,104.396,104.354,104.34,104.364,104.356,104.351,104.351,104.376,104.34,104.37,104.379,104.376,104.376,104.389,104.354,104.376,104.376,104.338,104.385
FLQS30QMGRWV,-36.1727037358,-36.07165428,-36.0376376314,-36.0376376314,-36.0376376314,-36.0376376314,-36.0296337141,-36.1176768044,-35.9605999275,-36.0376376314,-36.0276327348,-36.0376376314,-35.991615107,-36.1536944323,-36.0286332245,-35.9585989481,-36.0296337141,-36.0036209829,-35.9936160863,-35.9936160863,-36.0766567283,-35.9585989481,-36.0286332245,-36.0376376314,-36.0766567283,-36.0736552593,-36.1176768044,-36.0316346935,-36.0766567283,-36.0766567283,-35.9495945412,-36.07165428,140.038898206,140.080907175,140.116914863,140.116914863,140.116914863,140.151922337,140.077906534,140.116914863,140.076906321,140.116914863,140.045899701,140.116914863,140.113914222,140.15292255,140.113914222,140.111913795,140.0088918,140.116914863,140.150922123,140.150922123,140.077906534,140.111913795,140.114914436,140.043899274,140.077906534,140.041898847,140.080907175,140.113914222,140.077906534,140.079906962,140.085908243,140.11891529,104.344,104.301,104.285,104.285,104.285,104.281,104.285,104.315,104.259,104.285,104.288,104.285,104.267,104.326,104.282,104.255,104.292,104.272,104.265,104.265,104.303,104.255,104.281,104.292,104.303,104.306,104.319,104.283,104.303,104.303,104.254,104.297
FLQS30Q9GRWY,-36.0749756267,-36.0149856448,-35.9429976665,-35.9429976665,-35.9429976665,-35.9429976665,-35.8990050131,-35.9839908208,-35.863011024,-35.9429976665,-35.9309996701,-35.9429976665,-35.8600115249,-36.0539791331,-35.9369986683,-35.8620111909,-35.8980051801,-35.9090033434,-35.8980051801,-35.8980051801,-35.9439974995,-35.8620111909,-35.9359988353,-35.9439974995,-35.9439974995,-35.9449973326,-35.9829909878,-35.9379985014,-35.9439974995,-35.9439974995,-35.8470136954,-36.0169853109,140.041677338,140.046676398,140.083669445,140.083669445,140.083669445,140.119662679,140.080670009,140.080670009,140.050675646,140.083669445,140.01868166,140.083669445,140.117663055,140.149657042,140.121662304,140.113663807,139.977689365,140.115663431,140.147657417,140.147657417,140.050675646,140.113663807,140.087668693,140.012682788,140.050675646,140.011682976,140.078670384,140.121662304,140.050675646,140.048676022,140.051675458,140.081669821,104.31,104.287,104.255,104.255,104.255,104.252,104.238,104.271,104.228,104.255,104.257,104.255,104.22,104.291,104.249,104.221,104.248,104.239,104.232,104.232,104.259,104.221,104.252,104.263,104.259,104.263,104.271,104.249,104.259,104.259,104.221,104.284
FLQS30Q9GRWV,-36.229651519,-36.1375430839,-36.0994982955,-36.0994982955,-36.0994982955,-36.1004994742,-36.0604523285,-36.1425489771,-36.0264122547,-36.0994982955,-36.0614535071,-36.0994982955,-36.025411076,-36.1775902296,-36.0604523285,-36.025411076,-36.0624546858,-36.0654582217,-36.0604523285,-36.0604523285,-36.1004994742,-36.025411076,-36.095493581,-36.1004994742,-36.1004994742,-36.1004994742,-36.1415477985,-36.0614535071,-36.1004994742,-36.1015006528,-36.0234087187,-36.1375430839,140.015300589,140.056312394,140.063314409,140.063314409,140.063314409,140.097324198,140.023302893,140.061313833,140.021302317,140.063314409,139.990293391,140.063314409,140.057312682,140.129333411,140.060313545,140.055312106,139.954283027,140.061313833,140.095323622,140.095323622,140.025303468,140.055312106,140.060313545,139.988292816,140.025303468,139.989293103,140.025303468,140.058312969,140.025303468,140.027304044,140.027304044,140.091322471,104.466,104.427,104.412,104.412,104.412,104.409,104.401,104.428,104.388,104.412,104.404,104.412,104.384,104.435,104.397,104.384,104.408,104.399,104.393,104.393,104.416,104.384,104.41,104.419,104.416,104.419,104.431,104.397,104.416,104.416,104.386,104.423
FLQS30Q3GRWV,-36.4978996147,-36.3978478051,-36.3628296718,-36.3628296718,-36.3628296718,-36.3628296718,-36.3158053213,-36.4058519499,-36.2787861517,-36.3628296718,-36.3538250089,-36.3628296718,-36.2777856337,-36.4418706014,-36.3158053213,-36.2787861517,-36.3058001403,-36.3308130927,-36.3178063575,-36.3178063575,-36.3638301899,-36.2787861517,-36.3528244908,-36.3608286356,-36.3638301899,-36.3608286356,-36.4058519499,-36.3188068756,-36.3638301899,-36.3638301899,-36.270782007,-36.3978478051,139.889287915,139.936280957,139.972275628,139.972275628,139.972275628,140.007270447,139.939280513,139.971275776,139.933281402,139.972275628,139.905285547,139.972275628,139.972275628,140.005270743,139.974275332,139.969276072,139.877289692,139.974275332,140.009270151,140.009270151,139.935281106,139.969276072,139.972275628,139.903285843,139.935281106,139.902285991,139.934281254,139.97327548,139.935281106,139.938280661,139.947279329,139.97327548,104.573,104.53,104.513,104.513,104.513,104.51,104.499,104.53,104.485,104.513,104.517,104.513,104.481,104.54,104.495,104.482,104.501,104.501,104.492,104.492,104.517,104.482,104.51,104.52,104.517,104.519,104.534,104.496,104.517,104.517,104.481,104.527
