,Distance_X_LOGO_Nfc_Up1,Distance_X_LOGO_Nfc_Up2,Distance_X_LOGO_Nfc_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Nfc_Up1,Distance_Y_LOGO_Nfc_Up2,Distance_Y_LOGO_Nfc_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Nfc_Up1,Angle_Nfc_Up2,Angle_Nfc_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-66.9073018829,-66.8012617825,-66.7292345444,-66.8502803195,-66.8852935602,-66.9203068009,-66.8032625391,-66.8352746449,-66.7672489201,-66.8732890205,-66.9063015046,-66.8152670788,-66.7102273566,-66.9203068009,-66.8502803195,-66.9203068009,-66.8022621608,-66.8042629174,-66.8152670788,-66.780253838,-66.8012617825,-66.8372754015,-66.8372754015,-66.7452405973,-66.8152670788,-66.7452405973,-66.7102273566,-66.7102273566,-66.6752141159,-66.6291967138,-66.7452405973,-66.7002235735,144.288595361,144.286593549,144.291598078,144.367666928,144.367666928,144.262571807,144.32062435,144.388685952,144.290597172,144.322626162,144.285592643,144.157476685,144.367666928,144.332635221,144.332635221,144.227540099,144.324627974,144.297603514,144.367666928,144.367666928,144.420714942,144.318622538,144.395692294,144.437730342,144.542825464,144.542825464,144.577857171,144.542825464,144.472762049,144.510796474,144.437730342,144.638912432,114.863,114.828,114.804,114.832,114.843,114.871,114.824,114.824,114.816,114.846,114.863,114.852,114.786,114.86,114.837,114.876,114.823,114.828,114.821,114.809,114.808,114.835,114.823,114.787,114.794,114.771,114.754,114.76,114.759,114.738,114.787,114.742
FLQS310RGRWV,-67.5354309825,-67.4301950176,-67.3600377078,-67.4652736726,-67.5003523275,-67.5354309825,-67.4301950176,-67.4161635557,-67.3951163627,-67.4502399633,-67.5354309825,-67.4301950176,-67.3249590528,-67.5354309825,-67.4652736726,-67.4863208656,-67.4301950176,-67.4652736726,-67.4301950176,-67.3951163627,-67.4301950176,-67.449237716,-67.4652736726,-67.3600377078,-67.4301950176,-67.3600377078,-67.3249590528,-67.3249590528,-67.2898803979,-67.254801743,-67.3600377078,-67.3249590528,143.924131236,143.924131236,143.924131236,143.994147353,143.994147353,143.959139295,143.959139295,144.032156103,143.924131236,143.968141367,143.924131236,143.854115118,143.994147353,143.959139295,143.959139295,143.932133078,143.959139295,143.924131236,143.994147353,143.994147353,144.064163471,143.959139295,144.029155412,144.134179589,144.239203765,144.169187648,144.204195706,144.169187648,144.169187648,144.134179589,144.134179589,144.274211824,115.021,114.986,114.963,114.987,114.998,115.015,114.981,114.965,114.975,114.986,115.021,114.997,114.941,115.015,114.992,115.003,114.981,114.998,114.976,114.964,114.965,114.987,114.982,114.931,114.938,114.926,114.909,114.915,114.903,114.897,114.931,114.899
FLQS3106GRWV,-67.0954821061,-66.9914689569,-66.9264607387,-67.0254732557,-67.0604776809,-67.0964822325,-66.9934692098,-67.0294737614,-66.9564645317,-67.0614778073,-67.0954821061,-66.9924690834,-66.8904561871,-67.0954821061,-67.0274735086,-67.0954821061,-66.9924690834,-67.0264733821,-66.9954694627,-66.9584647846,-66.9924690834,-67.0274735086,-67.0264733821,-66.9244604858,-66.9934692098,-66.9254606123,-66.8864556813,-66.8884559342,-66.8514512561,-66.8174469573,-66.922460233,-66.8864556813,144.202733455,144.201732701,144.217744774,144.274787786,144.27779005,144.237759866,144.234757602,144.307812688,144.202733455,144.236759112,144.200731946,144.129678369,144.281793069,144.236759112,144.238760621,144.202733455,144.235758357,144.20373421,144.273787032,144.273787032,144.339836835,144.236759112,144.307812688,144.407888148,144.513968136,144.444916069,144.483945498,144.445916823,144.45392286,144.415894185,144.413892676,144.562004357,114.755,114.721,114.697,114.721,114.732,114.75,114.717,114.718,114.71,114.739,114.755,114.732,114.676,114.75,114.728,114.755,114.716,114.732,114.712,114.7,114.701,114.728,114.717,114.668,114.675,114.663,114.644,114.651,114.637,114.632,114.667,114.632
FLQS30ZQGRWV,-67.3489840991,-67.2450072814,-67.1730233307,-67.2799994796,-67.315991455,-67.3509836533,-67.2470068356,-67.2789997025,-67.2100150831,-67.3149916779,-67.347984322,-67.2450072814,-67.1380311324,-67.347984322,-67.2779999255,-67.3499838762,-67.2450072814,-67.2789997025,-67.2440075043,-67.2120146373,-67.2460070585,-67.2809992567,-67.2809992567,-67.1750228849,-67.2490063898,-67.1720235536,-67.1410304637,-67.1400306866,-67.1060382654,-67.0710460672,-67.176022662,-67.1420302408,143.931640247,143.93963906,143.938639208,144.003629563,144.004629415,143.965635202,143.966635053,144.034624963,143.936639505,143.967634905,143.930640395,143.867649743,144.015627783,143.967634905,143.965635202,143.931640247,143.97063446,143.934639801,144.004629415,144.00162986,144.070619622,143.967634905,144.03862437,144.139609384,144.249593062,144.176603893,144.212598552,144.176603893,144.183602855,144.152607455,144.140609235,144.290586978,115.011,114.975,114.952,114.977,114.989,115.006,114.972,114.972,114.965,114.994,115.011,114.986,114.929,115.005,114.982,115.011,114.971,114.987,114.965,114.955,114.956,114.983,114.972,114.922,114.929,114.915,114.9,114.905,114.893,114.886,114.922,114.888
FLQS30YUGRWV,-67.147626451,-67.0456497987,-66.9706669662,-67.0806417873,-67.1156337758,-67.1506257643,-67.0456497987,-67.077642474,-67.0096580391,-67.1126344625,-67.1466266799,-67.0436502565,-66.9356749776,-67.1486262221,-67.0756429318,-67.1486262221,-67.0436502565,-67.0786422451,-67.0396511721,-67.0106578102,-67.0446500276,-67.0826413295,-67.0806417873,-66.9756658217,-67.0506486542,-66.9726665084,-66.9426733753,-66.9416736042,-66.9086811579,-66.8736891694,-66.9746660506,-66.9416736042,143.92319142,143.924190651,143.924190651,143.995136029,143.993137568,143.954167571,143.961162186,144.021116027,143.924190651,143.959163725,143.92219219,143.853245273,143.994136798,143.959163725,143.955166802,143.920193728,143.962161417,143.924190651,143.98214603,143.988141414,144.05508987,143.956166033,144.028110642,144.135028324,144.245942929,144.166004475,144.213967548,144.171999859,144.178994474,144.146019861,144.126035248,144.27691908,114.894,114.86,114.836,114.861,114.873,114.89,114.855,114.856,114.849,114.877,114.894,114.87,114.814,114.889,114.866,114.895,114.854,114.871,114.849,114.839,114.84,114.867,114.856,114.805,114.813,114.8,114.783,114.788,114.777,114.77,114.807,114.773
FLQS30X6GRWY,-67.1207875205,-67.0178813684,-66.9449478819,-67.0528494783,-67.0888166771,-67.1227856983,-67.0208786349,-67.0508513006,-66.9849114361,-67.1207875205,-67.1207875205,-67.0498522118,-66.9079815942,-67.1207875205,-67.0488531229,-67.1227856983,-67.0168822795,-67.0518503895,-67.013885013,-66.9849114361,-67.0168822795,-67.0878175883,-67.0528494783,-66.9449478819,-67.0188804572,-66.9399524376,-66.9099797719,-66.9089806831,-66.8780089285,-66.8440399074,-66.9449478819,-66.9089806831,144.15047894,144.14747868,144.14747868,144.220485,144.218484827,144.181481623,144.181481623,144.242486905,144.14747868,144.145478507,144.146478593,144.042469589,144.218484827,144.18548197,144.176481191,144.115475909,144.183481797,144.149478853,144.170480671,144.209484048,144.280490194,144.146478593,144.251487684,144.345495822,144.461505865,144.380498852,144.425502748,144.384499198,144.390499718,144.361497207,144.343495649,144.498509068,115.088,115.055,115.031,115.056,115.068,115.085,115.051,115.052,115.045,115.089,115.089,115.082,115.009,115.083,115.061,115.095,115.05,115.066,115.051,115.035,115.035,115.078,115.051,115.001,115.008,114.995,114.978,114.984,114.973,114.966,115.002,114.967
FLQS30X6GRWV,-67.3837823224,-67.2827556619,-67.2067356005,-67.3177649007,-67.3537744035,-67.3887836423,-67.2847561898,-67.3137638448,-67.2477464231,-67.3517738755,-67.3847825864,-67.2817553979,-67.1717263617,-67.3857828504,-67.3127635809,-67.3867831143,-67.2817553979,-67.3157643727,-67.2757538141,-67.2477464231,-67.2807551339,-67.3207656926,-67.3187651646,-67.2117369203,-67.2867567177,-67.2027345446,-67.1797284734,-67.1747271536,-67.1447192346,-67.1107102598,-67.2117369203,-67.1817290013,144.087990415,144.085988387,144.08899143,144.155058369,144.157060397,144.121023885,144.117019828,144.183086767,144.082985344,144.122024899,144.085988387,144.018920434,144.157060397,144.123025914,144.112014757,144.086989401,144.122024899,144.086989401,144.148051269,144.148051269,144.215119223,144.119021857,144.190093867,144.287192247,144.412319026,144.329234845,144.369275414,144.326231802,144.338243973,144.309214561,144.281186162,144.439346411,115.226,115.194,115.168,115.194,115.206,115.223,115.189,115.189,115.183,115.21,115.227,115.203,115.146,115.221,115.199,115.227,115.187,115.204,115.182,115.173,115.173,115.201,115.189,115.14,115.145,115.13,115.117,115.122,115.11,115.103,115.14,115.107
FLQS30WFGRWV,-66.9121180993,-66.8410914367,-66.7460557613,-66.8771049558,-66.9121180993,-66.9151192259,-66.8620993228,-66.8490944409,-66.7750666517,-66.8781053313,-66.9131184749,-66.8100797952,-66.7090418667,-66.9141188504,-66.8470936899,-66.9141188504,-66.8100797952,-66.8440925633,-66.8470936899,-66.8270861793,-66.8430921877,-66.8771049558,-66.8450929388,-66.7760670272,-66.8620993228,-66.7420542592,-66.7570598921,-66.7420542592,-66.6740287231,-66.6680264699,-66.7760670272,-66.7570598921,144.083519713,144.075520683,144.093518499,144.143512434,144.147511949,144.116515709,144.053523352,144.194506248,144.082519834,144.120515224,144.083519713,144.014528083,144.162510129,144.119515346,144.126514496,144.084519591,144.119515346,144.086519349,144.152511342,144.088519106,144.217503458,144.106516922,144.186507218,144.301493268,144.333489386,144.333489386,144.298493632,144.33848878,144.33848878,144.294494117,144.29949351,144.438476649,114.763,114.74,114.707,114.742,114.753,114.759,114.751,114.725,114.718,114.746,114.763,114.739,114.684,114.758,114.735,114.763,114.724,114.74,114.731,114.734,114.719,114.748,114.725,114.685,114.708,114.669,114.679,114.668,114.646,114.651,114.685,114.658
FLQS30VBGRWV,-67.4595408963,-67.3894707416,-67.3183995848,-67.424505819,-67.4615429007,-67.4635449051,-67.3904717438,-67.391472746,-67.3234045958,-67.4255068212,-67.4615429007,-67.3594406753,-67.2493304323,-67.4625439029,-67.3904717438,-67.4625439029,-67.3894707416,-67.391472746,-67.3884697394,-67.3224035936,-67.3584396731,-67.4255068212,-67.3924737483,-67.2873685163,-67.3574386709,-67.281362503,-67.2863675141,-67.2863675141,-67.2182993638,-67.1822632843,-67.3204015892,-67.2853665118,144.087044228,144.045038385,144.05003908,144.112047706,144.113047846,144.082043532,144.074042419,144.153053411,144.05003908,144.084043811,144.047038663,143.979029202,144.124049376,144.084043811,144.08504395,144.05003908,144.076042698,144.048038802,144.114047985,144.15405355,144.186058002,144.072042141,144.155053689,144.265068994,144.409089028,144.293072889,144.33807915,144.299073724,144.313075672,144.273070107,144.256067741,144.405088472,115.151,115.134,115.11,115.135,115.147,115.152,115.13,115.118,115.112,115.14,115.157,115.134,115.076,115.152,115.128,115.157,115.129,115.134,115.123,115.096,115.102,115.141,115.118,115.067,115.068,115.061,115.056,115.062,115.038,115.032,115.079,115.045
FLQS30UFGRWV,-67.0939345473,-66.9860841457,-66.9241700263,-67.0220342796,-67.0889414732,-67.0939345473,-66.9860841457,-67.0639761024,-66.9521312415,-67.1139068439,-67.0929359325,-66.9870827606,-66.8912157369,-67.0939345473,-67.0260287389,-67.0929359325,-66.9860841457,-67.0220342796,-66.9930744495,-66.9541284712,-66.9870827606,-67.0200370499,-67.0220342796,-66.9231714115,-67.0290245834,-66.9251686411,-66.8882198924,-66.8902171221,-66.8882198924,-66.8502725289,-66.920175567,-66.8882198924,143.952443628,143.962447411,143.967449303,144.023470491,144.019468977,143.980454222,143.990458005,144.039476544,143.958445898,143.916430007,143.953444006,143.886418657,144.030473139,143.991458384,144.013466707,143.954444385,143.992458762,143.959446276,144.035475031,144.043478058,144.115505299,143.983455357,144.059484111,144.219544647,144.274565456,144.210541242,144.288570753,144.256558646,144.209540864,144.165524216,144.206539729,144.32058286,114.871,114.834,114.813,114.837,114.859,114.867,114.83,114.848,114.824,114.883,114.87,114.846,114.793,114.865,114.839,114.87,114.83,114.847,114.825,114.811,114.811,114.842,114.831,114.774,114.801,114.777,114.753,114.758,114.765,114.759,114.776,114.748
FLQS30TYGRWV,-67.2304587713,-67.1254330598,-67.0604171432,-67.1624421201,-67.1974506905,-67.2314590162,-67.1274335496,-67.1644426098,-67.0914247342,-67.1964504457,-67.2304587713,-67.1254330598,-67.0244083278,-67.232459261,-67.1624421201,-67.2314590162,-67.1264333047,-67.1614418752,-67.1304342842,-67.0934252239,-67.1284337944,-67.1624421201,-67.1614418752,-67.0594168983,-67.1284337944,-67.0274090624,-67.0214075932,-67.0244083278,-66.9883995125,-66.9513904522,-67.0574164086,-67.0224078381,144.022189083,144.02018908,144.027189089,144.090189172,144.093189176,144.050189119,144.050189119,144.125189218,144.019189079,144.056189127,144.019189079,143.950188988,144.094189177,144.056189127,144.057189128,144.018189077,144.056189127,144.021189081,144.093189176,144.088189169,144.159189262,144.049189118,144.124189216,144.225189349,144.327189483,144.260189395,144.296189442,144.262189398,144.261189396,144.231189357,144.231189357,144.374189545,115.025,114.991,114.968,114.992,115.003,115.021,114.987,114.987,114.98,115.008,115.025,115.001,114.946,115.02,114.997,115.026,114.986,115.002,114.981,114.97,114.97,114.998,114.987,114.938,114.945,114.922,114.915,114.921,114.909,114.902,114.936,114.903
FLQS30T7GRWV,-67.3660415678,-67.2621694819,-67.1872617276,-67.2961276638,-67.3320833859,-67.369037878,-67.2611707118,-67.2931313537,-67.2262137599,-67.3300858458,-67.3650427978,-67.2601719418,-67.1513060056,-67.3650427978,-67.2911338136,-67.3670403379,-67.2601719418,-67.2941301237,-67.2561768616,-67.2272125299,-67.2611707118,-67.299123974,-67.2951288938,-67.1912568079,-67.264167022,-67.1852641875,-67.158297396,-67.1543023158,-67.1253379841,-67.088383492,-67.1902580378,-67.1572986259,144.00316424,144.00616491,144.00616491,144.072179655,144.075180325,144.035171389,144.035171389,144.106187251,144.004164463,144.039172283,144.001163793,143.936149272,144.113188815,144.078180996,144.036171612,144.002164017,144.039172283,144.004164463,144.067178538,144.068178761,144.1381944,144.034171166,144.109187921,144.227214283,144.357243326,144.241217411,144.312233273,144.266222996,144.281226347,144.258221209,144.203208922,144.413255837,114.991,114.957,114.932,114.958,114.969,114.987,114.952,114.952,114.946,114.974,114.992,114.967,114.905,114.98,114.962,114.992,114.951,114.968,114.946,114.936,114.937,114.965,114.952,114.9,114.904,114.896,114.876,114.882,114.87,114.862,114.904,114.861
FLQS30S7GRWV,-67.4043582166,-67.301313335,-67.22728109,-67.3353281503,-67.3713438371,-67.4073595238,-67.3033142065,-67.3333272788,-67.2652976483,-67.3693429656,-67.4033577809,-67.2993124635,-67.1912654032,-67.4043582166,-67.3313264073,-67.4063590881,-67.3003128993,-67.3343277146,-67.2963111563,-67.2672985197,-67.3003128993,-67.3383294575,-67.3353281503,-67.2302823972,-67.3023137708,-67.2242797828,-67.1972680177,-67.1952671462,-67.1622527667,-67.1262370799,-67.2332837045,-67.1982684534,143.920390935,143.91739028,143.919390717,143.990406206,143.993406861,143.954398352,143.947396825,144.014411442,143.915389844,143.953398134,143.918390499,143.849375446,143.990406206,143.955398571,143.945396389,143.919390717,143.951397698,143.919390717,143.982404461,143.978403588,144.04841886,143.949397262,144.023413405,144.11343304,144.230458565,144.148440676,144.193450493,144.15144133,144.159443075,144.132437185,144.11343304,144.275468382,115.072,115.039,115.015,115.039,115.051,115.068,115.035,115.035,115.028,115.056,115.072,115.049,114.992,115.067,115.045,115.073,115.034,115.05,115.027,115.019,115.019,115.046,115.034,114.986,114.992,114.979,114.963,114.969,114.957,114.949,114.987,114.951
FLQS30RRGRWV,-67.177148186,-67.0732237607,-67.005273175,-67.1081983269,-67.1441721664,-67.1801460059,-67.0752223073,-67.1091976002,-67.0382491945,-67.1431728931,-67.177148186,-67.0722244874,-66.9712978821,-67.1781474593,-67.1081983269,-67.1791467326,-67.0722244874,-67.1091976002,-67.0752223073,-67.0392484678,-67.0722244874,-67.1091976002,-67.1081983269,-67.0042739017,-67.0752223073,-67.0062724483,-66.9692993355,-66.9702986088,-66.933325496,-66.8983509298,-67.005273175,-66.9702986088,144.071055156,144.071055156,144.071055156,144.143079179,144.14608018,144.104066166,144.103065833,144.173089189,144.073055823,144.1050665,144.068054155,143.998030798,144.140078178,144.106066834,144.1050665,144.070054822,144.1050665,144.072055489,144.140078178,144.13507651,144.2061002,144.1050665,144.179091191,144.259117884,144.373155922,144.303132565,144.341145245,144.298130897,144.309134567,144.272122222,144.26612022,144.423172605,114.942,114.908,114.886,114.908,114.92,114.938,114.904,114.904,114.896,114.926,114.942,114.919,114.864,114.937,114.914,114.943,114.902,114.919,114.898,114.887,114.887,114.914,114.903,114.857,114.863,114.851,114.833,114.84,114.826,114.82,114.856,114.821
FLQS30R2GRWV,-66.8585294706,-66.7524651747,-66.680421502,-66.7874864045,-66.8245088474,-66.8605306837,-66.7544663878,-66.7854851913,-66.7184445515,-66.8225076342,-66.8585294706,-66.7524651747,-66.6454002722,-66.8585294706,-66.7844845848,-66.8585294706,-66.7534657812,-66.7874864045,-66.7484627484,-66.719445158,-66.7524651747,-66.7894876176,-66.7874864045,-66.6814221086,-66.7554669944,-66.6784202889,-66.6484020919,-66.6474014853,-66.6143814687,-66.5783596323,-66.6844239282,-66.6494026985,144.219132157,144.220132124,144.220132124,144.292129693,144.292129693,144.250131111,144.252131043,144.319128782,144.219132157,144.256130908,144.218132191,144.154134351,144.292129693,144.257130875,144.252131043,144.218132191,144.258130841,144.22113209,144.282130031,144.283129997,144.351127702,144.25313101,144.32512858,144.420125373,144.535121492,144.457124124,144.499122707,144.457124124,144.465123854,144.438124766,144.417125474,144.572120243,114.966,114.931,114.908,114.932,114.944,114.962,114.927,114.927,114.92,114.949,114.966,114.941,114.885,114.96,114.937,114.966,114.926,114.942,114.921,114.911,114.912,114.939,114.927,114.878,114.885,114.871,114.855,114.861,114.849,114.841,114.879,114.845
FLQS30QXGRWV,-67.2842972802,-67.2143219309,-67.1503444687,-67.2163212266,-67.2533081969,-67.3202846027,-67.1853321434,-67.2543078448,-67.148345173,-67.2513089012,-67.2842972802,-67.2153215788,-67.083368063,-67.285296928,-67.2183205223,-67.2862965759,-67.181333552,-67.2163212266,-67.187331439,-67.1503444687,-67.2183205223,-67.2513089012,-67.2173208745,-67.1173560898,-67.220319818,-67.1493448209,-67.1143571462,-67.0813687673,-67.0453814448,-67.0433821491,-67.148345173,-67.0783698237,144.078707093,144.037672145,144.045678964,144.147765908,144.149767613,144.068698569,144.107731813,144.150768466,144.078707093,144.112736075,144.076705388,143.970615035,144.149767613,144.114737779,144.124746303,144.076705388,144.113736927,144.08170965,144.153771023,144.157774432,144.182795742,144.069699422,144.180794037,144.301897177,144.36595173,144.283881834,144.335926158,144.338928715,144.333924454,144.263864786,144.262863934,144.43300884,114.905,114.889,114.867,114.873,114.885,114.919,114.869,114.885,114.861,114.89,114.906,114.9,114.829,114.9,114.877,114.906,114.867,114.883,114.863,114.85,114.868,114.896,114.868,114.817,114.841,114.83,114.811,114.8,114.789,114.799,114.833,114.784
FLQS30QPGRWV,-67.2052279445,-67.1051725193,-67.0301309505,-67.1351891469,-67.1702085457,-67.21123127,-67.1021708566,-67.1371902554,-67.0691525663,-67.1692079914,-67.2052279445,-67.1041719651,-66.996112106,-67.2052279445,-67.1321874841,-67.2052279445,-67.1051725193,-67.1331880384,-67.1011703023,-67.0671514578,-67.1041719651,-67.1411924724,-67.1391913639,-67.0341331675,-67.1051725193,-67.0271292877,-66.9951115517,-66.9941109975,-66.9650949242,-66.9280744169,-67.0341331675,-66.9971126602,144.068588964,144.031590097,144.068588964,144.137586852,144.139586791,144.061589179,144.097588076,144.127587158,144.031590097,144.102587923,144.067588995,143.960592271,144.106587801,144.103587893,144.098588046,144.066589026,144.066589026,144.068588964,144.093588199,144.129587097,144.160586148,144.064589087,144.135586913,144.243583606,144.364579902,144.304581739,144.358580085,144.321581218,144.291582137,144.263582994,144.233583913,144.426578004,114.983,114.956,114.926,114.95,114.961,114.986,114.945,114.952,114.944,114.966,114.983,114.966,114.909,114.978,114.955,114.983,114.951,114.96,114.945,114.929,114.936,114.963,114.951,114.901,114.905,114.889,114.871,114.876,114.871,114.863,114.902,114.861
FLQS30QMGRWV,-67.2670676111,-67.1640169528,-67.086979082,-67.1990341668,-67.2340513808,-67.2700690866,-67.1660179364,-67.1960326913,-67.1300002306,-67.2320503971,-67.2670676111,-67.1620159691,-67.0539628516,-67.268068103,-67.1950321995,-67.2690685948,-67.1640169528,-67.1990341668,-67.1580140018,-67.1289997388,-67.163016461,-67.2010351505,-67.1990341668,-67.0919815411,-67.1670184283,-67.0859785902,-67.0609662944,-67.0589653108,-67.0259490804,-66.9919323583,-67.092982033,-67.0629672781,144.069135848,144.072136851,144.068135514,144.143160581,144.141159912,144.102146877,144.104147546,144.166168268,144.073137185,144.107148549,144.068135514,144.003113789,144.142160246,144.104147546,144.09814554,144.068135514,144.107148549,144.072136851,144.135157907,144.133157238,144.200179632,144.103147212,144.17617161,144.255198014,144.375238122,144.300213055,144.338225755,144.251196677,144.309216063,144.241193335,144.258199017,144.417252159,114.89,114.856,114.831,114.856,114.868,114.886,114.851,114.852,114.844,114.872,114.89,114.865,114.809,114.885,114.862,114.891,114.85,114.867,114.844,114.835,114.836,114.863,114.851,114.804,114.81,114.795,114.781,114.794,114.774,114.774,114.804,114.77
FLQS30Q9GRWY,-67.2082370894,-67.0722669565,-67.0302761801,-67.1072592701,-67.1742445561,-67.1782436777,-67.1062594897,-67.1062594897,-67.0372746428,-67.1412518033,-67.1742445561,-67.0702673957,-66.9622911137,-67.1742445561,-67.1032601485,-67.1752443365,-67.1052597093,-67.1052597093,-67.0692676153,-67.0712671761,-67.0712671761,-67.1412518033,-67.1072592701,-67.0002827684,-67.0732667368,-66.9962836469,-67.0002827684,-66.9632908941,-66.9332974824,-66.8983051688,-67.0002827684,-66.9662902352,143.929956813,143.974939923,143.966942926,144.040915151,144.034917403,144.001929789,143.965943301,144.069904266,143.972940674,144.006927912,143.968942175,143.902966948,144.043914024,144.008927161,144.003929038,143.9699418,143.9699418,143.972940674,144.040915151,143.996931666,144.107890003,143.993932792,144.074902389,144.175864479,144.28982169,144.207852468,144.214849841,144.213850216,144.219847964,144.187859975,144.174864855,144.329806677,114.892,114.84,114.828,114.842,114.865,114.871,114.853,114.837,114.829,114.858,114.875,114.851,114.794,114.869,114.846,114.875,114.852,114.852,114.829,114.837,114.82,114.86,114.837,114.786,114.793,114.78,114.781,114.769,114.758,114.751,114.787,114.752
FLQS30Q9GRWV,-67.2612842181,-67.1942031517,-67.1231172455,-67.2282442899,-67.264287848,-67.264287848,-67.1952043617,-67.1972067816,-67.1551559638,-67.2602830082,-67.2612842181,-67.1952043617,-67.0540337592,-67.2612842181,-67.1942031517,-67.2612842181,-67.1932019418,-67.1911995219,-67.1962055716,-67.1621644334,-67.1952043617,-67.2302467098,-67.2282442899,-67.1221160355,-67.1952043617,-67.1201136157,-67.0850712675,-67.0840700576,-67.0179902011,-67.0169889911,-67.1211148256,-67.0870736874,143.943077709,143.937077539,143.947077823,144.005079466,144.006079494,143.977078673,143.965078333,144.053080826,143.936077511,143.973078559,143.943077709,143.87107567,144.023079976,143.979078729,143.987078956,143.945077766,143.974078588,143.946077794,144.007079522,144.014079721,144.077081505,143.969078446,144.041080486,144.153083658,144.226085727,144.168084083,144.23008584,144.193084792,144.198084933,144.154083687,144.120082724,144.299087795,114.991,114.97,114.945,114.97,114.982,114.987,114.966,114.953,114.957,114.986,114.991,114.98,114.911,114.985,114.962,114.991,114.964,114.967,114.96,114.948,114.949,114.977,114.965,114.914,114.926,114.911,114.89,114.895,114.873,114.879,114.918,114.88
FLQS30Q3GRWV,-67.541456814,-67.4363892125,-67.365343501,-67.4724123902,-67.507434924,-67.541456814,-67.4373898563,-67.4714117463,-67.4013666787,-67.5054336363,-67.541456814,-67.4373898563,-67.3283196795,-67.5424574578,-67.4694104587,-67.541456814,-67.4363892125,-67.4714117463,-67.4353885687,-67.4023673225,-67.4353885687,-67.4724123902,-67.4724123902,-67.3663441448,-67.4413924316,-67.3603402819,-67.3323222548,-67.3303209672,-67.2983003648,-67.2622771872,-67.3663441448,-67.331321611,143.920641109,143.925639672,143.926639385,143.986622148,143.990620999,143.951632203,143.952631916,144.023611518,143.920641109,143.957630479,143.920641109,143.852660645,143.992620424,143.956630766,143.955631054,143.919641396,143.958630192,143.922640534,143.994619849,143.988621573,144.059601176,143.951632203,144.024611231,144.162571585,144.276538834,144.166570435,144.241548889,144.198561242,144.208558369,144.171568999,144.139578192,144.290534811,115.08,115.045,115.022,115.047,115.058,115.075,115.041,115.041,115.034,115.063,115.08,115.056,114.999,115.075,115.051,115.08,115.04,115.057,115.034,115.024,115.024,115.053,115.042,114.986,114.993,114.983,114.963,114.969,114.957,114.951,114.989,114.955
