SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30Q9GRWV____	-62.874	-63.021	-63.090	-62.914	-62.916	-62.956	-62.842	-62.882	-62.729	-62.729	-62.692	-62.775	-62.582	-62.634	-62.733	-62.663	-62.617	-62.662	-62.581	-62.696	-62.632	-62.669	-62.704	-62.586	-62.602	-62.738	-62.632	-62.598	-62.741	-62.599	-62.668	-62.631	143.091	143.305	143.374	143.409	143.338	143.408	143.445	143.515	143.443	143.338	143.410	143.234	143.262	143.229	143.343	143.163	143.227	143.368	143.363	143.410	143.444	143.375	143.268	143.408	143.373	143.375	143.479	143.442	143.163	143.408	143.269	143.410	113.692	113.709	113.722	113.658	113.669	113.672	113.629	113.632	113.591	113.607	113.584	113.637	113.569	113.591	113.608	113.610	113.585	113.580	113.553	113.585	113.559	113.581	113.609	113.548	113.559	113.604	113.553	113.548	113.636	113.553	113.596	113.563	2016_7_19_17_07_52
FLQS30Q3GRWV____	-63.183	-63.324	-63.358	-63.214	-63.215	-63.251	-63.111	-63.174	-63.040	-63.041	-62.978	-63.074	-62.866	-62.937	-63.002	-62.936	-62.901	-62.937	-62.900	-62.935	-62.934	-62.968	-63.007	-62.869	-62.896	-63.006	-62.934	-62.865	-63.038	-62.865	-62.968	-62.932	143.170	143.427	143.453	143.490	143.418	143.452	143.522	143.559	143.523	143.419	143.487	143.313	143.337	143.309	143.421	143.238	143.302	143.445	143.442	143.488	143.525	143.454	143.346	143.486	143.455	143.453	143.560	143.522	143.244	143.486	143.345	143.491	113.773	113.782	113.789	113.736	113.747	113.754	113.696	113.712	113.672	113.688	113.657	113.715	113.642	113.670	113.675	113.680	113.659	113.650	113.638	113.643	113.637	113.659	113.688	113.621	113.635	113.671	113.632	113.614	113.713	113.620	113.675	113.641	2016_7_19_17_07_52
FLQS30Q2GRWV____	-62.908	-63.019	-63.086	-62.910	-62.911	-62.977	-62.839	-62.873	-62.727	-62.727	-62.694	-62.770	-62.582	-62.629	-62.731	-62.659	-62.616	-62.658	-62.615	-62.665	-62.657	-62.696	-62.701	-62.585	-62.597	-62.733	-62.657	-62.593	-62.768	-62.627	-62.665	-62.630	143.170	143.420	143.450	143.484	143.413	143.453	143.519	143.554	143.518	143.413	143.483	143.308	143.335	143.303	143.418	143.236	143.299	143.442	143.440	143.482	143.521	143.452	143.343	143.483	143.448	143.450	143.556	143.518	143.241	143.485	143.344	143.484	113.618	113.618	113.636	113.572	113.583	113.599	113.543	113.550	113.506	113.521	113.500	113.551	113.484	113.505	113.522	113.525	113.501	113.494	113.480	113.490	113.482	113.505	113.523	113.464	113.473	113.518	113.477	113.461	113.560	113.477	113.511	113.478	2016_7_19_17_07_52
FLQS30PHGRWY____	-62.919	-63.066	-63.135	-62.955	-62.958	-63.000	-62.890	-62.924	-62.789	-62.789	-62.747	-62.816	-62.603	-62.677	-62.752	-62.674	-62.637	-62.708	-62.636	-62.715	-62.679	-62.717	-62.745	-62.606	-62.639	-62.786	-62.680	-62.644	-62.779	-62.648	-62.711	-62.680	143.104	143.357	143.422	143.422	143.350	143.422	143.491	143.527	143.491	143.387	143.423	143.245	143.271	143.243	143.388	143.172	143.236	143.383	143.377	143.458	143.493	143.421	143.279	143.420	143.388	143.421	143.527	143.492	143.177	143.455	143.281	143.458	113.667	113.678	113.692	113.632	113.644	113.647	113.600	113.606	113.566	113.582	113.562	113.611	113.536	113.565	113.569	113.574	113.553	113.555	113.532	113.546	113.529	113.552	113.582	113.515	113.531	113.575	113.524	113.517	113.609	113.524	113.571	113.534	2016_7_19_17_07_52
FLQS30NWGRWV____	-62.918	-63.088	-63.132	-62.951	-62.952	-62.991	-62.878	-62.912	-62.783	-62.785	-62.751	-62.810	-62.639	-62.671	-62.739	-62.672	-62.673	-62.706	-62.671	-62.702	-62.673	-62.703	-62.740	-62.641	-62.632	-62.772	-62.673	-62.632	-62.775	-62.633	-62.704	-62.667	143.146	143.326	143.468	143.464	143.394	143.427	143.501	143.536	143.502	143.396	143.468	143.289	143.319	143.286	143.396	143.215	143.284	143.425	143.424	143.467	143.502	143.430	143.324	143.467	143.432	143.431	143.537	143.501	143.220	143.464	143.324	143.467	113.837	113.867	113.861	113.801	113.812	113.820	113.771	113.777	113.739	113.755	113.734	113.779	113.718	113.733	113.740	113.744	113.734	113.725	113.713	113.717	113.702	113.723	113.751	113.697	113.699	113.746	113.697	113.689	113.778	113.694	113.739	113.705	2016_7_19_17_07_52
FLQS30MRGRWY____	-62.933	-63.073	-63.104	-62.964	-62.965	-63.004	-62.892	-62.926	-62.795	-62.795	-62.766	-62.822	-62.653	-62.687	-62.752	-62.687	-62.687	-62.720	-62.651	-62.716	-62.686	-62.718	-62.755	-62.654	-62.646	-62.787	-62.686	-62.646	-62.789	-62.647	-62.719	-62.681	143.099	143.358	143.385	143.420	143.348	143.381	143.455	143.491	143.456	143.350	143.421	143.243	143.271	143.240	143.352	143.169	143.235	143.379	143.374	143.420	143.455	143.384	143.277	143.421	143.385	143.385	143.490	143.455	143.175	143.417	143.278	143.421	113.599	113.608	113.614	113.562	113.573	113.581	113.533	113.539	113.500	113.516	113.495	113.540	113.479	113.496	113.501	113.506	113.496	113.486	113.464	113.479	113.463	113.485	113.513	113.458	113.461	113.508	113.459	113.450	113.539	113.456	113.501	113.467	2016_7_19_17_07_52
FLQS30MKGRWV____	-63.006	-63.145	-63.213	-63.041	-63.041	-63.079	-62.970	-63.003	-62.864	-62.863	-62.832	-62.900	-62.721	-62.763	-62.830	-62.761	-62.756	-62.795	-62.723	-62.794	-62.762	-62.795	-62.832	-62.723	-62.725	-62.863	-62.761	-62.723	-62.866	-62.726	-62.796	-62.758	143.143	143.359	143.428	143.461	143.392	143.426	143.496	143.532	143.496	143.391	143.460	143.285	143.313	143.282	143.393	143.211	143.277	143.420	143.413	143.463	143.496	143.428	143.320	143.462	143.428	143.429	143.532	143.498	143.217	143.460	143.321	143.464	113.930	113.945	113.957	113.895	113.905	113.912	113.866	113.872	113.830	113.845	113.825	113.873	113.809	113.828	113.834	113.838	113.826	113.818	113.795	113.812	113.796	113.817	113.845	113.788	113.794	113.840	113.791	113.783	113.872	113.789	113.833	113.799	2016_7_19_17_07_53
FLQS30MJGRWV____	-62.911	-63.053	-63.123	-62.947	-62.947	-62.991	-62.875	-62.903	-62.773	-62.773	-62.739	-62.804	-62.627	-62.634	-62.738	-62.665	-62.661	-62.699	-62.628	-62.699	-62.667	-62.701	-62.736	-62.631	-62.630	-62.769	-62.667	-62.630	-62.771	-62.630	-62.700	-62.667	143.098	143.311	143.381	143.416	143.345	143.416	143.451	143.454	143.452	143.346	143.420	143.242	143.271	143.234	143.345	143.168	143.235	143.378	143.372	143.416	143.452	143.382	143.275	143.417	143.381	143.382	143.487	143.451	143.172	143.416	143.275	143.416	113.592	113.608	113.621	113.557	113.568	113.572	113.528	113.537	113.494	113.509	113.487	113.535	113.471	113.479	113.497	113.499	113.488	113.480	113.457	113.474	113.458	113.480	113.507	113.451	113.456	113.503	113.453	113.446	113.534	113.451	113.495	113.463	2016_7_19_17_07_53
FLQS30MEGRWV____	-63.010	-63.152	-63.225	-63.045	-63.048	-63.082	-62.976	-63.009	-62.866	-62.866	-62.821	-62.906	-62.674	-62.720	-62.837	-62.762	-62.708	-62.750	-62.708	-62.800	-62.764	-62.799	-62.836	-62.725	-62.733	-62.869	-62.765	-62.731	-62.872	-62.730	-62.800	-62.766	143.289	143.502	143.569	143.605	143.533	143.569	143.638	143.675	143.637	143.533	143.571	143.430	143.417	143.387	143.533	143.356	143.382	143.525	143.524	143.604	143.639	143.570	143.464	143.604	143.567	143.570	143.673	143.637	143.360	143.603	143.464	143.604	113.596	113.612	113.626	113.561	113.572	113.579	113.533	113.539	113.496	113.512	113.491	113.540	113.464	113.484	113.502	113.503	113.481	113.474	113.460	113.479	113.462	113.484	113.512	113.454	113.462	113.507	113.457	113.451	113.539	113.456	113.500	113.468	2016_7_19_17_07_53
FLQS30LFGRWY____	-63.273	-63.447	-63.474	-63.304	-63.304	-63.343	-63.231	-63.264	-63.139	-63.140	-63.112	-63.162	-62.989	-63.026	-63.091	-63.027	-63.022	-63.060	-63.029	-63.053	-63.023	-63.056	-63.094	-62.999	-62.985	-63.125	-63.022	-62.982	-63.129	-62.985	-63.059	-63.020	143.005	143.224	143.293	143.325	143.254	143.286	143.358	143.396	143.361	143.255	143.326	143.148	143.141	143.148	143.257	143.077	143.106	143.286	143.282	143.328	143.363	143.291	143.182	143.327	143.293	143.289	143.398	143.364	143.081	143.324	143.182	143.328	113.821	113.847	113.846	113.784	113.795	113.803	113.755	113.761	113.724	113.740	113.720	113.763	113.706	113.717	113.723	113.728	113.722	113.708	113.698	113.700	113.685	113.706	113.735	113.682	113.682	113.730	113.679	113.671	113.761	113.678	113.723	113.689	2016_7_19_17_07_53
