,Distance_X_LOGO_Button_RU1,Distance_X_LOGO_Button_RU2,Distance_X_LOGO_Button_RU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Button_RU1,Distance_Y_LOGO_Button_RU2,Distance_Y_LOGO_Button_RU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Button_RU1,Angle_Button_RU2,Angle_Button_RU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30S7GRWV,-36.9932116507,-36.8891773084,-36.9191872148,-36.9191872148,-36.8831753271,-37.004215283,-36.9582000932,-36.9582000932,-36.920187545,-36.9932116507,-36.9161862242,-36.9191872148,-36.9211878753,-36.920187545,-36.9171865544,-36.9191872148,-36.9271898565,-36.9592004234,-36.9191872148,-36.962201414,-36.9221882055,-36.9521981119,-36.957199763,-36.9612010838,-36.9231885357,-37.004215283,-36.9211878753,-36.962201414,-36.8861763178,-36.8831753271,-36.8461631092,-36.9211878753,-139.322502318,-139.36649332,-139.285509885,-139.285509885,-139.29550784,-139.285509885,-139.298507226,-139.298507226,-139.297507431,-139.264514179,-139.259515202,-139.285509885,-139.332500273,-139.300506817,-139.323502114,-139.285509885,-139.287509476,-139.333500069,-139.285509885,-139.299507022,-139.294508044,-139.264514179,-139.330500682,-139.331500478,-139.265513975,-139.285509885,-139.36649332,-139.367493116,-139.296507635,-139.29550784,-139.296507635,-139.36649332,254.826,254.871,254.851,254.851,254.865,254.818,254.837,254.837,254.852,254.82,254.849,254.851,254.855,254.852,254.855,254.851,254.848,254.84,254.851,254.836,254.851,254.836,254.841,254.839,254.847,254.818,254.858,254.843,254.865,254.865,254.88,254.858
FLQS30RRGRWV,-37.1261757974,-37.0571996233,-37.0042179243,-37.0042179243,-36.959233463,-37.0861896095,-37.0931871924,-37.0931871924,-36.9992196509,-37.1191782145,-36.9942213774,-37.0042179243,-37.0432044575,-37.0412051481,-37.1301744162,-37.0042179243,-37.0092161978,-37.0901882283,-37.0042179243,-37.0851899548,-37.10118443,-37.1171789051,-37.1291747615,-37.0472030763,-37.0402054934,-37.0861896095,-37.005217579,-37.0891885736,-37.005217579,-36.959233463,-37.0082165431,-37.005217579,-139.318994295,-139.364003662,-139.282986801,-139.282986801,-139.246979307,-139.282986801,-139.301990756,-139.301990756,-139.297989923,-139.265983262,-139.26198243,-139.282986801,-139.331997001,-139.298990131,-139.366004078,-139.282986801,-139.282986801,-139.335997833,-139.282986801,-139.248979724,-139.243978683,-139.263982846,-139.331997001,-139.282986801,-139.262982638,-139.282986801,-139.319994503,-139.368004494,-139.293989091,-139.246979307,-139.245979099,-139.319994503,254.812,254.843,254.855,254.855,254.869,254.824,254.823,254.823,254.859,254.809,254.857,254.855,254.845,254.843,254.815,254.855,254.853,254.828,254.855,254.82,254.814,254.81,254.812,254.839,254.839,254.824,254.859,254.831,254.856,254.869,254.85,254.859
FLQS30R2GRWV,-37.637764656,-37.5427096889,-37.5737276255,-37.5737276255,-37.5507143177,-37.5587189465,-37.6057461408,-37.6057461408,-37.5677241539,-37.642767549,-37.5627212609,-37.5737276255,-37.5667235753,-37.5697253111,-37.6137507696,-37.5737276255,-37.6187536626,-37.6067467194,-37.5737276255,-37.6147513482,-37.5737276255,-37.6467698634,-37.5637218395,-37.5717264683,-37.5857345688,-37.5587189465,-37.5246992741,-37.607747298,-37.5757287827,-37.5507143177,-37.5377067959,-37.5246992741,-139.189708274,-139.190708265,-139.110709007,-139.110709007,-139.137708756,-139.108709026,-139.120708914,-139.120708914,-139.122708896,-139.08770922,-139.084709248,-139.110709007,-139.155708589,-139.120708914,-139.145708682,-139.110709007,-139.150708636,-139.15670858,-139.110709007,-139.075709332,-139.116708951,-139.094709155,-139.155708589,-139.110709007,-139.102709081,-139.108709026,-139.147708664,-139.190708265,-139.117708942,-139.137708756,-139.120708914,-139.147708664,254.675,254.711,254.691,254.691,254.703,254.697,254.68,254.68,254.695,254.662,254.693,254.691,254.699,254.694,254.68,254.691,254.678,254.683,254.691,254.672,254.692,254.662,254.7,254.692,254.686,254.697,254.714,254.686,254.691,254.703,254.706,254.714
FLQS30QXGRWV,-36.9398718611,-36.8388174987,-36.8698341842,-36.8698341842,-36.8298126546,-36.9108562521,-36.9098557139,-36.9098557139,-36.8708347225,-36.9388713229,-36.8628304165,-36.8698341842,-36.868833646,-36.8718352607,-36.9058535609,-36.8698341842,-36.8778384901,-36.9068540991,-36.8698341842,-36.9078546374,-36.8718352607,-36.9378707846,-36.9058535609,-36.8718352607,-36.9068540991,-36.9108562521,-36.8678331077,-36.9118567903,-36.835815884,-36.8298126546,-36.8378169605,-36.8678331077,-139.462855867,-139.463856303,-139.428841024,-139.428841024,-139.391824872,-139.424839278,-139.394826181,-139.394826181,-139.394826181,-139.360811339,-139.355809156,-139.428841024,-139.428841024,-139.392825308,-139.463856303,-139.428841024,-139.428841024,-139.429841461,-139.428841024,-139.392825308,-139.392825308,-139.358810466,-139.429841461,-139.427840587,-139.356809592,-139.424839278,-139.463856303,-139.465857176,-139.390824435,-139.391824872,-139.393825745,-139.463856303,254.936,254.975,254.959,254.959,254.971,254.943,254.94,254.94,254.955,254.926,254.955,254.959,254.959,254.955,254.949,254.959,254.956,254.945,254.959,254.941,254.955,254.926,254.946,254.958,254.938,254.943,254.964,254.947,254.969,254.971,254.968,254.964
FLQS30QPGRWV,-37.2203063811,-37.1222924076,-37.1552971129,-37.1552971129,-37.1142912669,-37.2343083773,-37.2223066663,-37.2223066663,-37.1522966852,-37.2583117994,-37.1482961148,-37.1552971129,-37.1482961148,-37.1943026738,-37.2273073792,-37.1552971129,-37.1903021035,-37.2203063811,-37.1552971129,-37.1893019609,-37.1532968278,-37.2583117994,-37.2183060959,-37.1863015331,-37.1853013906,-37.2343083773,-37.1442955445,-37.2223066663,-37.1182918372,-37.1142912669,-37.1522966852,-37.1442955445,-139.31969037,-139.359702343,-139.283679594,-139.283679594,-139.248669117,-139.284679893,-139.28868109,-139.28868109,-139.28968139,-139.255671212,-139.253670614,-139.283679594,-139.323691567,-139.249669416,-139.317689771,-139.283679594,-139.322691268,-139.323691567,-139.283679594,-139.250669716,-139.249669416,-139.252670314,-139.324691866,-139.322691268,-139.254670913,-139.284679893,-139.358702044,-139.357701744,-139.28868109,-139.248669117,-139.28968139,-139.358702044,254.75,254.791,254.771,254.771,254.783,254.741,254.746,254.746,254.773,254.729,254.771,254.771,254.778,254.753,254.747,254.771,254.762,254.75,254.771,254.755,254.768,254.728,254.751,254.763,254.757,254.741,254.783,254.753,254.786,254.783,254.773,254.783
FLQS30QMGRWV,-37.1504357077,-37.0824074425,-37.1274261474,-37.1274261474,-37.0854086895,-37.1174219907,-37.1514361233,-37.1514361233,-37.1124199124,-37.1904523343,-37.1394311354,-37.1274261474,-37.1074178341,-37.0744041172,-37.1184224064,-37.1274261474,-37.1224240691,-37.1144207437,-37.1274261474,-37.1204232377,-37.1274261474,-37.149435292,-37.0674012075,-37.0784057798,-37.0734037015,-37.1174219907,-37.1204232377,-37.1544373703,-37.0353879062,-37.0854086895,-37.0393895689,-37.1204232377,-139.312940247,-139.357950243,-139.274931805,-139.274931805,-139.242924697,-139.278932694,-139.289935138,-139.289935138,-139.287934693,-139.255927585,-139.258928251,-139.274931805,-139.321942246,-139.291935582,-139.311940025,-139.274931805,-139.322942468,-139.331944467,-139.274931805,-139.246925585,-139.241924475,-139.261928918,-139.322942468,-139.278932694,-139.258928251,-139.278932694,-139.30993958,-139.357950243,-139.287934693,-139.242924697,-139.288934915,-139.30993958,254.754,254.785,254.759,254.759,254.772,254.763,254.751,254.751,254.766,254.733,254.753,254.759,254.771,254.781,254.766,254.759,254.766,254.77,254.759,254.759,254.756,254.749,254.787,254.778,254.778,254.763,254.765,254.757,254.796,254.772,254.794,254.765
FLQS30Q9GRWY,-37.1254817421,-37.0223136693,-37.0583724132,-37.0583724132,-37.0213120375,-37.0954327888,-37.0954327888,-37.0954327888,-37.0583724132,-37.1254817421,-37.0543658861,-37.0583724132,-37.0583724132,-37.0603756767,-37.0954327888,-37.0583724132,-37.063380572,-37.0954327888,-37.0583724132,-37.0874197346,-37.0573707814,-37.1264833739,-37.0924278935,-37.0613773085,-37.0593740449,-37.0954327888,-37.0553675178,-37.0894229982,-37.0263201964,-37.0213120375,-37.0253185646,-37.0553675178,-139.383939129,-139.383939129,-139.347946375,-139.347946375,-139.314953017,-139.350945771,-139.316952614,-139.316952614,-139.314953017,-139.279960062,-139.277960464,-139.347946375,-139.347946375,-139.316952614,-139.38293933,-139.347946375,-139.35194557,-139.348946173,-139.347946375,-139.357944362,-139.315952816,-139.279960062,-139.348946173,-139.348946173,-139.281959659,-139.350945771,-139.38293933,-139.384938927,-139.313953218,-139.314953017,-139.316952614,-139.38293933,255.429,255.469,255.451,255.451,255.462,255.437,255.434,255.434,255.448,255.418,255.445,255.451,255.451,255.447,255.44,255.451,255.449,255.437,255.451,255.441,255.448,255.418,255.438,255.45,255.444,255.437,255.456,255.443,255.46,255.462,255.461,255.456
FLQS30Q9GRWV,-36.7999729977,-36.7019624162,-36.7309655475,-36.7309655475,-36.6949616604,-36.7669694345,-36.8079738615,-36.8079738615,-36.7309655475,-36.8459779645,-36.7259650076,-36.7309655475,-36.7299654395,-36.6959617684,-36.7679695425,-36.7309655475,-36.7809709462,-36.7689696505,-36.7309655475,-36.7679695425,-36.7719699744,-36.8499783963,-36.7689696505,-36.7339658714,-36.7729700824,-36.7669694345,-36.7279652236,-36.7729700824,-36.6999622003,-36.6949616604,-36.6989620923,-36.7279652236,-139.374540072,-139.329527948,-139.338530373,-139.338530373,-139.302520674,-139.336529834,-139.305521482,-139.305521482,-139.305521482,-139.27451313,-139.221498851,-139.338530373,-139.339530642,-139.306521751,-139.373539803,-139.338530373,-139.338530373,-139.340530912,-139.338530373,-139.259509089,-139.301520404,-139.22349939,-139.339530642,-139.339530642,-139.272512591,-139.336529834,-139.372539533,-139.330528218,-139.303520943,-139.302520674,-139.304521213,-139.372539533,254.99,255.024,255.013,255.013,255.023,254.999,254.98,254.98,255.01,254.963,255.003,255.013,255.014,255.024,255.003,255.013,254.994,254.999,255.013,254.991,254.994,254.956,254.999,255.012,254.99,254.999,255.018,254.997,255.022,255.023,255.022,255.018
FLQS30Q3GRWV,-36.9315738824,-36.8369311828,-36.9106528646,-36.9106528646,-36.8638296342,-36.9375513161,-36.8996942362,-36.8996942362,-36.9066679088,-36.973415918,-36.9056716699,-36.9106528646,-36.8638296342,-36.86781459,-36.939543794,-36.9106528646,-36.9116491035,-36.9375513161,-36.9106528646,-36.9056716699,-36.9425325108,-36.9315738824,-36.938547555,-36.868810829,-36.903679192,-36.9375513161,-36.8996942362,-36.9046754309,-36.832946227,-36.8638296342,-36.8708033068,-36.8996942362,-139.318989967,-139.364982701,-139.282995653,-139.282995653,-139.292994074,-139.325988861,-139.293993916,-139.293993916,-139.296993442,-139.262998812,-139.209007342,-139.282995653,-139.330988071,-139.2959936,-139.364982701,-139.282995653,-139.329988229,-139.330988071,-139.282995653,-139.25200055,-139.292994074,-139.214006552,-139.330988071,-139.280995969,-139.259999286,-139.325988861,-139.365982543,-139.317990125,-139.292994074,-139.292994074,-139.2959936,-139.365982543,255.393,255.434,255.397,255.397,255.416,255.391,255.402,255.402,255.4,255.371,255.392,255.397,255.42,255.415,255.394,255.397,255.401,255.391,255.397,255.396,255.386,255.382,255.391,255.413,255.397,255.391,255.41,255.403,255.428,255.416,255.414,255.41
FLQS30Q2GRWV,-37.0777318088,-36.9747297758,-37.0497312562,-37.0497312562,-37.0087304469,-37.0877320062,-37.0887320259,-37.0887320259,-37.0507312759,-37.1167325786,-37.0457311772,-37.0497312562,-37.0417310983,-37.0477312167,-37.0457311772,-37.0497312562,-37.0577314141,-37.0857319667,-37.0497312562,-37.0497312562,-37.0527313154,-37.0777318088,-37.0397310588,-37.0487312364,-37.0107304864,-37.0877320062,-37.000730289,-37.0497312562,-36.9707296969,-37.0087304469,-36.9707296969,-37.000730289,-139.37681235,-139.37681235,-139.340803356,-139.340803356,-139.302793862,-139.338802856,-139.307795111,-139.307795111,-139.308795361,-139.270785868,-139.269785618,-139.340803356,-139.341803606,-139.307795111,-139.37681235,-139.340803356,-139.341803606,-139.341803606,-139.340803356,-139.304794362,-139.303794112,-139.269785618,-139.342803856,-139.338802856,-139.272786367,-139.338802856,-139.37681235,-139.3778126,-139.303794112,-139.302793862,-139.307795111,-139.37681235,254.843,254.882,254.85,254.85,254.862,254.835,254.831,254.831,254.846,254.817,254.844,254.85,254.853,254.847,254.855,254.85,254.847,254.836,254.85,254.846,254.845,254.832,254.854,254.85,254.858,254.835,254.872,254.854,254.877,254.862,254.877,254.872
FLQS30PHGRWY,-36.9950051665,-36.8860169354,-36.9290122926,-36.9290122926,-36.8860169354,-36.9620087295,-36.9600089455,-36.9600089455,-36.9250127245,-36.9970049505,-36.9220130484,-36.9290122926,-36.9240128324,-36.9220130484,-36.9630086216,-36.9290122926,-36.9300121846,-36.9600089455,-36.9290122926,-36.9600089455,-36.9260126165,-36.9930053824,-36.9590090534,-36.9230129404,-36.9230129404,-36.9620087295,-36.9260126165,-36.9620087295,-36.8850170433,-36.8860169354,-36.8880167194,-36.9260126165,-139.392964523,-139.3899639,-139.353956418,-139.353956418,-139.322949975,-139.356957041,-139.320949559,-139.320949559,-139.318949144,-139.289943117,-139.282941662,-139.353956418,-139.35295621,-139.320949559,-139.3899639,-139.353956418,-139.358957457,-139.354956626,-139.353956418,-139.322949975,-139.321949767,-139.287942701,-139.356957041,-139.355956834,-139.287942701,-139.356957041,-139.3899639,-139.392964523,-139.318949144,-139.322949975,-139.318949144,-139.3899639,254.993,255.035,255.015,255.015,255.028,255.002,254.999,254.999,255.013,254.982,255.01,255.015,255.017,255.014,255.005,255.015,255.015,255.003,255.015,255.0,255.013,254.983,255.003,255.017,255.01,255.002,255.02,255.006,255.028,255.028,255.027,255.02
FLQS30NWGRWV,-37.0073833482,-36.8963611981,-36.934368781,-36.934368781,-36.8883596017,-36.9663751666,-37.0113841464,-37.0113841464,-36.9303679828,-37.0053829491,-36.9263671846,-36.934368781,-36.9333685815,-36.923366586,-36.9763771621,-36.934368781,-36.9303679828,-37.00338255,-36.934368781,-36.9693757653,-36.9813781599,-36.9983815522,-36.963374568,-36.9273673842,-36.9263671846,-36.9663751666,-36.9313681824,-36.9623743684,-36.8903600008,-36.8883596017,-36.8953609986,-36.9313681824,-139.365383151,-139.364383119,-139.328381987,-139.328381987,-139.292380855,-139.33038205,-139.292380855,-139.292380855,-139.294380918,-139.260379848,-139.256379722,-139.328381987,-139.33038205,-139.29638098,-139.364383119,-139.328381987,-139.369383276,-139.371383339,-139.328381987,-139.29638098,-139.291380823,-139.257379754,-139.371383339,-139.329382018,-139.26137988,-139.33038205,-139.363383088,-139.404384377,-139.293380886,-139.292380855,-139.294380918,-139.363383088,254.972,255.014,254.996,254.996,255.01,254.984,254.963,254.963,254.994,254.962,254.992,254.996,254.997,254.997,254.984,254.996,255.002,254.974,254.996,254.979,254.974,254.964,254.989,254.999,254.992,254.984,255.001,254.993,255.009,255.01,255.008,255.001
FLQS30MRGRWY,-37.1147818613,-37.0167428149,-37.044753971,-37.044753971,-37.0017368384,-37.0797679161,-37.0857703067,-37.0857703067,-37.0027372368,-37.1167826582,-36.9957344478,-37.044753971,-36.9997360415,-37.0017368384,-37.0827691114,-37.044753971,-37.0457543694,-37.0387515804,-37.044753971,-37.0367507835,-36.9987356431,-37.1147818613,-37.0407523773,-37.0417527757,-37.0477551663,-37.0797679161,-37.0017368384,-37.044753971,-36.91770337,-37.0017368384,-36.9647220964,-37.0017368384,-139.387481561,-139.337486051,-139.347485153,-139.347485153,-139.313488206,-139.351484794,-139.268492247,-139.268492247,-139.268492247,-139.28449081,-139.277491439,-139.347485153,-139.304489014,-139.271491978,-139.38448183,-139.347485153,-139.393481022,-139.305488925,-139.347485153,-139.318487757,-139.315488026,-139.28149108,-139.307488745,-139.349484973,-139.236495121,-139.351484794,-139.38548174,-139.341485692,-139.267492337,-139.313488206,-139.269492157,-139.38548174,255.416,255.449,255.439,255.439,255.452,255.426,255.416,255.416,255.447,255.405,255.451,255.439,255.452,255.448,255.428,255.439,255.444,255.437,255.439,255.439,255.454,255.405,255.437,255.441,255.427,255.426,255.459,255.439,255.48,255.452,255.462,255.459
FLQS30MKGRWV,-37.0161761757,-36.9021571515,-36.9381631591,-36.9381631591,-36.8971563171,-36.9761695005,-36.9781698343,-36.9781698343,-36.980170168,-37.0631840189,-36.9771696674,-36.9381631591,-36.9821705018,-36.9411636598,-36.9821705018,-36.9381631591,-37.0431806814,-37.0251776776,-36.9381631591,-36.9771696674,-36.9851710024,-37.0151760088,-37.0221771769,-36.9371629922,-36.9351626585,-36.9761695005,-36.939163326,-36.9821705018,-36.9441641604,-36.8971563171,-36.9491649948,-36.939163326,-139.305519836,-139.302519717,-139.270518449,-139.270518449,-139.232516944,-139.26951841,-139.281518885,-139.281518885,-139.282518925,-139.249517617,-139.244517419,-139.270518449,-139.314520193,-139.282518925,-139.306519876,-139.270518449,-139.313520153,-139.316520272,-139.270518449,-139.234517023,-139.230516864,-139.247517538,-139.314520193,-139.26951841,-139.201515715,-139.26951841,-139.306519876,-139.304519797,-139.279518806,-139.232516944,-139.280518846,-139.306519876,254.976,255.02,255.002,255.002,255.014,254.988,254.988,254.988,254.987,254.952,254.985,255.002,254.99,255.003,254.989,255.002,254.967,254.974,255.002,254.984,254.98,254.971,254.975,255.003,254.997,254.988,255.006,254.989,255.001,255.014,254.999,255.006
FLQS30MJGRWV,-36.9379242469,-36.8359299786,-36.9079259327,-36.9079259327,-36.8279304281,-36.9069259889,-36.9509235164,-36.9509235164,-36.9079259327,-36.9899213249,-36.8609285738,-36.9079259327,-36.9079259327,-36.9099258203,-36.8659282928,-36.9079259327,-36.8729278994,-36.9449238536,-36.9079259327,-36.8629284614,-36.8669282366,-36.9849216059,-36.9049261013,-36.9109257641,-36.9119257079,-36.9069259889,-36.8679281804,-36.9119257079,-36.8319302033,-36.8279304281,-36.8289303719,-36.8679281804,-139.377424557,-139.380425018,-139.342419176,-139.342419176,-139.308413949,-139.342419176,-139.310414257,-139.310414257,-139.309414103,-139.277409183,-139.272408415,-139.342419176,-139.345419638,-139.31141441,-139.378424711,-139.342419176,-139.34341933,-139.345419638,-139.342419176,-139.267407646,-139.307413795,-139.274408722,-139.344419484,-139.34341933,-139.27640903,-139.342419176,-139.378424711,-139.380425018,-139.308413949,-139.308413949,-139.308413949,-139.378424711,255.072,255.111,255.079,255.079,255.107,255.08,255.06,255.06,255.076,255.041,255.09,255.079,255.08,255.075,255.099,255.079,255.093,255.065,255.079,255.089,255.092,255.043,255.081,255.079,255.071,255.08,255.099,255.082,255.105,255.107,255.106,255.099
FLQS30MEGRWV,-37.4605154814,-37.3190234426,-37.3997336901,-37.3997336901,-37.3608732006,-37.4336120656,-37.4306227972,-37.4306227972,-37.3937551532,-37.4694832867,-37.3887730392,-37.3997336901,-37.3927587304,-37.3538982409,-37.4326156428,-37.3997336901,-37.4027229585,-37.4286299515,-37.3997336901,-37.3857837708,-37.3967444217,-37.4226514147,-37.4296263743,-37.3927587304,-37.3967444217,-37.4336120656,-37.3937551532,-37.4306227972,-37.3200198654,-37.3608732006,-37.317030597,-37.3937551532,-139.289469181,-139.290469343,-139.20645579,-139.20645579,-139.219457888,-139.207455952,-139.22145821,-139.22145821,-139.222458372,-139.190453209,-139.185452402,-139.20645579,-139.256463857,-139.224458694,-139.291469504,-139.20645579,-139.254463534,-139.257464019,-139.20645579,-139.174450627,-139.218457726,-139.187452725,-139.255463696,-139.257464019,-139.187452725,-139.207455952,-139.291469504,-139.292469665,-139.222458372,-139.219457888,-139.22145821,-139.291469504,254.596,254.651,254.611,254.611,254.627,254.598,254.601,254.601,254.615,254.582,254.613,254.611,254.619,254.63,254.607,254.611,254.615,254.605,254.611,254.613,254.613,254.6,254.604,254.619,254.61,254.598,254.622,254.608,254.643,254.627,254.644,254.622
FLQS30LFGRWY,-36.9952534432,-36.8933794157,-36.9692855538,-36.9692855538,-36.8494337568,-36.9652904939,-36.9662892589,-36.9662892589,-36.9313324848,-37.002244798,-36.9253398949,-36.9692855538,-36.9293349548,-36.9263386599,-36.9722818487,-36.9692855538,-36.9413201345,-36.9672880239,-36.9692855538,-36.963292964,-36.9682867888,-36.9952534432,-36.9652904939,-36.9293349548,-36.9313324848,-36.9652904939,-36.9333300147,-36.9672880239,-36.8474362269,-36.8494337568,-36.8923806507,-36.9333300147,-139.497286638,-139.452275252,-139.461277529,-139.461277529,-139.3852583,-139.462277783,-139.386258553,-139.386258553,-139.386258553,-139.354250456,-139.349249191,-139.461277529,-139.419266903,-139.387258806,-139.454275758,-139.461277529,-139.422267662,-139.419266903,-139.461277529,-139.430269686,-139.427268927,-139.396261083,-139.420267156,-139.420267156,-139.353250203,-139.462277783,-139.454275758,-139.456276264,-139.383257794,-139.3852583,-139.384258047,-139.454275758,254.794,254.829,254.801,254.801,254.839,254.802,254.794,254.794,254.808,254.777,254.806,254.801,254.811,254.809,254.799,254.801,254.807,254.797,254.801,254.8,254.798,254.784,254.798,254.812,254.804,254.802,254.814,254.801,254.839,254.839,254.822,254.814
FLQS30KNGRWV,-37.1539226143,-37.0498864292,-37.127913568,-37.127913568,-37.0478857333,-37.1269132201,-37.1639260936,-37.1639260936,-37.0868993027,-37.1909354879,-37.082897911,-37.127913568,-37.0868993027,-37.0878996507,-37.1259128722,-37.127913568,-37.0909006945,-37.1609250498,-37.127913568,-37.158924354,-37.0858989548,-37.1569236581,-37.1229118284,-37.1259128722,-37.0888999986,-37.1269132201,-37.0868993027,-37.1219114804,-37.0498864292,-37.0478857333,-37.0508867771,-37.0868993027,-139.313872412,-139.31487226,-139.27787787,-139.27787787,-139.243883026,-139.276878022,-139.243883026,-139.243883026,-139.244882874,-139.21088803,-139.206888636,-139.27787787,-139.280877416,-139.245882723,-139.312872563,-139.27787787,-139.280877416,-139.278877719,-139.27787787,-139.286876506,-139.242883178,-139.209888181,-139.278877719,-139.278877719,-139.21088803,-139.276878022,-139.315872108,-139.315872108,-139.242883178,-139.243883026,-139.244882874,-139.315872108,254.795,254.836,254.802,254.802,254.829,254.802,254.785,254.785,254.814,254.771,254.812,254.802,254.818,254.814,254.806,254.802,254.816,254.789,254.802,254.791,254.814,254.784,254.804,254.803,254.81,254.802,254.822,254.808,254.828,254.829,254.828,254.822
FLQS30K5GRWY,-37.3418288717,-37.2798424356,-37.3138349973,-37.3138349973,-37.2308531554,-37.3098358724,-37.3108356536,-37.3108356536,-37.3118354349,-37.3488273403,-37.3088360912,-37.3138349973,-37.3118354349,-37.2748435294,-37.3118354349,-37.3138349973,-37.3138349973,-37.3108356536,-37.3138349973,-37.3138349973,-37.3118354349,-37.3448282154,-37.3468277778,-37.2748435294,-37.2778428731,-37.3098358724,-37.3118354349,-37.3108356536,-37.272843967,-37.2308531554,-37.2368518428,-37.3118354349,-139.376749239,-139.377749489,-139.338739763,-139.338739763,-139.303731035,-139.338739763,-139.305731533,-139.305731533,-139.306731783,-139.271723054,-139.268722306,-139.338739763,-139.341740511,-139.306731783,-139.37574899,-139.338739763,-139.382750736,-139.341740511,-139.338739763,-139.306731783,-139.306731783,-139.269722556,-139.342740761,-139.338739763,-139.272723304,-139.338739763,-139.374748741,-139.376749239,-139.303731035,-139.303731035,-139.304731284,-139.374748741,254.761,254.784,254.767,254.767,254.796,254.769,254.765,254.765,254.765,254.747,254.762,254.767,254.769,254.779,254.772,254.767,254.772,254.769,254.767,254.764,254.765,254.748,254.755,254.782,254.775,254.769,254.772,254.773,254.78,254.796,254.793,254.772
FLQS30K3GRWY,-37.3574921765,-37.1724600206,-37.2484732306,-37.2484732306,-37.2044655827,-37.2364711448,-37.2394716663,-37.2394716663,-37.2024652351,-37.3634932194,-37.1964641922,-37.2484732306,-37.2014650613,-37.1574574134,-37.2424721877,-37.2484732306,-37.2424721877,-37.2434723615,-37.2484732306,-37.2424721877,-37.2484732306,-37.2694768807,-37.2814789665,-37.2474730568,-37.2454727092,-37.2364711448,-37.1984645398,-37.2394716663,-37.1644586301,-37.2044655827,-37.2114667994,-37.1984645398,-139.401606875,-139.401606875,-139.366607225,-139.366607225,-139.331607574,-139.364607245,-139.334607544,-139.334607544,-139.331607574,-139.294607944,-139.294607944,-139.366607225,-139.366607225,-139.331607574,-139.401606875,-139.366607225,-139.409606795,-139.324607644,-139.366607225,-139.332607564,-139.334607544,-139.298607904,-139.367607215,-139.366607225,-139.298607904,-139.364607245,-139.402606865,-139.403606855,-139.329607594,-139.331607574,-139.332607564,-139.402606865,254.774,254.845,254.813,254.813,254.826,254.817,254.813,254.813,254.827,254.761,254.825,254.813,254.831,254.844,254.819,254.813,254.819,254.81,254.813,254.811,254.809,254.798,254.8,254.813,254.807,254.817,254.836,254.82,254.841,254.826,254.823,254.836
