,Distance_X_LOGO_MainBoard_LU1,Distance_X_LOGO_MainBoard_LU2,Distance_X_LOGO_MainBoard_LU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_LU1,Distance_Y_LOGO_MainBoard_LU2,Distance_Y_LOGO_MainBoard_LU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_LU1,Angle_MainBoard_LU2,Angle_MainBoard_LU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-30.3357906988,-30.2757693487,-30.2747689928,-30.0726971141,-30.3047796679,-30.3067803795,-30.3738042205,-30.2437579619,-30.3778056438,-30.3417928338,-30.2717679253,-30.2757693487,-30.200742661,-30.3728038647,-30.479841939,-30.4468301965,-30.2717679253,-30.3077807354,-30.4108173864,-30.4128180981,-30.0506892858,-30.3077807354,-30.4128180981,-30.3377914104,-30.2517608086,-30.2747689928,-30.2957764654,-30.0206786107,-30.2967768212,-30.3097814471,-30.4108173864,-30.4448294848,131.32160598,131.53364571,131.393619473,131.341609728,131.392619286,131.295601107,131.569652457,131.574653394,131.329607479,131.365614226,131.465632966,131.604659016,131.468633528,131.399620597,131.539646834,131.364614038,131.463632591,131.498639151,131.575653581,131.505640463,131.524644023,131.50664065,131.470633903,131.401620972,131.447629593,131.534645897,131.594657142,131.525644211,131.623662577,131.503640088,131.400620785,131.539646834,102.979,102.934,102.947,102.868,102.959,102.969,102.971,102.917,102.996,102.977,102.939,102.927,102.909,102.987,103.018,103.021,102.939,102.95,102.986,102.993,102.841,102.95,102.997,102.972,102.932,102.933,102.936,102.829,102.934,102.951,103.002,103.003
FLQS310RGRWV,-30.8082693749,-30.7481439468,-30.7481439468,-30.5457216721,-30.7461397659,-30.7461397659,-30.8172881891,-30.7441355849,-30.8202944606,-30.7802108418,-30.7481439468,-30.7792087513,-30.6429244476,-30.8142819177,-30.9205035074,-30.8884366124,-30.7451376754,-30.7802108418,-30.8523613556,-30.853363446,-30.5236756818,-30.7802108418,-30.855367627,-30.7812129323,-30.7220895946,-30.7481439468,-30.7651794848,-30.4926108772,-30.7691878466,-30.7802108418,-30.8513592651,-30.885430341,131.259792992,131.444843454,131.303804994,131.284799812,131.302804721,131.232785628,131.479853,131.514862547,131.267795175,131.303804994,131.40383227,131.51586282,131.407833361,131.337814268,131.478852727,131.303804994,131.372823815,131.408833634,131.512862001,131.443843181,131.466849454,131.443843181,131.409833907,131.338814541,131.389828452,131.444843454,131.534868002,131.465849182,131.567877003,131.443843181,131.337814268,131.477852455,103.112,103.07,103.083,103.002,103.083,103.09,103.095,103.062,103.117,103.097,103.074,103.076,103.03,103.107,103.138,103.142,103.076,103.086,103.106,103.113,102.975,103.083,103.118,103.094,103.064,103.07,103.068,102.962,103.067,103.083,103.123,103.123
FLQS3106GRWV,-30.625084291,-30.5940700277,-30.5940700277,-30.3619632833,-30.5930695676,-30.5950704878,-30.663101775,-30.5640562246,-30.6671036154,-30.6290861314,-30.5930695676,-30.5910686474,-30.4860203363,-30.663101775,-30.7691505462,-30.7341344425,-30.5910686474,-30.6260847511,-30.6981178787,-30.7001187989,-30.3389527008,-30.6280856713,-30.701119259,-30.6280856713,-30.5420461023,-30.5920691075,-30.6140792299,-30.3389527008,-30.5820645065,-30.6310870516,-30.7001187989,-30.7331339824,131.357233468,131.542315519,131.401252983,131.379243225,131.401252983,131.33222238,131.577331042,131.610345678,131.365237016,131.402253426,131.473284916,131.613347008,131.506299552,131.438269393,131.577331042,131.401252983,131.472284472,131.506299552,131.610345678,131.541315075,131.563324833,131.542315519,131.507299996,131.437268949,131.483289351,131.542315519,131.632355435,131.563324833,131.663369184,131.541315075,131.435268062,131.576330598,102.913,102.882,102.896,102.802,102.896,102.903,102.907,102.863,102.929,102.91,102.888,102.874,102.841,102.921,102.951,102.954,102.888,102.899,102.919,102.926,102.775,102.896,102.93,102.907,102.867,102.881,102.882,102.775,102.866,102.898,102.936,102.937
FLQS30ZQGRWV,-30.7965972447,-30.7326084704,-30.7296089966,-30.5316437264,-30.7296089966,-30.7656026821,-30.8335907547,-30.7326084704,-30.8025961922,-30.7656026821,-30.7296089966,-30.733608295,-30.6256272385,-30.800596543,-30.9385723375,-30.9035784766,-30.7306088212,-30.7656026821,-30.8345905793,-30.8345905793,-30.5086477606,-30.7676023313,-30.8385898777,-30.7656026821,-30.7096125047,-30.7326084704,-30.7526049624,-30.4756535489,-30.7546046116,-30.7646028575,-30.8345905793,-30.8735837386,131.226902469,131.440884373,131.299896296,131.251900355,131.268898917,131.199904752,131.475881413,131.48088099,131.264899255,131.300896211,131.370890292,131.511878369,131.402887586,131.333893421,131.475881413,131.299896296,131.369890377,131.405887332,131.509878538,131.438884542,131.432885049,131.439884457,131.375889869,131.334893336,131.354891645,131.440884373,131.530876762,131.432885049,131.530876762,131.438884542,131.334893336,131.443884119,103.141,103.094,103.107,103.029,103.11,103.131,103.133,103.09,103.14,103.121,103.1,103.088,103.054,103.133,103.176,103.179,103.1,103.111,103.13,103.137,103.002,103.109,103.144,103.118,103.093,103.094,103.094,102.989,103.095,103.108,103.147,103.152
FLQS30YUGRWV,-30.5769048893,-30.5179166479,-30.5169168472,-30.3139573045,-30.5129176444,-30.5469108683,-30.5859030957,-30.4819238226,-30.5859030957,-30.5489104697,-30.5139174451,-30.5149172458,-30.4119377734,-30.5809040922,-30.6868829666,-30.6568889456,-30.5139174451,-30.5499102704,-30.6178967182,-30.621895921,-30.2949610912,-30.5509100711,-30.6228957217,-30.5489104697,-30.4669268121,-30.5149172458,-30.5389124626,-30.2629674687,-30.5369128612,-30.547910669,-30.6198963196,-30.6528897427,131.310894359,131.492837404,131.351881529,131.30389655,131.352881216,131.283902809,131.528826138,131.562815498,131.317892169,131.353880903,131.423858997,131.562815498,131.455848982,131.38886995,131.528826138,131.351881529,131.42285931,131.458848044,131.562815498,131.491837717,131.51782958,131.493837091,131.457848357,131.38886995,131.408863691,131.493837091,131.582809239,131.487838968,131.61279985,131.491837717,131.387870263,131.526826764,103.001,102.959,102.972,102.893,102.97,102.991,102.984,102.938,103.004,102.985,102.964,102.951,102.919,102.995,103.026,103.03,102.964,102.975,102.994,103.002,102.865,102.973,103.006,102.982,102.946,102.958,102.959,102.854,102.956,102.972,103.011,103.012
FLQS30X6GRWY,-30.6371348934,-30.576182373,-30.5751831514,-30.3443629511,-30.5771815946,-30.5751831514,-30.6441294449,-30.5462057236,-30.6471271099,-30.6121543523,-30.5751831514,-30.5751831514,-30.4702648785,-30.6421310016,-30.7480484961,-30.7140749602,-30.5731847081,-30.610155909,-30.6781029809,-30.6840983108,-30.3203816316,-30.6081574657,-30.6820998675,-30.6061590224,-30.5232236257,-30.5721854864,-30.5961668059,-30.3193824099,-30.5601948267,-30.607158244,-30.6791022026,-30.7130757385,131.356502127,131.545525874,131.403508032,131.381505268,131.402507907,131.334499363,131.579530146,131.610534041,131.368503635,131.435512053,131.504520722,131.614534543,131.506520974,131.43851243,131.577529894,131.402507907,131.503520597,131.53952512,131.612534292,131.543525623,131.564528261,131.544525748,131.509521351,131.439512556,131.486518461,131.544525748,131.636537307,131.563528135,131.667541202,131.541525371,131.437512304,131.57853002,103.239,103.195,103.209,103.115,103.209,103.215,103.22,103.177,103.242,103.221,103.199,103.188,103.155,103.233,103.263,103.266,103.198,103.21,103.231,103.24,103.088,103.209,103.243,103.218,103.179,103.194,103.195,103.087,103.177,103.209,103.248,103.249
FLQS30X6GRWV,-30.823442525,-30.7634241388,-30.7624238324,-30.5613622387,-30.7894321062,-30.7884317997,-30.8594535567,-30.7584226066,-30.8594535567,-30.8224422186,-30.7874314933,-30.7924330255,-30.6854002368,-30.8594535567,-30.9304753137,-30.9324759265,-30.7904324126,-30.8224422186,-30.8954645884,-30.8634547824,-30.5353542714,-30.823442525,-30.8954645884,-30.7954339448,-30.736415865,-30.7904324126,-30.7834302675,-30.5053450783,-30.784430574,-30.8254431379,-30.894464282,-30.9284747008,131.303357668,131.523462198,131.382395204,131.365387127,131.381394729,131.312361944,131.558478828,131.595496408,131.347378574,131.383395679,131.453428939,131.592494983,131.488445569,131.417411834,131.557478353,131.381394729,131.451427988,131.489446044,131.592494983,131.521461248,131.546473127,131.522461723,131.488445569,131.416411359,131.471437491,131.525463149,131.612504486,131.546473127,131.647521116,131.523462198,131.417411834,131.556477878,103.359,103.313,103.326,103.245,103.337,103.344,103.349,103.304,103.37,103.351,103.33,103.319,103.284,103.363,103.379,103.397,103.331,103.341,103.361,103.354,103.217,103.338,103.371,103.337,103.307,103.324,103.313,103.205,103.31,103.339,103.378,103.378
FLQS30WFGRWV,-30.4232472481,-30.3312192759,-30.3562268771,-30.1291578587,-30.3582274852,-30.3602280933,-30.4302493765,-30.3262177557,-30.4322499846,-30.3932381268,-30.3562268771,-30.3602280933,-30.2551961685,-30.4302493765,-30.5342809972,-30.5012709637,-30.3602280933,-30.3932381268,-30.4672606262,-30.4662603221,-30.1061508656,-30.397239343,-30.4692612343,-30.397239343,-30.3062116748,-30.3612283973,-30.3562268771,-30.0741411362,-30.3522256609,-30.3642293094,-30.464259714,-30.5022712678,131.305607304,131.487602602,131.347606219,131.331606633,131.348606193,131.279607976,131.557600793,131.559600742,131.312607124,131.350606142,131.449603584,131.557600793,131.452603506,131.381605341,131.524601646,131.349606168,131.419604359,131.488602576,131.558600768,131.486602628,131.508602059,131.487602602,131.452603506,131.383605289,131.434603971,131.520601749,131.582600147,131.508602059,131.614599321,131.48960255,131.384605263,131.523601672,102.904,102.849,102.872,102.78,102.873,102.881,102.883,102.84,102.907,102.888,102.863,102.854,102.821,102.9,102.929,102.932,102.867,102.874,102.898,102.905,102.754,102.876,102.909,102.886,102.843,102.858,102.85,102.74,102.845,102.862,102.914,102.916
FLQS30VBGRWV,-30.8766538285,-30.8166019896,-30.8146002617,-30.5854024099,-30.8135993977,-30.8146002617,-30.8866624683,-30.7845743422,-30.8886641963,-30.848629637,-30.8135993977,-30.8176028536,-30.7125121355,-30.8836598764,-30.9897514584,-30.958724675,-30.8135993977,-30.849630501,-30.9216927077,-30.9226935717,-30.5633834023,-30.850631365,-30.9246952996,-30.848629637,-30.7605536067,-30.8166019896,-30.8065933498,-30.5323566189,-30.8055924858,-30.850631365,-30.9206918437,-30.9547212191,131.356304183,131.539310179,131.399305592,131.380304969,131.398305559,131.329303298,131.576311392,131.610312506,131.364304445,131.400305625,131.470307918,131.610312506,131.502308967,131.434306739,131.574311326,131.399305592,131.469307886,131.506309098,131.609312473,131.539310179,131.562310933,131.539310179,131.505309065,131.435306771,131.48530841,131.540310212,131.629313129,131.563310966,131.66231421,131.539310179,131.434306739,131.572311261,103.298,103.256,103.269,103.176,103.268,103.275,103.281,103.236,103.302,103.283,103.261,103.25,103.216,103.294,103.324,103.328,103.261,103.273,103.292,103.3,103.149,103.27,103.304,103.279,103.238,103.255,103.243,103.136,103.24,103.27,103.309,103.31
FLQS30UFGRWV,-30.4904287729,-30.4654611765,-30.4624650649,-30.2367579931,-30.4604676572,-30.4634637688,-30.5343717427,-30.4315052453,-30.5353704465,-30.4974196999,-30.4634637688,-30.4325039492,-30.328638748,-30.5333730388,-30.6342421284,-30.6042810127,-30.4634637688,-30.4984184038,-30.5683276738,-30.5703250815,-30.2137878044,-30.5014145154,-30.5733211931,-30.4674585842,-30.4145272797,-30.4355000607,-30.454475434,-30.1818292809,-30.4524780263,-30.4994171076,-30.56732897,-30.5693263777,131.369082578,131.582170303,131.44011182,131.392092051,131.412100288,131.372083813,131.588172774,131.623187189,131.407098228,131.443113055,131.513141885,131.651198721,131.545155064,131.446114291,131.616184306,131.442112643,131.512141473,131.5481563,131.651198721,131.581169891,131.576167832,131.552157947,131.517143532,131.477127058,131.495134471,131.583170715,131.644195838,131.576167832,131.671206958,131.551157535,131.476126646,131.58617195,102.931,102.9,102.913,102.824,102.915,102.92,102.928,102.883,102.946,102.927,102.906,102.88,102.848,102.942,102.967,102.971,102.906,102.917,102.936,102.944,102.797,102.918,102.951,102.911,102.888,102.888,102.89,102.784,102.887,102.917,102.953,102.943
FLQS30TYGRWV,-30.650840293,-30.5858279054,-30.586828096,-30.3857897896,-30.5858279054,-30.5888284771,-30.6548410553,-30.5538218068,-30.6598420082,-30.6228349568,-30.5858279054,-30.5848277148,-30.4818080852,-30.6538408647,-30.757860685,-30.7278549676,-30.5828273336,-30.6198343851,-30.6908479162,-30.6908479162,-30.3647857874,-30.6238351474,-30.6938484879,-30.6218347662,-30.5358183764,-30.5858279054,-30.6098324793,-30.3317794983,-30.6038313358,-30.6208345756,-30.6928482973,-30.7248543959,131.294809893,131.480826625,131.338813851,131.315811782,131.338813851,131.270807734,131.514829684,131.547832652,131.303810703,131.341814121,131.411820418,131.549832832,131.442823207,131.37481709,131.513829594,131.339813941,131.409820238,131.474826085,131.548832742,131.479826535,131.501828514,131.478826445,131.444823387,131.37481709,131.420821228,131.480826625,131.570834721,131.501828514,131.59883724,131.477826355,131.373817,131.512829504,103.145,103.101,103.115,103.034,103.114,103.122,103.126,103.081,103.148,103.129,103.107,103.094,103.061,103.139,103.168,103.173,103.106,103.115,103.138,103.144,103.007,103.117,103.149,103.126,103.086,103.101,103.102,102.994,103.097,103.116,103.155,103.155
FLQS30T7GRWV,-30.7670762798,-30.709142041,-30.7081431748,-30.5053733389,-30.7391080266,-30.7391080266,-30.8080297935,-30.7081431748,-30.8130241244,-30.741105759,-30.7071443086,-30.7051465762,-30.6042610914,-30.8080297935,-30.912910743,-30.8779504265,-30.7031488439,-30.7401068928,-30.8120252582,-30.8140229906,-30.484397149,-30.7421046251,-30.8469855747,-30.7730694769,-30.6861681187,-30.7081431748,-30.7281204985,-30.452433431,-30.7281204985,-30.7760660755,-30.8459867085,-30.8799481589,131.314435878,131.529454603,131.388442323,131.338437968,131.35843971,131.290433787,131.536455213,131.568458,131.325436836,131.388442323,131.458448419,131.598460613,131.490451206,131.394442845,131.56145739,131.387442235,131.457448332,131.493451468,131.569458087,131.500452077,131.522453993,131.500452077,131.465449029,131.395442932,131.442447026,131.527454429,131.591460003,131.521453906,131.619462442,131.498451903,131.395442932,131.533454951,103.091,103.046,103.059,102.98,103.075,103.082,103.086,103.042,103.109,103.073,103.052,103.038,103.006,103.1,103.127,103.13,103.051,103.063,103.085,103.093,102.954,103.063,103.11,103.086,103.045,103.046,103.048,102.941,103.046,103.077,103.116,103.116
FLQS30S7GRWV,-30.8831552232,-30.8261309327,-30.8241300804,-30.5930316399,-30.8271313588,-30.8561437171,-30.8931594847,-30.7911160175,-30.895160337,-30.8611458479,-30.8241300804,-30.8271313588,-30.721086187,-30.8911586324,-30.9982042303,-30.9641897413,-30.8581445694,-30.8591449956,-30.9301752522,-30.929174826,-30.5960329184,-30.8591449956,-30.9311756783,-30.8591449956,-30.8011202789,-30.8261309327,-30.8441386034,-30.5650197078,-30.8421377511,-30.8601454217,-30.929174826,-30.9641897413,130.974194233,131.159135201,131.020179555,131.001185617,131.020179555,130.94920221,131.229112865,131.230112546,130.983191361,131.020179555,131.089157538,131.230112546,131.122147008,131.051169663,131.193124352,131.021179236,131.088157857,131.159135201,131.228113184,131.159135201,131.180128501,131.15813552,131.12414637,131.054168706,131.107151794,131.160134882,131.254104888,131.17912882,131.285094996,131.159135201,131.055168387,131.192124671,103.24,103.198,103.211,103.116,103.212,103.231,103.219,103.176,103.244,103.226,103.204,103.191,103.158,103.235,103.266,103.269,103.218,103.212,103.234,103.24,103.1,103.212,103.245,103.222,103.193,103.198,103.196,103.088,103.192,103.212,103.251,103.252
FLQS30RRGRWV,-30.5778253092,-30.5448481454,-30.5158682136,-30.3130086908,-30.5128702896,-30.5428495294,-30.614799705,-30.4848896658,-30.5848204652,-30.5768260012,-30.5118709816,-30.5128702896,-30.4089422582,-30.610802473,-30.6897478046,-30.6877491886,-30.5128702896,-30.5778253092,-30.6487761768,-30.622794169,-30.2940218389,-30.5788246172,-30.6517741008,-30.5438488374,-30.4968813617,-30.5138695976,-30.5348550655,-30.2660412151,-30.5328564495,-30.5808232332,-30.620795553,-30.6827526486,131.381873273,131.569906009,131.457886506,131.408877974,131.457886506,131.360869616,131.602911755,131.636917675,131.393875362,131.430881805,131.501894168,131.640918372,131.532899566,131.464887725,131.600911407,131.458886681,131.529899044,131.564905138,131.637917849,131.566905486,131.59190984,131.568905835,131.532899566,131.465887899,131.513896258,131.570906183,131.660921854,131.590909665,131.692927426,131.56790566,131.462887377,131.603911929,103.033,103.001,103.0,102.92,102.999,103.02,103.027,102.97,103.034,103.028,102.994,102.981,102.948,103.039,103.058,103.071,102.992,103.015,103.038,103.033,102.895,103.015,103.049,103.011,102.987,102.988,102.988,102.884,102.984,103.016,103.043,103.055
FLQS30R2GRWV,-30.2692722749,-30.2382535502,-30.2352517381,-30.0081146251,-30.2382535502,-30.2392541542,-30.2782777111,-30.1762161008,-30.2792783151,-30.2432565703,-30.2092360335,-30.2112372416,-30.1021714032,-30.3062946237,-30.41235865,-30.3793387173,-30.2082354295,-30.2412553622,-30.3453181805,-30.3433169725,-29.9861013366,-30.2432565703,-30.3473193886,-30.2412553622,-30.185221537,-30.2092360335,-30.2252456979,-29.9520807998,-30.230248718,-30.2412553622,-30.3433169725,-30.3773375093,131.372652506,131.584651945,131.444652315,131.396652442,131.444652315,131.346652574,131.621651847,131.655651757,131.410652405,131.44665231,131.516652125,131.655651757,131.550652035,131.479652223,131.591651926,131.444652315,131.515652127,131.550652035,131.655651757,131.584651945,131.577651963,131.585651942,131.550652035,131.479652223,131.500652167,131.587651937,131.646651781,131.579651958,131.678651696,131.585651942,131.48065222,131.619651852,103.076,103.042,103.054,102.965,103.056,103.065,103.056,103.01,103.076,103.058,103.037,103.025,102.989,103.08,103.114,103.114,103.037,103.047,103.08,103.086,102.939,103.044,103.091,103.054,103.028,103.03,103.031,102.925,103.03,103.044,103.096,103.097
FLQS30QXGRWV,-30.8566311426,-30.8266392769,-30.791648767,-30.5947021823,-30.8246398192,-30.7936482247,-30.8646289735,-30.7966474113,-30.8686278889,-30.8286387347,-30.7946479536,-30.7946479536,-30.6906761525,-30.8636292446,-31.0005920979,-30.9346099934,-30.8246398192,-30.8296384635,-30.8996194834,-30.9316108068,-30.5707086898,-30.8306381924,-30.9366094511,-30.8306381924,-30.7746533764,-30.7966474113,-30.819641175,-30.5377176375,-30.8136428018,-30.8276390058,-30.8996194834,-30.9676010457,131.291499914,131.50556921,131.365523876,131.315507686,131.365523876,131.296501533,131.542581191,131.544581838,131.330512543,131.367524524,131.436546867,131.577592524,131.468557229,131.402535857,131.542581191,131.365523876,131.435546543,131.4715582,131.575591877,131.50556921,131.495565972,131.506569534,131.4715582,131.401535533,131.419541362,131.506569534,131.596598677,131.495565972,131.630609686,131.50556921,131.40053521,131.539580219,103.08,103.047,103.046,102.969,103.06,103.054,103.059,103.031,103.081,103.061,103.04,103.027,102.994,103.072,103.115,103.105,103.053,103.051,103.07,103.091,102.942,103.048,103.096,103.059,103.034,103.035,103.035,102.928,103.03,103.047,103.088,103.102
FLQS30QPGRWV,-30.5717912964,-30.5377737252,-30.5367732084,-30.3026522776,-30.5357726916,-30.5367732084,-30.6038078339,-30.5037561541,-30.6068093843,-30.5727918132,-30.5357726916,-30.5357726916,-30.429717911,-30.6008062835,-30.707861581,-30.6758450434,-30.5317706244,-30.5677892292,-30.6388259219,-30.6418274723,-30.2846429752,-30.5707907796,-30.6428279891,-30.568789746,-30.4877478853,-30.533771658,-30.5297695908,-30.2576290216,-30.5247670068,-30.5657881956,-30.6368248883,-30.6738440098,131.35405414,131.573139293,131.430083691,131.379063861,131.430083691,131.362057251,131.606152125,131.640165345,131.39707086,131.433084857,131.504112464,131.643166511,131.534124129,131.466097689,131.604151347,131.429083302,131.502111687,131.536124907,131.639164956,131.571138516,131.562135016,131.573139293,131.536124907,131.469098855,131.485105076,131.573139293,131.664174677,131.592146681,131.700188674,131.569137738,131.4650973,131.607152513,103.088,103.053,103.066,102.974,103.066,103.073,103.077,103.033,103.098,103.081,103.059,103.045,103.012,103.089,103.12,103.124,103.057,103.069,103.088,103.096,102.949,103.067,103.1,103.076,103.041,103.051,103.041,102.935,103.036,103.065,103.104,103.106
FLQS30QMGRWV,-30.7408989104,-30.6808698166,-30.6808698166,-30.4517587755,-30.6798693317,-30.6798693317,-30.7489027896,-30.6478538151,-30.7519042443,-30.7138858182,-30.6808698166,-30.6838712713,-30.5758189026,-30.7479023047,-30.8539537036,-30.821938187,-30.6798693317,-30.7128853333,-30.7859207307,-30.8199372172,-30.4557607151,-30.715886788,-30.7879217005,-30.7148863031,-30.6568581791,-30.6848717562,-30.705881939,-30.4257461682,-30.7018799995,-30.7148863031,-30.7839197609,-30.821938187,131.259163989,131.442199079,131.301172042,131.284168783,131.302172234,131.232158812,131.478205982,131.512212501,131.264164948,131.302172234,131.372185657,131.547219213,131.404191792,131.33417837,131.47720579,131.302172234,131.372185657,131.407192368,131.510212118,131.440198695,131.464203297,131.441198887,131.405191984,131.336178754,131.388188724,131.476205598,131.53421672,131.464203297,131.566222856,131.441198887,131.336178754,131.472204831,103.042,103.0,103.013,102.92,103.013,103.02,103.024,102.979,103.046,103.027,103.006,102.991,102.96,103.038,103.068,103.071,103.006,103.016,103.036,103.057,102.905,103.014,103.048,103.024,102.995,102.998,103.001,102.892,102.997,103.014,103.053,103.055
FLQS30Q9GRWY,-30.6894301316,-30.6244334564,-30.6544319219,-30.4264435842,-30.6564318195,-30.6554318707,-30.726428239,-30.5924350932,-30.7284281367,-30.6924299781,-30.6554318707,-30.6564318195,-30.5514371904,-30.7244283413,-30.8284230216,-30.7944247607,-30.6564318195,-30.6914300293,-30.7614264487,-30.7614264487,-30.4024448118,-30.6904300804,-30.7644262953,-30.6904300804,-30.6044344794,-30.6574317684,-30.6774307454,-30.3714463975,-30.6474322799,-30.6574317684,-30.759426551,-30.7954247096,131.229778323,131.443745352,131.30176723,131.252774779,131.30176723,131.231778015,131.47873996,131.511734875,131.266772622,131.30176723,131.372756291,131.512734721,131.403751515,131.336761838,131.47873996,131.30176723,131.370756599,131.408750744,131.512734721,131.442745506,131.432747047,131.44174566,131.408750744,131.336761838,131.35575891,131.442745506,131.502736262,131.434746739,131.533731486,131.440745814,131.336761838,131.476740268,103.026,102.979,103.005,102.915,103.006,103.012,103.017,102.959,103.039,103.02,102.999,102.985,102.952,103.03,103.06,103.063,102.999,103.01,103.029,103.035,102.888,103.006,103.04,103.016,102.979,102.993,102.995,102.875,102.98,102.993,103.045,103.046
FLQS30Q9GRWV,-30.7060386864,-30.6800098325,-30.6770065032,-30.4437479282,-30.6750042837,-30.6750042837,-30.750087516,-30.6449709908,-30.7480852965,-30.712045345,-30.643969881,-30.678007613,-30.571889978,-30.7410775281,-30.8522007119,-30.8191640897,-30.6740031739,-30.712045345,-30.7821230285,-30.7520897355,-30.4247268427,-30.7130464547,-30.7851263578,-30.6790087227,-30.6239476857,-30.6790087227,-30.6709998446,-30.3916902204,-30.6669954056,-30.7110442352,-30.7811219187,-30.8161607604,131.332956387,131.514016987,131.372969779,131.325954043,131.374970449,131.305947347,131.549028705,131.587041428,131.340959065,131.375970784,131.446994555,131.585040758,131.480005603,131.410982502,131.549028705,131.373970114,131.446994555,131.481005938,131.584040423,131.514016987,131.541026027,131.514016987,131.480005603,131.410982502,131.459998907,131.515017322,131.60204645,131.541026027,131.635057498,131.515017322,131.410982502,131.54802837,103.121,103.093,103.105,103.013,103.104,103.111,103.118,103.071,103.137,103.119,103.084,103.085,103.051,103.128,103.16,103.163,103.096,103.109,103.128,103.122,102.985,103.106,103.139,103.102,103.075,103.092,103.08,102.971,103.076,103.105,103.144,103.146
FLQS30Q3GRWV,-30.9294703412,-30.869455846,-30.8674553628,-30.6373997979,-30.8654548796,-30.869455846,-30.9354717907,-30.8654548796,-30.9364720323,-30.8994630936,-30.8654548796,-30.8684556044,-30.7644304794,-30.9344715491,-31.0384966741,-31.0094896681,-30.869455846,-30.9004633352,-30.9724807294,-30.9714804878,-30.6804101861,-30.9004633352,-30.9744812126,-30.9024638183,-30.8134423171,-30.8674553628,-30.8894606777,-30.6123937582,-30.8624541549,-30.9014635767,-30.9704802462,-31.0074891849,131.224872181,131.43984576,131.29786321,131.251868863,131.268866774,131.228871689,131.475841336,131.480840722,131.263867388,131.299862964,131.369854362,131.509837158,131.403850184,131.333858786,131.476841213,131.299862964,131.368854485,131.405849938,131.510837035,131.437846006,131.43284662,131.438845883,131.372853993,131.333858786,131.355856082,131.440845637,131.5298347,131.43284662,131.534834086,131.440845637,131.334858663,131.442845391,103.218,103.172,103.185,103.094,103.187,103.193,103.196,103.167,103.217,103.198,103.177,103.165,103.132,103.209,103.238,103.244,103.179,103.188,103.208,103.214,103.095,103.185,103.222,103.196,103.157,103.171,103.172,103.066,103.16,103.185,103.224,103.229
FLQS30Q2GRWV,-30.6649709503,-30.6099386991,-30.6059363535,-30.4078202492,-30.6069369399,-30.6059363535,-30.6759774005,-30.5739175892,-30.679979746,-30.6399562906,-30.6039351808,-30.6079375263,-30.4978730239,-30.6769779869,-30.7820395573,-30.7510213794,-30.6039351808,-30.6389557042,-30.7160008559,-30.7139996831,-30.3798038304,-30.6389557042,-30.7160008559,-30.6399562906,-30.5859246258,-30.6059363535,-30.6309510132,-30.352787998,-30.6299504268,-30.6419574634,-30.7129990967,-30.7510213794,131.2851416,131.502184818,131.361156737,131.312146978,131.360156537,131.291142795,131.537191789,131.569198162,131.324149368,131.362156936,131.433171076,131.57119856,131.465177449,131.396163707,131.53619159,131.360156537,131.431170678,131.468178047,131.570198361,131.50018442,131.525189399,131.501184619,131.466177648,131.397163906,131.415167491,131.502184818,131.592202743,131.526189598,131.620208319,131.50018442,131.395163508,131.533190992,103.04,102.996,103.008,102.931,103.008,103.015,103.02,102.975,103.042,103.022,103.0,102.989,102.953,103.034,103.064,103.068,103.0,103.011,103.033,103.039,102.898,103.008,103.043,103.019,102.994,102.994,102.996,102.887,102.993,103.009,103.049,103.051
