,Distance_X_LOGO_Camera_RU1,Distance_X_LOGO_Camera_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_RU1,Distance_Y_LOGO_Camera_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_RU1,Angle_Camera_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-62.7284063824,-62.8724210905,-62.9374277296,-62.761409753,-62.7624098552,-62.8004137365,-62.689402399,-62.7234058717,-62.5883920829,-62.5893921851,-62.5563888145,-62.6213954535,-62.4443773749,-62.4823812562,-62.5493880995,-62.4793809498,-62.4783808476,-62.5123843204,-62.4773807455,-62.5133844225,-62.4793809498,-62.5143845246,-62.5513883038,-62.4473776813,-62.4463775792,-62.5833915722,-62.4793809498,-62.4433772727,-62.5873919808,-62.445377477,-62.5153846268,-62.4793809498,143.353909969,143.610034874,143.639049023,143.673065612,143.601030483,143.635047072,143.706081714,143.742099278,143.707082201,143.602030971,143.672065125,143.495979252,143.523992914,143.4919773,143.602030971,143.422943634,143.489976325,143.63104512,143.629044144,143.672065125,143.708082689,143.637048048,143.530996329,143.672065125,143.637048048,143.637048048,143.742099278,143.707082201,143.426945586,143.671064637,143.530996329,143.673065612,113.746,113.757,113.774,113.71,113.721,113.729,113.681,113.687,113.648,113.663,113.642,113.689,113.626,113.643,113.65,113.653,113.642,113.633,113.622,113.627,113.611,113.633,113.661,113.605,113.61,113.656,113.606,113.599,113.688,113.605,113.649,113.616
FLQS30KBGRWV,-62.9969127427,-63.1380738821,-63.1781195954,-63.0319527418,-63.0339550275,-63.0699961695,-62.9608716007,-62.9889036,-62.8477424606,-62.8487436035,-62.8147047472,-62.8927938881,-62.6695390364,-62.7195961781,-62.8227138898,-62.7486293202,-62.7065813212,-62.7826681765,-62.7045790356,-62.785671605,-62.7476281774,-62.7876738907,-62.8237150327,-62.7055801784,-62.7185950352,-62.8557516033,-62.7476281774,-62.7145904639,-62.8587550318,-62.7165927496,-62.7876738907,-62.7506316059,143.157592678,143.372587561,143.436586037,143.474585133,143.404586799,143.440585942,143.510584276,143.510584276,143.506584371,143.402586847,143.471585204,143.299589298,143.320588798,143.289589536,143.405586775,143.223591107,143.285589631,143.432586133,143.425586299,143.474585133,143.508584324,143.440585942,143.333588489,143.472585181,143.439585966,143.441585918,143.543583491,143.508584324,143.229590964,143.473585157,143.334588465,143.476585085,113.744,113.759,113.763,113.709,113.72,113.726,113.68,113.689,113.642,113.658,113.636,113.688,113.61,113.631,113.649,113.651,113.627,113.632,113.606,113.626,113.609,113.632,113.66,113.6,113.609,113.655,113.603,113.597,113.687,113.603,113.648,113.614
FLQS30CWGRWV,-62.9471194862,-62.9761287583,-63.0471514589,-62.9031054182,-62.8710951869,-62.9371162889,-62.7980718468,-62.8580910304,-62.6810344387,-62.6810344387,-62.647023568,-62.7660616155,-62.5369883979,-62.5890050238,-62.6620283639,-62.581002466,-62.5719995884,-62.614013017,-62.5709992687,-62.6550261258,-62.6180142959,-62.6240162142,-62.6950389149,-62.5379887177,-62.5569947925,-62.6920379557,-62.6180142959,-62.5539938333,-62.6980398741,-62.5529935136,-62.625016534,-62.5890050238,143.208477131,143.436552744,143.504575295,143.543588228,143.467563024,143.508576621,143.572597846,143.575598841,143.569596851,143.464562029,143.534585244,143.366529529,143.38553583,143.356526213,143.469563688,143.284502335,143.350524223,143.494571978,143.48957032,143.542587897,143.574598509,143.505575626,143.401541136,143.534585244,143.502574631,143.504575295,143.609610116,143.571597514,143.291504657,143.537586239,143.399540473,143.539586902,113.586,113.562,113.576,113.522,113.523,113.538,113.483,113.502,113.444,113.459,113.438,113.502,113.422,113.444,113.452,113.452,113.439,113.432,113.419,113.439,113.422,113.434,113.473,113.401,113.412,113.457,113.417,113.401,113.49,113.406,113.45,113.417
FLQS30C7GRWV,-63.0271411701,-63.1633857453,-63.2014540824,-63.0602005156,-63.0591987172,-63.0942616594,-62.989072833,-63.0161213883,-62.8838840066,-62.8838840066,-62.8187671141,-62.9179451504,-62.7075674976,-62.7486412298,-62.8498228628,-62.7806987769,-62.7416286414,-62.8147599207,-62.7416286414,-62.812756324,-62.7796969786,-62.7817005753,-62.8518264595,-62.7436322381,-62.7436322381,-62.8518264595,-62.7796969786,-62.7426304397,-62.8848858049,-62.711574691,-62.783704172,-62.7776933819,143.170648897,143.385654377,143.452656084,143.487656976,143.417655192,143.452656084,143.522657868,143.524657919,143.522657868,143.417655192,143.485656925,143.312652516,143.337653153,143.305652338,143.418655218,143.237650604,143.301652236,143.447655957,143.441655804,143.489657027,143.522657868,143.451656059,143.345653357,143.487656976,143.45365611,143.451656059,143.55765876,143.523657894,143.243650757,143.485656925,143.345653357,143.489657027,113.642,113.656,113.659,113.607,113.617,113.623,113.578,113.587,113.543,113.558,113.526,113.585,113.511,113.529,113.546,113.55,113.527,113.53,113.507,113.524,113.508,113.519,113.558,113.501,113.506,113.542,113.502,113.495,113.584,113.49,113.535,113.512
FLQS29JFGRX5,-62.8473230529,-62.9973095047,-63.0683030919,-62.8923189884,-62.8943188078,-62.9283157369,-62.8203254915,-62.8543224206,-62.7173347946,-62.7153349752,-62.6813380462,-62.7513317237,-62.5623487944,-62.6053449106,-62.6813380462,-62.6023451815,-62.5623487944,-62.6033450912,-62.5613488847,-62.6453412977,-62.6103444589,-62.6453412977,-62.6823379558,-62.563348704,-62.5783473492,-62.7163348849,-62.6103444589,-62.5753476202,-62.7173347946,-62.5763475299,-62.6453412977,-62.6113443686,143.119557597,143.369576041,143.436580983,143.472583639,143.401578401,143.437581057,143.505586074,143.542588803,143.505586074,143.400578328,143.472583639,143.297570729,143.289570139,143.257567778,143.401578401,143.18656254,143.250567262,143.393577811,143.391577664,143.472583639,143.506586148,143.437581057,143.331573237,143.437581057,143.436580983,143.436580983,143.54158873,143.506586148,143.227565565,143.471583566,143.331573237,143.471583566,113.585,113.598,113.612,113.548,113.559,113.565,113.519,113.525,113.484,113.499,113.477,113.526,113.464,113.483,113.488,113.492,113.469,113.462,113.449,113.465,113.448,113.47,113.498,113.443,113.448,113.494,113.443,113.436,113.525,113.442,113.486,113.454
FLQS22XEGRX2,-62.9157518671,-63.0537403568,-63.1207347684,-62.9477491981,-62.9487491147,-62.9867459451,-62.8747552869,-62.9097523676,-62.7767634609,-62.7767634609,-62.7467659631,-62.8077608752,-62.636775138,-62.6697723856,-62.7357668806,-62.6707723022,-62.6557735533,-62.7027696331,-62.6347753049,-62.6977700501,-62.6667726358,-62.7017697165,-62.7387666304,-62.6377750546,-62.6297757219,-62.7687641282,-62.6667726358,-62.6277758887,-62.7737637111,-62.6307756385,-62.7037695497,-62.6647728026,143.152646221,143.367635177,143.43863153,143.470629886,143.400633482,143.433631787,143.505628089,143.540626291,143.505628089,143.400633482,143.468629989,143.293638978,143.322637489,143.29263903,143.402633379,143.221642677,143.246641393,143.430631941,143.424632249,143.471629835,143.506628037,143.435631684,143.327637232,143.470629886,143.436631633,143.435631684,143.541626239,143.506628037,143.22664242,143.468629989,143.327637232,143.472629784,113.576,113.59,113.602,113.54,113.55,113.558,113.51,113.517,113.477,113.493,113.473,113.519,113.457,113.473,113.479,113.483,113.475,113.464,113.442,113.456,113.44,113.462,113.491,113.436,113.438,113.485,113.435,113.427,113.517,113.434,113.479,113.445
FLQS22TQGRX2,-63.0242587487,-63.1633100648,-63.2323355383,-63.05927167,-63.05927167,-63.0952849605,-62.9862447198,-63.020257272,-62.8882085401,-62.887208171,-62.8531956188,-62.9172192464,-62.7021398725,-62.7411542706,-62.8471934037,-62.7791682994,-62.7361524247,-62.804177529,-62.7351520555,-62.810179744,-62.7781679303,-62.8111801132,-62.8481937729,-62.7471564857,-62.7411542706,-62.8812059559,-62.7781679303,-62.7391535322,-62.8832066942,-62.7411542706,-62.8111801132,-62.7751668227,143.074650929,143.287641478,143.35563846,143.389636951,143.319640058,143.354638504,143.423635443,143.459633845,143.423635443,143.320640013,143.38763704,143.214644717,143.204645161,143.171646625,143.319640058,143.141647956,143.169646714,143.314640279,143.310640457,143.390636907,143.425635354,143.354638504,143.248643208,143.390636907,143.35563846,143.35563846,143.460633801,143.425635354,143.146647734,143.388636996,143.247643252,143.391636863,113.626,113.641,113.654,113.591,113.601,113.608,113.562,113.568,113.528,113.544,113.522,113.569,113.498,113.516,113.53,113.534,113.515,113.516,113.494,113.508,113.492,113.513,113.541,113.486,113.489,113.536,113.486,113.478,113.568,113.485,113.529,113.496
FLQS21YXGRX2,-62.6687425577,-62.8157067775,-62.8886890091,-62.7117320914,-62.7147313612,-62.7487230855,-62.6397496164,-62.6647435313,-62.5377744434,-62.5227780945,-62.4997836927,-62.5727659243,-62.3448214201,-62.389810467,-62.5027829625,-62.384811684,-62.4138046253,-62.4218026781,-62.3768136312,-62.466791725,-62.4228024347,-62.4557944024,-62.4937851531,-62.3528194729,-62.389810467,-62.5357749302,-62.4228024347,-62.3978085198,-62.5277768774,-62.3958090066,-62.4577939156,-62.4318002441,143.223725151,143.474721165,143.540720116,143.576719544,143.504720688,143.540720116,143.611718989,143.613718957,143.607719052,143.467721276,143.57571956,143.40072234,143.390722499,143.358723007,143.504720688,143.287724135,143.358723007,143.496720815,143.496720815,143.576719544,143.577719529,143.506720656,143.40072234,143.538720148,143.50772064,143.5417201,143.612718973,143.60971902,143.294724023,143.57571956,143.402722308,143.57571956,113.771,113.783,113.799,113.734,113.745,113.752,113.705,113.713,113.671,113.686,113.663,113.713,113.638,113.658,113.674,113.666,113.666,113.648,113.633,113.652,113.637,113.658,113.687,113.619,113.636,113.68,113.632,113.624,113.713,113.628,113.674,113.64
FLQS2AVTGRX5,-62.9449678877,-63.1159623673,-63.1889600106,-63.0119657247,-63.0119657247,-63.049964498,-62.9399680491,-62.9739669515,-62.8139721167,-62.844971116,-62.8109722136,-62.8689703412,-62.6569771852,-62.6899761198,-62.8009725364,-62.6889761521,-62.6919760553,-62.7239750222,-62.6989758293,-62.7629737632,-62.7299748285,-62.7319747639,-62.8009725364,-62.7039756679,-62.6939759907,-62.8339714711,-62.7299748285,-62.6949759584,-62.8359714065,-62.6959759261,-62.7329747317,-62.7299748285,143.144691475,143.363695593,143.429696834,143.465697511,143.395696195,143.428696815,143.498698131,143.535698827,143.496698094,143.394696176,143.465697511,143.289694202,143.280694032,143.248693431,143.395696195,143.176692077,143.243693337,143.388696063,143.423696721,143.465697511,143.500698169,143.427696796,143.323694841,143.46669753,143.430696853,143.429696834,143.534698808,143.500698169,143.221692923,143.463697473,143.320694785,143.465697511,113.651,113.676,113.691,113.626,113.637,113.644,113.598,113.603,113.556,113.581,113.559,113.604,113.535,113.55,113.566,113.561,113.552,113.541,113.528,113.543,113.527,113.538,113.577,113.523,113.525,113.572,113.522,113.515,113.603,113.521,113.554,113.532
FLQS3087GRWV,-63.2439738098,-63.3826931878,-63.4218964903,-63.277145835,-63.2459842356,-63.3143387117,-63.2047705074,-63.2379425325,-63.1002283674,-63.1002283674,-63.0620302778,-63.1364160313,-62.9102431324,-62.9966914404,-63.0670563423,-62.9946810146,-62.9454255833,-62.9946810146,-62.9544724993,-63.0278530398,-62.9936758017,-63.0288582527,-63.0640407036,-62.9283369643,-62.9594985637,-63.0982179417,-62.9926705888,-62.9574881379,-63.1022387932,-62.9594985637,-63.0288582527,-62.9946810146,143.221976144,143.434974621,143.500974149,143.537973885,143.463974414,143.501974142,143.571973642,143.607973384,143.571973642,143.466974392,143.536973892,143.362975136,143.352975207,143.359975157,143.466974392,143.289975657,143.316975464,143.494974192,143.493974199,143.537973885,143.573973627,143.502974135,143.398974878,143.535973899,143.501974142,143.502974135,143.607973384,143.571973642,143.293975629,143.536973892,143.397974885,143.536973892,113.598,113.613,113.616,113.562,113.563,113.58,113.533,113.539,113.499,113.514,113.491,113.541,113.467,113.495,113.503,113.505,113.484,113.475,113.461,113.479,113.463,113.485,113.512,113.446,113.462,113.508,113.458,113.451,113.54,113.457,113.5,113.468
