,Distance_X_LOGO_Camera_RU1,Distance_X_LOGO_Camera_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Camera_RU1,Distance_Y_LOGO_Camera_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Camera_RU1,Angle_Camera_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-62.9715692937,-63.1135142241,-63.182487465,-62.9745681302,-63.0105541689,-63.0435413711,-62.9365828672,-62.9365828672,-62.8186286292,-62.8196282413,-62.7826425905,-62.871608075,-62.6426968844,-62.7316623689,-62.7976367732,-62.7236654715,-62.6776833109,-62.7196670227,-62.6756840865,-62.7626503467,-62.7206666349,-62.7636499589,-62.7646495711,-62.6446961087,-62.6616895159,-62.833622812,-62.7206666349,-62.6926774937,-62.8356220363,-62.6926774937,-62.7636499589,-62.7246650836,143.151681076,143.368689688,143.434692307,143.464693498,143.398690879,143.434692307,143.503695046,143.533696236,143.500694927,143.39569076,143.463693458,143.292686672,143.314687545,143.287686473,143.399690918,143.216683656,143.278686116,143.420691752,143.418691672,143.468693657,143.500694927,143.435692347,143.323687902,143.462693419,143.428692069,143.434692307,143.536696356,143.502695006,143.221683854,143.467693617,143.328688101,143.470693736,113.889,113.904,113.918,113.844,113.865,113.871,113.825,113.821,113.786,113.802,113.779,113.834,113.754,113.788,113.794,113.796,113.771,113.765,113.75,113.772,113.753,113.777,113.794,113.733,113.744,113.801,113.748,113.743,113.833,113.749,113.793,113.759
FLQS312SGRWV,-62.696992505,-62.8750578059,-62.9430827523,-62.7670181851,-62.7380075462,-62.8060324926,-62.6959921382,-62.7300046114,-62.5889528843,-62.5899532511,-62.5509389437,-62.6289675586,-62.4088868497,-62.4909169321,-62.5569411448,-62.4509022578,-62.4449000566,-62.5219283047,-62.4789125298,-62.4889161984,-62.4839143641,-62.5219283047,-62.5249294053,-62.4148890509,-62.4539033584,-62.5929543517,-62.4519026246,-62.4519026246,-62.5939547186,-62.4519026246,-62.5209279379,-62.484914731,143.263521671,143.481507249,143.550502684,143.585500369,143.509505397,143.549502751,143.620498054,143.655495738,143.61949812,143.514505066,143.585500369,143.410511946,143.434510358,143.405512277,143.514505066,143.332517106,143.400512608,143.544503081,143.542503214,143.581500634,143.620498054,143.550502684,143.442509829,143.581500634,143.549502751,143.549502751,143.652495937,143.61949812,143.340516577,143.584500435,143.445509631,143.586500303,113.735,113.763,113.775,113.711,113.713,113.73,113.682,113.689,113.647,113.662,113.639,113.691,113.613,113.645,113.651,113.642,113.63,113.635,113.621,113.619,113.611,113.634,113.651,113.594,113.611,113.658,113.596,113.6,113.689,113.606,113.649,113.616
FLQS31J6GRWY,-62.8765247454,-63.0547416468,-63.0857794217,-62.9436063881,-62.9426051695,-62.9806514743,-62.8715186527,-62.9055600833,-62.7443638972,-62.7453651158,-62.7103224666,-62.8004321359,-62.5981859894,-62.63222742,-62.7023127183,-62.6312262014,-62.6312262014,-62.6642664135,-62.6312262014,-62.6953041884,-62.6642664135,-62.6662688506,-62.7323492747,-62.6021908636,-62.6252188901,-62.7343517118,-62.6632651949,-62.6252188901,-62.7663907053,-62.6252188901,-62.6672700691,-62.6292237643,143.158782729,143.418807764,143.445810363,143.480813733,143.410806993,143.444810267,143.514817007,143.550820473,143.514817007,143.409806897,143.48181383,143.30679698,143.332799483,143.298796209,143.406806608,143.228789469,143.298796209,143.439809786,143.437809593,143.480813733,143.517817296,143.440809882,143.338800061,143.479813637,143.445810363,143.441809978,143.552820666,143.5168172,143.23679024,143.478813541,143.335799772,143.478813541,113.771,113.793,113.799,113.746,113.756,113.764,113.717,113.723,113.674,113.69,113.668,113.724,113.652,113.668,113.676,113.679,113.668,113.659,113.648,113.663,113.647,113.659,113.696,113.632,113.645,113.682,113.642,113.635,113.723,113.64,113.675,113.641
FLQS31FWGRWY,-62.8658291953,-63.0058354961,-63.0758386465,-62.9008307705,-62.9008307705,-62.9428326607,-62.8278274851,-62.8678292853,-62.7328232095,-62.7328232095,-62.7368233896,-62.7568242897,-62.5868166387,-62.6218182139,-62.6878211843,-62.6208181689,-62.6208181689,-62.6548196991,-62.5868166387,-62.6508195191,-62.6218182139,-62.6518195641,-62.6908213193,-62.5898167737,-62.5808163687,-62.7218227145,-62.6528196091,-62.5808163687,-62.7238228045,-62.5808163687,-62.6538196541,-62.6178180339,143.170896752,143.385908611,143.493914568,143.488914292,143.418910431,143.491914458,143.525916333,143.597920305,143.526916388,143.421910597,143.494914623,143.314904695,143.342906239,143.310904474,143.421910597,143.240900613,143.307904309,143.450912196,143.444911865,143.491914458,143.527916444,143.455912472,143.34690646,143.491914458,143.457912582,143.455912472,143.563918429,143.527916444,143.245900889,143.489914347,143.347906515,143.492914513,113.686,113.701,113.708,113.65,113.661,113.664,113.62,113.623,113.588,113.604,113.595,113.628,113.566,113.583,113.589,113.593,113.583,113.574,113.552,113.566,113.551,113.572,113.601,113.546,113.548,113.595,113.556,113.538,113.627,113.543,113.589,113.555
FLQS31CRGRWY,-63.2582637251,-63.4303514953,-63.4663698658,-63.3252979146,-63.3252979146,-63.3633173057,-63.2532611736,-63.2862780132,-63.1562116753,-63.1572121856,-63.1241953459,-63.1522096341,-63.0061351315,-63.0131387035,-63.1131897327,-63.0441545226,-63.0131387035,-63.0471560534,-63.0121381932,-63.0761708519,-63.0441545226,-63.0791723828,-63.1101882018,-62.984123905,-63.0071356418,-63.1482075929,-63.0431540123,-63.0071356418,-63.1171917739,-63.008136152,-63.0801728931,-63.042153502,142.948306796,143.165228353,143.232204133,143.268191119,143.198216423,143.231204494,143.302178828,143.338165815,143.303178467,143.198216423,143.267191481,143.090255464,143.085257272,143.088256187,143.198216423,143.021280407,143.084257633,143.22720594,143.224207025,143.269190758,143.304178105,143.231204494,143.089255826,143.268191119,143.233203771,143.231204494,143.339165453,143.304178105,143.021280407,143.266191842,143.125242812,143.269190758,113.86,113.886,113.888,113.835,113.846,113.854,113.806,113.812,113.774,113.79,113.768,113.804,113.756,113.758,113.775,113.778,113.758,113.748,113.737,113.752,113.736,113.758,113.79,113.721,113.734,113.782,113.731,113.724,113.802,113.73,113.774,113.74
FLQS319LGRWY,-63.0735483373,-63.2146726242,-63.314760771,-63.1105809516,-63.1105809516,-63.1456118029,-63.0385174859,-63.0715465743,-62.9354266947,-62.9344258132,-62.8973931989,-62.9694566646,-62.7752856599,-62.8293332591,-62.9013967248,-62.8263306147,-62.8223270888,-62.8603605846,-62.7852944745,-62.8623623476,-62.8283323776,-62.863363229,-62.9003958433,-62.7933015263,-62.7943024077,-62.9324240503,-62.8293332591,-62.7933015263,-62.9364275762,-62.7933015263,-62.863363229,-62.8283323776,143.145428427,143.358446923,143.429453088,143.461455866,143.390449701,143.426452827,143.496458905,143.532462031,143.495458818,143.391449788,143.460455779,143.286440671,143.282440323,143.284440497,143.391449788,143.214434419,143.281440237,143.42245248,143.417452046,143.461455866,143.497458992,143.426452827,143.320443623,143.462455953,143.426452827,143.426452827,143.531461944,143.496458905,143.216434592,143.460455779,143.320443623,143.462455953,113.833,113.849,113.872,113.799,113.81,113.816,113.77,113.776,113.736,113.75,113.728,113.778,113.713,113.731,113.74,113.74,113.729,113.721,113.697,113.716,113.699,113.721,113.749,113.693,113.698,113.745,113.695,113.688,113.777,113.693,113.737,113.705
FLQS319HGRWY,-62.6333676171,-62.7783430067,-62.8473312955,-62.6673618464,-62.6683616767,-62.7123542087,-62.596373897,-62.6303681263,-62.4983905303,-62.4983905303,-62.4703952826,-62.5323847595,-62.354414971,-62.3884092002,-62.4553978285,-62.3884092002,-62.3884092002,-62.4214035993,-62.38740937,-62.4194039387,-62.38740937,-62.420403769,-62.4583973194,-62.3554148012,-62.3504156499,-62.4903918881,-62.38740937,-62.3494158196,-62.4903918881,-62.3484159893,-62.4224034295,-62.3844098792,143.165511322,143.420497984,143.486494532,143.485494584,143.41349835,143.485494584,143.520492754,143.556490871,143.521492701,143.416498193,143.488494427,143.346501855,143.338502273,143.306503947,143.417498141,143.235507661,143.302504156,143.445496677,143.443496781,143.486494532,143.522492649,143.450496415,143.342502064,143.486494532,143.45249631,143.450496415,143.557490818,143.522492649,143.240507399,143.483494689,143.343502012,143.48749448,113.54,113.552,113.565,113.505,113.516,113.52,113.476,113.482,113.443,113.458,113.438,113.48,113.421,113.437,113.444,113.448,113.438,113.428,113.417,113.421,113.406,113.427,113.455,113.4,113.403,113.451,113.4,113.393,113.481,113.398,113.443,113.41
FLQS317CGRWY,-62.7538778918,-62.8937795273,-62.963730345,-62.7898525981,-62.7908518955,-62.8258273043,-62.7179031855,-62.751879297,-62.6229699329,-62.6239692303,-62.5889938214,-62.6469530704,-62.4740746209,-62.5080507323,-62.5800001449,-62.5080507323,-62.4980577584,-62.5420268438,-62.4351020224,-62.5420268438,-62.5100493271,-62.5430261412,-62.5780015501,-62.482069,-62.4730753235,-62.6129769589,-62.5110486245,-62.4730753235,-62.6129769589,-62.4730753235,-62.5430261412,-62.5090500297,143.108659685,143.322617314,143.391603652,143.425596921,143.354610978,143.389604048,143.460589991,143.497582665,143.461589793,143.356610582,143.428596327,143.251631372,143.283625036,143.249631768,143.354610978,143.178645825,143.212639093,143.388604246,143.401601673,143.427596525,143.463589397,143.39060385,143.28562464,143.427596525,143.391603652,143.39060385,143.497582665,143.461589793,143.181645231,143.425596921,143.283625036,143.426596723,113.687,113.703,113.716,113.652,113.663,113.67,113.623,113.629,113.591,113.607,113.585,113.63,113.567,113.584,113.592,113.594,113.586,113.575,113.537,113.569,113.553,113.575,113.602,113.549,113.551,113.598,113.548,113.541,113.629,113.546,113.59,113.558
FLQS3160GRWY,-63.0090610898,-63.1792611436,-63.2183070383,-63.0761399345,-63.0771411113,-63.116187006,-62.9680128415,-63.0020528523,-62.9059398807,-62.9079422343,-62.8799092843,-62.9349740075,-62.7317351198,-62.7627716002,-62.8648916325,-62.763772777,-62.7667763073,-62.7968116109,-62.763772777,-62.7908045502,-62.7938080806,-62.8288492681,-62.866893986,-62.7347386501,-62.7577657162,-62.8628892789,-62.7948092574,-62.7197209983,-62.9009339968,-62.7217233519,-62.7958104342,-62.7567645395,143.023529067,143.204534799,143.352539486,143.347539328,143.274537016,143.307538061,143.379540341,143.416541513,143.381540404,143.275537048,143.346539296,143.169533691,143.196534546,143.165533564,143.277537111,143.094531316,143.161533438,143.303537934,143.301537871,143.345539264,143.347539328,143.310538156,143.203534768,143.347539328,143.311538188,143.309538124,143.418541576,143.382540436,143.102531569,143.343539201,143.202534736,143.347539328,113.609,113.639,113.631,113.584,113.595,113.603,113.543,113.549,113.522,113.538,113.518,113.562,113.491,113.506,113.523,113.516,113.507,113.496,113.486,113.488,113.489,113.506,113.535,113.469,113.482,113.518,113.479,113.459,113.561,113.465,113.511,113.477
FLQS3126GRWV,-63.0407021421,-63.2163752726,-63.2563009841,-63.078631568,-63.0806278536,-63.1455071347,-63.0377077137,-63.0626612834,-62.9339008639,-62.9019602947,-62.8979677235,-62.9678377186,-62.755233305,-62.7981534448,-62.8690215827,-62.830094014,-62.7901683025,-62.8310921568,-62.7771924463,-62.8650290116,-62.8280977285,-62.863032726,-62.8660271544,-62.7612221617,-62.7951590165,-62.9339008639,-62.8280977285,-62.7931627309,-62.9348990067,-62.7941608737,-62.8320902996,-62.8280977285,143.152397817,143.369427226,143.43543617,143.469440778,143.399431292,143.438436577,143.508446064,143.514446877,143.508446064,143.401431563,143.474441456,143.298417604,143.324421127,143.29041652,143.399431292,143.22340744,143.289416384,143.429435357,143.434436035,143.471441049,143.510446335,143.438436577,143.331422076,143.471441049,143.437436441,143.438436577,143.544450942,143.508446064,143.228408117,143.472441185,143.33042194,143.474441456,114.005,114.032,114.035,113.971,113.982,113.998,113.951,113.959,113.916,113.921,113.909,113.959,113.884,113.903,113.911,113.923,113.901,113.894,113.875,113.899,113.881,113.903,113.92,113.864,113.88,113.927,113.876,113.869,113.958,113.875,113.908,113.886
