SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30Q9GRWY____	-57.975	-57.903	-57.905	-57.904	-57.903	-57.938	-57.903	-57.904	-57.938	-57.938	-57.903	-57.971	-57.833	-57.906	-57.938	-57.871	-57.835	-57.937	-57.903	-57.871	-57.973	-57.975	-57.940	-57.902	-57.866	-57.975	-57.871	-57.937	-57.904	-57.974	-57.975	-57.975	-57.885	-57.817	-57.920	-57.922	-57.854	-57.921	-57.922	-57.887	-57.992	-57.885	-57.854	-57.886	-57.922	-57.851	-57.991	-57.851	-57.924	-57.850	-57.956	-57.815	-57.955	-57.852	-57.957	-57.854	-57.813	-57.850	-57.887	-57.852	-57.886	-57.781	-57.921	-57.885	225.292	225.294	225.345	225.346	225.313	225.328	225.346	225.329	225.364	225.311	225.313	225.295	225.381	225.310	225.363	225.327	225.381	225.294	225.364	225.309	225.328	225.276	225.345	225.313	225.311	225.275	225.345	225.295	225.328	225.241	225.310	225.292	2016_7_19_16_59_15
FLQS30Q9GRWV____	-57.853	-57.816	-57.783	-57.781	-57.815	-57.816	-57.780	-57.816	-57.851	-57.818	-57.815	-57.885	-57.748	-57.784	-57.818	-57.783	-57.745	-57.850	-57.816	-57.784	-57.887	-57.854	-57.819	-57.814	-57.748	-57.920	-57.750	-57.816	-57.783	-57.887	-57.852	-57.853	-57.991	-57.885	-57.987	-57.986	-57.956	-57.987	-57.989	-57.951	-58.057	-57.952	-57.956	-57.954	-57.986	-57.918	-58.055	-57.915	-57.988	-57.958	-58.019	-57.881	-58.021	-57.917	-58.021	-57.917	-57.881	-57.918	-57.914	-57.918	-57.952	-57.848	-57.988	-57.991	225.405	225.371	225.438	225.438	225.407	225.422	225.440	225.404	225.439	225.403	225.407	225.371	225.455	225.404	225.454	225.402	225.457	225.391	225.438	225.385	225.403	225.368	225.437	225.388	225.403	225.336	225.419	225.387	225.421	225.318	225.405	225.405	2016_7_19_16_59_15
FLQS30Q3GRWV____	-57.890	-57.818	-57.819	-57.819	-57.817	-57.855	-57.817	-57.819	-57.853	-57.853	-57.817	-57.887	-57.784	-57.820	-57.854	-57.785	-57.746	-57.851	-57.818	-57.785	-57.888	-57.889	-57.855	-57.816	-57.747	-57.889	-57.785	-57.853	-57.819	-57.889	-57.890	-57.890	-57.896	-57.862	-57.971	-57.967	-57.862	-57.968	-57.932	-57.932	-58.002	-57.896	-57.862	-57.896	-57.969	-57.861	-58.004	-57.861	-57.932	-57.860	-57.965	-57.826	-57.966	-57.897	-58.004	-57.862	-57.826	-57.896	-57.898	-57.861	-57.897	-57.825	-57.969	-57.896	225.340	225.359	225.412	225.410	225.359	225.393	225.394	225.393	225.411	225.358	225.359	225.342	225.429	225.357	225.411	225.375	225.429	225.342	225.410	225.357	225.375	225.341	225.410	225.360	225.376	225.340	225.393	225.341	225.376	225.306	225.376	225.340	2016_7_19_16_59_15
FLQS30Q2GRWV____	-57.773	-57.697	-57.701	-57.696	-57.696	-57.732	-57.695	-57.696	-57.730	-57.736	-57.696	-57.762	-57.665	-57.702	-57.735	-57.667	-57.626	-57.729	-57.695	-57.666	-57.765	-57.772	-57.735	-57.695	-57.628	-57.771	-57.666	-57.732	-57.701	-57.769	-57.767	-57.773	-57.977	-57.944	-58.046	-58.049	-57.945	-58.047	-58.045	-58.014	-58.118	-57.978	-57.945	-57.977	-58.048	-57.978	-58.115	-57.977	-58.045	-57.943	-58.051	-57.940	-58.080	-57.976	-58.050	-57.976	-57.904	-57.975	-57.979	-57.976	-58.014	-57.906	-58.048	-57.977	224.764	224.785	224.834	224.838	224.787	224.819	224.836	224.820	224.855	224.783	224.787	224.769	224.853	224.799	224.851	224.817	224.870	224.769	224.839	224.799	224.819	224.764	224.818	224.802	224.800	224.764	224.818	224.784	224.818	224.731	224.802	224.764	2016_7_19_16_59_15
FLQS30PHGRWY____	-57.956	-57.885	-57.851	-57.882	-57.884	-57.918	-57.848	-57.848	-57.917	-57.918	-57.884	-57.949	-57.816	-57.886	-57.921	-57.852	-57.815	-57.916	-57.883	-57.851	-57.951	-57.955	-57.920	-57.884	-57.779	-57.955	-57.818	-57.920	-57.884	-57.955	-57.955	-57.956	-57.817	-57.747	-57.853	-57.816	-57.783	-57.815	-57.851	-57.779	-57.922	-57.818	-57.783	-57.814	-57.818	-57.786	-57.923	-57.786	-57.855	-57.780	-57.889	-57.748	-57.883	-57.783	-57.889	-57.784	-57.703	-57.782	-57.820	-57.781	-57.821	-57.710	-57.816	-57.817	224.700	224.701	224.770	224.737	224.719	224.718	224.771	224.735	224.772	224.719	224.719	224.703	224.770	224.719	224.770	224.737	224.789	224.702	224.772	224.718	224.735	224.684	224.754	224.720	224.732	224.684	224.770	224.701	224.738	224.648	224.700	224.700	2016_7_19_16_59_16
FLQS30NWGRWV____	-57.803	-57.766	-57.733	-57.766	-57.765	-57.801	-57.729	-57.766	-57.799	-57.768	-57.765	-57.834	-57.698	-57.767	-57.768	-57.699	-57.695	-57.798	-57.765	-57.734	-57.835	-57.803	-57.768	-57.764	-57.664	-57.836	-57.700	-57.766	-57.767	-57.803	-57.803	-57.803	-57.948	-57.879	-57.981	-57.981	-57.912	-57.981	-57.984	-57.946	-58.048	-57.947	-57.912	-57.946	-57.980	-57.910	-58.051	-57.910	-57.980	-57.911	-58.014	-57.876	-58.014	-57.914	-58.017	-57.912	-57.876	-57.911	-57.947	-57.912	-57.944	-57.842	-57.982	-57.948	225.355	225.339	225.406	225.390	225.356	225.372	225.409	225.372	225.406	225.372	225.356	225.339	225.423	225.354	225.423	225.388	225.425	225.339	225.406	225.353	225.371	225.338	225.406	225.356	225.388	225.320	225.405	225.355	225.371	225.302	225.372	225.355	2016_7_19_16_59_16
FLQS30MRGRWY____	-57.727	-57.693	-57.654	-57.692	-57.691	-57.727	-57.692	-57.691	-57.728	-57.727	-57.691	-57.761	-57.659	-57.693	-57.731	-57.660	-57.623	-57.727	-57.691	-57.660	-57.763	-57.764	-57.729	-57.691	-57.624	-57.763	-57.660	-57.728	-57.655	-57.762	-57.762	-57.727	-58.014	-57.941	-58.012	-58.046	-57.978	-58.045	-58.046	-58.012	-58.114	-58.012	-57.978	-58.010	-58.046	-57.975	-58.115	-57.974	-58.044	-57.941	-58.080	-57.938	-58.078	-57.979	-58.082	-57.979	-57.901	-57.976	-58.010	-57.976	-57.978	-57.908	-58.046	-58.014	224.805	224.786	224.840	224.838	224.805	224.820	224.838	224.822	224.854	224.804	224.805	224.786	224.854	224.802	224.853	224.819	224.872	224.769	224.856	224.801	224.819	224.770	224.837	224.806	224.800	224.769	224.836	224.786	224.823	224.735	224.803	224.805	2016_7_19_16_59_16
FLQS30MKGRWV____	-57.786	-57.710	-57.747	-57.710	-57.709	-57.780	-57.743	-57.709	-57.782	-57.782	-57.709	-57.780	-57.712	-57.749	-57.783	-57.714	-57.674	-57.782	-57.709	-57.714	-57.817	-57.818	-57.782	-57.742	-57.641	-57.785	-57.713	-57.745	-57.747	-57.818	-57.814	-57.786	-57.892	-57.822	-57.927	-57.926	-57.856	-57.927	-57.924	-57.890	-57.995	-57.892	-57.856	-57.890	-57.927	-57.856	-57.997	-57.856	-57.922	-57.857	-57.960	-57.821	-57.959	-57.856	-57.963	-57.854	-57.818	-57.857	-57.892	-57.855	-57.892	-57.786	-57.928	-57.892	224.716	224.719	224.752	224.770	224.736	224.736	224.753	224.753	224.768	224.717	224.736	224.718	224.769	224.716	224.769	224.733	224.786	224.700	224.787	224.716	224.733	224.682	224.752	224.718	224.751	224.699	224.752	224.718	224.735	224.647	224.719	224.716	2016_7_19_16_59_16
FLQS30MJGRWV____	-57.837	-57.796	-57.764	-57.796	-57.798	-57.834	-57.797	-57.796	-57.836	-57.800	-57.798	-57.836	-57.732	-57.766	-57.835	-57.734	-57.726	-57.801	-57.760	-57.768	-57.872	-57.835	-57.802	-57.795	-57.727	-57.835	-57.733	-57.831	-57.765	-57.869	-57.868	-57.837	-57.827	-57.756	-57.862	-57.900	-57.834	-57.901	-57.900	-57.865	-57.975	-57.827	-57.834	-57.828	-57.903	-57.793	-57.973	-57.791	-57.902	-57.792	-57.895	-57.757	-57.896	-57.794	-57.900	-57.832	-57.752	-57.793	-57.827	-57.791	-57.827	-57.760	-57.902	-57.827	224.658	224.644	224.711	224.714	224.681	224.696	224.714	224.697	224.732	224.676	224.681	224.659	224.748	224.676	224.731	224.692	224.750	224.658	224.730	224.658	224.675	224.643	224.712	224.681	224.675	224.642	224.709	224.643	224.694	224.609	224.680	224.658	2016_7_19_16_59_16
FLQS30MEGRWV____	-57.847	-57.776	-57.776	-57.775	-57.773	-57.810	-57.773	-57.807	-57.840	-57.810	-57.773	-57.874	-57.742	-57.776	-57.810	-57.742	-57.705	-57.839	-57.774	-57.741	-57.875	-57.846	-57.811	-57.773	-57.704	-57.845	-57.743	-57.811	-57.776	-57.846	-57.847	-57.847	-57.941	-57.872	-57.975	-57.974	-57.873	-57.976	-57.976	-57.939	-58.044	-57.941	-57.873	-57.940	-57.943	-57.874	-58.013	-57.872	-57.973	-57.904	-57.976	-57.836	-58.007	-57.907	-57.981	-57.907	-57.834	-57.906	-57.908	-57.905	-57.942	-57.836	-57.976	-57.941	225.384	225.385	225.436	225.436	225.386	225.419	225.437	225.402	225.438	225.402	225.386	225.370	225.436	225.385	225.437	225.402	225.470	225.369	225.437	225.384	225.402	225.367	225.421	225.403	225.401	225.367	225.419	225.384	225.419	225.332	225.401	225.384	2016_7_19_16_59_16
