,Distance_X_LOGO_Button_LD1,Distance_X_LOGO_Button_LD2,Distance_X_LOGO_Button_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Button_LD1,Distance_Y_LOGO_Button_LD2,Distance_Y_LOGO_Button_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Button_LD1,Angle_Button_LD2,Angle_Button_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3024GRWM,-29.6760712383,-29.6760712383,-29.6390624198,-29.6720702849,-29.6730705233,-29.6740707616,-29.6300602748,-29.6730705233,-29.6300602748,-29.6400626581,-29.6390624198,-29.6720702849,-29.7920988855,-29.6740707616,-29.6740707616,-29.7490886369,-29.7500888753,-29.6710700466,-29.6700698083,-29.675071,-29.6360617048,-29.7530895903,-29.7090791034,-29.7530895903,-29.675071,-29.675071,-29.7060783884,-29.675071,-29.6420631348,-29.7100793418,-29.7530895903,-29.7490886369,-142.809167563,-142.809167563,-142.805167783,-142.799168112,-142.807167673,-142.773169538,-142.771169647,-142.807167673,-142.771169647,-142.771169647,-142.743171183,-142.799168112,-142.705173267,-142.773169538,-142.773169538,-142.843165699,-142.843165699,-142.844165644,-142.735171622,-142.776169373,-142.809167563,-142.740171348,-142.816167179,-142.740171348,-142.746171018,-142.746171018,-142.714172773,-142.746171018,-142.633177216,-142.780169154,-142.712172883,-142.847165479,258.395,258.395,258.409,258.396,258.396,258.393,258.41,258.396,258.41,258.406,258.404,258.396,258.342,258.393,258.393,258.37,258.37,258.4,258.392,258.393,258.411,258.36,258.383,258.36,258.391,258.391,258.376,258.391,258.394,258.38,258.358,258.37
FLQS301GGRWM,-29.3796932235,-29.3796932235,-29.3796932235,-29.410666544,-29.4136639621,-29.4176605196,-29.3457224848,-29.4136639621,-29.3457224848,-29.3826906416,-29.3816915022,-29.410666544,-29.4935951118,-29.4176605196,-29.4176605196,-29.4546286763,-29.4166613802,-29.4166613802,-29.3447233454,-29.4186596589,-29.3427250667,-29.4526303976,-29.4496329795,-29.4526303976,-29.4166613802,-29.4166613802,-29.3816915022,-29.4166613802,-29.3866871991,-29.4166613802,-29.4586252338,-29.4176605196,-142.845523888,-142.845523888,-142.846523723,-142.874519123,-142.844524052,-142.807530132,-142.803530789,-142.844524052,-142.803530789,-142.809529803,-142.779534733,-142.874519123,-142.735541963,-142.807530132,-142.807530132,-142.873519287,-142.872519451,-142.841524545,-142.761537691,-142.802530954,-142.847523559,-142.773535719,-142.848523395,-142.773535719,-142.778534897,-142.778534897,-142.741540977,-142.778534897,-142.704547057,-142.814528982,-142.739541306,-142.87751863,258.305,258.305,258.305,258.295,258.292,258.287,258.315,258.292,258.315,258.301,258.299,258.295,258.252,258.287,258.287,258.278,258.293,258.291,258.312,258.286,258.319,258.271,258.278,258.271,258.285,258.285,258.296,258.285,258.291,258.288,258.266,258.293
FLQS301EGRWQ,-29.5343527406,-29.5343527406,-29.4973472867,-29.5283518562,-29.5323524458,-29.535352888,-29.4983474341,-29.5323524458,-29.4983474341,-29.4993475815,-29.4993475815,-29.5283518562,-29.6093637956,-29.535352888,-29.535352888,-29.605363206,-29.5693578996,-29.5323524458,-29.4983474341,-29.5363530354,-29.4633422751,-29.5713581944,-29.5673576048,-29.5713581944,-29.5363530354,-29.5363530354,-29.5333525932,-29.5363530354,-29.5093490555,-29.5693578996,-29.5763589314,-29.5713581944,-142.859094811,-142.859094811,-142.858094453,-142.890105902,-142.861095526,-142.828083719,-142.82308193,-142.861095526,-142.82308193,-142.826083004,-142.797072628,-142.890105902,-142.756057959,-142.828083719,-142.828083719,-142.888105186,-142.888105186,-142.860095168,-142.785068334,-142.824082288,-142.860095168,-142.791070481,-142.868098031,-142.791070481,-142.799073343,-142.799073343,-142.76005939,-142.799073343,-142.684032198,-142.830084435,-142.758058674,-142.896108049,258.356,258.356,258.37,258.36,258.357,258.353,258.367,258.357,258.367,258.367,258.364,258.36,258.319,258.353,258.353,258.331,258.344,258.357,258.364,258.352,258.383,258.336,258.344,258.336,258.35,258.35,258.348,258.35,258.351,258.34,258.332,258.344
FLQS300VGRWQ,-29.6148787828,-29.6148787828,-29.5818677712,-29.6118777818,-29.6138784491,-29.6168794502,-29.5858691059,-29.6138784491,-29.5858691059,-29.5508574269,-29.5808674375,-29.6118777818,-29.6919044767,-29.6168794502,-29.6168794502,-29.6869028082,-29.6478897945,-29.5818677712,-29.5858691059,-29.6188801176,-29.5498570932,-29.6538917966,-29.6488901281,-29.6538917966,-29.5848687722,-29.5848687722,-29.6208807849,-29.5848687722,-29.5858691059,-29.6518911292,-29.6528914629,-29.6498904618,-142.747624296,-142.747624296,-142.832625264,-142.818625104,-142.753624365,-142.715623932,-142.71362391,-142.753624365,-142.71362391,-142.716623944,-142.685623591,-142.818625104,-142.676623489,-142.715623932,-142.715623932,-142.81562507,-142.814625059,-142.784624717,-142.675623477,-142.750624331,-142.791624797,-142.71362391,-142.796624854,-142.71362391,-142.725624046,-142.725624046,-142.689623636,-142.725624046,-142.574622328,-142.759624433,-142.689623636,-142.82262515,258.239,258.239,258.258,258.245,258.239,258.235,258.247,258.239,258.247,258.261,258.247,258.245,258.204,258.235,258.235,258.217,258.231,258.254,258.244,258.238,258.267,258.221,258.23,258.221,258.249,258.249,258.232,258.249,258.236,258.225,258.22,258.231
FLQS300RGRWY,-29.2251374045,-29.2251374045,-29.186091796,-29.2191303878,-29.2221338961,-29.2251374045,-29.1870929654,-29.2221338961,-29.1870929654,-29.1890953043,-29.1890953043,-29.2191303878,-29.3012262827,-29.2251374045,-29.2251374045,-29.295219266,-29.2591771658,-29.224136235,-29.1870929654,-29.2281409128,-29.1510508652,-29.2621806741,-29.2571748269,-29.2621806741,-29.2251374045,-29.2251374045,-29.2231350656,-29.2251374045,-29.1930999821,-29.2601783352,-29.2631818436,-29.2591771658,-142.928637221,-142.928637221,-142.928637221,-142.922637111,-142.92963724,-142.855635874,-142.848635745,-142.92963724,-142.848635745,-142.891636539,-142.859635948,-142.922637111,-142.781634509,-142.855635874,-142.855635874,-142.924637147,-142.959637793,-142.888636483,-142.812635081,-142.854635856,-142.926637184,-142.816635155,-142.933637313,-142.816635155,-142.860635967,-142.860635967,-142.824635302,-142.860635967,-142.747633881,-142.895636612,-142.824635302,-142.963637867,258.5,258.5,258.514,258.501,258.501,258.494,258.508,258.501,258.508,258.511,258.508,258.501,258.459,258.494,258.494,258.472,258.489,258.497,258.505,258.493,258.528,258.477,258.488,258.477,258.494,258.494,258.492,258.494,258.498,258.483,258.477,258.489
FLQS300LGRWQ,-29.4257743187,-29.4257743187,-29.387709932,-29.4197641524,-29.42377093,-29.4257743187,-29.3887116264,-29.42377093,-29.3887116264,-29.3907150152,-29.3887116264,-29.4197641524,-29.498898009,-29.4257743187,-29.4257743187,-29.4948912314,-29.4578285391,-29.4227692356,-29.3907150152,-29.4267760131,-29.3546540172,-29.4628370111,-29.4598319279,-29.4628370111,-29.4257743187,-29.4257743187,-29.42377093,-29.4257743187,-29.3917167096,-29.4608336223,-29.4608336223,-29.4608336223,-142.777604065,-142.777604065,-142.780604309,-142.809606666,-142.782604471,-142.743601301,-142.740601057,-142.782604471,-142.740601057,-142.74260122,-142.713598863,-142.809606666,-142.670595368,-142.743601301,-142.743601301,-142.810606747,-142.84460951,-142.81260691,-142.701597887,-142.740601057,-142.782604471,-142.743601301,-142.824607885,-142.743601301,-142.751601951,-142.751601951,-142.716599107,-142.751601951,-142.600589678,-142.786604796,-142.716599107,-142.815607153,258.58,258.58,258.594,258.584,258.581,258.577,258.591,258.581,258.591,258.59,258.589,258.584,258.543,258.577,258.577,258.556,258.573,258.583,258.587,258.576,258.607,258.563,258.57,258.563,258.578,258.578,258.575,258.578,258.579,258.567,258.561,258.569
FLQS300LGRWM,-29.2609263361,-29.2609263361,-29.2239087181,-29.2569244315,-29.2589253838,-29.2619268123,-29.2269101466,-29.2589253838,-29.2269101466,-29.2279106228,-29.2269101466,-29.2569244315,-29.3349615722,-29.2619268123,-29.2619268123,-29.3309596675,-29.2939420495,-29.25992586,-29.2279106228,-29.2629272885,-29.1928939571,-29.296943478,-29.2939420495,-29.296943478,-29.25992586,-29.25992586,-29.2609263361,-29.25992586,-29.2329130036,-29.2939420495,-29.2979439542,-29.296943478,-142.835879372,-142.835879372,-142.836879413,-142.867880689,-142.836879413,-142.79987789,-142.796877766,-142.836879413,-142.796877766,-142.79987789,-142.768876614,-142.867880689,-142.763876408,-142.79987789,-142.79987789,-142.869880771,-142.90288213,-142.833879289,-142.755876079,-142.830879166,-142.836879413,-142.79987789,-142.877881101,-142.79987789,-142.805878137,-142.805878137,-142.769876655,-142.805878137,-142.694873568,-142.841879619,-142.771876737,-142.907882336,258.533,258.533,258.547,258.537,258.534,258.53,258.543,258.534,258.543,258.543,258.541,258.537,258.499,258.53,258.53,258.509,258.526,258.533,258.539,258.532,258.559,258.516,258.524,258.516,258.531,258.531,258.528,258.531,258.533,258.521,258.514,258.525
FLQS3009GRWQ,-29.2494648662,-29.2494648662,-29.2104642464,-29.2414647391,-29.2454648027,-29.2474648345,-29.2054641669,-29.2454648027,-29.2054641669,-29.2114642623,-29.2114642623,-29.2414647391,-29.3604666304,-29.2474648345,-29.2474648345,-29.3564665668,-29.2844654225,-29.2444647868,-29.2064641828,-29.2494648662,-29.1714636266,-29.2874654702,-29.2824653907,-29.2874654702,-29.2484648503,-29.2484648503,-29.242464755,-29.2484648503,-29.2164643418,-29.2824653907,-29.2884654861,-29.3184659629,-142.870494513,-142.870494513,-142.868494562,-142.860494759,-142.868494562,-142.832495446,-142.828495544,-142.868494562,-142.828495544,-142.83149547,-142.804496133,-142.860494759,-142.762497163,-142.832495446,-142.832495446,-142.900493777,-142.900493777,-142.865494636,-142.789496501,-142.829495519,-142.868494562,-142.799496255,-142.872494464,-142.799496255,-142.804496133,-142.804496133,-142.769496991,-142.804496133,-142.688498979,-142.837495323,-142.76549709,-142.90649363,258.426,258.426,258.441,258.428,258.427,258.424,258.44,258.427,258.44,258.438,258.436,258.428,258.375,258.424,258.424,258.387,258.415,258.428,258.436,258.423,258.456,258.406,258.414,258.406,258.421,258.421,258.421,258.421,258.425,258.411,258.403,258.402
FLQS2F0LGRX5,-29.4924073464,-29.4924073464,-29.4914072987,-29.4954074896,-29.497407585,-29.5294091121,-29.497407585,-29.497407585,-29.497407585,-29.4954074896,-29.4944074419,-29.4954074896,-29.5664108778,-29.5294091121,-29.5294091121,-29.5964123094,-29.5254089212,-29.497407585,-29.497407585,-29.5004077282,-29.4624059148,-29.5284090644,-29.5294091121,-29.5284090644,-29.5294091121,-29.5294091121,-29.5314092075,-29.5294091121,-29.497407585,-29.5624106869,-29.5624106869,-29.5274090167,-142.808551767,-142.808551767,-142.809551728,-142.843550431,-142.812551614,-142.77255314,-142.770553216,-142.812551614,-142.770553216,-142.77255314,-142.737554475,-142.843550431,-142.669557069,-142.77255314,-142.77255314,-142.844550393,-142.842550469,-142.807551805,-142.733554628,-142.773553102,-142.812551614,-142.700555887,-142.8155515,-142.700555887,-142.739554399,-142.739554399,-142.708555581,-142.739554399,-142.634558405,-142.776552987,-142.708555581,-142.847550279,258.452,258.452,258.452,258.453,258.45,258.435,258.447,258.45,258.447,258.447,258.445,258.453,258.412,258.435,258.435,258.414,258.441,258.45,258.444,258.445,258.463,258.429,258.438,258.429,258.432,258.432,258.429,258.432,258.436,258.422,258.417,258.441
FLQS2EQUGRX5,-29.3483293739,-29.3483293739,-29.3143879746,-29.3453345446,-29.3493276504,-29.3503259268,-29.3123914217,-29.3493276504,-29.3123914217,-29.3143879746,-29.3143879746,-29.3453345446,-29.4241983842,-29.3503259268,-29.3503259268,-29.4541466777,-29.3842673261,-29.3483293739,-29.3133896981,-29.3533207562,-29.2774517459,-29.386263879,-29.3832690497,-29.386263879,-29.3503259268,-29.3503259268,-29.3812724968,-29.3503259268,-29.3523224797,-29.3842673261,-29.3892587084,-29.386263879,-142.719277194,-142.719277194,-142.721276106,-142.751259777,-142.721276106,-142.683296789,-142.682297333,-142.721276106,-142.682297333,-142.682297333,-142.652313662,-142.751259777,-142.610336522,-142.683296789,-142.683296789,-142.753258689,-142.751259777,-142.717278283,-142.644318016,-142.682297333,-142.723275017,-142.648315839,-142.726273384,-142.648315839,-142.655312029,-142.655312029,-142.622329991,-142.655312029,-142.544372445,-142.690292979,-142.618332168,-142.757256512,258.275,258.275,258.288,258.279,258.275,258.271,258.286,258.275,258.286,258.285,258.283,258.279,258.237,258.271,258.271,258.237,258.264,258.274,258.282,258.27,258.302,258.254,258.262,258.254,258.269,258.269,258.254,258.269,258.259,258.259,258.251,258.263
FLQS2DERGRX5,-29.5386168314,-29.5386168314,-29.5035400998,-29.5366124468,-29.5396190238,-29.5416234084,-29.5075488691,-29.5396190238,-29.5075488691,-29.5065466768,-29.5065466768,-29.5366124468,-29.6177900258,-29.5416234084,-29.5416234084,-29.6498601804,-29.5736935631,-29.5416234084,-29.5075488691,-29.5446299854,-29.4714699451,-29.5767001401,-29.5756979478,-29.5767001401,-29.5426256008,-29.5426256008,-29.5436277931,-29.5426256008,-29.5456321778,-29.5767001401,-29.5807089094,-29.5746957554,-142.845401386,-142.845401386,-142.846401228,-142.877396324,-142.849400753,-142.811406764,-142.807407397,-142.849400753,-142.807407397,-142.80940708,-142.777412142,-142.877396324,-142.736418627,-142.811406764,-142.811406764,-142.875396641,-142.877396324,-142.843401702,-142.768413566,-142.807407397,-142.84740107,-142.773412775,-142.850400595,-142.773412775,-142.782411351,-142.782411351,-142.745417204,-142.782411351,-142.630435394,-142.81440629,-142.744417362,-142.881395692,258.336,258.336,258.349,258.339,258.336,258.332,258.345,258.336,258.345,258.346,258.343,258.339,258.297,258.332,258.332,258.296,258.325,258.335,258.342,258.331,258.362,258.316,258.322,258.316,258.33,258.33,258.326,258.33,258.316,258.319,258.312,258.325
FLQS2CKUGRX5,-29.553693835,-29.553693835,-29.516667909,-29.5476896308,-29.5496910322,-29.5516924336,-29.5106637048,-29.5496910322,-29.5106637048,-29.5186693104,-29.5176686097,-29.5476896308,-29.6257442855,-29.5516924336,-29.5516924336,-29.6237428841,-29.5847155568,-29.5476896308,-29.5086623034,-29.5546945357,-29.4746384795,-29.5887183596,-29.5867169582,-29.5887183596,-29.5516924336,-29.5516924336,-29.5446875287,-29.5516924336,-29.516667909,-29.5857162575,-29.5887183596,-29.5877176589,-142.806171457,-142.806171457,-142.809171356,-142.880168955,-142.808171389,-142.772172607,-142.769172708,-142.808171389,-142.769172708,-142.775172505,-142.704174906,-142.880168955,-142.663176292,-142.772172607,-142.772172607,-142.836170443,-142.878169023,-142.847170071,-142.731173993,-142.768172742,-142.809171356,-142.733173925,-142.812171254,-142.733173925,-142.743173587,-142.743173587,-142.706174838,-142.743173587,-142.625177577,-142.775172505,-142.744173553,-142.841170274,258.439,258.439,258.454,258.447,258.441,258.437,258.453,258.441,258.453,258.45,258.445,258.447,258.4,258.437,258.437,258.415,258.433,258.445,258.451,258.436,258.47,258.42,258.427,258.42,258.435,258.435,258.435,258.435,258.439,258.424,258.421,258.429
FLQS2C9EGRX5,-29.4415845369,-29.4415845369,-29.405594824,-29.4395851084,-29.4405848226,-29.4425842511,-29.405594824,-29.4405848226,-29.405594824,-29.4085939668,-29.4075942525,-29.4395851084,-29.5145636768,-29.4425842511,-29.4425842511,-29.5115645341,-29.474575107,-29.4075942525,-29.4075942525,-29.4445836796,-29.3726042539,-29.4775742497,-29.4755748212,-29.4775742497,-29.4425842511,-29.4425842511,-29.4415845369,-29.4425842511,-29.4025956813,-29.4765745355,-29.4395851084,-29.4765745355,-142.771248746,-142.771248746,-142.774248079,-142.804241409,-142.775247857,-142.741255416,-142.739255861,-142.775247857,-142.739255861,-142.740255639,-142.711262087,-142.804241409,-142.67127098,-142.741255416,-142.741255416,-142.806240964,-142.803241631,-142.775247857,-142.703263865,-142.741255416,-142.777247412,-142.705263421,-142.783246078,-142.705263421,-142.71426142,-142.71426142,-142.680268979,-142.71426142,-142.63727854,-142.745254527,-142.715261197,-142.810240075,258.328,258.328,258.342,258.331,258.328,258.325,258.339,258.328,258.339,258.338,258.336,258.331,258.292,258.325,258.325,258.303,258.317,258.341,258.335,258.324,258.355,258.309,258.315,258.309,258.323,258.323,258.32,258.323,258.332,258.312,258.324,258.317
FLQS2C6NGRX5,-29.4182359693,-29.4182359693,-29.3822454679,-29.4132372886,-29.4172362332,-29.4202354416,-29.376247051,-29.4172362332,-29.376247051,-29.3852446764,-29.3842449402,-29.4132372886,-29.4962153891,-29.4202354416,-29.4202354416,-29.4902169722,-29.4542264708,-29.4182359693,-29.3782465233,-29.4212351778,-29.3442554942,-29.4572256792,-29.4532267346,-29.4572256792,-29.4202354416,-29.4202354416,-29.4142370247,-29.4202354416,-29.3852446764,-29.4542264708,-29.4612246238,-29.4542264708,-142.886520826,-142.886520826,-142.886520826,-142.913524893,-142.886520826,-142.849515252,-142.887520976,-142.886520826,-142.887520976,-142.850515403,-142.822511185,-142.913524893,-142.779504708,-142.849515252,-142.849515252,-142.918525646,-142.917525495,-142.882520223,-142.804508473,-142.8465148,-142.887520976,-142.81551013,-142.89252173,-142.81551013,-142.822511185,-142.822511185,-142.784505461,-142.822511185,-142.747499887,-142.854516005,-142.782505159,-142.923526399,258.347,258.347,258.36,258.351,258.347,258.343,258.363,258.347,258.363,258.357,258.355,258.351,258.308,258.343,258.343,258.321,258.335,258.346,258.356,258.342,258.375,258.326,258.333,258.326,258.341,258.341,258.34,258.341,258.348,258.33,258.322,258.336
FLQS2BJ4GRX5,-29.1180939155,-29.1180939155,-29.0820876166,-29.1661023141,-29.1140932156,-29.1180939155,-29.0700855169,-29.1140932156,-29.0700855169,-29.0830877915,-29.0810874416,-29.1661023141,-29.1971077382,-29.1180939155,-29.1180939155,-29.1901065134,-29.1510996895,-29.1150933906,-29.0690853419,-29.1190940905,-29.0370797429,-29.1591010893,-29.1520998645,-29.1591010893,-29.1160935656,-29.1160935656,-29.1070919908,-29.1160935656,-29.0840879665,-29.1510996895,-29.1611014392,-29.1541002144,-142.87693098,-142.87693098,-142.875930932,-142.946934376,-142.87693098,-142.841929282,-142.83692904,-142.87693098,-142.83692904,-142.840929234,-142.813927924,-142.946934376,-142.774926032,-142.841929282,-142.841929282,-142.909932581,-142.907932484,-142.875930932,-142.800927293,-142.838929137,-142.878931077,-142.808927682,-142.88393132,-142.808927682,-142.813927924,-142.813927924,-142.780926323,-142.813927924,-142.698922345,-142.846929525,-142.777926178,-142.911932678,258.449,258.449,258.463,258.436,258.451,258.446,258.464,258.451,258.464,258.46,258.458,258.436,258.411,258.446,258.446,258.424,258.439,258.45,258.462,258.446,258.48,258.428,258.437,258.428,258.445,258.445,258.446,258.445,258.448,258.434,258.425,258.438
FLQS224TGRWM,-508.163422162,-508.163422162,-507.578079601,-508.111774289,-508.163422162,-508.180638119,-507.405920025,-508.163422162,-507.405920025,-507.612511517,-507.595295559,-508.111774289,-509.489050901,-508.180638119,-508.180638119,-509.402971113,-508.783196637,-508.128990246,-507.423135982,-508.197854077,-506.786145549,-508.800412595,-508.800412595,-508.800412595,-508.197854077,-508.197854077,-508.060126416,-508.197854077,-507.595295559,-508.783196637,-508.869276426,-508.783196637,-142.870668789,-142.870668789,-142.870668789,-142.939671044,-142.867668691,-142.831667514,-142.831667514,-142.867668691,-142.831667514,-142.832667547,-142.799666468,-142.939671044,-142.728664148,-142.831667514,-142.831667514,-142.903669867,-142.901669802,-142.903669867,-142.789666142,-142.828667416,-142.873668887,-142.797666403,-142.868668723,-142.797666403,-142.800666501,-142.800666501,-142.76666539,-142.800666501,-142.687662808,-142.836667678,-142.764665325,-142.903669867,258.321,258.321,258.334,258.328,258.321,258.318,258.335,258.321,258.335,258.331,258.328,258.328,258.28,258.318,258.318,258.296,258.31,258.325,258.331,258.317,258.352,258.301,258.307,258.301,258.315,258.315,258.315,258.315,258.32,258.305,258.297,258.31
FLQS224LGRWM,-29.34305129,-29.34305129,-29.34305129,-29.3729941975,-29.3749903913,-29.3779846821,-29.3101140917,-29.3749903913,-29.3101140917,-29.3440493869,-29.342053193,-29.3729941975,-29.4199047526,-29.3779846821,-29.3779846821,-29.414914268,-29.3769865852,-29.3779846821,-29.3091159947,-29.3809789728,-29.2731845057,-29.3799808759,-29.378982779,-29.3799808759,-29.3779846821,-29.3779846821,-29.3450474838,-29.3779846821,-29.3131083824,-29.4119199773,-29.4169104619,-29.3779846821,-142.830062056,-142.830062056,-142.831061924,-142.861057947,-142.830062056,-142.795066697,-142.754072132,-142.830062056,-142.754072132,-142.795066697,-142.757071734,-142.861057947,-142.718076905,-142.795066697,-142.795066697,-142.861057947,-142.863057682,-142.829062189,-142.750072662,-142.791067227,-142.795066697,-142.752072397,-142.825062719,-142.752072397,-142.757071734,-142.757071734,-142.719076772,-142.757071734,-142.612090957,-142.791067227,-142.72007664,-142.866057284,258.325,258.325,258.325,258.316,258.313,258.309,258.332,258.313,258.332,258.322,258.319,258.316,258.286,258.309,258.309,258.3,258.314,258.312,258.332,258.307,258.349,258.305,258.311,258.305,258.306,258.306,258.315,258.306,258.319,258.296,258.288,258.314
FLQS200ZGRX8,-29.5982825149,-29.5982825149,-29.5612809116,-29.5922822549,-29.5962824282,-29.5982825149,-29.5572807383,-29.5962824282,-29.5572807383,-29.5622809549,-29.5622809549,-29.5922822549,-29.6732857648,-29.5982825149,-29.5982825149,-29.6672855048,-29.6302839015,-29.5962824282,-29.5562806949,-29.5972824716,-29.5242793083,-29.6332840315,-29.6322839882,-29.6332840315,-29.5972824716,-29.5972824716,-29.5932822982,-29.5972824716,-29.5672811716,-29.6342840749,-29.6392842915,-29.6342840749,-142.771632743,-142.771632743,-142.770632479,-142.804641444,-142.774633534,-142.74062457,-142.735623251,-142.774633534,-142.735623251,-142.735623251,-142.66960585,-142.804641444,-142.66960585,-142.74062457,-142.74062457,-142.80364118,-142.80364118,-142.772633007,-142.664604532,-142.738624042,-142.772633007,-142.705615342,-142.779634852,-142.705615342,-142.71061666,-142.71061666,-142.677607959,-142.71061666,-142.599587394,-142.742625097,-142.675607432,-142.810643026,258.33,258.33,258.344,258.335,258.331,258.327,258.343,258.331,258.343,258.341,258.336,258.335,258.293,258.327,258.327,258.306,258.32,258.331,258.338,258.328,258.358,258.311,258.318,258.311,258.326,258.326,258.324,258.326,258.328,258.314,258.307,258.319
FLNS2037GRWV,-29.6884550192,-29.6884550192,-29.6514432319,-29.6844537449,-29.6864543821,-29.6904556564,-29.6454413205,-29.6864543821,-29.6454413205,-29.6544441876,-29.6544441876,-29.6844537449,-29.7634789124,-29.6904556564,-29.6904556564,-29.7604779567,-29.7214655322,-29.6864543821,-29.6474419576,-29.691455975,-29.6124308074,-29.7264671251,-29.7224658508,-29.7264671251,-29.6904556564,-29.6904556564,-29.6844537449,-29.6904556564,-29.6544441876,-29.7234661694,-29.7264671251,-29.724466488,-142.623218416,-142.623218416,-142.622218891,-142.653204165,-142.623218416,-142.584236942,-142.584236942,-142.623218416,-142.584236942,-142.585236467,-142.555250718,-142.653204165,-142.518268293,-142.584236942,-142.584236942,-142.65820179,-142.655203215,-142.617221266,-142.549253568,-142.584236942,-142.625217466,-142.593232667,-142.67219514,-142.593232667,-142.557249767,-142.557249767,-142.530262593,-142.557249767,-142.44730202,-142.594232192,-142.567245017,-142.661200365,258.425,258.425,258.439,258.429,258.425,258.421,258.438,258.425,258.438,258.435,258.432,258.429,258.387,258.421,258.421,258.4,258.414,258.425,258.435,258.42,258.454,258.408,258.416,258.408,258.419,258.419,258.419,258.419,258.424,258.409,258.406,258.414
