SN	Distance_X_LOGO_Earphone_RU1	Distance_X_LOGO_Earphone_RU2	Distance_X_LOGO_Earphone_RU3	Distance_X_LOGO_Earphone_RU4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_RU1	Distance_Y_LOGO_Earphone_RU2	Distance_Y_LOGO_Earphone_RU3	Distance_Y_LOGO_Earphone_RU4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_RU1	Angle_Earphone_RU2	Angle_Earphone_RU3	Angle_Earphone_RU4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30X6GRWV____	-36.093	-36.007	-35.968	-35.968	-35.968	-35.967	-35.929	-36.007	-35.893	-35.968	-35.966	-35.968	-35.892	-36.042	-35.928	-35.893	-35.930	-35.932	-35.927	-35.927	-35.970	-35.893	-35.964	-35.971	-35.970	-35.970	-36.008	-35.930	-35.970	-35.970	-35.883	-36.006	140.010	140.053	140.087	140.087	140.087	140.122	140.052	140.085	140.052	140.087	140.017	140.087	140.089	140.122	140.087	140.085	139.982	140.086	140.120	140.120	140.053	140.085	140.087	140.017	140.053	140.016	140.049	140.087	140.053	140.052	140.054	140.091	104.340	104.302	104.284	104.284	104.284	104.280	104.272	104.299	104.259	104.284	104.290	104.284	104.255	104.309	104.269	104.255	104.280	104.271	104.265	104.265	104.288	104.255	104.283	104.292	104.288	104.292	104.303	104.269	104.288	104.289	104.255	104.298	2016_7_19_17_06_42
FLQS30WFGRWV____	-35.911	-35.774	-35.733	-35.733	-35.733	-35.739	-35.690	-35.782	-35.612	-35.733	-35.767	-35.733	-35.652	-35.859	-35.690	-35.612	-35.692	-35.706	-35.690	-35.690	-35.739	-35.612	-35.765	-35.734	-35.739	-35.732	-35.781	-35.692	-35.739	-35.739	-35.638	-35.813	139.978	140.027	140.034	140.034	140.034	140.099	140.028	140.062	140.027	140.034	139.994	140.034	140.066	140.096	140.065	140.062	139.959	140.064	140.101	140.101	140.025	140.062	140.067	139.995	140.025	139.994	140.025	140.063	140.025	140.029	140.040	140.069	104.331	104.273	104.257	104.257	104.257	104.253	104.241	104.272	104.211	104.257	104.273	104.257	104.222	104.299	104.237	104.207	104.248	104.243	104.234	104.234	104.260	104.207	104.265	104.261	104.260	104.260	104.276	104.238	104.260	104.259	104.220	104.284	2016_7_19_17_06_42
FLQS30VBGRWV____	-36.318	-36.180	-36.144	-36.144	-36.144	-36.145	-36.142	-36.189	-36.106	-36.144	-36.139	-36.144	-36.106	-36.224	-36.144	-36.105	-36.144	-36.150	-36.143	-36.143	-36.184	-36.105	-36.139	-36.145	-36.184	-36.146	-36.188	-36.144	-36.184	-36.145	-36.054	-36.179	140.002	140.042	140.077	140.077	140.077	140.113	140.049	140.074	140.047	140.077	140.009	140.077	140.085	140.111	140.085	140.081	139.979	140.075	140.117	140.117	140.039	140.081	140.081	140.005	140.039	140.005	140.039	140.085	140.039	140.042	140.046	140.079	104.559	104.503	104.485	104.485	104.485	104.482	104.487	104.503	104.474	104.485	104.490	104.485	104.470	104.513	104.484	104.470	104.495	104.488	104.481	104.481	104.505	104.470	104.483	104.493	104.505	104.493	104.506	104.485	104.505	104.489	104.454	104.499	2016_7_19_17_06_42
FLQS30UFGRWV____	-36.065	-35.963	-35.930	-35.930	-35.930	-35.928	-35.882	-35.971	-35.810	-35.930	-35.918	-35.930	-35.808	-35.966	-35.881	-35.809	-35.883	-35.856	-35.882	-35.882	-35.930	-35.809	-35.879	-35.930	-35.930	-35.928	-35.971	-35.883	-35.930	-35.930	-35.799	-35.965	140.002	140.044	140.044	140.044	140.044	140.116	140.046	140.078	140.046	140.044	140.011	140.044	140.083	140.115	140.080	140.080	139.976	140.081	140.115	140.115	140.044	140.080	140.082	140.008	140.044	140.009	140.042	140.080	140.044	140.045	140.052	140.085	104.322	104.279	104.266	104.266	104.266	104.259	104.248	104.279	104.220	104.266	104.265	104.266	104.216	104.273	104.244	104.216	104.255	104.234	104.241	104.241	104.266	104.216	104.243	104.270	104.266	104.269	104.282	104.245	104.266	104.266	104.215	104.276	2016_7_19_17_06_42
FLQS30TYGRWV____	-36.132	-36.019	-35.942	-35.942	-35.942	-35.942	-35.899	-35.986	-35.862	-35.942	-35.974	-35.942	-35.902	-36.069	-35.899	-35.903	-35.901	-35.954	-35.898	-35.898	-35.942	-35.903	-35.974	-35.942	-35.942	-35.941	-35.986	-35.900	-35.942	-35.942	-35.854	-36.021	139.989	140.028	140.065	140.065	140.065	140.100	140.025	140.060	140.025	140.065	139.991	140.065	140.064	140.060	140.062	140.059	139.956	140.064	140.096	140.096	140.028	140.059	140.029	139.993	140.028	139.991	140.024	140.061	140.028	140.031	140.030	140.066	104.474	104.427	104.394	104.394	104.394	104.390	104.381	104.411	104.367	104.394	104.414	104.394	104.379	104.443	104.377	104.379	104.389	104.398	104.374	104.374	104.398	104.379	104.410	104.401	104.398	104.401	104.415	104.378	104.398	104.397	104.363	104.424	2016_7_19_17_06_43
FLQS30T7GRWV____	-36.130	-36.038	-36.002	-36.002	-36.002	-36.002	-35.960	-36.044	-35.924	-36.002	-35.996	-36.002	-35.924	-36.079	-35.960	-35.924	-35.961	-35.967	-35.959	-35.959	-36.002	-35.924	-35.996	-36.003	-36.002	-36.002	-36.044	-35.961	-36.002	-36.003	-35.908	-36.038	140.040	140.116	140.147	140.147	140.147	140.184	140.118	140.148	140.117	140.147	140.083	140.147	140.153	140.183	140.152	140.150	140.049	140.149	140.183	140.183	140.115	140.150	140.151	140.079	140.115	140.080	140.112	140.152	140.115	140.112	140.116	140.154	104.433	104.390	104.373	104.373	104.373	104.369	104.360	104.389	104.346	104.373	104.377	104.373	104.342	104.399	104.357	104.343	104.367	104.359	104.353	104.353	104.376	104.343	104.370	104.380	104.376	104.380	104.393	104.357	104.376	104.377	104.340	104.386	2016_7_19_17_06_43
FLQS30S7GRWV____	-36.377	-36.246	-36.252	-36.252	-36.252	-36.252	-36.209	-36.253	-36.131	-36.252	-36.204	-36.252	-36.131	-36.291	-36.209	-36.132	-36.169	-36.217	-36.207	-36.207	-36.251	-36.132	-36.204	-36.211	-36.251	-36.211	-36.253	-36.210	-36.251	-36.251	-36.158	-36.290	139.929	140.007	140.011	140.011	140.011	140.079	140.015	140.040	140.008	140.011	139.941	140.011	140.047	140.074	140.049	140.043	139.905	140.013	140.048	140.048	139.976	140.043	140.046	139.934	139.976	139.936	140.004	140.047	139.976	139.974	139.981	140.046	104.717	104.659	104.661	104.661	104.661	104.654	104.644	104.659	104.615	104.661	104.649	104.661	104.611	104.669	104.641	104.612	104.640	104.647	104.640	104.640	104.664	104.612	104.639	104.653	104.664	104.653	104.662	104.641	104.664	104.664	104.628	104.672	2016_7_19_17_06_43
FLQS30RRGRWV____	-36.115	-36.011	-35.931	-35.931	-35.931	-35.932	-35.884	-35.975	-35.847	-35.931	-35.964	-35.931	-35.847	-36.011	-35.884	-35.847	-35.887	-35.942	-35.885	-35.885	-35.928	-35.847	-35.922	-35.928	-35.928	-35.927	-36.071	-35.886	-35.928	-35.928	-35.837	-36.010	139.971	140.014	140.048	140.048	140.048	140.048	140.014	140.045	140.012	140.048	139.952	140.048	140.051	140.079	140.049	140.047	139.915	140.050	140.085	140.085	139.984	140.047	140.049	139.948	139.984	139.947	139.985	140.019	139.984	139.985	139.983	140.020	104.507	104.463	104.429	104.429	104.429	104.429	104.414	104.446	104.400	104.429	104.451	104.429	104.396	104.456	104.411	104.397	104.425	104.433	104.408	104.408	104.434	104.397	104.425	104.438	104.434	104.437	104.489	104.415	104.434	104.434	104.399	104.462	2016_7_19_17_06_43
FLQS30R2GRWV____	-35.902	-35.812	-35.735	-35.735	-35.735	-35.735	-35.692	-35.777	-35.654	-35.735	-35.767	-35.735	-35.654	-35.850	-35.692	-35.655	-35.692	-35.701	-35.691	-35.691	-35.774	-35.655	-35.728	-35.736	-35.774	-35.735	-35.777	-35.731	-35.774	-35.735	-35.680	-35.813	140.109	140.154	140.188	140.188	140.188	140.223	140.153	140.186	140.151	140.188	140.091	140.188	140.192	140.223	140.191	140.187	140.082	140.189	140.223	140.223	140.123	140.187	140.191	140.116	140.123	140.117	140.150	140.191	140.123	140.153	140.131	140.190	104.514	104.475	104.443	104.443	104.443	104.439	104.429	104.459	104.415	104.443	104.464	104.443	104.411	104.483	104.426	104.412	104.437	104.429	104.422	104.422	104.464	104.412	104.440	104.450	104.464	104.450	104.462	104.441	104.464	104.446	104.427	104.472	2016_7_19_17_06_43
FLQS30QXGRWV____	-36.332	-36.234	-36.198	-36.198	-36.198	-36.199	-36.153	-36.240	-36.118	-36.198	-36.192	-36.198	-36.117	-36.275	-36.153	-36.119	-36.157	-36.166	-36.156	-36.156	-36.199	-36.119	-36.189	-36.200	-36.199	-36.198	-36.239	-36.156	-36.199	-36.199	-36.113	-36.233	139.930	139.973	140.010	140.010	140.010	140.046	139.974	140.007	139.972	140.010	139.939	140.010	140.009	140.043	140.009	140.006	139.904	140.009	140.044	140.044	139.973	140.006	140.008	139.938	139.973	139.937	139.971	140.010	139.973	139.974	139.976	140.010	104.394	104.352	104.335	104.335	104.335	104.332	104.321	104.351	104.308	104.335	104.339	104.335	104.304	104.361	104.318	104.305	104.329	104.322	104.315	104.315	104.339	104.305	104.332	104.343	104.339	104.342	104.354	104.319	104.339	104.339	104.306	104.348	2016_7_19_17_06_43
