SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS2F0LGRX5____	-53.460	-53.422	-53.422	-53.495	-53.459	-53.494	-53.459	-53.492	-53.458	-53.495	-53.422	-53.458	-53.390	-53.321	-53.353	-53.422	-53.422	-53.389	-53.388	-53.388	-53.356	-53.388	-53.389	-53.386	-53.423	-53.388	-53.354	-53.388	-53.389	-53.422	-53.386	-53.424	-93.831	-93.871	-93.907	-93.981	-93.944	-93.909	-93.945	-93.977	-94.016	-93.943	-94.052	-94.052	-94.016	-94.083	-94.121	-94.052	-94.052	-94.085	-94.019	-94.053	-94.082	-94.053	-94.021	-94.048	-94.050	-94.053	-94.020	-94.016	-94.021	-94.052	-94.016	-94.017	240.621	240.649	240.658	240.644	240.651	240.626	240.651	240.644	240.670	240.634	240.696	240.680	240.702	240.751	240.746	240.696	240.696	240.720	240.703	240.712	240.734	240.712	240.703	240.712	240.695	240.712	240.719	240.702	240.703	240.696	240.703	240.686	2016_7_19_17_00_27
FLQS2EQUGRX5____	-53.101	-53.062	-53.063	-53.136	-53.096	-53.134	-53.099	-53.130	-53.099	-53.133	-53.063	-53.098	-53.027	-52.958	-52.992	-53.063	-53.063	-53.029	-53.028	-53.026	-52.995	-53.026	-53.027	-53.026	-53.062	-53.026	-52.992	-53.028	-53.027	-53.063	-53.027	-53.063	-93.761	-93.758	-93.832	-93.908	-93.874	-93.836	-93.872	-93.906	-93.943	-93.871	-93.977	-93.979	-93.903	-94.011	-94.047	-93.977	-93.977	-94.010	-93.943	-93.974	-94.008	-93.974	-93.946	-93.972	-93.977	-93.974	-93.946	-93.943	-93.946	-93.977	-93.940	-93.941	240.161	240.178	240.197	240.183	240.192	240.164	240.190	240.185	240.209	240.174	240.235	240.219	240.232	240.292	240.285	240.235	240.235	240.259	240.242	240.251	240.274	240.251	240.243	240.250	240.235	240.251	240.259	240.242	240.243	240.235	240.241	240.225	2016_7_19_17_00_28
FLQS2DERGRX5____	-53.615	-53.575	-53.574	-53.646	-53.608	-53.638	-53.609	-53.642	-53.611	-53.646	-53.573	-53.610	-53.537	-53.471	-53.504	-53.573	-53.573	-53.539	-53.539	-53.539	-53.502	-53.539	-53.538	-53.538	-53.572	-53.539	-53.507	-53.536	-53.538	-53.573	-53.536	-53.575	-93.773	-93.770	-93.843	-93.919	-93.883	-93.808	-93.883	-93.917	-93.954	-93.881	-93.987	-93.989	-93.914	-94.022	-94.052	-93.987	-93.987	-94.019	-93.955	-93.987	-93.979	-93.987	-93.958	-93.944	-93.946	-93.987	-93.956	-93.916	-93.958	-93.987	-93.952	-93.953	240.022	240.039	240.059	240.046	240.054	240.020	240.053	240.047	240.071	240.036	240.097	240.081	240.095	240.153	240.146	240.097	240.097	240.121	240.104	240.113	240.128	240.113	240.105	240.102	240.087	240.113	240.119	240.095	240.105	240.097	240.105	240.087	2016_7_19_17_00_28
FLQS2CKUGRX5	-53.707	-53.632	-53.632	-53.707	-53.667	-53.700	-53.670	-53.701	-53.707	-53.706	-53.634	-53.667	-53.638	-53.569	-53.566	-53.634	-53.634	-53.599	-53.635	-53.635	-53.602	-53.635	-53.598	-53.598	-53.635	-53.635	-53.566	-53.597	-53.598	-53.634	-53.596	-53.670	-93.766	-93.802	-93.838	-93.910	-93.873	-93.799	-93.874	-93.908	-93.949	-93.874	-93.979	-93.980	-93.947	-94.014	-94.049	-93.979	-93.979	-94.012	-93.948	-93.980	-94.012	-93.980	-93.948	-93.975	-93.977	-93.980	-93.947	-93.944	-93.948	-93.979	-93.944	-93.948	239.870	239.914	239.924	239.908	239.917	239.882	239.916	239.910	239.919	239.899	239.960	239.945	239.949	239.999	240.010	239.960	239.960	239.984	239.951	239.959	239.983	239.959	239.968	239.975	239.959	239.959	239.983	239.968	239.968	239.960	239.968	239.935	2016_7_19_17_00_28
FLQS2C9EGRX5____	-53.529	-53.493	-53.492	-53.566	-53.526	-53.566	-53.530	-53.560	-53.529	-53.564	-53.492	-53.527	-53.458	-53.389	-53.425	-53.492	-53.492	-53.459	-53.459	-53.459	-53.424	-53.459	-53.458	-53.457	-53.491	-53.459	-53.425	-53.457	-53.458	-53.492	-53.456	-53.495	-93.716	-93.753	-93.789	-93.865	-93.829	-93.790	-93.827	-93.862	-93.898	-93.827	-93.929	-93.933	-93.899	-93.965	-94.001	-93.929	-93.929	-93.964	-93.896	-93.928	-93.962	-93.928	-93.901	-93.926	-93.929	-93.928	-93.899	-93.901	-93.901	-93.929	-93.897	-93.898	240.124	240.150	240.160	240.146	240.155	240.127	240.153	240.148	240.172	240.137	240.197	240.182	240.205	240.254	240.247	240.197	240.197	240.221	240.204	240.212	240.237	240.212	240.206	240.213	240.198	240.212	240.220	240.206	240.206	240.197	240.205	240.188	2016_7_19_17_00_28
FLQS2C6NGRX5____	-53.646	-53.610	-53.609	-53.685	-53.645	-53.682	-53.646	-53.640	-53.650	-53.683	-53.609	-53.644	-53.577	-53.507	-53.541	-53.609	-53.609	-53.577	-53.577	-53.577	-53.542	-53.577	-53.575	-53.574	-53.572	-53.577	-53.542	-53.537	-53.575	-53.609	-53.573	-53.612	-93.760	-93.761	-93.795	-93.908	-93.831	-93.797	-93.834	-93.861	-93.943	-93.832	-93.969	-93.970	-93.903	-93.969	-94.004	-93.969	-93.969	-93.968	-93.903	-93.935	-93.966	-93.935	-93.943	-93.964	-93.972	-93.935	-93.942	-93.938	-93.943	-93.969	-93.931	-93.901	239.960	239.976	239.986	239.981	239.979	239.952	239.979	239.989	240.006	239.961	240.032	240.016	240.029	240.078	240.072	240.032	240.032	240.046	240.029	240.037	240.062	240.037	240.040	240.046	240.049	240.037	240.055	240.057	240.040	240.032	240.038	240.012	2016_7_19_17_00_28
FLQS2BJ4GRX5____	-53.451	-53.413	-53.412	-53.481	-53.446	-53.479	-53.445	-53.478	-53.445	-53.483	-53.409	-53.445	-53.376	-53.309	-53.342	-53.409	-53.409	-53.376	-53.375	-53.375	-53.344	-53.375	-53.375	-53.377	-53.451	-53.375	-53.343	-53.375	-53.375	-53.409	-53.376	-53.411	-93.898	-93.935	-93.970	-94.045	-94.008	-93.932	-93.969	-94.043	-94.080	-94.006	-94.112	-94.114	-94.076	-94.146	-94.179	-94.112	-94.112	-94.144	-94.080	-94.110	-94.106	-94.110	-94.077	-94.107	-94.110	-94.110	-94.078	-94.080	-94.077	-94.112	-94.077	-94.080	240.036	240.063	240.072	240.060	240.067	240.032	240.057	240.061	240.086	240.049	240.111	240.095	240.117	240.166	240.160	240.111	240.111	240.135	240.118	240.126	240.139	240.126	240.117	240.124	240.091	240.126	240.132	240.118	240.117	240.111	240.117	240.102	2016_7_19_17_00_28
FLQS224TGRWM____	-53.671	-53.634	-53.633	-53.703	-53.663	-53.702	-53.709	-53.699	-53.714	-53.701	-53.676	-53.664	-53.642	-53.573	-53.609	-53.676	-53.676	-53.600	-53.646	-53.645	-53.609	-53.645	-53.644	-53.598	-53.629	-53.645	-53.610	-53.595	-53.644	-53.676	-53.593	-53.634	-93.835	-93.868	-93.905	-93.938	-93.901	-93.863	-93.902	-93.938	-94.017	-93.900	-94.046	-94.050	-94.016	-94.040	-94.120	-94.046	-94.046	-94.080	-93.971	-94.044	-94.036	-94.044	-94.020	-94.041	-94.045	-94.044	-93.975	-94.017	-94.020	-94.046	-94.012	-94.013	240.006	240.032	240.042	240.018	240.027	239.999	240.006	240.020	240.034	240.009	240.059	240.065	240.067	240.105	240.109	240.059	240.059	240.103	240.053	240.073	240.087	240.073	240.067	240.094	240.081	240.073	240.071	240.088	240.067	240.059	240.088	240.070	2016_7_19_17_00_28
FLQS224LGRWM____	-53.527	-53.487	-53.486	-53.558	-53.522	-53.561	-53.523	-53.556	-53.524	-53.558	-53.489	-53.523	-53.454	-53.387	-53.420	-53.489	-53.489	-53.455	-53.456	-53.456	-53.421	-53.456	-53.454	-53.454	-53.488	-53.456	-53.422	-53.453	-53.454	-53.489	-53.452	-53.491	-93.819	-93.856	-93.891	-93.965	-93.930	-93.891	-93.928	-93.966	-94.002	-93.928	-94.033	-94.035	-93.998	-94.066	-94.103	-94.033	-94.033	-94.065	-93.999	-94.031	-94.066	-94.031	-94.003	-94.030	-94.035	-94.031	-94.000	-94.002	-94.003	-94.033	-93.998	-94.001	240.567	240.594	240.604	240.590	240.598	240.570	240.597	240.592	240.616	240.581	240.640	240.625	240.647	240.696	240.690	240.640	240.640	240.664	240.646	240.655	240.680	240.655	240.648	240.655	240.641	240.655	240.662	240.648	240.648	240.640	240.648	240.631	2016_7_19_17_00_29
FLQS200ZGRX8____	-53.509	-53.474	-53.475	-53.547	-53.510	-53.546	-53.513	-53.544	-53.512	-53.508	-53.475	-53.510	-53.440	-53.333	-53.404	-53.475	-53.475	-53.443	-53.441	-53.441	-53.407	-53.441	-53.440	-53.441	-53.436	-53.441	-53.406	-53.400	-53.440	-53.475	-53.399	-53.438	-93.634	-93.634	-93.705	-93.781	-93.745	-93.712	-93.747	-93.778	-93.816	-93.743	-93.850	-93.851	-93.816	-93.882	-93.919	-93.850	-93.850	-93.881	-93.814	-93.848	-93.881	-93.848	-93.815	-93.846	-93.849	-93.848	-93.815	-93.815	-93.815	-93.850	-93.812	-93.815	240.077	240.093	240.112	240.098	240.106	240.081	240.105	240.099	240.124	240.107	240.150	240.134	240.157	240.223	240.201	240.150	240.150	240.173	240.156	240.165	240.189	240.165	240.157	240.164	240.167	240.165	240.172	240.175	240.157	240.150	240.175	240.157	2016_7_19_17_00_29
FLNS2037GRWV____	-53.589	-53.550	-53.506	-53.624	-53.585	-53.619	-53.542	-53.620	-53.590	-53.624	-53.551	-53.588	-53.518	-53.449	-53.482	-53.551	-53.551	-53.518	-53.517	-53.563	-53.437	-53.563	-53.517	-53.470	-53.551	-53.563	-53.484	-53.514	-53.517	-53.551	-53.513	-53.553	-93.581	-93.616	-93.651	-93.728	-93.691	-93.657	-93.688	-93.727	-93.803	-93.690	-93.834	-93.836	-93.765	-93.866	-93.869	-93.834	-93.834	-93.828	-93.800	-93.838	-93.825	-93.838	-93.804	-93.790	-93.832	-93.838	-93.801	-93.849	-93.804	-93.834	-93.797	-93.801	239.969	239.997	240.026	239.992	240.000	239.976	240.019	239.993	240.027	239.982	240.053	240.037	240.050	240.109	240.095	240.053	240.053	240.067	240.060	240.049	240.104	240.049	240.061	240.079	240.053	240.049	240.076	240.074	240.061	240.053	240.061	240.044	2016_7_19_17_00_29
