SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32		Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32		Angle_Camera_LD1	Angle_Camera_LD2	Angle_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32		Date_time
FLQS20U5GRX2____	-0.035	-0.035	-0.038	0.008	-0.03	-0.068	-0.043	-0.034	-0.038	-0.039	0	-0.027	0	-0.036	-0.029	-0.042	-0.038	-0.027	-0.033	0.002	-0.025	-0.03	-0.029	-0.026	0.01	-0.026	0.007	-0.033	0.007	-0.024	-0.029	0.007	-0.02415625	-0.009	-0.009	-0.045	-0.012	-0.009	-0.011	-0.079	-0.046	-0.045	-0.044	-0.006	-0.009	-0.006	-0.007	-0.009	-0.157	-0.045	-0.044	-0.011	-0.015	-0.086	-0.009	-0.011	-0.083	-0.081	-0.009	-0.007	-0.013	-0.007	-0.081	-0.048	-0.007	-0.033125	-0.1	-0.1	-0.093	-0.115	-0.101	-0.089	-0.088	-0.096	-0.093	-0.093	-0.113	-0.103	-0.113	-0.099	-0.102	-0.077	-0.093	-0.097	-0.1	-0.112	-0.093	-0.102	-0.102	-0.093	-0.105	-0.103	-0.115	-0.1	-0.115	-0.094	-0.097	-0.115	-0.10034375	2016_7_11_10_09_09
FLQS21TBGRWM____	-0.083	-0.079	-0.077	-0.076	-0.077	-0.081	-0.079	-0.081	-0.077	-0.08	-0.077	-0.077	-0.077	-0.111	-0.075	-0.081	-0.077	-0.076	-0.077	-0.08	-0.075	-0.075	-0.076	-0.074	-0.073	-0.073	-0.072	-0.078	-0.072	-0.078	-0.075	-0.072	-0.07784375	-0.077	0.006	0.041	0.042	0.075	0.005	0.041	0.003	0.041	0.007	0.039	0.041	0.039	0.002	0.041	-0.001	0.041	0.036	0.07	0.004	-0.001	0.004	0.038	0.002	0.004	0.003	-0.063	0.033	-0.063	0.074	0.04	-0.063	0.01575	0.151	0.138	0.133	0.132	0.128	0.138	0.133	0.139	0.133	0.138	0.132	0.132	0.132	0.149	0.132	0.14	0.133	0.133	0.128	0.139	0.137	0.137	0.132	0.136	0.136	0.136	0.146	0.134	0.146	0.128	0.132	0.146	0.13621875	2016_7_11_10_09_13
FLQS22W2GRWQ____	0.04	0.073	0.072	0.076	0.109	0	0.072	0.073	0.072	0.072	0.072	0.082	0.072	0.039	0.079	0.074	0.072	0.078	0.072	0.073	0.078	0.107	0.083	0.081	0.083	0.079	0.078	0.071	0.078	0.085	0.079	0.078	0.0735	0.022	0.024	0.023	0.097	0.018	0.057	0.024	0.023	0.023	0.024	0.019	0.02	0.019	0.099	0.021	0.021	0.023	0.06	0.019	0.021	0.022	0.06	-0.054	0.024	0.021	0.058	0.059	0.098	0.059	-0.016	0.02	0.059	0.03334375	-0.183	-0.194	-0.194	-0.205	-0.206	-0.173	-0.194	-0.194	-0.194	-0.194	-0.193	-0.196	-0.193	-0.193	-0.195	-0.195	-0.194	-0.201	-0.193	-0.194	-0.196	-0.211	-0.186	-0.197	-0.198	-0.201	-0.201	-0.204	-0.201	-0.193	-0.195	-0.201	-0.1956875	2016_7_11_10_09_16
FLQS23HTGRWQ____	-0.204	-0.243	-0.278	-0.279	-0.275	-0.203	-0.281	-0.272	-0.278	-0.273	-0.277	-0.281	-0.277	-0.277	-0.279	-0.272	-0.278	-0.279	-0.276	-0.276	-0.276	-0.277	-0.279	-0.28	-0.279	-0.28	-0.171	-0.272	-0.171	-0.281	-0.278	-0.171	-0.26165625	-0.131	-0.13	-0.13	-0.089	-0.1	-0.131	-0.202	-0.099	-0.13	-0.096	-0.131	-0.131	-0.131	-0.09	-0.132	-0.096	-0.13	-0.133	-0.132	-0.132	-0.095	-0.133	-0.132	-0.093	-0.133	-0.204	-0.165	-0.133	-0.165	-0.13	-0.168	-0.165	-0.131	-0.072	-0.059	-0.046	-0.052	-0.052	-0.073	-0.036	-0.053	-0.046	-0.054	-0.047	-0.045	-0.047	-0.053	-0.047	-0.053	-0.046	-0.046	-0.047	-0.047	-0.052	-0.047	-0.046	-0.052	-0.046	-0.036	-0.079	-0.048	-0.079	-0.045	-0.042	-0.079	-0.05225	2016_7_11_10_09_19
FLQS235WGRX5____	0.197	0.202	0.199	0.213	0.212	0.198	0.202	0.206	0.199	0.197	0.205	0.215	0.205	0.201	0.213	0.206	0.199	0.214	0.205	0.202	0.216	0.209	0.213	0.214	0.208	0.213	0.216	0.206	0.216	0.247	0.215	0.216	0.20871875	0.03	0.031	0.028	0.025	0.027	0.029	0.103	-0.006	0.028	0.061	0.063	0.031	0.063	0.063	0.024	0.115	0.028	0.073	0.028	0.029	-0.012	0.066	0.03	0.075	0.11	0.072	0.034	0.029	0.034	0.074	-0.011	0.034	0.044	-0.11	-0.112	-0.111	-0.115	-0.115	-0.11	-0.122	-0.108	-0.111	-0.114	-0.118	-0.117	-0.118	-0.116	-0.115	-0.125	-0.111	-0.122	-0.113	-0.112	-0.111	-0.119	-0.115	-0.122	-0.125	-0.122	-0.118	-0.113	-0.118	-0.133	-0.11	-0.118	-0.11621875	2016_7_11_10_09_23
