SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS3115GRWV____	-0.072	-0.074	-0.074	-0.074	-0.075	-0.076	-0.077	-0.074	-0.075	-0.074	-0.075	-0.076	-0.075	-0.106	-0.041	-0.041	-0.075	-0.076	-0.075	-0.076	-0.076	-0.076	-0.076	-0.104	-0.047	-0.075	-0.108	-0.074	-0.076	-0.077	-0.075	-0.107	-0.001	-0.002	-0.002	0	-0.003	-0.002	-0.003	-0.002	-0.003	-0.003	-0.001	-0.001	-0.002	-0.003	-0.002	-0.002	-0.001	-0.002	-0.003	-0.002	-0.001	-0.002	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.002	-0.002	-0.002	-0.004	-0.029	-0.03	-0.03	-0.03	-0.03	-0.03	-0.03	-0.029	-0.03	-0.03	-0.03	-0.03	-0.03	-0.042	-0.017	-0.017	-0.03	-0.031	-0.03	-0.03	-0.03	-0.03	-0.03	-0.042	-0.019	-0.03	-0.044	-0.03	-0.031	-0.03	-0.03	-0.042	-0.076	-0.002	-0.03	2016_7_13_17_18_04
FLQS30VBGRWV____	-0.122	-0.136	-0.125	-0.134	-0.135	-0.134	-0.133	-0.134	-0.134	-0.136	-0.135	-0.135	-0.135	-0.135	-0.134	-0.134	-0.137	-0.135	-0.136	-0.133	-0.135	-0.134	-0.135	-0.133	-0.136	-0.136	-0.134	-0.138	-0.133	-0.135	-0.134	-0.136	-0.105	-0.067	-0.102	-0.069	-0.069	-0.067	-0.067	-0.067	-0.068	-0.068	-0.067	-0.067	-0.041	-0.067	-0.067	-0.067	-0.068	-0.067	-0.07	-0.067	-0.067	-0.067	-0.067	-0.105	-0.068	-0.067	-0.068	-0.069	-0.067	-0.067	-0.067	-0.069	-0.051	-0.058	-0.052	-0.058	-0.058	-0.057	-0.057	-0.058	-0.058	-0.058	-0.058	-0.058	-0.06	-0.058	-0.058	-0.058	-0.059	-0.058	-0.058	-0.057	-0.058	-0.057	-0.058	-0.055	-0.059	-0.059	-0.058	-0.059	-0.057	-0.058	-0.058	-0.058	-0.134	-0.07	-0.058	2016_7_13_13_35_49
FLQS30X6GRWY____	-0.023	-0.046	-0.023	-0.078	-0.046	-0.045	-0.047	-0.044	-0.047	-0.047	-0.049	-0.05	-0.046	-0.047	-0.046	-0.046	-0.044	-0.046	-0.013	-0.047	-0.05	-0.047	-0.05	-0.045	-0.044	-0.049	-0.05	-0.047	-0.016	-0.015	-0.047	-0.049	-0.004	-0.008	-0.007	-0.006	-0.008	-0.009	-0.008	-0.007	-0.01	-0.009	-0.008	-0.007	-0.007	-0.009	-0.008	-0.008	-0.006	-0.007	-0.008	-0.011	-0.007	-0.009	-0.007	-0.006	-0.006	-0.01	-0.041	-0.005	-0.009	-0.009	-0.009	-0.009	-0.009	-0.018	-0.009	-0.031	-0.018	-0.017	-0.018	-0.017	-0.018	-0.018	-0.019	-0.02	-0.018	-0.018	-0.018	-0.018	-0.017	-0.018	-0.005	-0.019	-0.02	-0.018	-0.02	-0.018	-0.017	-0.019	-0.017	-0.019	-0.006	-0.006	-0.019	-0.019	-0.043	-0.009	-0.017	2016_7_13_13_35_53
FLQS31CRGRWY____	-0.084	-0.083	-0.087	-0.114	-0.08	-0.08	-0.083	-0.081	-0.112	-0.082	-0.111	-0.113	-0.084	-0.08	-0.146	-0.146	-0.085	-0.111	-0.081	-0.146	-0.113	-0.08	-0.113	-0.085	-0.06	-0.083	-0.114	-0.115	-0.081	-0.083	-0.082	-0.148	-0.005	-0.008	-0.007	-0.004	-0.034	-0.029	-0.006	-0.029	-0.032	-0.036	-0.027	-0.006	-0.008	-0.008	-0.031	-0.031	-0.041	-0.025	-0.008	-0.004	-0.006	-0.027	-0.006	-0.005	-0.006	-0.007	-0.037	-0.003	-0.029	-0.006	-0.006	-0.035	-0.038	-0.037	-0.038	-0.049	-0.034	-0.035	-0.037	-0.035	-0.047	-0.034	-0.047	-0.049	-0.037	-0.035	-0.061	-0.061	-0.035	-0.047	-0.036	-0.062	-0.049	-0.035	-0.049	-0.038	-0.028	-0.036	-0.047	-0.049	-0.035	-0.037	-0.037	-0.061	-0.098	-0.017	-0.042	2016_7_13_13_35_56
FLQS31FWGRWY____	-0.074	-0.075	-0.064	-0.106	-0.076	-0.075	-0.075	-0.103	-0.075	-0.074	-0.107	-0.075	-0.075	-0.075	-0.074	-0.074	-0.076	-0.075	-0.076	-0.075	-0.075	-0.074	-0.075	-0.075	-0.076	-0.076	-0.074	-0.074	-0.075	-0.074	-0.073	-0.076	-0.001	0	-0.036	0	0	-0.001	-0.001	0	0.001	0.001	0.001	0	-0.001	0	-0.001	-0.001	-0.001	0	0	0	0	0	0	-0.001	-0.001	0.001	0.001	0	0	0	0.001	0	-0.034	-0.035	-0.027	-0.046	-0.035	-0.034	-0.035	-0.045	-0.034	-0.034	-0.047	-0.034	-0.034	-0.035	-0.034	-0.034	-0.035	-0.034	-0.035	-0.034	-0.034	-0.034	-0.034	-0.035	-0.035	-0.034	-0.034	-0.034	-0.034	-0.034	-0.033	-0.035	-0.077	-0.001	-0.035	2016_7_13_13_35_59
FLQS200ZGRX8____	0.085	0.087	0.086	0.117	0.086	0.114	0.085	0.115	0.146	0.146	0.143	0.083	0.085	0.147	0.115	0.115	0.11	0.085	0.083	0.116	0.083	0.085	0.083	0.086	0.11	0.14	0.146	0.117	0.086	0.085	0.085	0.117	-0.001	-0.003	-0.001	-0.002	-0.003	-0.004	-0.002	-0.002	0.016	0.019	0.046	-0.002	-0.002	0.019	0.017	0.017	-0.002	-0.002	-0.004	-0.004	-0.002	-0.002	-0.002	-0.003	-0.002	0	0.015	-0.002	-0.002	-0.003	0	-0.029	0.034	0.036	0.035	0.047	0.035	0.046	0.034	0.047	0.058	0.057	0.055	0.033	0.034	0.058	0.045	0.045	0.044	0.034	0.033	0.047	0.033	0.034	0.033	0.034	0.044	0.056	0.058	0.047	0.034	0.035	0.034	0.049	0.105	0.002	0.042	2016_7_13_13_36_02
FLQS224LGRWM____	-0.086	-0.093	-0.122	-0.09	-0.094	-0.124	-0.09	-0.089	-0.09	-0.09	-0.062	-0.092	-0.091	-0.081	-0.091	-0.091	-0.096	-0.122	-0.089	-0.093	-0.092	-0.164	-0.092	-0.099	-0.125	-0.062	-0.091	-0.089	-0.161	-0.09	-0.09	-0.125	0.006	0.035	0.008	0.007	0.007	0.01	0.009	0.01	0.038	0.009	0.082	0.039	0.035	0.048	0.039	0.039	0.006	0.037	0.01	0.039	0.039	0.008	0.039	0.045	0.007	0.081	0.009	0.005	0.008	0.01	0.008	0.007	-0.031	-0.036	-0.046	-0.032	-0.033	-0.046	-0.032	-0.032	-0.035	-0.033	-0.026	-0.035	-0.035	-0.032	-0.035	-0.035	-0.035	-0.047	-0.033	-0.036	-0.035	-0.062	-0.035	-0.038	-0.046	-0.026	-0.033	-0.032	-0.061	-0.032	-0.032	-0.046	-0.099	0.024	-0.037	2016_7_13_13_36_07
FLQS224TGRWM____	-0.012	-0.019	-0.015	-0.016	-0.017	-0.016	-0.019	-0.019	-0.017	-0.05	-0.015	-0.047	-0.05	-0.05	-0.019	-0.019	-0.021	-0.046	-0.05	-0.048	-0.047	-0.048	-0.047	-0.042	-0.018	-0.014	-0.051	-0.016	-0.018	-0.018	-0.017	-0.018	-0.068	-0.067	-0.068	-0.068	-0.065	-0.066	-0.034	-0.066	-0.065	-0.038	-0.094	-0.066	-0.094	-0.066	-0.066	-0.066	-0.067	-0.065	-0.066	-0.065	-0.066	-0.065	-0.066	-0.069	-0.068	-0.092	-0.065	-0.067	-0.065	-0.066	-0.066	-0.064	-0.009	-0.012	-0.009	-0.01	-0.01	-0.011	-0.014	-0.012	-0.01	-0.026	-0.008	-0.023	-0.023	-0.024	-0.011	-0.011	-0.013	-0.023	-0.024	-0.023	-0.023	-0.023	-0.023	-0.021	-0.011	-0.008	-0.024	-0.011	-0.011	-0.011	-0.01	-0.011	-0.029	-0.067	-0.015	2016_7_13_13_36_10
FLQS300LGRWM____	-0.017	-0.015	-0.018	-0.045	-0.014	-0.012	-0.013	-0.042	-0.013	-0.013	-0.014	-0.013	-0.013	-0.045	-0.011	-0.011	-0.016	-0.012	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013	-0.015	-0.014	-0.012	-0.009	-0.011	-0.04	-0.015	-0.012	0.06	0.055	0.058	0.06	0.055	0.056	0.057	0.057	0.055	0.054	0.056	0.055	0.054	0.054	0.059	0.059	0.058	0.055	0.055	0.055	0.055	0.057	0.055	0.06	0.06	0.055	0.055	0.021	0.057	0.056	0.058	0.055	-0.011	-0.01	-0.011	-0.022	-0.009	-0.009	-0.008	-0.02	-0.009	-0.009	-0.009	-0.01	-0.009	-0.022	-0.008	-0.008	-0.011	-0.009	-0.009	-0.009	-0.01	-0.009	-0.01	-0.009	-0.01	-0.009	-0.009	-0.005	-0.008	-0.02	-0.01	-0.009	-0.017	0.055	-0.011	2016_7_13_13_36_12
FLQS300LGRWQ____	0.108	0.111	0.083	0.101	0.142	0.109	0.083	0.115	0.143	0.081	0.07	0.14	0.08	0.07	0.07	0.07	0.086	0.143	0.08	0.112	0.14	0.112	0.14	0.108	0.084	0.07	0.142	0.111	0.111	0.11	0.07	0.143	0.065	0.067	0.066	0.103	0.092	0.063	0.035	0.111	0.087	0.067	0.07	0.07	0.054	0.07	0.07	0.07	0.065	0.135	0.071	0.11	0.07	0.11	0.07	0.069	0.066	0.07	0.09	0.064	0.109	0.138	0.07	0.09	0.044	0.044	0.032	0.038	0.055	0.044	0.034	0.043	0.055	0.032	0.028	0.055	0.032	0.027	0.028	0.028	0.034	0.053	0.032	0.041	0.055	0.042	0.055	0.043	0.033	0.027	0.055	0.045	0.041	0.039	0.027	0.056	0.104	0.08	0.041	2016_7_13_13_36_17
