SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS305DGRWM____	-0.005	0.068	0.019	0.128	0.054	0	-0.071	-0.071	0.143	0.068	0.049	-0.067	0.001	0.006	0.132	-0.008	0.019	-0.006	-0.066	0.049	0.133	0.068	-0.006	-0.068	0.049	0.068	-0.073	0.054	-0.112	0.019	-0.002	0.049	0.131	0.149	0.149	0.149	0.149	0.131	0.131	0.131	0.149	0.131	0.149	0.149	0.131	0.131	0.131	0.133	0.131	0.131	0.133	0.002	0.131	0.131	0.149	0.004	0.131	-0.002	0.131	0.149	0.131	0.149	0.131	0.131	-0.009	0.07	0.064	0.035	-0.002	-0.021	-0.05	-0.057	0.094	0.035	-0.008	-0.039	0.006	0.01	0.07	-0.03	0.088	-0.018	-0.038	0.01	0.071	0.035	-0.031	-0.033	0.101	0.035	-0.052	0.035	-0.09	-0.017	0.002	0.01	0.019	0.124	0.009	2016_7_13_14_38_34
FLQS305NGRWM____	0.115	0.251	0.115	0.115	0.067	0.067	-0.001	0.061	0.115	0.061	0.003	0.126	0.183	0.212	0.263	0.133	0.126	0.115	0.115	0.115	0.001	0.133	0.115	0.134	0.129	0.067	0.126	0.204	0.129	0.205	0.209	0.133	0.065	0.194	0.126	-0.002	-0.049	0.072	0.192	0.072	0.065	0.066	-0.002	0.065	0.065	0.001	0.133	0.066	-0.059	0.001	-0.002	-0.06	0.001	0.131	0.065	0.132	0.066	0.072	0.065	-0.066	0.065	0.065	0.065	0.065	-0.079	0.111	0.181	0.047	0.047	0.029	-0.01	0.031	-0.07	0.01	0.002	0.048	0.031	0.134	0.121	0.158	-0.021	0.006	-0.038	-0.091	0	0.058	-0.089	0.058	0.047	0.029	-0.025	0.102	0.137	0.096	0.113	0.141	0.123	0.054	0.041	2016_7_13_14_38_40
FLQS307KGRWV____	-0.062	-0.084	-0.005	-0.077	-0.084	0.059	-0.133	-0.084	-0.137	0.061	-0.062	0.055	-0.084	-0.073	-0.062	-0.146	0.07	-0.077	-0.14	0.06	-0.067	-0.071	0.003	-0.006	-0.139	-0.021	-0.011	-0.137	-0.071	-0.005	-0.138	-0.067	-0.08	-0.085	-0.061	-0.008	-0.008	0.064	-0.061	-0.008	-0.08	-0.065	-0.008	-0.085	-0.008	-0.137	-0.065	-0.061	-0.137	-0.008	-0.137	-0.085	-0.061	-0.065	-0.137	-0.08	-0.061	-0.065	-0.08	-0.085	-0.061	-0.085	0.057	-0.061	0.562	0.53	0.685	0.611	0.511	0.699	0.613	0.598	0.625	0.714	0.674	0.681	0.627	0.62	0.58	0.58	0.734	0.543	0.613	0.708	0.635	0.563	0.702	0.649	0.62	0.641	0.672	0.627	0.634	0.694	0.605	0.636	-0.054	-0.06	0.631	2016_7_13_14_38_46
FLQS308YGRWQ____	-0.01	-0.011	-0.06	-0.088	0.007	-0.005	-0.01	0.001	-0.129	-0.01	-0.011	-0.005	-0.01	-0.068	0.12	-0.011	-0.01	-0.134	0.067	0.001	0.054	-0.01	-0.01	0.001	-0.134	0.125	-0.142	-0.011	0.061	0.055	-0.006	-0.049	0.071	0.014	0.009	0.071	0.071	0.009	0.009	0.014	-0.067	0.071	-0.06	0.071	0.071	0.071	0.009	0.071	0.014	0.014	-0.07	-0.066	0.014	0.071	0.071	-0.007	0.014	0.009	0.014	0.014	0.002	0.071	-0.007	0.014	-0.031	0.08	-0.014	-0.065	0.022	0.081	0.098	0.109	-0.059	-0.014	-0.089	-0.006	-0.033	-0.002	0.004	-0.028	-0.145	-0.081	0.035	0.004	0.007	0.12	-0.065	-0.006	-0.065	0.061	-0.091	-0.083	0.029	-0.005	-0.003	0.007	-0.014	0.021	-0.007	2016_7_13_14_38_50
FLQS309NGRWM____	0.263	0.33	0.278	0.408	0.286	0.276	0.218	0.393	0.274	0.202	0.266	0.197	0.263	0.263	0.278	0.263	0.202	0.263	0.278	0.266	0.263	0.405	0.193	0.263	0.217	0.263	0.406	0.331	0.138	0.212	0.263	0.21	0.008	0.008	0.008	-0.142	-0.066	-0.066	0.008	0.008	0.008	0.063	0.008	0.008	-0.119	0.008	-0.067	0.008	0.008	0.008	0.008	0.008	0.008	0.063	0.008	0.008	0.008	0.063	-0.066	0.065	0.008	0.008	0.008	-0.066	0.24	0.138	0.144	0.204	0.166	0.146	0.123	0.177	0.146	0.072	0.116	0.08	0.009	0.256	0.137	0.099	0.088	0.011	0.147	0.26	0.062	0.193	0.049	0.116	0.133	0.012	0.199	0.157	0.051	0.127	0.035	0.113	0.27	-0.005	0.125	2016_7_13_14_38_54
FLQS309QGRWV____	-0.065	-0.083	-0.065	-0.069	-0.159	-0.069	0.056	-0.016	-0.128	0.002	-0.183	-0.065	-0.065	-0.072	-0.065	0.003	-0.065	-0.008	-0.065	0.012	-0.065	-0.003	-0.065	-0.016	-0.003	-0.065	0.001	-0.065	0.001	-0.065	0.016	0.076	0.005	0.139	0.005	0.122	0.005	0.122	0.124	0.122	0.122	-0.073	0.122	0.005	0.124	0.122	0.005	-0.07	0.005	0.122	0.005	0.122	0.005	0.005	0.005	0.005	0.005	0.197	0.005	-0.006	0.139	0.122	0.005	0.122	-0.026	-0.084	-0.079	-0.074	-0.065	-0.031	0.021	-0.069	-0.098	0.004	-0.094	-0.089	-0.142	-0.104	-0.097	0.005	-0.031	-0.03	-0.03	0.038	0.048	-0.026	-0.031	-0.031	-0.021	-0.031	0.007	-0.031	-0.007	-0.127	0.065	0.075	-0.044	0.058	-0.037	2016_7_13_14_38_58
FLQS309TGRWY____	0.009	-0.014	0.004	0.114	0.127	0.05	0.009	-0.041	0.127	-0.069	0.009	0.007	0.009	0.05	0	0.134	-0.063	0.05	0	0.009	0.009	0.004	0.05	0.145	-0.058	0.132	0.05	0.05	0.05	0.009	0.008	0.009	-0.126	-0.126	-0.061	-0.126	-0.061	-0.061	0.058	-0.061	-0.193	0.052	-0.061	-0.061	-0.061	-0.061	-0.197	0.054	-0.061	-0.061	-0.061	-0.008	-0.126	-0.061	-0.126	-0.061	-0.198	-0.061	-0.135	-0.132	-0.061	-0.061	-0.061	-0.061	-0.056	0.016	-0.029	0.037	0.041	0.029	0.095	0.015	0.071	-0.036	0.132	0.022	-0.061	0.015	0.009	0.062	-0.012	-0.008	-0.009	-0.064	0.029	0.015	0.029	0.062	-0.018	0.076	0.022	0.016	-0.098	-0.066	-0.018	-0.076	0.031	-0.076	0.008	2016_7_13_16_47_56
FLQS319HGRWY____	-0.124	-0.124	-0.002	-0.124	-0.071	-0.124	-0.191	-0.061	-0.007	-0.078	-0.078	0.005	-0.199	-0.198	-0.055	-0.073	-0.002	-0.125	-0.127	-0.124	-0.071	-0.055	-0.055	-0.134	-0.078	-0.078	-0.124	-0.198	-0.078	-0.055	-0.206	-0.124	0.077	0.077	0.077	0.012	0.141	0.077	0.077	0.004	0.133	0.012	0.077	0.012	0.133	0.203	0.012	0.203	0.005	0.077	0.077	0.141	0.133	0.077	0.077	0.077	0.133	0.077	0.006	0.009	0.077	0.141	0.133	0.077	0.006	-0.115	-0.014	0.033	-0.041	-0.047	-0.097	-0.03	-0.036	0.051	0.092	0.018	-0.113	-0.105	0.106	-0.071	-0.002	-0.048	-0.052	-0.162	0.096	-0.017	-0.017	-0.078	-0.03	-0.06	-0.128	-0.097	0.081	0.095	-0.106	-0.16	-0.098	0.083	-0.033	2016_7_13_16_48_00
FLQS3009GRWQ____	-0.004	0.005	0.066	-0.07	-0.02	0.055	0.005	0.14	-0.066	0.005	-0.004	0.005	0.005	-0.001	0.062	0.137	-0.004	0.005	-0.064	0.005	0.005	-0.004	0.005	-0.066	-0.075	-0.004	0.005	0.136	0.005	0.145	0.135	0.048	0.142	0.062	0.321	0.21	0.062	0.21	0.194	0.125	0.194	0.202	0.268	0.142	0.194	0.194	0.194	0.194	0.322	0.195	0.194	0.194	0.194	0.194	0.125	0.202	0.125	0.194	0.142	0.194	0.142	0.125	0.195	0.194	-0.103	-0.005	0.017	-0.044	0.015	-0.005	0.071	0.092	-0.041	-0.077	-0.015	0.022	0.133	0.016	0.007	0.069	-0.017	0.004	-0.029	-0.113	-0.092	0.107	0.088	-0.06	-0.077	-0.124	-0.097	0.066	-0.145	0.092	0.056	0.004	0.019	0.182	-0.006	2016_7_13_16_48_03
FLQS3024GRWM____	-0.051	-0.079	0.045	-0.051	-0.003	-0.085	-0.066	-0.051	-0.021	0.079	-0.051	-0.013	-0.069	-0.094	0.069	-0.074	-0.137	-0.069	-0.063	-0.063	0.07	-0.063	-0.051	-0.051	-0.006	-0.079	-0.129	-0.065	-0.125	0	0.068	-0.066	0.139	0.201	0.201	0.201	0.269	0.201	0.127	0.139	0.127	0.139	0.127	0.139	0.139	0.127	0.127	0.127	0.069	0.073	0.139	0.127	0.007	0.073	0.139	0.139	0.139	0.139	0.127	0.073	0.201	0.127	0.073	0.073	0.57	0.496	0.651	0.515	0.66	0.56	0.648	0.637	0.637	0.746	0.658	0.626	0.626	0.591	0.701	0.619	0.604	0.637	0.579	0.649	0.707	0.509	0.72	0.58	0.652	0.622	0.624	0.661	0.667	0.683	0.725	0.637	-0.042	0.133	0.631	2016_7_13_16_48_05
FLQS3047GRWM____	-0.004	-0.081	-0.071	-0.026	-0.024	-0.011	0.058	0.007	0.061	-0.026	-0.011	-0.084	-0.011	-0.021	-0.004	-0.003	-0.021	-0.024	-0.021	0.054	-0.077	0.05	0.126	0.061	-0.011	-0.026	-0.026	-0.008	-0.026	0.113	0.118	-0.026	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.185	0.206	0.185	0.185	0.187	0.185	0.185	0.185	0.185	0.206	0.206	0.185	0.185	0.185	0.187	0.185	-0.695	-0.748	-0.698	-0.708	-0.81	-0.759	-0.639	-0.651	-0.637	-0.813	-0.745	-0.753	-0.708	-0.772	-0.782	-0.669	-0.581	-0.738	-0.729	-0.673	-0.73	-0.668	-0.606	-0.654	-0.708	-0.741	-0.842	-0.671	-0.82	-0.647	-0.627	-0.698	0	0.187	-0.71	2016_7_13_16_48_14
FLQS3052GRWY____	-0.074	-0.074	-0.202	-0.003	-0.065	-0.002	-0.074	-0.074	-0.074	-0.135	-0.065	-0.135	-0.204	-0.062	-0.074	-0.074	-0.074	-0.065	-0.001	-0.134	-0.138	-0.137	-0.003	-0.062	-0.196	-0.062	0.001	-0.131	-0.003	-0.014	-0.074	0.008	-0.051	-0.13	-0.119	-0.13	-0.119	0.007	-0.119	-0.119	-0.188	-0.119	-0.119	-0.119	-0.119	-0.119	-0.119	-0.119	-0.129	-0.13	-0.13	-0.004	-0.051	-0.051	-0.119	-0.119	-0.119	-0.119	-0.051	-0.119	-0.051	-0.004	0.002	-0.119	-0.732	-0.603	-0.779	-0.694	-0.719	-0.676	-0.594	-0.586	-0.794	-0.752	-0.7	-0.72	-0.754	-0.7	-0.814	-0.806	-0.796	-0.852	-0.646	-0.739	-0.744	-0.766	-0.659	-0.726	-0.75	-0.7	-0.67	-0.725	-0.7	-0.719	-0.612	-0.659	-0.077	-0.097	-0.715	2016_7_13_16_48_17
FLQS3057GRWM____	0.062	0.006	0.01	0.002	-0.122	-0.117	0.006	0.01	-0.133	0.01	0.004	0.125	0.01	0.077	0.132	0.009	-0.001	0.055	0.006	-0.114	0.01	0.004	0.01	0.01	-0.132	-0.001	0.01	0.003	0.009	0.055	0.01	0.003	-0.276	-0.403	-0.403	-0.529	-0.403	-0.403	-0.403	-0.403	-0.403	-0.342	-0.403	-0.403	-0.541	-0.542	-0.342	-0.403	-0.342	-0.342	-0.536	-0.539	-0.264	-0.403	-0.276	-0.403	-0.403	-0.403	-0.342	-0.403	-0.479	-0.403	-0.403	-0.342	0.014	-0.089	0.102	0.027	-0.04	-0.029	0.109	-0.104	-0.054	0.045	0.034	0.064	0.126	0.062	0.08	0.04	-0.006	0.013	0.028	-0.03	0.027	0.035	0.104	-0.088	-0.06	-0.001	0.086	0.011	0.027	0.14	-0.099	0.014	0.001	-0.402	0.018	2016_7_13_16_48_21
FLQS3072GRWV____	-0.209	-0.204	-0.258	-0.328	-0.209	-0.071	-0.132	-0.27	-0.187	-0.254	-0.067	-0.133	-0.187	-0.201	-0.209	-0.129	-0.277	-0.201	-0.135	-0.187	-0.201	-0.146	-0.217	-0.126	-0.201	-0.258	-0.072	-0.124	-0.133	-0.201	-0.329	-0.201	-0.128	-0.069	-0.134	-0.134	-0.134	-0.128	-0.134	-0.134	-0.134	-0.128	-0.134	-0.128	-0.069	-0.128	-0.128	-0.262	-0.128	-0.196	-0.128	-0.134	-0.069	-0.134	-0.134	-0.134	-0.134	-0.2	-0.128	-0.134	-0.128	-0.196	-0.069	-0.134	-0.867	-0.785	-0.752	-0.792	-0.752	-0.697	-0.697	-0.795	-0.805	-0.738	-0.685	-0.726	-0.695	-0.808	-0.778	-0.699	-0.813	-0.64	-0.708	-0.711	-0.877	-0.745	-0.791	-0.704	-0.752	-0.764	-0.702	-0.694	-0.733	-0.801	-0.805	-0.749	-0.189	-0.134	-0.752	2016_7_13_16_48_26
