SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30DZGRWV	-0.028	-0.031	-0.031	-0.03	-0.057	-0.029	-0.03	-0.095	-0.057	-0.028	-0.028	-0.059	-0.057	-0.029	-0.029	-0.059	-0.058	-0.095	-0.057	-0.031	-0.056	-0.057	-0.057	-0.029	-0.029	-0.059	-0.029	-0.056	-0.058	-0.029	-0.027	-0.029	-0.07	-0.071	-0.009	-0.013	-0.069	-0.07	-0.013	-0.068	-0.068	-0.07	-0.07	-0.096	-0.069	-0.068	-0.068	-0.013	-0.069	-0.068	-0.069	-0.067	-0.101	-0.07	-0.07	-0.068	-0.069	-0.013	-0.07	-0.101	-0.125	-0.036	-0.068	-0.07	-0.683	-0.683	-0.686	-0.685	-0.694	-0.683	-0.685	-0.71	-0.695	-0.683	-0.683	-0.694	-0.694	-0.683	-0.683	-0.698	-0.695	-0.71	-0.695	-0.684	-0.693	-0.694	-0.694	-0.683	-0.683	-0.698	-0.683	-0.693	-0.692	-0.684	-0.683	-0.683	-0.045	-0.064	-0.69	2016_7_13_17_50_59
FLQS30E9GRWY____	-0.1	-0.07	-0.07	-0.07	-0.1	-0.07	-0.07	-0.069	-0.071	-0.1	-0.1	-0.1	-0.1	-0.069	-0.071	-0.07	-0.039	-0.069	-0.072	-0.07	-0.069	-0.07	-0.07	-0.069	-0.1	-0.07	-0.04	-0.069	-0.071	-0.102	-0.071	-0.04	-0.01	0.019	0.013	0.019	-0.01	0.019	0.019	-0.009	0.049	0.041	0.041	0.018	-0.01	-0.009	0.021	0.04	0.022	-0.009	0.021	0.046	0.02	0.041	0.041	-0.009	0.018	0.04	0.045	0.02	0.045	0.019	0.04	0.045	0.634	0.645	0.645	0.645	0.634	0.644	0.645	0.647	0.644	0.632	0.632	0.634	0.634	0.647	0.645	0.644	0.657	0.647	0.645	0.644	0.646	0.644	0.644	0.647	0.633	0.644	0.657	0.646	0.644	0.632	0.644	0.657	-0.075	0.022	0.643	2016_7_13_17_51_03
FLQS30G5GRWY____	0.183	0.153	0.152	0.183	0.182	0.153	0.183	0.222	0.182	0.183	0.183	0.183	0.182	0.151	0.154	0.155	0.153	0.222	0.154	0.154	0.182	0.153	0.153	0.151	0.182	0.155	0.154	0.182	0.154	0.183	0.122	0.154	0.023	-0.011	-0.066	-0.011	-0.011	-0.01	-0.011	-0.014	-0.01	-0.01	-0.01	-0.009	-0.011	-0.043	-0.011	-0.011	-0.007	-0.014	-0.044	-0.039	-0.012	-0.012	-0.012	-0.043	0.022	-0.011	-0.039	-0.012	-0.04	-0.01	-0.011	-0.039	0.747	0.736	0.738	0.749	0.748	0.736	0.749	0.765	0.748	0.748	0.748	0.748	0.748	0.737	0.736	0.737	0.737	0.765	0.737	0.738	0.748	0.736	0.736	0.737	0.747	0.737	0.737	0.748	0.737	0.748	0.724	0.737	0.168	-0.017	0.743	2016_7_13_17_51_08
FLQS30GCGRWY____	-0.006	0.021	-0.005	-0.035	-0.007	-0.034	-0.035	-0.005	-0.006	-0.006	-0.006	-0.004	-0.007	-0.007	-0.007	-0.007	-0.006	-0.005	-0.005	-0.007	-0.006	-0.007	-0.007	-0.007	-0.007	-0.007	-0.005	-0.006	-0.006	-0.006	-0.036	-0.005	-0.028	0.026	0	0	-0.001	-0.002	0	-0.002	-0.001	0.001	0.001	-0.001	-0.001	0.028	0.024	-0.001	0.001	-0.002	0.028	0	0	-0.022	-0.022	0.028	0	-0.001	0.026	0	0	-0.028	-0.024	0.026	-0.002	0.008	-0.002	-0.014	-0.003	-0.014	-0.014	-0.002	-0.003	-0.002	-0.002	-0.002	-0.003	-0.004	-0.004	-0.003	-0.002	-0.002	-0.004	-0.002	-0.003	-0.002	-0.002	-0.004	-0.003	-0.003	-0.003	-0.003	-0.002	-0.001	-0.013	-0.003	-0.009	0.002	-0.004	2016_7_13_17_51_13
FLQS30GQGRWV____	-1.088	-1.053	-1.049	-1.052	-1.053	-1.053	-1.052	-1.052	-1.085	-1.053	-1.053	-1.019	-1.053	-1.051	-1.086	-1.053	-1.051	-1.052	-1.051	-1.052	-1.053	-1.052	-1.052	-1.051	-1.054	-1.053	-1.051	-1.053	-1.052	-1.053	-1.087	-1.051	-9.889	-9.858	-9.793	-9.829	-9.856	-9.884	-9.829	-9.857	-9.828	-9.827	-9.827	-9.856	-9.856	-9.886	-9.859	-9.856	-9.856	-9.857	-9.857	-9.829	-9.886	-9.852	-9.852	-9.886	-9.858	-9.856	-9.857	-9.886	-9.831	-9.858	-9.882	-9.857	0.405	0.419	0.415	0.414	0.416	0.417	0.414	0.417	0.397	0.414	0.414	0.429	0.416	0.417	0.4	0.414	0.412	0.417	0.416	0.415	0.414	0.414	0.414	0.417	0.416	0.414	0.416	0.414	0.415	0.41	0.401	0.416	-1.055	-9.855	0.414	2016_7_13_17_51_17
FLQS30H6GRWV____	0.012	0.01	0.01	0.01	0.011	0.01	0.01	0.036	0.008	0.038	0.038	-0.017	0.011	0.009	0.011	0.01	0.009	0.036	0.036	0.011	0.011	0.01	0.01	0.009	0.008	0.01	0.008	0.011	0.037	0.011	0.01	0.008	-0.05	0.009	0.041	0.009	0.008	0.009	0.009	0.034	0.033	0.066	0.066	-0.018	0.008	0.032	-0.044	-0.014	0.007	0.034	0.034	0.007	-0.017	-0.014	-0.014	0.032	0.041	-0.014	0.043	-0.017	-0.016	0.007	-0.043	0.043	0.642	0.639	0.638	0.639	0.639	0.639	0.639	0.648	0.637	0.648	0.648	0.63	0.639	0.637	0.642	0.64	0.638	0.648	0.648	0.639	0.641	0.639	0.639	0.637	0.637	0.64	0.637	0.641	0.651	0.639	0.64	0.637	0.014	0.01	0.64	2016_7_13_17_51_28
FLQS30HZGRWY____	0.062	0.06	0.033	0.062	0.062	0.09	0.062	0.061	0.061	0.062	0.062	0.062	0.062	0.063	0.091	0.062	0.062	0.061	0.062	0.033	0.061	0.062	0.062	0.063	0.062	0.062	0.033	0.061	0.061	0.062	0.061	0.033	-0.015	-0.015	-0.052	-0.042	0.039	0.015	-0.042	0.042	0.009	-0.044	-0.044	0.01	0.039	-0.044	-0.016	-0.042	-0.041	0.042	0.015	-0.042	-0.014	-0.019	-0.019	-0.044	-0.041	-0.042	-0.04	-0.014	-0.016	-0.042	-0.016	-0.04	0.09	0.089	0.079	0.091	0.088	0.1	0.091	0.087	0.089	0.092	0.092	0.089	0.088	0.091	0.102	0.091	0.091	0.087	0.089	0.079	0.09	0.09	0.09	0.091	0.091	0.091	0.08	0.09	0.089	0.09	0.09	0.08	0.06	-0.018	0.089	2016_7_13_17_51_32
FLQS30K1GRWY____	0.008	0.008	0.008	0.008	0.008	0.037	0.008	0.008	0.008	0.038	0.038	0.008	0.008	0.037	0.008	0.009	0.008	0.008	0.038	0.037	0.007	0.009	0.009	0.037	0.008	0.009	0.008	0.007	0.009	0.008	0.008	0.008	0.139	0.137	0.111	0.11	0.138	0.168	0.11	0.138	0.197	0.139	0.139	0.139	0.138	0.199	0.138	0.14	0.14	0.138	0.139	0.139	0.138	0.139	0.139	0.199	0.109	0.14	0.139	0.138	0.139	0.17	0.138	0.139	-0.002	-0.002	0	-0.001	-0.002	0.009	-0.001	-0.003	-0.005	0.01	0.01	-0.002	-0.002	0.007	-0.002	-0.002	-0.002	-0.003	0.009	0.01	-0.003	-0.002	-0.002	0.007	-0.001	-0.002	-0.002	-0.003	-0.002	-0.003	-0.002	-0.002	0.015	0.143	0	2016_7_13_17_51_37
FLQS30K3GRWY____	0.018	0.016	0.046	0.048	0.049	0.018	0.048	0.045	0.047	0.018	0.018	0.017	0.049	0.047	0.018	0.048	0.018	0.045	0.047	0.046	0.018	0.046	0.046	0.047	0.019	0.048	0.046	0.018	0.048	0.018	0.017	0.046	-0.104	-0.06	-0.088	-0.061	-0.061	-0.061	-0.061	-0.035	-0.035	-0.003	-0.003	-0.06	-0.061	-0.032	-0.038	-0.061	-0.062	-0.035	-0.035	-0.035	-0.036	-0.059	-0.059	-0.032	-0.087	-0.061	-0.003	-0.036	-0.062	-0.062	-0.039	-0.003	0.011	0.009	0.022	0.022	0.022	0.009	0.022	0.02	0.02	0.007	0.007	0.01	0.022	0.02	0.008	0.022	0.009	0.02	0.02	0.02	0.008	0.021	0.021	0.02	0.011	0.022	0.019	0.008	0.021	0.01	0.008	0.019	0.035	-0.048	0.016	2016_7_13_17_51_42
FLQS30K5GRWY____	0.104	0.076	0.107	0.104	0.075	0.139	0.104	0.075	0.076	0.076	0.076	0.075	0.075	0.043	0.074	0.077	0.076	0.075	0.076	0.075	0.076	0.076	0.076	0.043	0.104	0.077	0.075	0.076	0.076	0.074	0.046	0.075	0.054	-0.005	0.026	0.024	-0.005	0.028	0.024	-0.037	-0.006	-0.006	-0.006	-0.005	-0.005	-0.036	-0.006	-0.004	-0.005	-0.037	-0.005	-0.006	-0.006	-0.006	-0.006	-0.036	0.025	-0.004	-0.005	-0.006	-0.004	-0.005	-0.006	-0.005	0.04	0.031	0.042	0.042	0.03	0.054	0.042	0.032	0.031	0.031	0.031	0.03	0.03	0.019	0.029	0.031	0.031	0.032	0.031	0.031	0.031	0.03	0.03	0.019	0.041	0.031	0.031	0.031	0.031	0.03	0.019	0.031	0.079	-0.003	0.032	2016_7_13_17_51_48
