SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30MEGRWV____	0.404	0.364	0.405	0.406	0.364	0.446	0.447	0.405	0.404	0.403	0.407	0.366	0.405	0.443	0.404	0.407	0.407	0.366	0.365	0.367	0.447	0.367	0.406	0.403	0.403	0.367	0.405	0.366	0.406	0.407	0.369	0.403	-0.018	-0.02	-0.02	-0.06	-0.013	-0.02	-0.02	-0.018	-0.053	-0.015	-0.055	-0.057	-0.02	-0.057	-0.054	-0.055	-0.055	-0.018	-0.059	-0.055	-0.023	-0.055	-0.054	-0.021	-0.056	-0.055	-0.02	-0.054	-0.054	-0.055	-0.062	-0.016	0.254	0.236	0.254	0.265	0.234	0.273	0.274	0.254	0.262	0.252	0.264	0.246	0.255	0.282	0.263	0.264	0.264	0.236	0.246	0.246	0.275	0.246	0.264	0.254	0.263	0.246	0.255	0.246	0.264	0.264	0.249	0.252	0.398	-0.04	0.256	2016_7_13_18_34_55
FLQS30MJGRWV____	-0.2	-0.238	-0.198	-0.198	-0.199	-0.199	-0.197	-0.197	-0.195	-0.197	-0.195	-0.195	-0.194	-0.201	-0.2	-0.195	-0.195	-0.193	-0.196	-0.238	-0.199	-0.238	-0.195	-0.195	-0.198	-0.238	-0.196	-0.238	-0.195	-0.195	-0.198	-0.236	0.063	0.029	0.062	0.061	0.059	0.026	0.06	0.026	0.061	0.06	0.058	0.025	0.058	0.058	0.056	0.058	0.058	0.056	0.059	0.06	0.055	0.06	0.026	0.057	0.059	0.06	0.058	0.056	0.026	0.058	0.059	0.061	-0.196	-0.204	-0.194	-0.193	-0.194	-0.185	-0.192	-0.184	-0.192	-0.193	-0.192	-0.183	-0.192	-0.195	-0.193	-0.192	-0.192	-0.191	-0.193	-0.212	-0.192	-0.212	-0.183	-0.191	-0.193	-0.212	-0.192	-0.211	-0.183	-0.192	-0.193	-0.211	-0.204	0.053	-0.195	2016_7_13_18_35_00
FLQS30MKGRWV____	-0.081	-0.082	-0.12	-0.119	-0.121	-0.119	-0.12	-0.117	-0.117	-0.118	-0.117	-0.081	-0.082	-0.12	-0.117	-0.117	-0.117	-0.116	-0.119	-0.08	-0.117	-0.08	-0.116	-0.119	-0.121	-0.08	-0.081	-0.083	-0.116	-0.117	-0.081	-0.082	0.065	0.065	0.065	0.063	0.064	0.062	0.024	0.101	0.064	0.065	0.063	0.062	0.062	0.063	0.061	0.063	0.063	0.06	0.061	0.061	0.063	0.061	0.062	0.061	0.062	0.061	0.06	0.063	0.062	0.063	0.063	0.061	0.028	0.027	0.011	0.01	0.01	0.011	0.021	0.002	0.011	0.011	0.012	0.029	0.028	0.011	0.012	0.012	0.012	0.014	0.011	0.03	0.011	0.03	0.012	0.011	0.01	0.03	0.029	0.028	0.012	0.012	0.029	0.029	-0.105	0.062	0.017	2016_7_13_18_35_06
FLQS30MRGRWY____	-0.191	-0.188	-0.15	-0.149	-0.151	-0.15	-0.149	-0.151	-0.151	-0.148	-0.19	-0.192	-0.192	-0.151	-0.191	-0.19	-0.19	-0.15	-0.148	-0.189	-0.15	-0.189	-0.189	-0.149	-0.152	-0.189	-0.189	-0.15	-0.189	-0.19	-0.185	-0.15	0.009	0.005	0.059	0.051	0.052	0.1	0.051	0.009	0.01	0.052	0.052	0.052	0.051	0.009	0.052	0.052	0.052	0.009	0.01	0.009	0.049	0.009	0.011	0.053	0.05	0.009	0.013	0.009	0.011	0.052	0.006	0.052	-0.092	-0.09	-0.086	-0.084	-0.085	-0.097	-0.084	-0.073	-0.074	-0.084	-0.103	-0.104	-0.103	-0.073	-0.103	-0.103	-0.103	-0.073	-0.073	-0.092	-0.084	-0.092	-0.092	-0.084	-0.085	-0.092	-0.093	-0.073	-0.092	-0.103	-0.089	-0.085	-0.17	0.034	-0.089	2016_7_13_18_35_11
FLQS30NWGRWV____	0.05	0.054	0.014	0.018	0.018	0.052	0.057	0.058	0.055	0.018	0.017	0.015	0.018	0.012	0.05	0.017	0.017	0.052	0.014	0.016	0.05	0.016	0.016	0.052	0.054	0.016	0.014	0.015	0.016	0.017	0.015	0.016	-0.055	-0.054	-0.055	-0.058	-0.056	-0.051	-0.017	-0.052	-0.093	-0.056	-0.055	-0.054	-0.094	-0.09	-0.09	-0.055	-0.055	-0.09	-0.092	-0.055	-0.092	-0.055	-0.055	-0.054	-0.055	-0.055	-0.091	-0.055	-0.055	-0.055	-0.091	-0.054	0.497	0.498	0.48	0.483	0.482	0.497	0.49	0.499	0.509	0.482	0.482	0.48	0.493	0.489	0.506	0.482	0.482	0.507	0.49	0.481	0.506	0.481	0.482	0.497	0.499	0.481	0.49	0.481	0.482	0.482	0.49	0.481	0.029	-0.064	0.489	2016_7_13_18_35_16
FLQS30PHGRWY____	-0.006	-0.007	-0.003	-0.009	-0.006	-0.005	-0.006	-0.005	-0.01	-0.007	-0.008	-0.007	-0.007	-0.009	-0.052	-0.008	-0.008	-0.007	-0.006	-0.006	-0.007	-0.006	-0.006	-0.007	-0.009	-0.006	-0.005	-0.006	-0.006	-0.008	-0.008	-0.049	0	-0.001	0.002	0.001	0.002	0.008	0	0	0.001	-0.003	0.004	0.003	0.001	0.004	0.006	0.004	0.004	0.001	0.002	0.001	0.003	0.001	0.002	0.001	0.004	0.001	0.001	0.002	0.002	0.004	0.002	-0.001	-0.021	-0.022	-0.02	-0.022	-0.021	-0.023	-0.021	-0.021	-0.023	-0.021	-0.023	-0.023	-0.022	-0.024	-0.044	-0.023	-0.023	-0.022	-0.021	-0.022	-0.022	-0.022	-0.022	-0.022	-0.024	-0.022	-0.021	-0.021	-0.022	-0.023	-0.023	-0.041	-0.009	0.002	-0.023	2016_7_13_18_35_21
FLQS30Q9GRWY____	-0.06	-0.06	-0.06	-0.061	-0.062	-0.058	-0.096	-0.061	-0.1	-0.06	-0.061	-0.061	-0.098	-0.098	-0.058	-0.061	-0.061	-0.101	-0.099	-0.1	-0.06	-0.1	-0.097	-0.059	-0.061	-0.1	-0.06	-0.06	-0.097	-0.061	-0.063	-0.06	0.003	0.003	0.003	0.004	0.005	0.006	0.002	0.005	-0.033	0.005	0.004	0.004	0.003	0.001	0.005	0.004	0.004	0.004	0.002	0.002	0.004	0.002	-0.033	0.004	0.003	0.002	0.003	0.005	-0.033	0.004	0.004	0.004	-0.157	-0.158	-0.158	-0.158	-0.159	-0.157	-0.173	-0.159	-0.166	-0.158	-0.159	-0.159	-0.175	-0.174	-0.158	-0.159	-0.159	-0.176	-0.175	-0.175	-0.158	-0.175	-0.166	-0.158	-0.157	-0.175	-0.158	-0.158	-0.166	-0.159	-0.159	-0.158	-0.074	0	-0.163	2016_7_13_18_35_27
FLQS30QXGRWV____	-0.012	-0.014	-0.055	-0.012	-0.014	-0.014	-0.015	-0.014	-0.016	-0.012	-0.013	-0.014	0.029	-0.014	-0.014	-0.013	-0.013	-0.014	-0.013	-0.015	-0.015	-0.015	-0.016	-0.054	-0.053	-0.015	-0.013	-0.013	-0.016	-0.013	-0.011	-0.055	0.005	0.006	0.004	0.006	0.005	0.007	0.008	0.005	0.006	0.007	0.002	0.047	0.006	0.005	0.005	0.002	0.002	0.004	0.005	0.004	0.004	0.004	0.004	0.002	0.002	0.004	0.003	0.04	0.004	0.002	0.04	0.003	-0.014	-0.015	-0.034	-0.014	-0.015	-0.015	-0.017	-0.015	-0.017	-0.015	-0.014	-0.025	0.004	-0.015	-0.015	-0.014	-0.014	-0.015	-0.014	-0.016	-0.015	-0.016	-0.016	-0.033	-0.033	-0.016	-0.014	-0.025	-0.016	-0.014	-0.023	-0.034	-0.018	0.008	-0.018	2016_7_13_18_35_32
FLQS30T7GRWV____	-0.008	-0.008	-0.01	-0.007	-0.01	-0.008	-0.007	0.029	-0.008	0.031	-0.009	-0.01	-0.008	-0.008	-0.007	-0.009	-0.009	-0.008	-0.007	-0.007	-0.005	-0.007	-0.009	-0.007	0.03	-0.007	-0.007	-0.01	-0.009	-0.009	0.035	-0.007	0.056	0.021	0.051	0.056	0.054	0.022	0.053	0.019	0.056	0.02	0.055	0.056	0.055	0.021	0.023	0.055	0.055	0.054	0.022	0.022	0.019	0.022	0.02	0.056	0.056	0.022	0.023	0.02	0.02	0.055	0.018	0.019	-0.014	-0.004	-0.013	-0.014	-0.014	-0.005	-0.012	0.013	-0.014	0.013	-0.015	-0.014	-0.013	-0.004	-0.005	-0.015	-0.015	-0.013	-0.004	-0.005	-0.003	-0.005	-0.005	-0.013	0.004	-0.005	-0.004	-0.006	-0.005	-0.015	0.015	-0.004	-0.003	0.037	-0.007	2016_7_13_18_35_37
FLQS30TYGRWV____	-0.015	-0.011	-0.051	-0.052	-0.053	-0.016	-0.053	-0.054	-0.051	-0.055	-0.053	-0.054	-0.055	-0.054	-0.054	-0.053	-0.053	-0.013	-0.013	-0.014	-0.013	-0.014	-0.052	-0.055	-0.013	-0.014	-0.053	-0.052	-0.052	-0.053	-0.016	-0.013	0.046	0.006	0.005	0.043	0.045	0.049	0.045	0.004	0.044	0.003	0.046	0.046	0.004	0.046	0.005	0.046	0.046	0.007	0.044	0.044	0.046	0.044	0.008	0.044	0.044	0.044	0.044	0.046	0.008	0.046	0.044	0.045	0.04	0.052	0.034	0.024	0.023	0.04	0.024	0.033	0.025	0.033	0.024	0.023	0.033	0.022	0.032	0.024	0.024	0.051	0.042	0.041	0.041	0.041	0.034	0.023	0.041	0.041	0.023	0.023	0.034	0.024	0.04	0.041	-0.038	0.034	0.033	2016_7_13_18_35_44
FLNS2037GRWV____	-0.003	-0.005	0.037	-0.004	-0.003	0.001	0.041	-0.004	-0.006	-0.004	-0.004	-0.004	-0.005	-0.006	-0.005	-0.004	-0.004	-0.003	-0.003	-0.05	0.04	-0.05	-0.006	0.042	-0.004	-0.05	-0.005	-0.004	-0.006	-0.004	-0.004	-0.003	-0.01	-0.01	-0.007	-0.01	-0.009	-0.01	-0.005	-0.013	-0.047	-0.009	-0.048	-0.048	-0.012	-0.047	-0.011	-0.048	-0.048	-0.011	-0.049	-0.056	-0.01	-0.056	-0.05	-0.008	-0.047	-0.056	-0.048	-0.097	-0.05	-0.048	-0.049	-0.051	-0.108	-0.108	-0.09	-0.108	-0.108	-0.105	-0.089	-0.108	-0.099	-0.108	-0.099	-0.098	-0.108	-0.099	-0.107	-0.099	-0.099	-0.108	-0.098	-0.117	-0.087	-0.117	-0.098	-0.087	-0.098	-0.117	-0.098	-0.086	-0.098	-0.099	-0.098	-0.097	-0.003	-0.034	-0.101	2016_7_13_17_43_52
FLQS2DERGRX5____	0.003	0.004	0.004	0.053	0.003	0.01	0.003	0.004	0.054	0.003	0.055	0.054	0.007	0.006	0.005	0.055	0.055	0.006	0.007	0.006	0.006	0.006	0.006	0.006	0.009	0.006	0.007	0.007	0.006	0.055	0.005	0.052	-0.101	-0.063	-0.101	-0.056	-0.103	-0.064	-0.101	-0.105	-0.055	-0.101	-0.058	-0.059	-0.064	-0.104	-0.065	-0.058	-0.058	-0.105	-0.067	-0.105	-0.063	-0.105	-0.066	-0.065	-0.025	-0.105	-0.104	-0.026	-0.066	-0.058	-0.102	-0.102	-0.087	-0.097	-0.086	-0.076	-0.086	-0.094	-0.088	-0.086	-0.076	-0.087	-0.075	-0.074	-0.094	-0.085	-0.096	-0.075	-0.075	-0.085	-0.095	-0.085	-0.095	-0.085	-0.096	-0.095	-0.104	-0.085	-0.085	-0.105	-0.096	-0.075	-0.086	-0.065	0.018	-0.078	-0.087	2016_7_13_17_43_58
