SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	-0.049	-0.008	-0.049	-0.086	-0.049	-0.011	-0.051	-0.049	-0.011	-0.049	-0.049	-0.007	-0.050	-0.049	-0.047	-0.049	-0.007	-0.048	-0.047	-0.011	-0.049	-0.048	-0.047	-0.050	-0.049	-0.049	-0.011	-0.049	-0.049	-0.011	-0.049	-0.048	0.004	0.007	0.007	0.001	0.007	0.040	0.041	0.006	0.040	0.006	0.007	0.040	0.006	0.009	0.009	0.009	0.040	0.006	0.009	0.008	0.009	0.005	0.009	0.042	0.007	0.007	0.008	0.007	0.007	0.008	0.003	0.006	-0.030	-0.013	-0.031	-0.045	-0.031	-0.024	-0.040	-0.030	-0.024	-0.030	-0.031	-0.022	-0.030	-0.030	-0.030	-0.030	-0.022	-0.030	-0.030	-0.015	-0.030	-0.029	-0.030	-0.041	-0.031	-0.031	-0.015	-0.031	-0.031	-0.015	-0.029	-0.030	-0.040	0.013	-0.029	2016_7_16_17_22_16
FLQS21YXGRX2____	0.003	0.043	0.045	0.004	0.044	0.043	0.048	0.007	0.043	0.007	0.044	0.044	0.046	0.045	0.047	0.045	0.044	0.090	0.047	0.044	0.045	0.000	0.047	0.005	0.045	0.045	0.044	0.045	0.044	0.044	0.046	0.090	0.041	0.013	0.008	0.008	0.009	0.009	0.007	0.009	0.009	0.009	0.009	0.007	0.013	0.041	0.006	0.041	0.007	0.082	0.006	0.011	0.041	0.009	0.006	0.011	0.008	0.008	0.011	0.008	0.009	0.011	0.044	0.082	0.039	0.063	0.065	0.047	0.064	0.064	0.067	0.049	0.064	0.049	0.064	0.065	0.064	0.056	0.067	0.056	0.065	0.062	0.067	0.064	0.056	0.045	0.067	0.047	0.065	0.065	0.064	0.065	0.064	0.064	0.055	0.062	0.040	0.019	0.060	2016_7_16_17_22_20
FLQS22TQGRX2____	-0.004	-0.003	-0.005	-0.040	0.001	-0.039	-0.005	-0.002	-0.039	-0.002	0.001	-0.006	-0.003	-0.007	-0.005	-0.007	-0.006	-0.001	-0.005	-0.041	-0.007	-0.003	-0.005	-0.003	-0.005	-0.005	-0.041	-0.005	0.001	-0.041	-0.042	-0.001	0.004	0.002	-0.000	-0.037	0.004	-0.036	0.003	-0.033	-0.036	-0.033	0.004	0.002	-0.032	-0.035	0.001	-0.035	0.002	-0.029	0.001	-0.035	-0.035	0.002	0.001	-0.002	-0.000	-0.000	-0.035	-0.000	0.004	-0.035	-0.035	-0.029	-0.038	-0.037	-0.038	-0.042	-0.036	-0.042	-0.038	-0.028	-0.042	-0.028	-0.036	-0.038	-0.027	-0.029	-0.038	-0.029	-0.038	-0.028	-0.038	-0.043	-0.029	-0.037	-0.038	-0.037	-0.038	-0.038	-0.043	-0.038	-0.036	-0.043	-0.043	-0.028	-0.012	-0.015	-0.036	2016_7_16_17_22_25
FLQS22XEGRX2____	-0.036	0.008	0.001	0.006	0.004	0.006	0.001	0.004	0.006	0.004	0.004	0.006	0.008	0.006	0.006	0.006	0.006	-0.081	0.006	0.008	0.006	0.007	0.006	0.004	0.001	0.001	0.008	0.001	0.004	0.008	0.002	-0.081	0.000	0.036	0.002	0.040	0.001	0.036	-0.004	0.036	0.036	0.036	0.001	0.036	0.037	0.034	-0.000	0.034	0.036	-0.044	-0.000	0.002	0.034	0.000	-0.000	0.002	0.002	0.002	0.002	0.002	0.001	0.002	0.000	-0.044	-0.015	-0.007	-0.000	-0.009	0.001	-0.008	0.002	-0.009	-0.008	-0.009	0.001	-0.008	-0.007	-0.007	0.002	-0.007	-0.008	-0.021	0.002	0.003	-0.007	0.003	0.002	0.001	-0.000	-0.000	0.003	-0.000	0.001	0.003	0.001	-0.021	-0.002	0.011	-0.004	2016_7_16_17_22_30
FLQS29JFGRX5____	-0.047	-0.006	-0.009	-0.046	-0.043	-0.044	-0.009	-0.009	-0.044	-0.009	-0.043	-0.008	-0.045	-0.008	-0.008	-0.008	-0.008	-0.042	-0.008	-0.042	-0.008	-0.042	-0.008	-0.007	-0.009	-0.009	-0.042	-0.009	-0.043	-0.042	-0.044	-0.042	-0.027	0.010	0.010	0.005	0.009	0.004	0.007	0.008	0.004	0.008	0.009	0.008	0.007	0.006	-0.029	0.006	0.008	0.008	-0.029	0.007	0.006	-0.025	-0.029	0.012	0.010	0.010	0.007	0.010	0.009	0.007	-0.030	0.008	0.570	0.576	0.575	0.560	0.561	0.562	0.576	0.575	0.562	0.575	0.561	0.575	0.560	0.576	0.587	0.576	0.575	0.562	0.587	0.562	0.576	0.571	0.587	0.575	0.575	0.575	0.562	0.575	0.561	0.562	0.572	0.562	-0.025	0.001	0.571	2016_7_16_17_22_37
FLQS30C7GRWV____	0.074	0.072	0.073	0.072	0.075	0.073	0.072	0.072	0.073	0.072	0.075	0.069	0.073	0.072	0.070	0.072	0.069	0.070	0.070	0.074	0.072	0.071	0.070	0.114	0.073	0.073	0.074	0.073	0.075	0.074	0.072	0.070	-0.024	-0.027	-0.028	-0.025	-0.026	-0.025	-0.064	-0.027	-0.025	-0.027	-0.026	-0.026	-0.028	-0.026	-0.061	-0.026	-0.026	-0.063	-0.061	-0.026	-0.026	-0.029	-0.061	-0.025	-0.028	-0.028	-0.026	-0.028	-0.026	-0.026	-0.028	-0.063	-0.579	-0.579	-0.578	-0.580	-0.578	-0.579	-0.568	-0.579	-0.579	-0.579	-0.578	-0.580	-0.578	-0.578	-0.570	-0.578	-0.580	-0.569	-0.570	-0.578	-0.578	-0.578	-0.570	-0.562	-0.578	-0.578	-0.578	-0.578	-0.578	-0.578	-0.579	-0.569	0.074	-0.033	-0.576	2016_7_16_17_22_43
FLQS30CWGRWV____	-0.004	-0.006	-0.004	-0.003	0.039	0.040	-0.003	-0.005	0.040	-0.005	0.039	-0.003	-0.004	-0.001	-0.003	-0.001	-0.003	-0.002	-0.003	0.039	-0.001	-0.001	-0.003	-0.003	-0.004	-0.004	0.039	-0.004	0.039	0.039	0.042	-0.002	0.038	0.039	0.039	0.041	0.038	0.040	0.004	0.039	0.040	0.039	0.038	0.040	0.038	0.038	0.036	0.038	0.040	0.036	0.036	0.040	0.038	0.035	0.036	0.038	0.039	0.039	0.040	0.039	0.038	0.040	0.039	0.036	-0.556	-0.558	-0.556	-0.557	-0.538	-0.539	-0.547	-0.557	-0.539	-0.557	-0.538	-0.556	-0.557	-0.555	-0.555	-0.555	-0.556	-0.555	-0.555	-0.539	-0.555	-0.554	-0.555	-0.556	-0.556	-0.556	-0.539	-0.556	-0.538	-0.539	-0.537	-0.555	0.009	0.037	-0.551	2016_7_16_17_22_47
FLQS30KBGRWV____	-0.117	-0.157	-0.118	-0.157	-0.119	-0.119	-0.118	-0.157	-0.119	-0.157	-0.119	-0.153	-0.115	-0.119	-0.155	-0.119	-0.153	-0.079	-0.155	-0.118	-0.119	-0.152	-0.155	-0.154	-0.118	-0.118	-0.118	-0.118	-0.119	-0.118	-0.118	-0.079	-0.003	0.033	-0.003	-0.002	0.001	0.000	-0.002	0.002	0.000	0.002	0.001	0.037	0.036	-0.003	-0.039	-0.003	0.037	0.001	-0.039	0.002	-0.003	-0.038	-0.039	-0.037	-0.003	-0.003	0.002	-0.003	0.001	0.002	0.001	0.001	-0.074	-0.100	-0.073	-0.090	-0.074	-0.075	-0.074	-0.091	-0.075	-0.091	-0.074	-0.100	-0.084	-0.074	-0.079	-0.074	-0.100	-0.058	-0.079	-0.075	-0.074	-0.078	-0.079	-0.079	-0.073	-0.073	-0.075	-0.073	-0.074	-0.075	-0.075	-0.058	-0.128	-0.002	-0.078	2016_7_16_17_22_52
FLQS30KVGRWV____	0.133	0.092	0.093	0.050	0.127	0.090	0.130	0.090	0.090	0.090	0.127	0.092	0.091	0.094	0.091	0.094	0.092	0.131	0.091	0.091	0.094	0.091	0.091	0.092	0.093	0.093	0.091	0.093	0.127	0.091	0.089	0.131	-0.037	-0.070	-0.039	-0.040	-0.038	-0.043	-0.071	-0.041	-0.043	-0.041	-0.038	-0.074	-0.039	-0.039	-0.039	-0.039	-0.074	-0.039	-0.039	-0.039	-0.039	-0.040	-0.039	-0.041	-0.039	-0.039	-0.039	-0.039	-0.038	-0.039	-0.038	-0.039	-0.372	-0.380	-0.387	-0.405	-0.373	-0.388	-0.363	-0.388	-0.388	-0.388	-0.373	-0.379	-0.389	-0.387	-0.389	-0.387	-0.379	-0.371	-0.389	-0.389	-0.387	-0.388	-0.389	-0.387	-0.387	-0.387	-0.389	-0.387	-0.373	-0.389	-0.389	-0.371	0.098	-0.044	-0.384	2016_7_16_17_22_58
FLQS312SGRWV____	0.053	0.092	0.050	0.050	0.052	0.051	0.057	0.051	0.051	0.051	0.052	0.053	0.052	0.052	0.052	0.052	0.053	0.055	0.052	0.052	0.052	0.056	0.052	0.052	0.050	0.050	0.052	0.050	0.052	0.052	0.052	0.055	-0.005	-0.001	-0.006	-0.002	-0.003	-0.003	-0.006	-0.004	-0.003	-0.004	-0.003	-0.006	-0.004	-0.041	-0.006	-0.041	-0.006	-0.007	-0.006	-0.003	-0.041	-0.007	-0.006	-0.002	-0.006	-0.006	-0.003	-0.006	-0.003	-0.003	-0.005	-0.007	-0.037	-0.022	-0.038	-0.039	-0.039	-0.038	-0.035	-0.039	-0.038	-0.039	-0.039	-0.036	-0.038	-0.027	-0.037	-0.027	-0.036	-0.036	-0.037	-0.039	-0.027	-0.036	-0.037	-0.038	-0.038	-0.038	-0.039	-0.038	-0.039	-0.039	-0.038	-0.036	0.053	-0.008	-0.036	2016_7_16_17_23_03
