SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	0.016	0.018	0.015	0.018	0.016	0.016	0.014	0.015	0.015	0.017	0.015	0.016	0.015	0.017	0.014	0.016	0.016	0.016	0.014	0.015	0.014	0.015	0.017	0.015	0.016	0.016	0.047	0.014	0.015	0.016	0.016	0.016	-0.038	0.049	-0.039	0.049	-0.038	-0.038	-0.037	0.007	-0.036	-0.038	0.005	0.004	-0.036	-0.038	0.049	0.003	0.003	0.006	0.006	0.046	-0.036	0.002	-0.039	-0.035	-0.041	-0.039	-0.032	0.002	-0.036	0.004	0.005	0.005	-0.070	-0.084	-0.069	-0.084	-0.069	-0.070	-0.069	-0.076	-0.069	-0.070	-0.077	-0.077	-0.070	-0.070	-0.084	-0.076	-0.076	-0.077	-0.076	-0.083	-0.070	-0.076	-0.070	-0.070	-0.069	-0.070	-0.081	-0.076	-0.070	-0.077	-0.077	-0.076	0.017	-0.011	-0.074	2016_7_16_17_26_29
FLQS21YXGRX2____	0.022	0.054	0.024	0.054	0.023	0.024	0.052	0.053	0.050	0.051	0.054	0.025	0.051	0.052	0.050	0.051	0.051	0.053	0.053	0.052	0.053	0.027	0.024	0.053	0.052	0.024	0.024	0.024	0.054	0.052	0.024	0.024	-0.042	-0.044	-0.050	-0.044	-0.043	-0.048	-0.045	-0.043	-0.046	-0.044	-0.044	-0.049	-0.042	-0.042	-0.045	-0.043	-0.043	-0.042	-0.044	-0.041	-0.043	-0.048	-0.049	-0.047	-0.043	-0.047	-0.048	-0.053	-0.042	-0.038	-0.044	-0.044	-0.221	-0.230	-0.220	-0.230	-0.220	-0.220	-0.231	-0.231	-0.230	-0.230	-0.231	-0.220	-0.231	-0.231	-0.230	-0.230	-0.230	-0.231	-0.230	-0.231	-0.231	-0.221	-0.220	-0.230	-0.230	-0.221	-0.221	-0.219	-0.232	-0.231	-0.221	-0.221	0.042	-0.045	-0.227	2016_7_16_17_26_32
FLQS22TQGRX2____	0.014	0.017	0.012	0.017	0.015	0.016	0.013	0.012	0.015	0.016	0.016	0.013	0.014	0.012	0.017	0.017	0.017	0.012	0.016	0.017	0.014	0.013	0.015	0.017	0.013	0.013	0.013	0.019	0.016	-0.006	0.015	0.016	0.051	0.050	0.050	0.050	0.049	0.048	0.050	0.048	0.051	0.048	0.099	0.048	0.049	0.050	0.050	0.049	0.049	0.049	0.048	0.049	0.053	0.049	0.049	0.048	0.051	0.049	0.049	0.048	0.048	0.050	0.051	0.052	0.247	0.246	0.247	0.246	0.246	0.246	0.247	0.248	0.246	0.246	0.238	0.247	0.247	0.247	0.246	0.246	0.246	0.247	0.246	0.245	0.247	0.247	0.247	0.246	0.247	0.247	0.247	0.246	0.246	0.253	0.246	0.245	0.014	0.051	0.246	2016_7_16_17_26_35
FLQS22XEGRX2____	0.011	0.013	0.010	0.013	0.013	0.010	0.014	0.012	0.042	0.010	0.010	0.013	0.014	0.011	0.013	0.044	0.044	0.046	0.043	0.014	0.012	0.016	0.014	0.041	0.011	0.011	0.013	0.013	0.012	0.014	0.015	0.041	-0.041	-0.007	-0.048	-0.007	-0.040	-0.044	-0.007	-0.003	0.001	-0.048	-0.045	-0.040	0.034	-0.006	-0.007	0.039	0.039	0.043	-0.044	0.035	-0.003	0.037	-0.007	-0.002	-0.047	-0.005	0.034	-0.049	-0.006	-0.005	-0.001	-0.040	-0.000	-0.006	0.001	-0.006	-0.002	0.001	-0.007	-0.007	-0.018	0.001	0.001	-0.001	-0.013	-0.006	-0.007	-0.024	-0.024	-0.025	-0.011	-0.013	-0.007	-0.014	-0.007	-0.017	0.001	-0.006	-0.013	-0.000	-0.007	-0.007	-0.008	-0.010	0.019	-0.009	-0.008	2016_7_16_17_26_38
FLQS29JFGRX5____	0.096	0.097	0.062	0.097	0.096	0.063	0.097	0.064	0.065	0.065	0.138	0.066	0.096	0.063	0.096	0.096	0.096	0.139	0.098	0.139	0.064	0.067	0.095	0.096	0.065	0.065	0.063	0.095	0.064	0.066	0.096	0.066	0.048	0.057	0.047	0.057	0.050	0.049	0.056	0.053	0.054	0.053	0.052	0.051	0.055	0.051	0.053	0.050	0.050	0.054	0.050	0.046	0.051	0.007	0.011	0.049	0.052	0.052	0.053	0.054	0.053	0.052	0.044	0.049	0.212	0.211	0.225	0.211	0.213	0.223	0.212	0.223	0.222	0.223	0.199	0.223	0.212	0.224	0.212	0.213	0.213	0.197	0.212	0.199	0.223	0.229	0.219	0.213	0.223	0.223	0.223	0.213	0.223	0.223	0.213	0.223	0.085	0.049	0.217	2016_7_16_17_26_42
FLQS30C7GRWV____	-0.188	-0.190	-0.188	-0.190	-0.187	-0.188	-0.187	-0.188	-0.132	-0.177	-0.132	-0.189	-0.188	-0.177	-0.187	-0.177	-0.177	-0.188	-0.187	-0.187	-0.188	-0.160	-0.189	-0.176	-0.188	-0.175	-0.188	-0.176	-0.189	-0.132	-0.186	-0.186	-0.077	-0.073	-0.077	-0.073	-0.075	-0.076	-0.073	-0.075	-0.070	-0.065	-0.070	-0.072	-0.072	-0.061	-0.073	-0.058	-0.058	-0.074	-0.070	-0.071	-0.074	-0.029	-0.075	-0.059	-0.073	-0.061	-0.074	-0.057	-0.073	-0.070	-0.067	-0.069	0.084	0.084	0.084	0.084	0.083	0.083	0.083	0.083	0.064	0.077	0.064	0.083	0.083	0.077	0.083	0.077	0.077	0.083	0.082	0.082	0.082	0.067	0.083	0.076	0.083	0.077	0.083	0.076	0.083	0.064	0.081	0.081	-0.179	-0.069	0.079	2016_7_16_17_26_45
FLQS30CWGRWV____	0.024	-0.004	-0.004	-0.004	0.024	-0.004	-0.005	0.022	-0.005	-0.005	-0.004	0.024	-0.008	-0.006	0.025	-0.005	-0.005	-0.005	0.023	0.023	0.023	-0.005	0.028	-0.007	-0.006	0.022	0.024	-0.004	-0.009	-0.003	0.023	0.023	0.006	0.052	0.050	0.052	0.005	0.010	0.051	0.006	0.008	0.010	0.051	0.043	-0.030	0.048	0.050	0.051	0.051	0.047	0.002	0.009	0.007	0.044	0.048	0.008	0.006	0.009	0.048	0.049	0.007	0.047	0.006	0.006	0.137	0.140	0.140	0.140	0.138	0.147	0.140	0.139	0.147	0.147	0.141	0.133	0.154	0.141	0.131	0.140	0.140	0.141	0.139	0.138	0.138	0.142	0.130	0.147	0.148	0.139	0.131	0.141	0.149	0.141	0.138	0.139	0.007	0.027	0.141	2016_7_16_17_26_48
FLQS30KBGRWV____	-0.021	-0.053	-0.021	-0.053	-0.052	-0.024	-0.024	-0.023	-0.025	-0.059	-0.022	-0.020	-0.023	-0.022	-0.024	-0.022	-0.022	-0.051	-0.052	-0.024	-0.022	-0.024	-0.058	-0.051	-0.023	-0.022	-0.023	-0.021	-0.021	-0.025	-0.022	-0.025	-0.000	-0.007	0.040	-0.007	-0.001	-0.003	0.041	-0.003	0.001	-0.004	0.002	-0.004	-0.001	0.003	0.002	0.000	0.000	0.000	-0.005	-0.001	0.005	0.004	-0.004	0.003	-0.045	-0.003	-0.001	0.041	0.005	-0.041	-0.004	-0.042	-0.038	-0.026	-0.045	-0.026	-0.028	-0.036	-0.043	-0.037	-0.037	-0.025	-0.039	-0.038	-0.037	-0.039	-0.038	-0.038	-0.038	-0.028	-0.027	-0.037	-0.038	-0.038	-0.025	-0.028	-0.030	-0.037	-0.037	-0.044	-0.039	-0.031	-0.037	-0.030	-0.030	-0.001	-0.035	2016_7_16_17_26_52
FLQS30KVGRWV____	-0.255	-0.258	-0.187	-0.258	-0.254	-0.193	-0.189	-0.255	-0.259	-0.255	-0.259	-0.255	-0.256	-0.189	-0.191	-0.325	-0.325	-0.189	-0.194	-0.190	-0.321	-0.189	-0.190	-0.319	-0.259	-0.254	-0.256	-0.256	-0.190	-0.189	-0.194	-0.196	-0.079	-0.130	-0.053	-0.130	-0.127	-0.053	-0.057	-0.128	-0.207	-0.127	-0.067	-0.127	-0.077	-0.130	-0.057	-0.140	-0.140	-0.060	-0.131	-0.062	-0.134	-0.067	-0.058	-0.133	-0.137	-0.125	-0.127	-0.076	-0.063	-0.052	-0.060	-0.132	0.060	0.070	0.033	0.070	0.068	0.036	0.035	0.068	0.082	0.068	0.060	0.068	0.060	0.047	0.035	0.094	0.094	0.035	0.048	0.036	0.092	0.036	0.035	0.091	0.072	0.068	0.069	0.061	0.036	0.034	0.037	0.049	-0.236	-0.101	0.058	2016_7_16_17_26_56
FLQS312SGRWV____	-0.028	-0.024	-0.061	-0.024	-0.072	-0.072	-0.062	-0.061	-0.062	-0.059	-0.062	-0.030	-0.062	-0.060	-0.072	-0.060	-0.060	-0.018	-0.049	-0.063	-0.062	-0.062	-0.018	-0.061	-0.061	-0.019	-0.019	-0.018	-0.062	-0.002	-0.064	-0.072	-0.041	0.071	-0.011	0.071	0.002	-0.068	-0.011	-0.009	-0.006	-0.006	-0.076	0.070	-0.009	-0.076	-0.068	-0.009	-0.009	-0.009	-0.008	-0.006	-0.077	-0.085	-0.007	-0.004	-0.004	-0.010	-0.010	-0.008	-0.076	0.002	-0.005	0.002	-0.007	-0.027	-0.001	-0.027	-0.000	0.012	-0.002	-0.002	-0.002	-0.003	0.009	-0.025	-0.002	0.008	0.011	-0.003	-0.003	-0.016	-0.007	-0.001	0.009	0.010	-0.016	-0.003	-0.003	-0.016	-0.016	-0.017	0.009	-0.023	-0.002	0.000	-0.049	-0.015	-0.005	2016_7_16_17_26_58
