SN	Distance_X_LOGO_Voice1	Distance_X_LOGO_voice2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Voice1	Distance_Y_LOGO_voice2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Voice1	Angle_voice2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS2AVTGRX5____	-0.059	-0.057	-0.091	0.008	-0.058	-0.056	-0.020	-0.057	-0.057	-0.058	-0.059	-0.058	-0.058	-0.055	-0.058	-0.058	-0.061	-0.059	-0.061	-0.058	-0.058	-0.058	-0.060	-0.060	-0.059	-0.061	-0.061	-0.061	-0.062	-0.058	-0.058	-0.057	-0.004	0.000	0.001	0.029	-0.004	-0.000	-0.003	-0.001	-0.003	-0.004	-0.004	-0.003	-0.002	-0.004	-0.001	-0.002	-0.003	0.005	-0.065	0.001	0.004	-0.002	-0.004	0.004	-0.001	-0.001	-0.004	0.001	-0.002	0.003	-0.001	0.003	-0.030	-0.029	-0.042	-0.010	-0.029	-0.029	-0.015	-0.030	-0.029	-0.029	-0.029	-0.029	-0.029	-0.028	-0.029	-0.029	-0.030	-0.031	-0.021	-0.030	-0.030	-0.029	-0.030	-0.031	-0.030	-0.030	-0.030	-0.031	-0.031	-0.030	-0.030	-0.029	-0.056	-0.002	-0.029	2016_7_16_17_32_39
FLQS21YXGRX2____	0.015	0.001	-0.001	0.041	0.014	0.004	0.005	0.006	0.000	0.016	0.006	0.005	-0.020	0.011	-0.020	-0.017	0.041	0.041	0.001	0.005	0.003	0.001	-0.015	0.001	-0.000	0.005	0.001	0.002	-0.015	0.116	-0.015	-0.015	0.008	0.009	0.045	0.009	0.011	0.009	0.011	0.011	0.041	0.082	0.005	0.009	-0.002	0.009	-0.008	-0.002	0.061	0.043	0.006	0.010	0.011	0.008	-0.005	0.008	0.008	0.003	0.010	0.007	0.003	0.068	-0.005	-0.005	0.053	0.047	0.041	0.062	0.052	0.048	0.048	0.049	0.042	0.042	0.050	0.049	0.042	0.051	0.042	0.043	0.055	0.057	0.048	0.048	0.048	0.047	0.044	0.048	0.046	0.050	0.047	0.048	0.043	0.081	0.044	0.044	0.007	0.015	0.049	2016_7_16_17_32_44
FLQS22TQGRX2____	-0.009	-0.044	-0.046	-0.045	-0.010	-0.007	-0.009	-0.008	-0.007	-0.008	-0.005	-0.006	-0.010	-0.009	-0.010	-0.009	-0.003	-0.005	-0.006	-0.003	-0.006	-0.009	-0.001	-0.003	-0.006	-0.006	-0.007	-0.010	-0.006	-0.002	-0.009	-0.004	0.003	-0.034	-0.032	-0.033	0.038	-0.032	-0.002	0.001	0.003	0.002	0.003	0.001	-0.000	-0.034	-0.002	0.004	-0.037	0.004	-0.033	-0.032	0.005	-0.002	-0.032	0.005	0.002	0.004	-0.032	0.001	-0.032	-0.033	0.001	-0.032	-0.040	-0.047	-0.047	-0.047	-0.045	-0.034	-0.039	-0.039	-0.038	-0.039	-0.038	-0.039	-0.039	-0.033	-0.039	-0.040	-0.031	-0.038	-0.033	-0.032	-0.038	-0.039	-0.031	-0.037	-0.038	-0.038	-0.034	-0.040	-0.033	-0.032	-0.039	-0.032	-0.010	-0.011	-0.038	2016_7_16_17_32_49
FLQS22XEGRX2____	-0.035	-0.036	-0.035	-0.034	-0.037	-0.002	-0.035	-0.003	-0.036	-0.036	-0.004	-0.002	-0.006	-0.004	-0.002	-0.031	-0.035	-0.003	-0.035	-0.003	-0.035	-0.035	-0.037	-0.000	-0.004	-0.035	-0.036	-0.003	-0.002	-0.035	-0.002	-0.005	-0.001	-0.000	-0.001	-0.001	0.033	-0.003	-0.003	-0.004	0.034	-0.001	-0.000	-0.003	-0.003	-0.005	-0.005	-0.031	-0.003	-0.011	-0.033	-0.008	-0.038	-0.001	-0.002	-0.008	-0.011	-0.004	-0.003	-0.009	-0.011	-0.039	-0.009	-0.009	-0.013	-0.014	-0.013	-0.013	-0.018	-0.001	-0.013	-0.000	-0.018	-0.013	-0.001	-0.001	-0.001	-0.001	0.000	-0.007	-0.013	0.001	-0.008	-0.000	-0.007	-0.013	-0.014	0.001	0.001	-0.013	-0.013	0.000	0.001	-0.007	0.000	-0.000	-0.020	-0.006	-0.007	2016_7_16_17_32_54
FLQS29JFGRX5____	-0.057	-0.019	-0.020	-0.020	-0.121	-0.017	-0.019	-0.019	-0.020	-0.088	-0.019	-0.055	-0.080	-0.021	-0.072	-0.072	-0.020	-0.020	-0.010	-0.075	-0.019	-0.007	-0.076	-0.058	-0.060	-0.021	-0.075	-0.058	-0.073	-0.015	-0.077	-0.077	0.007	0.005	0.006	0.004	-0.063	0.007	0.006	0.004	0.005	0.006	0.007	0.004	0.011	0.005	-0.059	0.011	0.001	0.005	0.005	-0.051	0.006	0.005	0.019	0.007	-0.026	0.006	-0.058	0.008	0.022	0.069	-0.049	0.018	0.559	0.573	0.573	0.573	0.546	0.574	0.574	0.574	0.573	0.548	0.573	0.560	0.550	0.572	0.563	0.553	0.573	0.573	0.577	0.561	0.573	0.578	0.550	0.559	0.563	0.572	0.562	0.558	0.551	0.565	0.560	0.550	-0.046	-0.001	0.565	2016_7_16_17_33_00
FLQS30C7GRWV____	0.090	0.125	0.126	0.123	0.091	0.091	0.091	0.094	0.125	0.092	0.123	0.092	0.094	0.127	0.062	0.091	0.127	0.141	0.089	0.091	0.062	0.088	0.142	0.092	0.062	0.076	0.088	0.064	0.076	0.143	0.076	0.076	-0.062	-0.065	-0.064	-0.030	-0.062	-0.061	-0.062	-0.062	-0.034	-0.063	-0.033	-0.062	-0.062	-0.032	-0.081	-0.062	-0.071	-0.060	-0.064	-0.062	-0.078	-0.031	-0.064	-0.061	-0.085	-0.007	-0.065	-0.081	-0.077	-0.064	-0.077	-0.077	-0.574	-0.560	-0.560	-0.566	-0.573	-0.573	-0.573	-0.572	-0.565	-0.572	-0.566	-0.573	-0.572	-0.564	-0.581	-0.572	-0.558	-0.554	-0.574	-0.573	-0.581	-0.578	-0.554	-0.573	-0.580	-0.587	-0.574	-0.580	-0.576	-0.553	-0.576	-0.576	0.098	-0.060	-0.571	2016_7_16_17_33_04
FLQS30CWGRWV____	0.041	0.043	0.041	0.041	-0.009	0.042	0.040	0.043	-0.009	0.023	0.030	0.026	-0.004	0.029	0.002	-0.002	-0.003	-0.005	-0.005	0.003	0.038	0.037	-0.014	0.006	0.059	0.001	0.001	-0.000	0.035	-0.002	0.061	0.003	0.004	0.003	0.003	0.003	-0.008	0.003	0.005	0.002	-0.008	0.019	0.027	0.026	-0.005	-0.009	0.007	-0.006	-0.001	0.031	-0.001	0.005	0.003	0.036	0.056	0.008	0.068	0.008	0.006	0.005	0.002	0.001	0.061	0.006	-0.529	-0.528	-0.529	-0.529	-0.546	-0.529	-0.530	-0.528	-0.546	-0.538	-0.538	-0.538	-0.545	-0.532	-0.544	-0.544	-0.545	-0.550	-0.546	-0.544	-0.531	-0.535	-0.558	-0.543	-0.532	-0.545	-0.545	-0.545	-0.531	-0.544	-0.531	-0.544	0.018	0.011	-0.539	2016_7_16_17_33_10
FLQS30KBGRWV____	-0.123	-0.124	-0.156	-0.123	-0.123	-0.120	-0.122	-0.153	-0.180	-0.155	-0.123	-0.120	-0.173	-0.088	-0.135	-0.173	-0.175	-0.112	-0.120	-0.173	-0.159	-0.122	-0.182	-0.120	-0.116	-0.112	-0.122	-0.155	-0.141	-0.174	-0.112	-0.125	-0.001	0.001	-0.002	-0.000	-0.002	0.000	0.001	-0.030	0.004	-0.030	-0.001	0.001	0.010	-0.005	0.003	-0.058	-0.050	0.002	-0.002	-0.054	0.005	0.000	0.002	-0.040	-0.035	0.002	-0.001	-0.031	-0.021	-0.052	0.002	-0.003	-0.071	-0.072	-0.083	-0.071	-0.071	-0.070	-0.071	-0.077	-0.094	-0.078	-0.070	-0.070	-0.091	-0.057	-0.077	-0.081	-0.083	-0.068	-0.070	-0.081	-0.085	-0.071	-0.094	-0.064	-0.063	-0.068	-0.071	-0.078	-0.075	-0.082	-0.067	-0.071	-0.138	-0.012	-0.075	2016_7_16_17_33_15
FLQS30KVGRWV____	0.112	0.151	0.152	0.151	0.111	0.112	0.150	0.150	0.151	0.150	0.151	0.163	0.150	0.153	0.217	0.159	0.147	0.213	0.089	0.159	0.214	0.159	0.159	0.150	0.159	0.159	0.208	0.159	0.159	0.098	0.159	0.159	-0.031	-0.032	-0.031	-0.031	-0.030	-0.032	-0.030	-0.032	0.031	0.033	-0.028	-0.084	-0.031	-0.032	0.028	-0.026	-0.033	-0.044	-0.026	-0.026	-0.016	-0.026	-0.026	-0.036	-0.026	-0.026	-0.011	-0.026	-0.026	-0.078	-0.026	-0.026	-0.391	-0.376	-0.376	-0.376	-0.391	-0.391	-0.376	-0.376	-0.385	-0.387	-0.377	-0.364	-0.376	-0.376	-0.360	-0.374	-0.378	-0.352	-0.400	-0.374	-0.355	-0.374	-0.374	-0.376	-0.374	-0.374	-0.359	-0.374	-0.374	-0.389	-0.374	-0.374	0.154	-0.026	-0.376	2016_7_16_17_33_19
FLQS312SGRWV____	0.053	0.054	0.053	0.054	0.052	0.051	0.053	0.053	0.054	0.053	0.051	0.052	0.022	0.054	0.090	0.074	0.056	0.089	0.059	0.022	0.056	0.052	0.002	0.023	0.037	0.039	0.088	0.040	0.053	0.053	0.053	0.057	-0.006	-0.003	-0.005	-0.005	-0.006	-0.006	-0.006	-0.004	-0.005	-0.006	-0.006	-0.006	-0.038	-0.006	-0.010	0.027	-0.038	-0.004	0.011	-0.035	-0.036	-0.005	-0.051	-0.031	-0.063	0.013	-0.003	-0.058	0.005	0.005	0.005	-0.037	-0.039	-0.040	-0.040	-0.040	-0.040	-0.041	-0.040	-0.041	-0.040	-0.040	-0.041	-0.040	-0.047	-0.040	-0.026	-0.037	-0.034	-0.027	-0.040	-0.048	-0.035	-0.040	-0.052	-0.047	-0.038	-0.048	-0.027	-0.037	-0.042	-0.042	-0.042	-0.034	0.052	-0.013	-0.039	2016_7_16_17_33_25
