SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3KLTHFM5____	-34.828	-34.863	-34.733	-34.846	-34.930	-34.485	-34.246	-34.690	-34.728	-34.871	-34.847	-34.700	-34.396	-34.740	-34.930	-35.006	-34.563	-34.865	-34.723	-34.904	-35.022	-34.626	-34.665	-34.850	-34.936	-34.881	-34.958	-34.956	-34.580	-34.916	-34.917	-34.744	-115.543	-115.509	-115.050	-115.613	-115.780	-115.679	-115.420	-115.266	-115.253	-115.655	-115.604	-115.342	-115.124	-115.519	-115.673	-115.260	-115.304	-115.687	-115.609	-115.495	-115.593	-115.827	-115.513	-115.844	-115.488	-115.400	-115.797	-115.774	-115.850	-115.341	-115.306	-115.855	253.090	253.070	253.066	253.092	253.077	253.265	253.339	253.115	253.096	253.086	253.090	253.121	253.230	253.127	253.062	252.971	253.178	253.093	253.147	253.049	253.009	253.221	253.161	253.122	253.034	253.047	253.066	253.064	253.245	253.023	253.017	253.171	2016_7_15_15_09_10
F2LS3MG9HFM5____	-34.529	-34.676	-34.593	-34.459	-34.378	-34.396	-34.360	-34.433	-34.476	-34.733	-34.555	-34.438	-34.261	-34.594	-34.730	-34.752	-34.473	-34.650	-34.517	-34.695	-34.805	-34.486	-34.573	-34.733	-34.838	-34.639	-34.693	-34.713	-34.519	-34.657	-34.653	-34.543	-115.813	-115.855	-115.427	-115.553	-115.760	-115.653	-115.832	-115.475	-115.519	-115.812	-115.609	-115.483	-115.447	-115.458	-115.556	-115.459	-115.461	-115.825	-115.621	-115.699	-115.628	-115.658	-115.782	-116.057	-116.022	-115.921	-115.690	-115.892	-116.076	-115.594	-115.616	-115.976	253.521	253.460	253.439	253.517	253.582	253.559	253.600	253.518	253.505	253.428	253.481	253.517	253.593	253.443	253.395	253.371	253.499	253.467	253.500	253.430	253.370	253.520	253.497	253.461	253.409	253.486	253.430	253.448	253.561	253.433	253.438	253.537	2016_7_15_15_09_13
F2LS339XHFM1____	-34.292	-34.288	-34.179	-34.308	-33.955	-34.171	-34.212	-34.143	-33.992	-34.383	-34.208	-34.206	-34.020	-34.293	-34.374	-34.483	-34.123	-34.131	-34.094	-34.227	-34.504	-33.942	-34.311	-34.198	-34.430	-34.282	-34.262	-34.342	-34.270	-34.360	-34.371	-34.421	-115.690	-115.866	-115.679	-115.695	-115.764	-115.774	-115.969	-115.479	-115.335	-115.674	-115.380	-115.557	-115.648	-115.531	-115.624	-115.783	-115.779	-115.767	-115.631	-115.887	-115.676	-115.709	-115.733	-116.050	-115.749	-115.800	-115.746	-115.591	-115.839	-115.728	-115.632	-115.867	253.355	253.381	253.405	253.348	253.518	253.421	253.429	253.394	253.444	253.311	253.351	253.376	253.473	253.333	253.309	253.281	253.444	253.439	253.437	253.411	253.257	253.517	253.352	253.446	253.300	253.374	253.376	253.319	253.385	253.329	253.311	253.320	2016_7_15_15_09_15
F2LS3A7AHFM2____	-34.319	-34.440	-34.079	-34.352	-34.153	-34.002	-34.230	-34.258	-34.061	-34.495	-34.427	-34.333	-34.085	-34.112	-34.297	-34.580	-34.251	-34.139	-34.342	-34.416	-34.593	-34.261	-34.240	-34.471	-34.503	-34.217	-33.950	-34.178	-34.286	-34.430	-34.372	-34.434	-115.839	-115.881	-115.636	-115.833	-115.912	-116.025	-115.990	-115.690	-115.663	-116.134	-115.762	-115.952	-115.737	-115.669	-115.896	-115.622	-115.989	-115.970	-115.898	-116.214	-115.948	-116.115	-115.930	-116.242	-116.024	-115.755	-116.025	-115.851	-116.169	-115.879	-115.894	-115.964	253.363	253.313	253.445	253.347	253.448	253.532	253.424	253.371	253.456	253.323	253.303	253.372	253.456	253.434	253.381	253.215	253.414	253.462	253.360	253.369	253.253	253.426	253.411	253.348	253.304	253.398	253.556	253.429	253.422	253.318	253.346	253.328	2016_7_15_15_09_18
F2LS30UNGRX8____	-34.215	-34.807	-34.225	-34.497	-34.290	-34.660	-33.963	-34.264	-34.083	-34.418	-34.604	-34.235	-34.048	-34.215	-34.440	-34.935	-34.380	-34.458	-34.426	-34.319	-34.682	-34.300	-34.502	-34.544	-34.527	-34.300	-34.543	-34.549	-34.295	-34.567	-34.509	-34.333	-115.840	-116.126	-115.579	-116.043	-116.038	-116.170	-116.177	-115.895	-115.606	-116.009	-115.972	-115.956	-115.675	-115.668	-115.783	-115.940	-116.065	-116.178	-115.908	-115.981	-116.147	-116.200	-116.081	-116.200	-116.350	-116.165	-116.284	-116.185	-115.996	-116.071	-116.174	-115.846	253.681	253.451	253.641	253.580	253.673	253.523	253.840	253.666	253.709	253.611	253.522	253.687	253.735	253.657	253.570	253.367	253.636	253.615	253.594	253.652	253.510	253.690	253.583	253.579	253.607	253.685	253.592	253.575	253.665	253.552	253.592	253.628	2016_7_15_15_09_23
F2LS3SMLHFM5____	-34.416	-34.642	-34.503	-34.503	-34.493	-34.523	-34.407	-34.391	-34.290	-34.668	-34.542	-34.435	-34.365	-34.397	-34.519	-34.780	-34.394	-34.479	-34.447	-34.457	-34.809	-34.486	-34.513	-34.595	-34.709	-34.310	-34.291	-34.504	-34.554	-34.593	-34.591	-34.645	-115.374	-115.568	-115.332	-115.749	-115.612	-115.674	-115.630	-115.279	-115.302	-115.529	-115.679	-115.346	-115.319	-115.251	-115.244	-115.433	-115.319	-115.514	-115.419	-115.618	-115.600	-115.457	-115.461	-115.904	-115.606	-115.336	-115.533	-115.385	-115.689	-115.516	-115.480	-115.549	253.255	253.178	253.210	253.266	253.252	253.247	253.294	253.253	253.303	253.161	253.239	253.243	253.271	253.247	253.190	253.097	253.258	253.245	253.247	253.269	253.107	253.235	253.223	253.246	253.153	253.298	253.333	253.216	253.235	253.194	253.190	253.174	2016_7_15_15_09_26
F2LS3BDVGRXL____	-34.584	-34.679	-34.406	-34.644	-34.553	-34.514	-34.157	-34.439	-34.468	-34.669	-34.684	-34.565	-34.428	-34.678	-34.719	-34.817	-34.523	-34.340	-34.661	-34.643	-34.905	-34.610	-34.648	-34.606	-34.780	-34.573	-34.607	-34.853	-34.501	-34.647	-34.770	-34.527	-116.164	-116.210	-116.025	-116.084	-116.172	-116.169	-115.994	-115.767	-116.021	-116.212	-115.902	-116.035	-115.802	-116.091	-116.218	-116.185	-115.859	-116.164	-115.981	-116.266	-116.218	-116.299	-115.939	-116.273	-116.140	-115.891	-116.086	-116.406	-116.239	-115.949	-116.292	-116.268	253.541	253.504	253.603	253.503	253.556	253.573	253.711	253.553	253.574	253.508	253.460	253.532	253.563	253.488	253.487	253.438	253.527	253.651	253.481	253.528	253.403	253.547	253.481	253.545	253.449	253.509	253.520	253.452	253.588	253.483	253.474	253.580	2016_7_15_15_09_30
F2LS3HFRHFM5____	-34.678	-34.913	-34.576	-34.775	-34.697	-34.480	-34.347	-34.734	-34.492	-35.013	-34.762	-34.523	-34.565	-34.610	-34.900	-34.856	-34.821	-34.752	-34.768	-34.841	-34.899	-34.818	-34.846	-34.818	-35.049	-34.646	-34.687	-34.653	-34.856	-34.849	-34.780	-34.801	-115.616	-115.988	-115.495	-116.036	-115.756	-115.696	-115.639	-115.416	-115.377	-115.796	-115.607	-115.372	-115.337	-115.389	-115.547	-115.460	-115.460	-115.755	-115.623	-115.799	-115.740	-115.766	-116.070	-116.106	-116.000	-115.646	-115.801	-115.577	-115.705	-115.603	-115.514	-115.744	253.417	253.362	253.447	253.431	253.428	253.519	253.571	253.365	253.470	253.290	253.378	253.455	253.431	253.417	253.307	253.315	253.331	253.403	253.378	253.368	253.334	253.374	253.403	253.421	253.302	253.436	253.439	253.424	253.349	253.338	253.357	253.379	2016_7_15_15_09_34
F2LS3A8AGRXL____	-34.628	-34.627	-34.416	-34.593	-34.418	-34.469	-31.901	-34.427	-34.475	-34.669	-34.630	-34.405	-34.422	-34.460	-34.680	-34.771	-34.460	-34.348	-34.266	-34.624	-34.634	-34.210	-34.405	-34.546	-34.734	-34.558	-34.565	-34.629	-34.433	-34.790	-34.773	-34.700	-115.939	-115.855	-115.244	-115.425	-115.575	-116.092	-115.619	-115.344	-115.675	-115.663	-115.681	-115.570	-115.329	-115.384	-115.672	-115.323	-115.451	-115.633	-115.441	-115.823	-115.664	-115.693	-115.605	-116.054	-115.730	-115.534	-116.128	-115.519	-115.699	-115.605	-115.566	-115.733	253.236	253.225	253.238	253.182	253.282	253.329	254.441	253.247	253.270	253.180	253.200	253.287	253.247	253.237	253.176	253.087	253.246	253.322	253.333	253.222	253.196	253.393	253.292	253.289	253.160	253.213	253.290	253.178	253.292	253.117	253.119	253.175	2016_7_15_15_09_36
F2LS3957GRXL____	-42.595	-42.643	-42.490	-42.632	-42.323	-42.235	-42.174	-42.464	-42.480	-42.743	-42.622	-42.447	-42.321	-42.419	-42.684	-42.759	-42.542	-42.616	-42.525	-42.536	-42.824	-42.633	-42.633	-42.673	-42.780	-42.632	-42.694	-42.590	-42.458	-42.663	-42.610	-42.614	-125.526	-125.634	-125.518	-125.468	-125.403	-125.459	-125.729	-125.378	-125.289	-125.260	-125.463	-125.450	-125.229	-125.354	-125.392	-125.493	-125.490	-125.420	-125.397	-125.593	-125.567	-125.678	-125.633	-125.626	-125.573	-125.636	-125.709	-125.474	-125.478	-125.499	-125.457	-125.520	251.256	251.252	251.298	251.233	251.351	251.395	251.457	251.289	251.271	251.159	251.237	251.306	251.327	251.304	251.201	251.185	251.273	251.233	251.267	251.290	251.168	251.262	251.255	251.238	251.187	251.256	251.241	251.251	251.306	251.225	251.241	251.248	2016_7_15_15_10_02
