SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	0.141	0.135	0.100	0.100	0.178	0.171	0.136	0.136	0.100	0.138	0.134	0.100	0.101	0.138	0.131	0.100	0.099	0.099	0.100	0.141	0.133	0.139	0.102	0.102	0.139	0.171	0.103	0.104	0.135	0.178	0.132	0.103	0.278	0.278	0.276	0.276	0.279	0.317	0.274	0.274	0.276	0.274	0.275	0.276	0.278	0.275	0.319	0.276	0.281	0.276	0.276	0.237	0.318	0.275	0.277	0.276	0.276	0.317	0.277	0.274	0.277	0.279	0.279	0.277	0.127	0.124	0.111	0.111	0.141	0.134	0.125	0.125	0.111	0.126	0.124	0.111	0.111	0.126	0.119	0.111	0.110	0.110	0.111	0.130	0.119	0.126	0.112	0.112	0.126	0.134	0.113	0.113	0.124	0.141	0.123	0.113	0.126	0.280	0.120	2016_7_15_15_44_58
F2LS3HFBHFM5____	-0.354	-0.411	-0.474	-0.474	-0.415	-0.548	-0.434	-0.434	-0.410	-0.411	-0.451	-0.474	-0.479	-0.372	-0.453	-0.474	-0.432	-0.345	-0.474	-0.504	-0.547	-0.500	-0.451	-0.435	-0.340	-0.548	-0.402	-0.452	-0.415	-0.415	-0.414	-0.402	0.355	0.399	0.354	0.354	0.355	0.285	0.410	0.410	0.408	0.403	0.352	0.354	0.354	0.398	0.355	0.354	0.400	0.408	0.354	0.284	0.284	0.284	0.398	0.355	0.406	0.285	0.353	0.398	0.401	0.355	0.411	0.353	-0.097	-0.123	-0.143	-0.143	-0.121	-0.165	-0.133	-0.133	-0.123	-0.124	-0.134	-0.143	-0.144	-0.109	-0.135	-0.143	-0.131	-0.099	-0.143	-0.147	-0.164	-0.146	-0.138	-0.128	-0.096	-0.165	-0.116	-0.139	-0.125	-0.121	-0.126	-0.116	-0.442	0.363	-0.132	2016_7_15_15_45_02
F2LS3JESHFM5____	0.315	0.309	0.449	0.449	0.379	0.283	0.449	0.449	0.309	0.379	0.309	0.449	0.379	0.449	0.421	0.449	0.444	0.449	0.449	0.379	0.379	0.519	0.309	0.309	0.449	0.283	0.313	0.309	0.309	0.379	0.379	0.313	1.385	1.392	1.392	1.392	1.392	1.383	1.322	1.322	1.322	1.322	1.392	1.392	1.322	1.322	1.378	1.392	1.377	1.322	1.392	1.376	1.392	1.392	1.322	1.392	1.322	1.383	1.380	1.392	1.322	1.392	1.322	1.380	0.052	0.050	0.103	0.103	0.077	0.041	0.110	0.110	0.057	0.083	0.050	0.103	0.084	0.111	0.094	0.103	0.103	0.111	0.103	0.078	0.077	0.130	0.057	0.050	0.110	0.041	0.052	0.050	0.057	0.077	0.084	0.052	0.381	1.365	0.080	2016_7_15_15_45_06
F2LS3TKDHFM5____	-0.122	-0.156	-0.161	-0.161	-0.165	-0.160	-0.163	-0.163	-0.160	-0.157	-0.123	-0.161	-0.152	-0.164	-0.123	-0.161	-0.111	-0.155	-0.161	-0.120	-0.120	-0.120	-0.119	-0.162	-0.166	-0.160	-0.155	-0.155	-0.162	-0.165	-0.117	-0.155	1.454	1.412	1.453	1.453	1.452	1.453	1.454	1.454	1.454	1.410	1.453	1.453	1.455	1.454	1.454	1.453	1.412	1.456	1.453	1.455	1.452	1.456	1.454	1.453	1.453	1.453	1.455	1.414	1.455	1.452	1.454	1.455	-0.171	-0.179	-0.185	-0.185	-0.187	-0.186	-0.187	-0.187	-0.185	-0.180	-0.171	-0.185	-0.182	-0.187	-0.171	-0.185	-0.163	-0.184	-0.185	-0.170	-0.170	-0.170	-0.170	-0.186	-0.188	-0.186	-0.183	-0.179	-0.186	-0.187	-0.169	-0.183	-0.149	1.449	-0.180	2016_7_15_15_45_10
F2LS38VQGRXL____	-0.643	-0.648	-0.655	-0.655	-0.649	-0.646	-0.640	-0.640	-0.686	-0.645	-0.646	-0.655	-0.683	-0.645	-0.650	-0.655	-0.647	-0.644	-0.655	-0.608	-0.692	-0.647	-0.684	-0.648	-0.652	-0.646	-0.648	-0.650	-0.648	-0.649	-0.646	-0.648	0.287	0.288	0.329	0.329	0.287	0.329	0.291	0.291	0.289	0.289	0.290	0.329	0.291	0.288	0.331	0.329	0.288	0.289	0.329	0.288	0.331	0.288	0.288	0.328	0.286	0.329	0.291	0.288	0.288	0.287	0.289	0.291	-0.274	-0.277	-0.283	-0.283	-0.277	-0.279	-0.274	-0.274	-0.291	-0.275	-0.276	-0.283	-0.289	-0.275	-0.281	-0.283	-0.276	-0.275	-0.283	-0.261	-0.298	-0.276	-0.290	-0.280	-0.278	-0.279	-0.276	-0.277	-0.277	-0.277	-0.276	-0.276	-0.652	0.301	-0.279	2016_7_15_15_45_13
F2LS3A8AGRXL____	-0.121	0.000	-0.038	-0.038	-0.020	-0.074	-0.119	-0.119	-0.091	-0.127	-0.063	-0.038	-0.074	-0.028	-0.158	-0.038	0.005	-0.117	-0.038	-0.070	-0.073	-0.120	-0.075	-0.034	-0.037	-0.074	-0.076	-0.070	-0.072	-0.020	-0.022	-0.076	0.014	0.056	0.009	0.009	0.009	0.011	-0.063	-0.063	-0.064	-0.009	0.084	0.009	0.010	0.010	0.010	0.009	0.055	0.007	0.009	0.011	0.012	0.008	0.012	0.011	0.060	0.011	0.012	0.011	0.010	0.009	-0.063	0.012	-0.109	-0.067	-0.076	-0.076	-0.069	-0.090	-0.100	-0.100	-0.090	-0.109	-0.093	-0.076	-0.090	-0.073	-0.122	-0.076	-0.064	-0.106	-0.076	-0.089	-0.089	-0.107	-0.091	-0.075	-0.081	-0.090	-0.091	-0.089	-0.089	-0.069	-0.063	-0.091	-0.066	0.007	-0.087	2016_7_15_15_45_18
F2LS3HFRHFM5____	-0.084	-0.093	-0.019	-0.019	-0.224	-0.084	-0.084	-0.084	-0.143	-0.137	-0.166	-0.019	-0.093	-0.203	-0.215	-0.019	-0.187	-0.084	-0.019	-0.154	-0.251	-0.112	-0.090	-0.069	-0.084	-0.084	-0.091	-0.192	-0.135	-0.224	-0.154	-0.091	0.349	0.299	0.429	0.429	0.349	0.419	0.349	0.349	0.339	0.359	0.281	0.429	0.359	0.353	0.359	0.429	0.360	0.349	0.429	0.349	0.359	0.282	0.359	0.426	0.349	0.419	0.359	0.341	0.358	0.349	0.349	0.359	-0.056	-0.054	-0.039	-0.039	-0.110	-0.062	-0.056	-0.056	-0.078	-0.077	-0.080	-0.039	-0.061	-0.102	-0.106	-0.039	-0.097	-0.056	-0.039	-0.083	-0.121	-0.060	-0.059	-0.058	-0.056	-0.062	-0.060	-0.096	-0.077	-0.110	-0.083	-0.060	-0.116	0.365	-0.070	2016_7_15_15_45_22
F2LS3KLTHFM5____	-0.309	-0.391	-0.303	-0.303	-0.347	-0.345	-0.391	-0.391	-0.350	-0.344	-0.389	-0.303	-0.352	-0.347	-0.350	-0.303	-0.310	-0.311	-0.303	-0.348	-0.346	-0.385	-0.348	-0.307	-0.343	-0.345	-0.314	-0.340	-0.308	-0.347	-0.355	-0.314	0.348	0.349	0.305	0.305	0.349	0.353	0.352	0.352	0.351	0.352	0.304	0.305	0.351	0.351	0.350	0.305	0.348	0.350	0.305	0.307	0.349	0.354	0.352	0.305	0.350	0.353	0.349	0.350	0.352	0.349	0.351	0.349	-0.203	-0.234	-0.196	-0.196	-0.217	-0.217	-0.234	-0.234	-0.219	-0.217	-0.230	-0.196	-0.220	-0.217	-0.219	-0.196	-0.203	-0.203	-0.196	-0.214	-0.217	-0.232	-0.217	-0.198	-0.217	-0.217	-0.204	-0.216	-0.203	-0.217	-0.221	-0.204	-0.339	0.339	-0.213	2016_7_15_15_45_26
F2LS30UNGRX8____	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.423	-0.424	-0.423	-0.423	-0.423	-0.424	-0.423	-0.423	-0.423	0.285	0.285	0.285	0.285	0.284	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.285	0.284	0.285	0.285	0.285	0.285	0.285	0.284	0.285	0.285	-0.234	-0.234	-0.234	-0.234	-0.233	-0.233	-0.233	-0.233	-0.234	-0.233	-0.234	-0.234	-0.233	-0.234	-0.234	-0.234	-0.234	-0.234	-0.234	-0.234	-0.234	-0.233	-0.233	-0.234	-0.234	-0.233	-0.234	-0.233	-0.234	-0.233	-0.234	-0.234	-0.423	0.285	-0.234	2016_7_15_15_45_30
F2LS39Q6GRXL____	-0.034	-0.030	-0.045	-0.045	-0.093	-0.135	-0.030	-0.030	-0.034	0.044	-0.049	-0.045	-0.100	-0.100	-0.087	-0.045	-0.034	-0.054	-0.045	0.013	-0.096	-0.050	-0.030	0.041	0.045	-0.135	-0.040	-0.029	-0.021	-0.093	-0.026	-0.040	1.329	1.392	1.335	1.335	1.338	1.341	1.390	1.390	1.389	1.347	1.335	1.335	1.380	1.380	1.338	1.335	1.391	1.382	1.335	1.335	1.382	1.382	1.391	1.392	1.390	1.341	1.336	1.390	1.350	1.338	1.348	1.336	-0.140	-0.145	-0.144	-0.144	-0.163	-0.180	-0.145	-0.145	-0.147	-0.113	-0.146	-0.144	-0.171	-0.170	-0.161	-0.144	-0.146	-0.153	-0.144	-0.123	-0.168	-0.151	-0.145	-0.117	-0.116	-0.180	-0.143	-0.144	-0.137	-0.163	-0.139	-0.143	-0.046	1.360	-0.147	2016_7_15_15_45_34
