SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS339XHFM1____	-25.987	-25.950	-25.949	-25.881	-26.021	-25.808	-25.948	-25.949	-25.844	-25.948	-25.951	-25.847	-25.916	-25.951	-25.916	-25.914	-26.087	-25.984	-25.884	-25.916	-25.949	-25.952	-26.019	-25.919	-26.022	-26.021	-26.092	-25.949	-25.914	-25.880	-26.093	-25.988	139.135	139.110	139.105	139.024	139.103	139.032	139.110	139.033	139.074	139.183	139.101	139.094	139.070	139.101	139.143	139.065	139.147	139.103	138.968	138.981	139.035	139.032	139.071	139.039	139.105	139.064	139.239	139.145	139.032	139.180	138.930	139.172	100.805	100.792	100.792	100.771	100.821	100.741	100.791	100.797	100.753	100.786	100.793	100.752	100.781	100.793	100.776	100.781	100.844	100.806	100.776	100.788	100.797	100.798	100.822	100.785	100.821	100.824	100.839	100.789	100.783	100.759	100.862	100.802	2016_7_15_14_38_39
F2LS3HFRHFM5____	-25.897	-25.863	-25.860	-25.794	-25.932	-25.722	-25.859	-25.860	-25.752	-25.860	-25.864	-25.754	-25.826	-25.864	-25.826	-25.829	-26.002	-25.897	-25.797	-25.828	-25.863	-25.864	-25.933	-25.828	-25.897	-25.933	-26.003	-25.862	-25.827	-25.756	-26.003	-25.901	139.174	139.176	139.171	139.016	139.175	139.064	139.177	139.102	139.136	139.248	139.086	139.131	139.136	139.086	139.208	139.051	139.240	139.170	139.060	139.047	139.100	139.016	139.136	139.103	139.171	139.102	139.281	139.208	139.099	139.247	138.997	139.238	100.591	100.578	100.577	100.562	100.605	100.529	100.576	100.582	100.536	100.571	100.584	100.537	100.566	100.584	100.560	100.573	100.628	100.591	100.560	100.573	100.583	100.590	100.608	100.569	100.591	100.611	100.625	100.575	100.569	100.530	100.647	100.588	2016_7_15_14_38_43
F2LS3JESHFM5____	-26.388	-26.355	-26.349	-26.353	-26.425	-26.176	-26.347	-26.351	-26.178	-26.392	-26.351	-26.245	-26.320	-26.351	-26.318	-26.313	-26.524	-26.383	-26.361	-26.316	-26.350	-26.353	-26.420	-26.281	-26.384	-26.493	-26.486	-26.312	-26.352	-26.206	-26.494	-26.392	139.044	139.062	139.045	138.874	139.044	138.977	139.056	138.978	138.979	139.131	139.051	139.002	139.007	139.051	139.097	139.012	139.087	139.038	138.911	138.911	138.976	138.874	139.006	138.990	139.040	138.909	139.164	139.181	138.932	139.135	138.883	139.094	100.826	100.812	100.811	100.825	100.841	100.747	100.809	100.817	100.748	100.822	100.811	100.773	100.802	100.811	100.795	100.799	100.877	100.825	100.826	100.808	100.816	100.825	100.842	100.788	100.825	100.878	100.856	100.786	100.821	100.747	100.881	100.824	2016_7_15_14_38_46
F2LS3HFBHFM5____	-26.052	-26.016	-26.014	-25.947	-26.086	-25.913	-26.009	-26.015	-25.905	-26.013	-26.015	-25.910	-26.033	-26.015	-25.978	-26.033	-26.155	-26.048	-25.946	-25.979	-26.016	-26.018	-26.085	-25.977	-26.103	-26.086	-26.157	-26.013	-25.981	-25.944	-26.156	-26.087	139.097	139.064	139.049	138.973	139.096	138.978	139.107	138.985	139.068	139.179	139.053	139.058	138.904	139.053	139.141	138.974	139.140	139.090	138.969	138.924	139.027	138.987	139.010	138.994	138.939	139.016	139.211	139.141	138.984	139.179	138.925	139.139	100.750	100.739	100.739	100.718	100.764	100.704	100.733	100.744	100.694	100.729	100.739	100.697	100.757	100.739	100.718	100.752	100.788	100.749	100.718	100.734	100.741	100.745	100.770	100.728	100.782	100.770	100.783	100.732	100.730	100.701	100.805	100.761	2016_7_15_14_38_50
F2LS3A7AHFM2____	-26.346	-26.308	-26.310	-26.240	-26.379	-26.169	-26.310	-26.309	-26.208	-26.342	-26.309	-26.204	-26.277	-26.309	-26.276	-26.275	-26.449	-26.379	-26.242	-26.305	-26.311	-26.311	-26.379	-26.279	-26.344	-26.380	-26.452	-26.344	-26.306	-26.206	-26.451	-26.347	139.062	139.067	139.089	138.990	139.090	139.020	139.094	139.018	139.058	139.162	139.088	139.025	139.051	139.088	139.126	139.050	139.127	139.059	138.952	138.950	139.020	139.018	139.026	139.024	139.064	139.053	139.198	139.128	138.989	139.169	138.914	139.128	100.569	100.554	100.553	100.533	100.580	100.502	100.553	100.558	100.515	100.560	100.553	100.516	100.543	100.553	100.537	100.542	100.606	100.583	100.536	100.562	100.558	100.559	100.585	100.546	100.569	100.584	100.601	100.563	100.559	100.506	100.622	100.565	2016_7_15_14_38_54
F2LS3A8AGRXL____	-25.999	-25.960	-25.961	-25.894	-26.033	-25.820	-25.992	-25.959	-25.852	-25.959	-25.962	-25.856	-25.927	-25.962	-25.927	-25.925	-26.103	-25.997	-25.895	-25.924	-26.038	-25.964	-26.031	-25.930	-25.995	-26.031	-26.105	-25.960	-25.926	-25.857	-26.102	-25.999	139.162	139.163	139.162	139.087	139.162	139.088	139.167	139.092	139.126	139.235	139.160	139.124	139.092	139.160	139.197	139.123	139.199	139.159	139.017	139.050	139.090	139.089	139.126	139.091	139.161	139.125	139.268	139.192	139.091	139.234	138.980	139.198	100.780	100.765	100.765	100.744	100.794	100.714	100.777	100.770	100.725	100.759	100.766	100.726	100.757	100.766	100.749	100.753	100.819	100.780	100.749	100.759	100.801	100.771	100.796	100.758	100.779	100.796	100.814	100.762	100.757	100.718	100.835	100.778	2016_7_15_14_38_57
F2LS39Q6GRXL____	-25.583	-25.550	-25.604	-25.479	-25.618	-25.394	-25.550	-25.547	-25.441	-25.551	-25.545	-25.441	-25.515	-25.545	-25.518	-25.499	-25.693	-25.584	-25.484	-25.511	-25.550	-25.534	-25.616	-25.518	-25.620	-25.674	-25.695	-25.555	-25.569	-25.450	-25.691	-25.589	139.087	139.083	138.963	139.013	139.086	138.893	139.088	139.017	139.051	139.154	139.060	139.047	139.044	139.060	139.116	138.998	139.120	139.083	138.945	138.978	139.013	138.963	139.053	139.014	139.084	138.998	139.189	139.117	138.963	139.155	138.914	139.119	100.260	100.248	100.278	100.224	100.274	100.199	100.247	100.251	100.207	100.242	100.247	100.207	100.236	100.247	100.232	100.234	100.302	100.261	100.231	100.240	100.253	100.250	100.276	100.240	100.275	100.303	100.297	100.247	100.264	100.202	100.316	100.260	2016_7_15_14_39_02
F2LS38VQGRXL____	-25.677	-25.645	-25.643	-25.543	-25.715	-25.506	-25.642	-25.612	-25.541	-25.646	-25.644	-25.507	-25.621	-25.644	-25.611	-25.608	-25.752	-25.680	-25.582	-25.578	-25.614	-25.646	-25.717	-25.615	-25.682	-25.715	-25.796	-25.642	-25.577	-25.551	-25.790	-25.682	139.186	139.147	139.186	139.083	139.152	139.047	139.148	139.051	139.114	139.220	139.155	139.106	139.057	139.155	139.184	139.114	139.188	139.149	139.045	139.049	139.075	139.082	139.114	139.073	139.147	139.117	139.197	139.154	139.079	139.162	138.972	139.184	100.432	100.422	100.418	100.386	100.450	100.374	100.421	100.416	100.383	100.417	100.421	100.370	100.419	100.421	100.406	100.410	100.462	100.436	100.404	100.403	100.415	100.427	100.453	100.416	100.437	100.452	100.479	100.420	100.400	100.384	100.493	100.434	2016_7_15_14_39_10
F2LS30UNGRX8____	-25.975	-25.920	-25.940	-25.870	-26.010	-25.739	-25.884	-25.918	-25.812	-25.919	-26.010	-25.835	-25.849	-26.010	-25.835	-25.975	-26.026	-25.916	-25.819	-25.905	-25.886	-26.010	-25.955	-25.854	-25.975	-25.994	-26.080	-25.885	-25.905	-25.785	-26.029	-25.957	139.027	139.087	139.027	139.027	139.027	139.015	139.085	139.019	139.052	139.158	139.027	138.992	139.081	139.027	138.992	138.992	139.128	139.086	138.942	138.922	139.051	138.957	139.054	139.010	139.027	139.059	139.132	139.122	138.957	139.158	138.912	139.121	100.490	100.464	100.476	100.448	100.504	100.397	100.450	100.468	100.423	100.458	100.504	100.437	100.436	100.504	100.437	100.493	100.503	100.462	100.434	100.470	100.453	100.509	100.480	100.443	100.490	100.495	100.524	100.447	100.468	100.405	100.520	100.476	2016_7_15_14_39_14
F2LS3957GRXL____	-25.753	-25.680	-25.679	-25.607	-25.790	-25.530	-25.678	-25.677	-25.564	-25.678	-25.682	-25.566	-25.645	-25.682	-25.679	-25.642	-25.820	-25.714	-25.611	-25.676	-25.679	-25.681	-25.754	-25.644	-25.751	-25.791	-25.819	-25.680	-25.680	-25.572	-25.824	-25.719	139.130	139.134	139.156	139.052	139.131	139.057	139.132	139.056	139.124	139.207	139.131	139.120	139.093	139.131	139.165	139.089	139.171	139.155	138.982	139.005	139.082	139.061	139.098	139.054	139.158	139.094	139.238	139.163	139.053	139.204	138.948	139.168	100.331	100.302	100.300	100.279	100.346	100.247	100.301	100.306	100.256	100.295	100.303	100.257	100.291	100.303	100.299	100.290	100.354	100.314	100.285	100.310	100.305	100.307	100.334	100.293	100.328	100.349	100.349	100.300	100.308	100.254	100.373	100.315	2016_7_15_14_39_17
