SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3A7AHFM2____	-0.684	-0.647	-0.648	-0.647	-0.647	-0.649	-0.687	-0.650	-0.650	-0.649	-0.650	-0.650	-0.648	-0.651	-0.651	-0.651	-0.650	-0.650	-0.649	-0.651	-0.649	-0.648	-0.686	-0.651	-0.687	-0.650	-0.648	-0.649	-0.649	-0.687	-0.684	-0.648	-0.125	-0.124	-0.122	-0.122	-0.122	-0.121	-0.127	-0.124	-0.124	-0.125	-0.125	-0.125	-0.122	-0.124	-0.124	-0.124	-0.124	-0.124	-0.122	-0.125	-0.125	-0.123	-0.164	-0.122	-0.127	-0.125	-0.121	-0.121	-0.123	-0.125	-0.161	-0.122	0.137	0.122	0.122	0.122	0.122	0.122	0.138	0.122	0.123	0.123	0.123	0.123	0.122	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.122	0.140	0.124	0.138	0.123	0.122	0.122	0.123	0.138	0.139	0.122	-0.656	-0.126	0.125	2016_7_15_14_35_44
F2LS3A8AGRXL____	-0.129	-0.130	-0.167	-0.171	-0.171	-0.094	-0.057	-0.129	-0.127	-0.127	-0.127	-0.127	-0.057	-0.127	-0.126	-0.127	-0.127	-0.126	-0.093	-0.129	-0.127	-0.095	-0.090	-0.126	-0.123	-0.127	-0.096	-0.127	-0.095	-0.093	-0.125	-0.057	-0.002	-0.038	-0.045	-0.072	-0.072	-0.040	-0.003	-0.070	-0.004	-0.044	-0.040	-0.040	0.002	-0.037	-0.041	-0.037	-0.004	-0.039	0.001	-0.041	-0.044	0.000	0.037	-0.043	-0.008	-0.040	-0.040	-0.002	-0.038	-0.003	-0.006	0.002	0.035	0.038	0.053	0.057	0.057	0.024	0.006	0.039	0.035	0.037	0.037	0.037	0.006	0.036	0.036	0.036	0.035	0.036	0.021	0.037	0.037	0.022	0.017	0.037	0.033	0.037	0.024	0.034	0.024	0.021	0.034	0.006	-0.117	-0.027	0.032	2016_7_15_14_35_47
F2LS3BDVGRXL____	-0.145	0.013	0.010	0.020	0.020	-0.030	-0.033	-0.034	-0.035	-0.069	-0.032	-0.032	-0.034	-0.034	-0.034	-0.034	-0.035	-0.066	-0.067	-0.034	-0.069	-0.035	-0.033	-0.034	-0.035	-0.032	-0.034	0.007	-0.035	-0.030	-0.068	-0.034	-0.046	0.004	0.002	0.061	0.061	-0.002	-0.041	0.003	0.001	-0.002	-0.001	-0.001	-0.044	-0.001	-0.034	-0.001	0.001	-0.005	-0.008	-0.037	-0.002	-0.040	-0.001	-0.046	-0.040	-0.001	-0.039	0.030	-0.039	0.028	-0.007	-0.044	-0.031	-0.098	-0.097	-0.104	-0.104	-0.080	-0.077	-0.079	-0.078	-0.064	-0.079	-0.079	-0.076	-0.078	-0.076	-0.078	-0.078	-0.065	-0.065	-0.076	-0.064	-0.076	-0.079	-0.076	-0.076	-0.079	-0.076	-0.097	-0.076	-0.082	-0.064	-0.076	-0.035	-0.009	-0.078	2016_7_15_14_35_51
F2LS3EKPHFM2____	-0.212	-0.176	-0.175	-0.222	-0.222	-0.219	-0.221	-0.258	-0.256	-0.220	-0.259	-0.259	-0.223	-0.221	-0.259	-0.221	-0.256	-0.261	-0.258	-0.261	-0.220	-0.256	-0.258	-0.298	-0.257	-0.259	-0.221	-0.212	-0.215	-0.219	-0.216	-0.223	0.003	0.079	0.010	-0.001	-0.001	0.036	-0.003	0.037	0.038	0.037	-0.003	-0.003	-0.041	0.037	-0.005	0.037	0.038	-0.054	-0.007	-0.043	0.037	-0.008	-0.003	-0.006	-0.045	-0.003	0.002	0.002	-0.038	0.032	0.005	-0.041	0.031	0.011	0.015	0.035	0.035	0.031	0.035	0.047	0.046	0.032	0.050	0.050	0.038	0.032	0.050	0.032	0.046	0.054	0.049	0.053	0.032	0.049	0.049	0.066	0.053	0.050	0.035	0.031	0.035	0.032	0.032	0.038	-0.235	0.004	0.040	2016_7_15_14_35_55
F2LS3HFBHFM5____	0.023	0.018	0.022	0.044	0.044	0.048	0.047	0.017	0.017	0.017	0.011	0.011	0.045	0.016	0.012	0.016	0.017	0.013	0.046	0.016	0.017	0.046	0.017	0.014	0.015	0.011	0.047	0.022	0.047	0.049	0.015	0.045	-0.007	-0.036	-0.000	-0.034	-0.034	0.037	-0.000	0.029	0.028	0.028	-0.046	-0.046	-0.033	0.029	-0.045	0.029	0.028	-0.006	-0.001	-0.003	0.028	-0.001	0.032	-0.002	-0.002	-0.046	0.001	0.000	-0.033	0.036	0.033	-0.033	0.197	0.200	0.196	0.190	0.190	0.184	0.186	0.197	0.197	0.197	0.204	0.204	0.190	0.196	0.204	0.196	0.197	0.200	0.186	0.200	0.197	0.187	0.196	0.200	0.200	0.204	0.187	0.196	0.189	0.183	0.197	0.190	0.026	-0.002	0.195	2016_7_15_14_35_58
F2LS3HFRHFM5____	-0.067	-0.071	-0.105	-0.070	-0.070	-0.036	-0.070	-0.071	-0.105	-0.070	-0.073	-0.073	-0.070	-0.104	-0.072	-0.104	-0.105	-0.073	-0.070	-0.105	-0.070	-0.034	-0.104	-0.073	-0.106	-0.073	-0.069	-0.103	-0.069	-0.070	-0.072	-0.070	-0.014	-0.015	-0.051	-0.014	-0.014	-0.011	-0.016	-0.043	-0.047	-0.044	-0.013	-0.013	-0.013	-0.050	-0.014	-0.050	-0.047	-0.015	-0.046	-0.015	-0.044	-0.007	-0.051	-0.046	-0.047	-0.013	-0.014	-0.017	-0.014	-0.015	-0.016	-0.013	0.011	0.012	0.029	0.012	0.012	-0.003	0.012	0.014	0.028	0.014	0.013	0.013	0.011	0.028	0.013	0.028	0.028	0.013	0.014	0.027	0.014	-0.002	0.029	0.016	0.029	0.013	0.012	0.025	0.011	0.012	0.013	0.011	-0.078	-0.026	0.016	2016_7_15_14_36_03
F2LS3HQHHFM5____	0.013	0.052	0.085	0.046	0.046	0.009	0.044	0.010	-0.024	0.009	0.007	0.007	-0.032	0.006	0.043	0.006	-0.024	0.006	0.050	0.009	0.009	0.049	0.006	0.013	0.046	0.007	0.042	0.009	0.044	0.013	0.008	-0.032	0.058	0.095	0.024	0.009	0.009	0.053	-0.024	0.049	0.045	0.054	0.053	0.053	0.052	0.056	0.091	0.056	0.045	0.053	0.059	0.053	0.054	0.059	0.059	0.015	0.062	0.053	0.027	0.054	0.028	0.133	0.056	0.052	0.124	0.189	0.180	0.197	0.197	0.209	0.200	0.209	0.223	0.210	0.210	0.210	0.226	0.211	0.194	0.211	0.223	0.211	0.192	0.209	0.210	0.193	0.210	0.279	0.193	0.210	0.198	0.209	0.197	0.202	0.210	0.226	0.018	0.050	0.205	2016_7_15_14_36_08
F2LS3HZVHFM5____	0.015	0.048	0.011	0.049	0.049	0.050	0.049	0.053	0.016	0.051	0.016	0.016	0.049	0.017	0.016	0.017	0.016	0.051	0.049	0.017	0.051	0.048	-0.021	0.017	0.016	0.016	0.049	0.014	0.053	0.049	0.020	0.049	-0.060	-0.000	-0.124	-0.049	-0.049	0.001	-0.051	0.041	-0.003	0.005	-0.001	-0.001	0.004	-0.000	-0.054	-0.000	-0.003	-0.049	-0.002	-0.001	0.005	0.002	-0.091	-0.003	-0.005	-0.001	-0.052	-0.005	0.036	-0.000	0.054	0.004	-0.057	-0.075	-0.052	-0.072	-0.072	-0.076	-0.072	-0.080	-0.062	-0.076	-0.062	-0.062	-0.075	-0.062	-0.058	-0.062	-0.062	-0.072	-0.075	-0.062	-0.076	-0.075	-0.041	-0.062	-0.062	-0.062	-0.072	-0.061	-0.079	-0.075	-0.067	-0.075	0.032	-0.014	-0.067	2016_7_15_14_36_12
F2LS3JESHFM5____	-0.626	-0.552	-0.606	-0.725	-0.725	-0.543	-0.548	-0.551	-0.552	-0.547	-0.548	-0.548	-0.652	-0.547	-0.589	-0.547	-0.552	-0.593	-0.541	-0.552	-0.547	-0.723	-0.557	-0.665	-0.494	-0.548	-0.590	-0.604	-0.582	-0.583	-0.595	-0.652	-0.010	-0.061	-0.067	-0.115	-0.115	-0.017	-0.063	-0.060	-0.061	-0.011	0.000	0.000	-0.074	-0.006	-0.013	-0.006	-0.061	-0.077	0.027	-0.063	-0.011	-0.187	-0.126	-0.159	-0.060	0.000	-0.064	-0.017	0.052	-0.021	-0.061	-0.074	0.378	0.352	0.374	0.425	0.425	0.345	0.350	0.352	0.352	0.347	0.346	0.346	0.393	0.346	0.363	0.346	0.352	0.370	0.342	0.352	0.347	0.428	0.358	0.404	0.318	0.346	0.368	0.370	0.357	0.362	0.370	0.393	-0.587	-0.049	0.365	2016_7_15_14_36_15
F2LS3KLTHFM5____	-0.073	-0.027	-0.185	-0.073	-0.073	-0.123	-0.074	-0.075	-0.069	-0.070	-0.077	-0.077	-0.074	-0.076	-0.078	-0.076	-0.069	-0.078	-0.079	-0.078	-0.070	-0.075	-0.070	-0.031	-0.077	-0.077	-0.076	-0.026	-0.073	-0.035	-0.072	-0.074	0.049	0.116	0.083	0.050	0.050	-0.007	0.051	0.062	0.154	0.153	0.003	0.003	0.005	-0.005	0.002	-0.005	0.154	0.003	-0.046	0.003	0.153	0.006	0.148	0.123	0.053	0.003	0.005	0.122	0.051	0.014	0.085	0.005	0.114	0.091	0.157	0.114	0.114	0.138	0.114	0.114	0.106	0.106	0.119	0.119	0.117	0.119	0.120	0.119	0.106	0.119	0.123	0.119	0.106	0.118	0.106	0.093	0.115	0.119	0.118	0.091	0.113	0.101	0.112	0.117	-0.074	0.051	0.114	2016_7_15_14_36_18
